"order_number","sales_channel","warehouse_code","procured_date","order_date","ship_date","delivery_date","currency_code","sales_team_id","customer_id","store_id","product_id","order_quantity","discount_applied","unit_cost","unit_price"
"SO - 000146","Distributor","WARE-XYS1001","31/12/17","4/6/18","10/6/18","15/6/18","USD",23,3,37,11,8,0.1,"1382.88","2304.80"
"SO - 000147","Online","WARE-XYS1001","31/12/17","4/6/18","21/6/18","24/6/18","USD",17,13,38,35,3,0.05,"1470.11","3195.90"
"SO - 000148","Online","WARE-PUJ1005","31/12/17","4/6/18","19/6/18","26/6/18","USD",18,49,294,33,7,0.05,"5161.68","6452.10"
"SO - 000149","Distributor","WARE-NMK1003","31/12/17","5/6/18","14/6/18","17/6/18","USD",24,4,105,16,3,0.3,"921.52","2003.30"
"SO - 000150","Distributor","WARE-XYS1001","10/4/18","5/6/18","28/6/18","7/7/18","USD",23,20,17,8,8,0.05,"1455.24","3638.10"
"SO - 000151","In-Store","WARE-NMK1003","10/4/18","5/6/18","14/6/18","17/6/18","USD",4,19,109,44,3,0.075,"1822.40","2278.00"
"SO - 000152","Online","WARE-NMK1003","10/4/18","5/6/18","25/6/18","29/6/18","USD",16,25,141,22,6,0.3,"582.5","924.6"
"SO - 000153","Online","WARE-NMK1003","10/4/18","5/6/18","21/6/18","1/7/18","USD",19,8,111,16,5,0.05,"3062.44","3926.20"
"SO - 000154","Distributor","WARE-MKL1006","31/12/17","5/6/18","12/6/18","18/6/18","USD",23,24,349,25,4,0.075,"2257.16","3825.70"
"SO - 000155","Wholesale","WARE-MKL1006","31/12/17","5/6/18","3/7/18","8/7/18","USD",27,13,360,4,3,0.05,"1377.32","2257.90"
"SO - 000156","Distributor","WARE-NMK1003","31/12/17","6/6/18","2/7/18","8/7/18","USD",24,32,148,33,8,0.075,"756.3","1112.20"
"SO - 000157","Online","WARE-NMK1003","31/12/17","6/6/18","22/6/18","23/6/18","USD",19,28,103,45,8,0.05,"1814.43","3557.70"
"SO - 000158","Online","WARE-NBV1002","31/12/17","6/6/18","9/6/18","12/6/18","USD",13,8,59,45,3,0.4,"1233.34","2371.80"
"SO - 000159","Online","WARE-NBV1002","31/12/17","6/6/18","1/7/18","4/7/18","USD",14,47,60,1,1,0.4,"686.08","857.6"
"SO - 000160","In-Store","WARE-UHY1004","31/12/17","7/6/18","14/6/18","16/6/18","USD",11,33,238,20,5,0.3,"2880.60","3892.70"
"SO - 000161","In-Store","WARE-NMK1003","31/12/17","7/6/18","13/6/18","15/6/18","USD",3,26,151,21,6,0.075,"1390.92","3477.30"
"SO - 000162","Online","WARE-NMK1003","31/12/17","7/6/18","11/6/18","21/6/18","USD",13,20,152,44,5,0.1,"2803.95","3738.60"
"SO - 000163","Online","WARE-PUJ1005","10/4/18","7/6/18","10/6/18","13/6/18","USD",20,6,262,8,5,0.3,"589.6","1072.00"
"SO - 000164","In-Store","WARE-NMK1003","10/4/18","7/6/18","1/7/18","2/7/18","USD",5,40,120,46,7,0.05,"1761.16","2257.90"
"SO - 000165","Online","WARE-UHY1004","10/4/18","7/6/18","11/6/18","13/6/18","USD",18,23,233,46,3,0.1,"751.61","1058.60"
"SO - 000166","Online","WARE-NBV1002","10/4/18","7/6/18","15/6/18","25/6/18","USD",13,38,77,39,4,0.1,"1296.05","2492.40"
"SO - 000167","In-Store","WARE-NBV1002","10/4/18","7/6/18","13/6/18","21/6/18","USD",4,30,69,11,5,0.05,"2465.60","3852.50"
"SO - 000168","Distributor","WARE-UHY1004","31/12/17","8/6/18","19/6/18","25/6/18","USD",23,42,215,37,8,0.05,"132.66","241.2"
"SO - 000169","In-Store","WARE-XYS1001","31/12/17","8/6/18","11/6/18","17/6/18","USD",9,1,30,35,2,0.15,"494.39","1051.90"
"SO - 000170","Distributor","WARE-NMK1003","31/12/17","8/6/18","14/6/18","19/6/18","USD",25,11,169,10,5,0.3,"107.07","227.8"
"SO - 000171","Distributor","WARE-MKL1006","10/4/18","8/6/18","14/6/18","15/6/18","USD",24,4,333,14,5,0.05,"506.99","1078.70"
"SO - 000172","Wholesale","WARE-NMK1003","10/4/18","8/6/18","13/6/18","20/6/18","USD",28,6,96,10,8,0.15,"743.7","1005.00"
"SO - 000173","Distributor","WARE-PUJ1005","10/4/18","8/6/18","3/7/18","9/7/18","USD",24,17,289,45,5,0.05,"1317.42","2485.70"
"SO - 000174","In-Store","WARE-NMK1003","10/4/18","8/6/18","30/6/18","6/7/18","USD",3,7,140,22,3,0.05,"2154.52","2659.90"
"SO - 000175","In-Store","WARE-NMK1003","10/4/18","9/6/18","28/6/18","3/7/18","USD",1,1,107,1,1,0.075,"1579.32","2224.40"
"SO - 000176","In-Store","WARE-MKL1006","10/4/18","9/6/18","12/6/18","16/6/18","USD",11,27,338,35,7,0.2,"1260.87","2472.30"
"SO - 000177","In-Store","WARE-UHY1004","10/4/18","9/6/18","23/6/18","24/6/18","USD",5,33,232,15,5,0.05,"799.24","1011.70"
"SO - 000178","Wholesale","WARE-UHY1004","10/4/18","9/6/18","5/7/18","13/7/18","USD",26,28,231,28,6,0.2,"128.98","234.5"
"SO - 000179","Online","WARE-NMK1003","10/4/18","9/6/18","14/6/18","17/6/18","USD",13,42,158,11,4,0.075,"143.72","261.3"
"SO - 000180","Online","WARE-XYS1001","31/12/17","9/6/18","27/6/18","1/7/18","USD",18,5,36,29,7,0.1,"2844.69","4006.60"
"SO - 000181","In-Store","WARE-UHY1004","10/4/18","9/6/18","5/7/18","13/7/18","USD",3,10,206,28,7,0.05,"866.65","1333.30"
"SO - 000182","In-Store","WARE-UHY1004","10/4/18","10/6/18","7/7/18","9/7/18","USD",10,34,255,15,5,0.05,"90.45","167.5"
"SO - 000183","Online","WARE-MKL1006","10/4/18","10/6/18","28/6/18","2/7/18","USD",14,23,336,27,7,0.075,"1821.66","3195.90"
"SO - 000184","Online","WARE-PUJ1005","10/4/18","10/6/18","30/6/18","5/7/18","USD",20,18,307,15,1,0.05,"809.96","1051.90"
"SO - 000185","Online","WARE-XYS1001","31/12/17","10/6/18","30/6/18","3/7/18","USD",15,8,9,28,4,0.1,"3540.62","5447.10"
"SO - 000186","Online","WARE-NMK1003","10/4/18","10/6/18","16/6/18","24/6/18","USD",13,36,200,18,2,0.075,"1973.15","3182.50"
"SO - 000187","In-Store","WARE-MKL1006","31/12/17","11/6/18","29/6/18","1/7/18","USD",6,47,337,30,3,0.1,"632.68","891.1"
"SO - 000188","Online","WARE-NMK1003","31/12/17","11/6/18","16/6/18","19/6/18","USD",15,27,158,31,2,0.2,"2724.89","3892.70"
"SO - 000189","Online","WARE-UHY1004","31/12/17","11/6/18","13/6/18","16/6/18","USD",13,5,249,8,2,0.4,"3360.05","3953.00"
"SO - 000190","Online","WARE-NMK1003","31/12/17","11/6/18","28/6/18","7/7/18","USD",20,38,185,5,2,0.3,"545.51","924.6"
"SO - 000191","Online","WARE-NMK1003","10/4/18","11/6/18","7/7/18","8/7/18","USD",20,21,189,10,7,0.3,"1989.63","3430.40"
"SO - 000192","Distributor","WARE-NMK1003","10/4/18","11/6/18","28/6/18","6/7/18","USD",22,24,170,43,7,0.075,"622.3","1152.40"
"SO - 000193","Distributor","WARE-NMK1003","10/4/18","11/6/18","21/6/18","24/6/18","USD",21,25,130,37,4,0.1,"922.59","1085.40"
"SO - 000194","In-Store","WARE-NMK1003","31/12/17","12/6/18","16/6/18","22/6/18","USD",5,11,149,15,5,0.1,"4025.36","5031.70"
"SO - 000195","Distributor","WARE-NMK1003","10/4/18","12/6/18","28/6/18","3/7/18","USD",24,17,99,33,7,0.15,"436.84","1092.10"
"SO - 000196","Wholesale","WARE-XYS1001","31/12/17","12/6/18","25/6/18","27/6/18","USD",27,5,21,17,7,0.05,"144.45","187.6"
"SO - 000197","Online","WARE-NMK1003","31/12/17","12/6/18","9/7/18","16/7/18","USD",18,30,90,1,4,0.05,"2835.17","3993.20"
"SO - 000198","Online","WARE-MKL1006","31/12/17","12/6/18","15/6/18","18/6/18","USD",14,9,360,15,5,0.05,"1433.93","2472.30"
"SO - 000199","In-Store","WARE-XYS1001","10/4/18","12/6/18","5/7/18","14/7/18","USD",4,47,23,47,4,0.05,"844.2","1206.00"
"SO - 000200","Online","WARE-NMK1003","31/12/17","12/6/18","22/6/18","29/6/18","USD",20,5,144,40,5,0.05,"985.3","1728.60"
"SO - 000201","Wholesale","WARE-NMK1003","31/12/17","12/6/18","20/6/18","29/6/18","USD",28,23,134,23,7,0.075,"1447.74","1983.20"
"SO - 000202","Online","WARE-NMK1003","10/4/18","12/6/18","10/7/18","14/7/18","USD",20,14,180,11,2,0.2,"2656.55","5313.10"
"SO - 000203","Distributor","WARE-XYS1001","10/4/18","12/6/18","17/6/18","25/6/18","USD",20,44,58,23,5,0.075,"566.15","871"
"SO - 000204","Online","WARE-NMK1003","31/12/17","13/6/18","27/6/18","1/7/18","USD",12,38,175,43,2,0.1,"2051.41","2532.60"
"SO - 000205","Online","WARE-NMK1003","10/4/18","13/6/18","25/6/18","26/6/18","USD",14,14,95,1,4,0.075,"4673.72","5916.10"
"SO - 000206","Online","WARE-UHY1004","31/12/17","13/6/18","23/6/18","1/7/18","USD",13,34,231,31,1,0.075,"1443.85","2887.70"
"SO - 000207","In-Store","WARE-NMK1003","31/12/17","13/6/18","20/6/18","22/6/18","USD",1,13,199,11,7,0.1,"1447.60","1855.90"
"SO - 000208","In-Store","WARE-XYS1001","10/4/18","13/6/18","17/6/18","19/6/18","USD",2,5,58,39,5,0.1,"135.01","207.7"
"SO - 000209","In-Store","WARE-MKL1006","31/12/17","13/6/18","29/6/18","6/7/18","USD",2,2,345,3,3,0.05,"772.78","1058.60"
"SO - 000210","Online","WARE-UHY1004","10/4/18","13/6/18","3/7/18","13/7/18","USD",13,17,241,20,7,0.1,"517.37","958.1"
"SO - 000211","In-Store","WARE-NMK1003","10/4/18","13/6/18","8/7/18","18/7/18","USD",6,40,186,27,7,0.2,"1675.74","2659.90"
"SO - 000212","In-Store","WARE-NMK1003","31/12/17","13/6/18","5/7/18","13/7/18","USD",7,15,144,8,3,0.1,"1707.63","2217.70"
"SO - 000213","Online","WARE-XYS1001","31/12/17","14/6/18","17/6/18","20/6/18","USD",20,12,40,11,1,0.3,"857.6","1715.20"
"SO - 000214","In-Store","WARE-PUJ1005","10/4/18","14/6/18","6/7/18","9/7/18","USD",6,25,288,32,7,0.15,"1691.15","3932.90"
"SO - 000215","In-Store","WARE-NMK1003","31/12/17","14/6/18","19/6/18","20/6/18","USD",2,13,169,40,2,0.05,"1909.50","2546.00"
"SO - 000216","Online","WARE-PUJ1005","31/12/17","14/6/18","26/6/18","1/7/18","USD",15,18,277,21,1,0.075,"603","837.5"
"SO - 000217","Online","WARE-UHY1004","10/4/18","14/6/18","26/6/18","5/7/18","USD",16,3,219,12,3,0.15,"1302.48","1809.00"
"SO - 000218","Wholesale","WARE-PUJ1005","10/4/18","14/6/18","29/6/18","3/7/18","USD",26,25,306,11,8,0.075,"514.56","857.6"
"SO - 000219","In-Store","WARE-XYS1001","31/12/17","14/6/18","30/6/18","7/7/18","USD",8,11,7,22,6,0.05,"1101.68","1748.70"
"SO - 000220","Wholesale","WARE-NBV1002","31/12/17","14/6/18","16/6/18","17/6/18","USD",28,44,78,4,1,0.075,"582.5","1266.30"
"SO - 000221","In-Store","WARE-XYS1001","31/12/17","14/6/18","16/6/18","22/6/18","USD",3,30,28,9,5,0.1,"3591.54","5058.50"
"SO - 000222","Distributor","WARE-XYS1001","10/4/18","14/6/18","28/6/18","6/7/18","USD",22,38,39,6,7,0.05,"795.22","958.1"
"SO - 000223","Online","WARE-NMK1003","31/12/17","14/6/18","10/7/18","14/7/18","USD",19,47,122,2,8,0.15,"756.97","1802.30"
"SO - 000224","In-Store","WARE-XYS1001","10/4/18","15/6/18","7/7/18","16/7/18","USD",4,17,48,32,4,0.075,"4534.56","6298.00"
"SO - 000225","Online","WARE-XYS1001","31/12/17","15/6/18","2/7/18","6/7/18","USD",18,28,1,30,1,0.1,"1824.34","2499.10"
"SO - 000226","In-Store","WARE-NMK1003","10/4/18","15/6/18","19/6/18","23/6/18","USD",8,5,198,23,3,0.1,"705.51","871"
"SO - 000227","In-Store","WARE-UHY1004","31/12/17","15/6/18","12/7/18","18/7/18","USD",1,32,242,5,1,0.05,"360.19","750.4"
"SO - 000228","Wholesale","WARE-NMK1003","10/4/18","15/6/18","23/6/18","27/6/18","USD",27,21,200,14,8,0.075,"504.11","763.8"
"SO - 000229","In-Store","WARE-PUJ1005","31/12/17","15/6/18","26/6/18","2/7/18","USD",5,49,304,25,6,0.1,"565.61","844.2"
"SO - 000230","In-Store","WARE-XYS1001","10/4/18","15/6/18","5/7/18","14/7/18","USD",2,6,31,27,7,0.05,"112.36","261.3"
"SO - 000231","Online","WARE-NBV1002","31/12/17","15/6/18","6/7/18","16/7/18","USD",19,47,71,33,2,0.05,"2359.94","3999.90"
"SO - 000232","In-Store","WARE-UHY1004","31/12/17","15/6/18","25/6/18","3/7/18","USD",4,32,250,18,6,0.05,"811.91","1112.20"
"SO - 000233","In-Store","WARE-NMK1003","10/4/18","15/6/18","26/6/18","4/7/18","USD",10,18,167,2,2,0.075,"1843.17","2633.10"
"SO - 000234","Distributor","WARE-NMK1003","31/12/17","15/6/18","9/7/18","13/7/18","USD",22,8,132,4,6,0.2,"631.41","1018.40"
"SO - 000235","In-Store","WARE-XYS1001","10/4/18","15/6/18","27/6/18","30/6/18","USD",1,24,56,21,4,0.15,"3444.74","5219.30"
"SO - 000236","Distributor","WARE-UHY1004","10/4/18","15/6/18","13/7/18","20/7/18","USD",21,11,259,26,1,0.15,"2359.94","3999.90"
"SO - 000237","Online","WARE-MKL1006","10/4/18","16/6/18","27/6/18","1/7/18","USD",20,50,341,25,5,0.4,"1084.80","1721.90"
"SO - 000238","In-Store","WARE-NMK1003","31/12/17","16/6/18","5/7/18","12/7/18","USD",10,7,195,37,6,0.15,"456.94","737"
"SO - 000239","Online","WARE-XYS1001","10/4/18","16/6/18","7/7/18","15/7/18","USD",19,2,33,40,3,0.05,"695.06","1219.40"
"SO - 000240","In-Store","WARE-PUJ1005","31/12/17","16/6/18","12/7/18","17/7/18","USD",2,18,279,41,8,0.05,"712.88","891.1"
"SO - 000241","In-Store","WARE-NMK1003","10/4/18","16/6/18","14/7/18","18/7/18","USD",7,28,148,9,1,0.15,"743.43","978.2"
"SO - 000242","In-Store","WARE-NMK1003","10/4/18","16/6/18","1/7/18","10/7/18","USD",11,47,170,17,1,0.15,"1657.45","3946.30"
"SO - 000243","In-Store","WARE-NMK1003","10/4/18","16/6/18","5/7/18","6/7/18","USD",3,27,181,38,2,0.4,"922.86","1299.80"
"SO - 000244","Online","WARE-NBV1002","10/4/18","17/6/18","14/7/18","24/7/18","USD",19,21,77,12,4,0.05,"2791.49","5815.60"
"SO - 000245","In-Store","WARE-NMK1003","10/4/18","17/6/18","8/7/18","10/7/18","USD",3,43,122,23,6,0.15,"655.26","1092.10"
"SO - 000246","Distributor","WARE-XYS1001","10/4/18","17/6/18","10/7/18","17/7/18","USD",24,42,36,18,6,0.15,"643.2","1072.00"
"SO - 000247","Online","WARE-UHY1004","10/4/18","17/6/18","8/7/18","9/7/18","USD",17,34,217,16,5,0.05,"2653.20","4020.00"
"SO - 000248","Online","WARE-NBV1002","10/4/18","17/6/18","10/7/18","15/7/18","USD",20,37,63,12,4,0.15,"669.73","984.9"
"SO - 000249","Distributor","WARE-MKL1006","10/4/18","17/6/18","2/7/18","4/7/18","USD",21,50,341,7,7,0.05,"100.23","227.8"
"SO - 000250","In-Store","WARE-XYS1001","31/12/17","17/6/18","23/6/18","26/6/18","USD",3,17,36,35,3,0.15,"3314.36","3993.20"
"SO - 000251","Online","WARE-NMK1003","31/12/17","17/6/18","29/6/18","8/7/18","USD",12,25,163,26,4,0.075,"185.72","221.1"
"SO - 000252","Online","WARE-NMK1003","10/4/18","18/6/18","4/7/18","14/7/18","USD",12,21,101,43,6,0.075,"2819.63","3356.70"
"SO - 000253","In-Store","WARE-PUJ1005","31/12/17","18/6/18","9/7/18","15/7/18","USD",1,35,321,12,1,0.05,"1157.22","1701.80"
"SO - 000254","In-Store","WARE-PUJ1005","10/4/18","18/6/18","8/7/18","9/7/18","USD",3,9,276,8,3,0.15,"2181.19","2566.10"
"SO - 000255","In-Store","WARE-NMK1003","31/12/17","18/6/18","22/6/18","26/6/18","USD",6,22,101,5,4,0.05,"126.03","221.1"
"SO - 000256","In-Store","WARE-UHY1004","10/4/18","18/6/18","30/6/18","5/7/18","USD",5,28,248,4,1,0.1,"980.21","1782.20"
"SO - 000257","Distributor","WARE-NMK1003","31/12/17","18/6/18","15/7/18","16/7/18","USD",24,41,95,35,8,0.05,"801.32","2003.30"
"SO - 000258","Distributor","WARE-XYS1001","31/12/17","18/6/18","9/7/18","16/7/18","USD",20,28,33,5,5,0.075,"1502.68","2385.20"
"SO - 000259","Online","WARE-XYS1001","10/4/18","18/6/18","11/7/18","17/7/18","USD",13,22,12,21,1,0.1,"1784.88","2231.10"
"SO - 000260","In-Store","WARE-NMK1003","10/4/18","18/6/18","2/7/18","7/7/18","USD",10,26,119,35,1,0.05,"412.05","1005.00"
"SO - 000261","Distributor","WARE-PUJ1005","10/4/18","18/6/18","12/7/18","19/7/18","USD",23,12,290,40,7,0.05,"1939.25","2693.40"
"SO - 000262","Online","WARE-NMK1003","10/4/18","18/6/18","10/7/18","11/7/18","USD",17,31,110,36,4,0.075,"652.25","1105.50"
"SO - 000263","Online","WARE-NBV1002","10/4/18","19/6/18","10/7/18","17/7/18","USD",17,25,87,39,1,0.075,"1088.42","1909.50"
"SO - 000264","Distributor","WARE-NMK1003","10/4/18","19/6/18","21/6/18","26/6/18","USD",21,35,177,38,7,0.2,"850.36","1118.90"
"SO - 000265","In-Store","WARE-NMK1003","10/4/18","19/6/18","28/6/18","3/7/18","USD",11,45,94,8,7,0.2,"758.11","1038.50"
"SO - 000266","In-Store","WARE-NMK1003","31/12/17","19/6/18","28/6/18","4/7/18","USD",1,19,126,19,6,0.05,"4300.86","6324.80"
"SO - 000267","In-Store","WARE-XYS1001","31/12/17","19/6/18","27/6/18","1/7/18","USD",3,16,17,9,7,0.2,"502.5","1005.00"
"SO - 000268","In-Store","WARE-NMK1003","10/4/18","19/6/18","14/7/18","17/7/18","USD",3,15,178,2,5,0.075,"659.48","1293.10"
"SO - 000269","In-Store","WARE-NBV1002","10/4/18","19/6/18","16/7/18","26/7/18","USD",1,8,76,36,6,0.4,"540.29","844.2"
"SO - 000270","In-Store","WARE-PUJ1005","10/4/18","19/6/18","7/7/18","14/7/18","USD",6,27,318,1,4,0.05,"195.84","247.9"
"SO - 000271","Distributor","WARE-UHY1004","31/12/17","19/6/18","26/6/18","28/6/18","USD",21,12,217,21,7,0.3,"139.36","174.2"
"SO - 000272","In-Store","WARE-PUJ1005","10/4/18","20/6/18","11/7/18","17/7/18","USD",2,30,278,12,6,0.1,"707.32","1025.10"
"SO - 000273","Distributor","WARE-MKL1006","31/12/17","20/6/18","1/7/18","6/7/18","USD",21,19,341,23,3,0.15,"2301.45","3068.60"
"SO - 000274","Online","WARE-NMK1003","31/12/17","20/6/18","9/7/18","11/7/18","USD",16,44,122,3,2,0.075,"115.78","241.2"
"SO - 000275","In-Store","WARE-NMK1003","10/4/18","20/6/18","12/7/18","17/7/18","USD",11,24,200,47,1,0.2,"139.36","174.2"
"SO - 000276","In-Store","WARE-XYS1001","31/12/17","20/6/18","3/7/18","13/7/18","USD",3,10,30,37,2,0.2,"1804.18","2505.80"
"SO - 000277","Distributor","WARE-UHY1004","31/12/17","20/6/18","17/7/18","20/7/18","USD",25,35,233,31,7,0.15,"1637.75","2599.60"
"SO - 000278","Online","WARE-NMK1003","31/12/17","20/6/18","24/6/18","28/6/18","USD",18,38,151,28,6,0.15,"1503.48","2278.00"
"SO - 000279","Distributor","WARE-MKL1006","10/4/18","21/6/18","13/7/18","21/7/18","USD",24,31,353,25,2,0.075,"589.73","1092.10"
"SO - 000280","Wholesale","WARE-XYS1001","10/4/18","21/6/18","4/7/18","7/7/18","USD",25,40,43,7,5,0.2,"933.98","1139.00"
"SO - 000281","In-Store","WARE-MKL1006","31/12/17","21/6/18","2/7/18","10/7/18","USD",4,9,339,47,2,0.15,"1072.00","1675.00"
"SO - 000282","Wholesale","WARE-UHY1004","10/4/18","21/6/18","29/6/18","2/7/18","USD",26,41,228,26,2,0.05,"687.96","1011.70"
"SO - 000283","Wholesale","WARE-NMK1003","10/4/18","21/6/18","16/7/18","21/7/18","USD",27,11,128,46,7,0.1,"412.72","938"
"SO - 000284","Wholesale","WARE-XYS1001","10/4/18","21/6/18","16/7/18","26/7/18","USD",28,48,55,2,8,0.05,"1052.10","2566.10"
