"customerID","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Churn"
"3976-HXHCE","Male",0,"No","No",72,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",19.3,1414.8,0
"4415-IJZTP","Female",0,"No","No",1,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.5,74.5,1
"6128-CZOMY","Female",0,"No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",45.65,45.65,1
"6821-BUXUX","Female",0,"No","No",13,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",96.65,1244.5,1
"2985-FMWYF","Female",0,"No","No",23,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",93.5,2341.55,0
"4868-AADLV","Male",1,"Yes","Yes",66,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","One year","Yes","Electronic check",116.25,7862.25,0
"6786-OBWQR","Female",0,"Yes","Yes",5,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",80.85,356.1,0
"4584-LBNMK","Male",1,"Yes","No",45,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Credit card (automatic)",24.7,1174.35,0
"9880-TDQAC","Female",0,"Yes","Yes",72,"No","No phone service","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",60,4264,0
"4592-IWTJI","Female",0,"Yes","Yes",3,"No","No phone service","DSL","Yes","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",29.7,91.7,1
"6892-EZDTG","Female",0,"Yes","No",4,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",91.65,365.4,1
"6996-KNSML","Female",0,"No","No",1,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Electronic check",74.9,74.9,1
"8200-LGKSR","Male",0,"Yes","No",71,"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","No","Electronic check",83.2,6126.1,0
"7054-DMVAS","Male",0,"No","No",54,"Yes","No","DSL","Yes","Yes","No","No","Yes","No","Two year","Yes","Bank transfer (automatic)",65.3,3512.9,0
"9254-RBFON","Female",0,"Yes","Yes",17,"Yes","No","Fiber optic","No","No","Yes","Yes","Yes","Yes","One year","No","Bank transfer (automatic)",98.6,1704.95,1
"8885-QSQBX","Female",0,"No","No",1,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",49.55,49.55,0
"5149-CUZUJ","Male",0,"Yes","Yes",28,"Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","No","One year","No","Bank transfer (automatic)",92.9,2768.35,0
"6103-QCKFX","Female",0,"Yes","Yes",44,"Yes","No","DSL","Yes","No","No","Yes","No","No","Month-to-month","No","Bank transfer (automatic)",56.25,2419.55,0
"3640-JQGJG","Male",0,"Yes","Yes",13,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",44.8,559.2,0
"4685-ERGHK","Male",0,"No","No",57,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","One year","Yes","Electronic check",86.9,4939.25,0
"2921-XWDJH","Female",1,"Yes","No",38,"Yes","No","Fiber optic","Yes","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",83.45,3147.15,0
"5387-ASZNZ","Female",1,"No","No",66,"Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","One year","Yes","Credit card (automatic)",63.85,4174.35,0
"1015-OWJKI","Male",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",19.05,19.05,0
"6635-MYYYZ","Female",0,"No","No",30,"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","Yes","One year","No","Bank transfer (automatic)",85.35,2530.4,1
"3508-CFVZL","Female",0,"No","No",71,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Mailed check",111.3,7985.9,0
"6891-JPYFF","Female",0,"Yes","Yes",48,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",105.25,4997.5,0
"0222-CNVPT","Male",1,"No","No",52,"No","No phone service","DSL","Yes","No","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",48.8,2555.05,0
"7033-CLAMM","Female",0,"Yes","Yes",48,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",20.2,1027.25,0
"9122-UMROB","Male",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.3,20.3,0
"1087-UDSIH","Female",0,"No","No",3,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Mailed check",19.6,59.75,1
"1414-YADCW","Male",0,"Yes","No",70,"Yes","No","Fiber optic","Yes","Yes","No","Yes","No","No","Two year","No","Bank transfer (automatic)",84.6,5706.2,0
"7629-WIXZF","Female",0,"No","No",7,"Yes","No","DSL","Yes","No","No","No","No","Yes","One year","Yes","Electronic check",59.1,369.25,0
"3594-UVONA","Female",0,"No","No",35,"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",85.95,3110.1,1
"4381-MHQDC","Female",0,"No","No",47,"Yes","Yes","DSL","Yes","No","Yes","Yes","No","No","Two year","Yes","Mailed check",65,2879.9,0
"6168-WFVVF","Female",1,"No","No",3,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.3,235.5,1
"1247-QBVSH","Female",0,"Yes","Yes",43,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Mailed check",50.2,2169.4,0
"5684-FJVYR","Female",0,"Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","No","No","Two year","Yes","Bank transfer (automatic)",90.35,6563.4,0
"6734-FQAJX","Male",1,"No","No",67,"Yes","No","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","Two year","Yes","Electronic check",105.05,7171.7,0
"4939-KYYPY","Male",0,"No","No",27,"Yes","Yes","DSL","No","No","Yes","Yes","No","No","Month-to-month","No","Electronic check",59.45,1611.65,0
"5242-UOWHD","Male",0,"Yes","Yes",45,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",20.35,929.2,0
"4283-FUTGF","Male",1,"No","No",19,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Electronic check",79.85,1471.75,1
"0650-BWOZN","Female",1,"No","No",18,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",73.55,1359.45,0
"7162-WPHPM","Male",0,"Yes","Yes",58,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","No","Two year","No","Credit card (automatic)",71.6,4230.25,0
"4163-HFTUK","Male",0,"No","No",51,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Electronic check",19.1,1007.8,0
"5729-KLZAR","Female",0,"Yes","Yes",4,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","No","Electronic check",80.85,302.75,1
"4597-NUCQV","Male",1,"No","No",24,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",101.25,2440.15,1
"0080-OROZO","Female",0,"No","No",35,"Yes","No","Fiber optic","No","No","Yes","Yes","Yes","Yes","One year","Yes","Electronic check",99.25,3532,0
"9588-OZDMQ","Female",0,"Yes","No",2,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",45,89.75,0
"3853-LYGAM","Male",0,"No","No",17,"Yes","Yes","Fiber optic","No","No","Yes","Yes","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",95.65,1640,0
"7416-CKTEP","Female",0,"Yes","No",57,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)",19.6,1134.25,0
"5993-JSUWV","Female",0,"No","No",66,"Yes","No","DSL","Yes","Yes","Yes","No","No","No","Two year","Yes","Bank transfer (automatic)",61.15,4017.45,0
"6856-RAURS","Female",0,"No","No",2,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",74.9,136.05,0
"0942-KOWSM","Female",0,"Yes","Yes",30,"Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",80.8,2369.3,0
"5071-FBJFS","Female",0,"Yes","Yes",4,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Electronic check",50.3,217.1,0
"5649-VUKMC","Female",0,"No","No",12,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","One year","No","Mailed check",95.5,1115.15,1
"9418-RUKPH","Female",0,"Yes","Yes",38,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Mailed check",19.95,756.4,0
"4825-XJGDM","Female",0,"No","No",61,"No","No phone service","DSL","Yes","Yes","Yes","Yes","No","No","One year","No","Credit card (automatic)",43.7,2696.55,0
"2479-BRAMR","Male",1,"Yes","No",41,"Yes","Yes","Fiber optic","Yes","No","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",83.75,3273.55,1
"0909-SDHNU","Female",0,"No","Yes",7,"No","No phone service","DSL","Yes","No","No","No","No","No","Month-to-month","No","Mailed check",29.8,201.95,0
"2645-QTLMB","Male",0,"No","No",7,"Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",94.25,669,1
"3398-ZOUAA","Male",1,"Yes","No",21,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.1,1474.75,1
"3745-HRPHI","Male",0,"Yes","Yes",66,"No","No phone service","DSL","No","No","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",54.65,3632,0
"7798-JVXYM","Female",0,"No","No",14,"Yes","No","DSL","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",69.65,921.4,0
"9710-NJERN","Female",0,"No","No",39,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",20.15,826,0
"2907-ILJBN","Female",0,"Yes","Yes",11,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",20.6,233.9,0
"7169-YWAMK","Male",0,"Yes","Yes",72,"Yes","No","DSL","Yes","Yes","No","Yes","Yes","No","Two year","No","Bank transfer (automatic)",68.4,4855.35,0
"3791-LGQCY","Female",1,"Yes","No",56,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",100.65,5688.05,1
"0168-XZKBB","Female",0,"Yes","No",19,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",86.85,1564.4,0
"3654-ARMGP","Female",0,"No","No",61,"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",88.65,5321.25,0
"3705-RHRFR","Female",0,"Yes","No",69,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","Two year","No","Bank transfer (automatic)",99.15,6875.35,0
"1899-VXWXM","Male",0,"No","No",48,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",106.1,5082.8,1
"3635-JBPSG","Female",0,"No","No",15,"No","No phone service","DSL","No","Yes","No","No","No","Yes","Two year","Yes","Mailed check",38.8,603,0
"4588-YBNIB","Female",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Mailed check",19.6,19.6,1
"8605-ITULD","Female",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",19.55,19.55,0
"9504-YAZWB","Female",0,"No","No",53,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",20.25,1048.45,0
"4074-SJFFA","Female",0,"No","No",1,"Yes","No","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Mailed check",54.75,54.75,1
"2254-DLXRI","Female",0,"No","No",1,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",79.15,79.15,0
"7398-HPYZQ","Male",0,"Yes","No",71,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",90.55,6404,0
"1400-WIVLL","Male",0,"Yes","No",57,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Two year","No","Electronic check",107.95,5969.85,0
"7638-QVMVY","Female",0,"No","No",7,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",79,522.95,1
"8017-LXHFA","Female",1,"No","No",23,"Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",94.75,2293.6,1
"5956-YHHRX","Male",1,"No","No",21,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",104.35,2271.85,0
"2391-SOORI","Male",0,"No","Yes",4,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Electronic check",49.35,219.65,1
"6323-AYBRX","Male",0,"No","No",59,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",19.35,1099.6,1
"0691-IFBQW","Female",1,"No","No",46,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","One year","Yes","Electronic check",110,4874.8,1
"9129-UXERG","Female",1,"No","No",18,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",103.6,1806.35,0
"7729-JTEEC","Male",0,"Yes","Yes",2,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",44.5,90.05,0
"1061-PNTHC","Female",0,"Yes","Yes",56,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Mailed check",109.6,5953,0
"3088-FVYWK","Male",0,"Yes","Yes",53,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",25.55,1336.1,0
"6651-AZVTJ","Male",0,"Yes","Yes",49,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.8,4872.45,1
"7065-YUNRY","Female",0,"No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",45.3,45.3,1
"3810-PJUHR","Male",0,"Yes","Yes",70,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",25.35,1715.15,0
"3453-RTHJQ","Male",0,"No","No",6,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.1,435,0
"7941-RCJOW","Male",0,"No","No",65,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Credit card (automatic)",19.55,1218.65,0
"4081-DYXAV","Female",0,"No","No",19,"No","No phone service","DSL","No","No","No","No","Yes","Yes","One year","Yes","Credit card (automatic)",44.85,893.55,1
"9054-FOWNV","Male",0,"Yes","Yes",22,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",88.75,1885.15,0
"0516-UXRMT","Female",0,"No","No",62,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","No","One year","Yes","Electronic check",92.05,5755.8,0
"5499-ECUTN","Female",0,"Yes","No",47,"Yes","No","DSL","Yes","No","Yes","No","Yes","No","One year","Yes","Credit card (automatic)",66.05,3021.45,0
"6131-FOYAS","Male",0,"No","No",35,"Yes","Yes","DSL","Yes","No","Yes","No","No","No","Month-to-month","Yes","Electronic check",59.6,2094.9,0
"9762-YAQAA","Male",0,"No","No",39,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","One year","No","Credit card (automatic)",81.4,3213.75,0
"3269-ATYWD","Male",1,"No","No",39,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",95.65,3759.05,1
"7776-QGYJC","Female",0,"Yes","Yes",39,"Yes","No","Fiber optic","No","No","Yes","Yes","No","No","Month-to-month","Yes","Bank transfer (automatic)",81.5,3107.3,0
"2150-OEGBV","Male",0,"No","No",27,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Bank transfer (automatic)",20.1,562.6,0
"6311-UEUME","Female",0,"No","No",29,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",78.9,2384.15,1
"6340-DACFT","Female",0,"Yes","Yes",50,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",20.55,1070.25,0
"7108-DGVUU","Female",1,"Yes","No",21,"Yes","Yes","DSL","No","Yes","Yes","No","No","Yes","One year","No","Bank transfer (automatic)",71.7,1497.05,0
"3419-SNJJD","Female",1,"Yes","No",65,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","Month-to-month","No","Bank transfer (automatic)",105.25,6786.4,1
"8650-RHRKE","Male",0,"No","No",4,"No","No phone service","DSL","No","No","Yes","No","No","No","Month-to-month","Yes","Electronic check",29.65,118.5,1
"6352-TWCAU","Female",0,"No","No",35,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",86.45,3029.1,1
"4644-OBGFZ","Male",0,"Yes","Yes",55,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",19.5,1026.35,0
"9170-CCKOU","Male",0,"Yes","No",17,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","No","Month-to-month","No","Credit card (automatic)",90.2,1454.15,1
"5175-AOBHI","Female",0,"No","No",4,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",46,193.6,1
"6680-WKXRZ","Female",0,"No","No",3,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",74.4,215.8,1
"0537-QYZZN","Male",1,"Yes","Yes",24,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",79.85,1857.75,0
"2669-OIDSD","Female",0,"Yes","No",48,"Yes","No","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",100.05,4834,0
"7049-GKVZY","Female",0,"No","No",17,"Yes","No","DSL","Yes","Yes","No","Yes","Yes","Yes","One year","No","Credit card (automatic)",79.85,1387.35,0
"3003-CMDUU","Female",0,"Yes","No",25,"Yes","No","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",95.15,2395.7,0
"6810-VCAEX","Female",0,"No","No",47,"No","No phone service","DSL","Yes","Yes","No","Yes","No","No","One year","No","Credit card (automatic)",39.65,1798.65,0
"2758-RNWXS","Male",0,"No","No",35,"Yes","No","Fiber optic","Yes","No","No","Yes","No","Yes","One year","Yes","Electronic check",89.2,3251.3,0
"2931-FSOHN","Male",1,"No","No",13,"Yes","No","DSL","No","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",59.9,788.35,0
"9576-ANLXO","Female",0,"No","No",3,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",69.55,222.3,1
"3071-MVJCD","Male",0,"Yes","Yes",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","No","Two year","No","Bank transfer (automatic)",82.3,5815.15,0
"9537-JALFH","Male",0,"Yes","Yes",69,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",19.9,1356.7,0
"7147-AYBAA","Male",0,"No","No",37,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",70.35,2552.9,0
"5537-UXXVS","Female",0,"Yes","No",20,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Bank transfer (automatic)",19.25,375.25,0
"1113-IUJYX","Female",0,"Yes","No",14,"Yes","No","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","One year","No","Mailed check",105.95,1348.9,1
"9496-IVVRP","Female",0,"Yes","Yes",11,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",51,581.7,0
"2930-UOTMB","Female",0,"No","No",31,"Yes","Yes","DSL","Yes","No","Yes","Yes","No","No","Month-to-month","No","Credit card (automatic)",65.25,1994.3,1
"3705-PSNGL","Male",0,"No","No",45,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Electronic check",20.4,930.45,1
"8024-XNAFQ","Female",1,"No","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","Yes","Two year","Yes","Bank transfer (automatic)",107.4,7748.75,0
"6543-CPZMK","Male",0,"Yes","Yes",9,"No","No phone service","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",29.95,248.95,1
"4931-TRZWN","Female",0,"No","No",13,"Yes","No","DSL","Yes","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",71.95,923.85,0
"9602-WCXPI","Male",0,"No","No",50,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Credit card (automatic)",20.15,989.05,0
"1447-GIQMR","Male",0,"Yes","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.15,69.15,1
"3647-GMGDH","Male",0,"Yes","No",22,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",94.7,1914.9,1
"1373-ORVIZ","Female",0,"Yes","Yes",11,"Yes","Yes","DSL","No","No","No","Yes","No","Yes","Month-to-month","Yes","Electronic check",66.35,740.8,1
"5035-PGZXH","Female",0,"No","No",56,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","One year","Yes","Electronic check",106.8,5914.4,0
"9681-KYGYB","Male",1,"Yes","No",49,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","No","Month-to-month","Yes","Electronic check",88.2,4159.45,0
"2005-DWQZJ","Female",0,"Yes","Yes",8,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",19.05,201.7,0
"4198-VFOEA","Female",0,"No","No",12,"No","No phone service","DSL","Yes","No","No","Yes","No","No","One year","Yes","Mailed check",33.6,435.45,0
"7579-KKLOE","Male",0,"Yes","Yes",71,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Mailed check",91.25,6589.6,0
"5366-IJEQJ","Male",0,"No","No",20,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",88.7,1761.45,1
"1428-IEDPR","Male",0,"No","No",52,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",109.3,5731.4,0
"3594-KADLU","Male",0,"Yes","No",3,"No","No phone service","DSL","Yes","No","No","Yes","No","No","Month-to-month","No","Mailed check",35.1,101.1,0
"9720-JJJOR","Male",0,"Yes","Yes",41,"Yes","No","DSL","Yes","Yes","Yes","No","No","No","One year","Yes","Bank transfer (automatic)",60.3,2511.3,0
"6145-NNPNO","Female",0,"No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",44.15,44.15,0
"3658-KIBGF","Female",0,"No","No",1,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",54.9,54.9,1
"3677-IYRBF","Female",1,"No","No",2,"No","No phone service","DSL","No","No","Yes","No","No","No","Month-to-month","Yes","Electronic check",30.4,78.65,1
"0731-EBJQB","Female",0,"Yes","Yes",52,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Electronic check",20.4,1090.65,0
"0253-ZTEOB","Female",0,"Yes","Yes",48,"Yes","Yes","DSL","No","Yes","No","Yes","Yes","Yes","Two year","No","Electronic check",79.65,3870.3,0
"0928-XUTSN","Female",0,"No","No",13,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",80.5,1011.8,0
