personid,perform1,phonecallraw,logphonecall,experiment_treatment,treatment_post_experiment,balanced
24324,-.5165391,389.34784,5.7746844,.32394367,0,0
24608,-.51535743,339.62686,5.6562772,.25899279,.40287769,1
25056,-.25353235,,,0,.20253165,1
25258,-.45464954,,,0,.028985508,1
25520,-.77051288,316.61267,5.6622658,.1388889,0,1
25532,-.46133703,,,.26277372,.01459854,1
25628,.95644122,,,.27407408,.39259258,1
25638,.041319389,422.17361,6.000948,.2638889,.19444445,1
25700,-.78033537,,,.25874126,.013986014,1
25864,.65618432,500.0965,6.1437907,0,0,0
25940,-.73776484,,,.24475524,.39860141,1
25962,-.34179699,401.58261,5.9460225,.33043477,.24347825,1
26328,-1.0760081,240.90475,5.2932062,.31521741,.021739131,0
26618,-.96199113,,,.14285715,.10204082,0
26634,.24928942,495.13333,6.1756487,0,0,0
26906,-.53674114,,,0,0,0
26934,.78305113,558.98505,6.2537837,.33783785,0,0
27704,.53253454,512.42145,6.1444831,0,0,1
28190,.039416768,475.40579,6.1137261,0,.27972028,1
28224,.06169945,486.87234,6.159956,0,0,1
28226,-1.2645847,,,.25694445,.013888889,1
28470,-.21730691,,,.29807693,.16346154,0
28484,.17814563,462.62964,6.0582204,0,0,0
28492,-.97892606,,,.23134328,.014925373,1
28560,-.36946601,,,0,0,0
29024,-.97356814,,,0,0,0
29032,-.68002659,,,.44578314,.024096385,0
29172,.73159885,509.24475,6.1932621,0,.25874126,1
29216,-.75578463,,,.2638889,.013888889,1
29230,.27856743,484.47058,6.0867877,.25,0,0
29248,-.8142398,,,0,0,0
29808,.13693708,446.63831,5.7972822,.30303031,0,0
29996,-1.1954544,,,0,0,1
30002,-.68627089,,,0,0,0
30006,-1.0235692,,,.22222222,.0069444445,1
30014,.035252362,473.07843,6.1171546,.26573426,.11888112,1
30308,.63834769,,,.31578946,.01754386,1
30448,-.54434037,,,.054545455,0,0
30972,-1.07227,,,.25694445,.25694445,1
31136,.032509912,406.79269,5.953969,0,0,1
31150,.00080688635,425.46268,6.0088744,0,0,0
31230,-1.0657197,,,.270073,.40875912,1
31292,1.113793,556.28674,6.3019905,.26573426,.39860141,1
31796,-.79522359,,,.21014492,.31159419,1
31888,.98512107,563.35419,6.3118052,0,.33333334,1
31936,-.01846689,410.65714,5.9744258,.25,.021428572,1
32320,.22713363,504.26028,6.1881127,0,0,1
32590,-1.1600963,,,0,0,0
32804,-.25378749,414.32144,5.9975767,0,0,0
33128,-.31283247,415.89551,5.9675994,0,.23134328,1
33278,.0070186937,431.10562,6.0382109,0,.31690142,1
33350,-.94632983,309.60001,5.6636477,.24137931,.36206895,1
33354,.36268166,459.22534,6.095181,0,.20422535,1
33366,.13136357,,,0,0,0
34890,-.58517951,356.83929,5.8390365,0,0,0
35006,-.14120477,433.91803,6.0256653,0,0,0
35344,.53267395,471.67032,5.8295321,.35922331,.058252428,0
35408,.29031107,,,0,0,0
35822,-.62010568,352.4935,5.7622023,0,0,0
36032,.13756627,436.35663,6.0544138,.25874126,.32867134,1
36288,-.19946583,365.75885,5.7650108,0,0,1
36306,-.10859546,,,.28358209,.43283582,1
36314,.56792915,509.27908,6.1907663,0,0,0
36494,-.69448829,326.2807,5.740304,.15517241,0,0
36908,.37676772,481.91251,6.1489639,.23239437,0,1
37276,.039456148,455.72726,6.013617,0,0,0
37292,.25498739,498.35416,6.1298361,0,0,1
37294,.21083871,476.5141,6.0649071,.1736111,.3611111,1
37296,-.31274447,,,.41333333,0,0
37784,-.078078561,,,.26950353,.014184397,1
37798,-.43672824,404.19843,5.9327965,0,0,1
37804,-.79695767,,,.44186047,.011627907,0
37812,-.063088015,,,0,0,1
37828,-.40845677,,,0,0,1
37840,-.2622878,,,.39506173,0,0
38018,-.9758963,,,.27611941,.014925373,0
38022,-.23877056,,,.26865673,0,0
38028,1.3653373,,,.32478634,.25641027,1
38036,-.91833323,,,0,0,0
38038,-.2713857,411.89285,5.9874773,.18439716,0,1
38040,.090620056,,,.27868852,.27868852,1
38042,-1.2899903,,,.19148937,0,1
38046,-1.1493766,,,0,.013888889,1
38052,.031803522,,,.11320755,0,0
38070,-1.1367081,,,.26573426,.39860141,1
38074,-.065281793,,,0,0,0
38290,.43632132,463.28986,6.0971026,.15827338,0,1
38552,-.62194538,392.83582,5.899806,0,0,0
38566,.41351494,505.22354,6.1344867,.40425533,.010638298,0
38580,.64191759,510.24368,6.0487199,.248,.23199999,1
38712,.36832601,457.33334,6.0673709,.24264705,.0073529412,1
38842,-.26895851,406.22,5.9685082,0,0,0
38862,-.38016951,383.7738,5.9072804,0,0,0
38878,.48295656,500.90475,6.1762657,.2638889,.39583334,1
38898,.31319585,451.14755,6.0733333,.3114754,.31967214,1
39096,.11284011,474.88507,6.1015539,.43181819,0,0
39144,-.046549223,413.9649,5.376833,0,0,1
39164,-.052424558,420.97037,5.91188,0,.028169014,1
39458,-.58204055,416.81131,5.9043593,0,0,1
39466,-.050422866,433.39706,6.041224,0,.036764707,1
39478,.16645558,460.58182,6.0439992,0,0,0
39490,.41738695,,,0,0,1
39502,-.56728566,,,0,0,0
39512,-.42291373,,,0,0,1
39530,-.87997347,,,.35526314,0,0
39548,.028082186,,,.27536231,.36956522,0
39634,.97431749,504.90372,6.0903068,.23404256,.014184397,1
39748,.042074639,,,0,0,1
39942,-.32720953,366.71796,5.8139873,.36144578,0,0
39990,-.36651739,386.27908,5.8104739,.28244275,.25190839,1
40008,.51505184,542.44,6.2452726,0,0,0
40034,.056400996,448.9516,6.0329108,0,0,0
40062,.20439622,487.94916,6.1294689,.18333334,0,0
40076,-.51346457,,,0,0,0
40162,-.049769372,428.05981,6.0029683,0,0,1
40164,.05893762,,,.25581396,.046511628,0
40174,-.085547395,427.76785,5.9215202,0,0,0
40192,.24658094,455.2561,6.090323,0,0,0
40316,.44801375,465.04285,6.1201854,.24113475,.41134751,1
40320,-1.2101709,,,.26241136,.014184397,1
40322,.098169982,419.81601,5.9510312,0,0,1
40328,.44069195,472.02173,6.0736799,.25899279,.021582734,1
40334,.40135863,,,0,0,0
40336,-.48503336,357.46808,5.6919851,0,0,1
40346,-.60112876,344.91525,5.7555513,0,0,0
40444,.68744719,,,.11764706,0,1
40456,.19296317,502.67188,6.1756191,0,0,1
40472,.47918341,516.87256,6.133266,.14678898,0,0
40490,-.036783613,426.72568,5.9815407,.33043477,.017391304,0
41286,-.11488163,406.6174,5.9701819,.28813559,.084745765,1
41318,-.20265368,,,.25547445,.31386861,1
41320,-.33971283,383.51923,5.9202452,.094339624,0,0
41332,-.52388442,365.98181,5.7500811,0,0,0
41818,-.31634268,,,.065789476,0,0
42096,-.40395424,378.625,5.9066596,0,0,0
42104,-.37152001,371.90323,5.8671641,.22580644,0,0
42108,.47490293,469.69107,6.1299558,.29838711,.32258064,1
42140,.55095071,,,0,0,1
42146,-.015291497,,,0,.20155039,1
42152,.18309255,445.69403,6.0596304,0,0,1
42308,-.1359375,403.8302,5.8876405,.05172414,0,0
42592,.16187017,439.08633,6.0413499,.25714287,.014285714,1
42618,-.98900038,306.02084,5.6517153,.059999999,0,0
42624,.69001848,504.36496,6.181592,.25362319,.41304347,1
42628,-.30445734,395.56558,5.9415946,.24590164,.32786885,1
42632,.055834979,423.87787,5.9621811,0,0,1
42634,-.93109912,330.26086,5.7460966,0,0,0
42682,.4401958,500.90698,6.1419849,0,0,0
43258,-.85251617,340.46393,5.7340074,0,0,0
43264,-.96064615,306.27161,5.6665201,.203125,.09375,1
43270,-1.1078037,,,.31092438,.016806724,1
43278,.048414048,,,.21951219,.22764228,1
43286,.14609532,,,.1007752,.17829457,1
43288,-1.0674855,293.3721,5.3347859,.23913044,0,0
43500,.92344463,,,0,0,1
43524,-.96289051,314.09091,5.7027316,0,0,0
43534,-.41162056,377,5.9082227,.27272728,.30303031,1
43570,-.97244841,320.73627,5.7207255,0,.08791209,0
43926,-.67203331,342.56989,5.790153,.2631579,.28421053,0
44256,-1.1929178,,,0,0,0
44266,-.82872897,320.12396,5.7001534,.27868852,.44262296,1
44282,-.15049104,411.45947,5.9713287,0,0,1
44408,.2349803,452.17459,6.0673122,.30158731,.095238097,1
44782,-.072511591,450.92438,6.088407,.29411766,.48739496,1
44784,-.64045143,336.71249,5.7761993,.44444445,.024691358,0
44794,-.97122204,317.2963,5.5975628,0,0,0
44800,-.60136932,377.86667,5.8073921,0,.19148937,1
45238,.39922449,,,.25438598,.5,1
45254,-.90093946,318.71683,5.7202516,0,.26548672,1
45442,-1.0439748,297.61447,5.637188,0,0,0
