"id","water_bill","barrel","barrel_num","yard_size","home_garden","home_garden_num","attitude_env","temperature"
43,196.76,"Barrel",1,27994,"No home garden",0,5,75.9183050847458
44,184.51,"Barrel",1,15527,"No home garden",0,2,71.7966101694915
45,226.97,"No barrel",0,13715,"No home garden",0,8,86.3206779661017
46,254.77,"No barrel",0,28308,"No home garden",0,2,77.8810169491526
47,239.8,"No barrel",0,26454,"No home garden",0,5,66.4972881355932
48,287.15,"No barrel",0,29906,"No home garden",0,4,93.9752542372881
49,170.2,"No barrel",0,18501,"Home garden",1,9,63.9457627118644
50,174.67,"Barrel",1,26720,"No home garden",0,5,66.6935593220339
51,221.79,"Barrel",1,35343,"Home garden",1,6,67.871186440678
52,207.99,"Barrel",1,12211,"No home garden",0,6,103.2
53,274.21,"No barrel",0,28904,"Home garden",1,7,78.6661016949153
54,214,"No barrel",0,13592,"No home garden",0,6,69.8338983050847
55,139.61,"Barrel",1,12990,"No home garden",0,4,74.9369491525424
56,203.03,"No barrel",0,9363,"No home garden",0,7,74.544406779661
57,208.71,"Barrel",1,27521,"Home garden",1,7,73.1705084745763
58,254,"No barrel",0,24539,"No home garden",0,4,72.9742372881356
59,235.48,"No barrel",0,26410,"No home garden",0,4,67.6749152542373
60,185.66,"No barrel",0,12062,"No home garden",0,6,71.9928813559322
61,196.37,"Barrel",1,32672,"No home garden",0,4,65.5159322033898
62,247.88,"No barrel",0,34827,"Home garden",1,6,87.3020338983051
63,211.09,"Barrel",1,24811,"No home garden",0,3,76.3108474576271
64,147.5,"Barrel",1,13646,"No home garden",0,6,68.0674576271187
65,223.8,"Barrel",1,20140,"No home garden",0,3,84.7505084745763
66,227.88,"No barrel",0,24714,"No home garden",0,4,72.5816949152542
67,201.84,"Barrel",1,11316,"No home garden",0,8,88.4796610169492
68,243.97,"No barrel",0,23572,"No home garden",0,4,77.2922033898305
69,202.1,"Barrel",1,29730,"No home garden",0,5,72.9742372881356
70,145.9,"Barrel",1,12860,"No home garden",0,6,61.1979661016949
71,167.67,"Barrel",1,13761,"No home garden",0,6,92.4050847457627
72,182.36,"Barrel",1,25221,"No home garden",0,4,60.2166101694915
73,234.83,"No barrel",0,31993,"Home garden",1,6,76.5071186440678
74,241.64,"No barrel",0,31952,"No home garden",0,5,73.1705084745763
75,247.06,"No barrel",0,36695,"Home garden",1,5,60.0203389830508
76,179.13,"Barrel",1,16829,"No home garden",0,1,68.0674576271187
77,188.45,"Barrel",1,26067,"Home garden",1,8,73.7593220338983
78,196.54,"Barrel",1,23897,"No home garden",0,7,62.375593220339
79,209.38,"Barrel",1,34248,"Home garden",1,7,71.4040677966102
80,242.18,"No barrel",0,28608,"Home garden",1,7,82.1989830508475
81,140.48,"Barrel",1,4832,"No home garden",0,8,71.7966101694915
82,213.61,"Barrel",1,24637,"Home garden",1,7,72.9742372881356
83,230.77,"No barrel",0,29531,"Home garden",1,6,68.46
84,201.43,"No barrel",0,18565,"No home garden",0,5,69.6376271186441
85,223.31,"No barrel",0,19108,"No home garden",0,1,77.6847457627119
86,267.9,"No barrel",0,30574,"Home garden",1,6,68.6562711864407
87,206.89,"Barrel",1,20286,"No home garden",0,4,89.6572881355932
88,177.22,"Barrel",1,16218,"No home garden",0,4,78.862372881356
89,164.04,"Barrel",1,18107,"No home garden",0,7,63.9457627118644
90,200.85,"No barrel",0,23129,"Home garden",1,8,79.6474576271186
91,211.74,"Barrel",1,17230,"Home garden",1,9,86.7132203389831
92,153.7,"Barrel",1,24724,"Home garden",1,8,59.2352542372881
93,213.76,"No barrel",0,12219,"No home garden",0,2,75.3294915254237
94,185.25,"Barrel",1,27721,"Home garden",1,6,78.4698305084746
95,180.83,"Barrel",1,18977,"No home garden",0,4,82.0027118644068
96,232.74,"Barrel",1,25067,"Home garden",1,7,94.5640677966102
97,215.43,"Barrel",1,27990,"Home garden",1,6,79.8437288135593
98,217.37,"Barrel",1,16333,"No home garden",0,6,94.1715254237288
99,237.21,"No barrel",0,26412,"No home garden",0,6,68.0674576271187
100,195.3,"No barrel",0,6261,"No home garden",0,6,62.7681355932204
101,207.69,"No barrel",0,22827,"No home garden",0,3,67.4786440677966
102,227.11,"Barrel",1,28279,"No home garden",0,4,74.544406779661
103,186.57,"Barrel",1,18408,"No home garden",0,7,75.3294915254237
104,154.95,"Barrel",1,11176,"No home garden",0,6,69.2450847457627
105,161.4,"Barrel",1,10682,"No home garden",0,7,82.7877966101695
106,209.59,"Barrel",1,25144,"No home garden",0,4,85.9281355932203
107,196.25,"Barrel",1,22087,"No home garden",0,6,74.544406779661
108,209.29,"Barrel",1,33313,"Home garden",1,8,67.871186440678
109,197.94,"No barrel",0,26079,"No home garden",0,5,46.0850847457627
110,251.86,"No barrel",0,21691,"No home garden",0,5,73.1705084745763
111,164.68,"Barrel",1,24941,"Home garden",1,10,67.871186440678
112,246.76,"No barrel",0,28018,"Home garden",1,8,85.7318644067797
113,221.33,"Barrel",1,26331,"Home garden",1,8,83.3766101694915
114,251.75,"No barrel",0,32150,"No home garden",0,4,76.3108474576271
115,171.61,"Barrel",1,27143,"No home garden",0,5,71.4040677966102
116,145.34,"Barrel",1,15679,"Home garden",1,9,77.4884745762712
117,204,"Barrel",1,34956,"No home garden",0,3,78.6661016949153
118,163.23,"Barrel",1,23506,"No home garden",0,4,63.9457627118644
119,217.96,"No barrel",0,21556,"No home garden",0,4,60.8054237288136
120,217.18,"No barrel",0,11430,"No home garden",0,2,70.0301694915254
121,210.62,"Barrel",1,19677,"No home garden",0,5,82.1989830508475
122,216.99,"Barrel",1,28299,"No home garden",0,4,76.8996610169492
123,202,"No barrel",0,14878,"No home garden",0,5,78.862372881356
124,224.21,"Barrel",1,19757,"No home garden",0,5,88.2833898305085
125,163.89,"Barrel",1,24519,"No home garden",0,5,66.6935593220339
126,238.1,"Barrel",1,27526,"No home garden",0,6,85.3393220338983
127,181.33,"Barrel",1,22271,"No home garden",0,6,87.8908474576271
128,229.81,"No barrel",0,17550,"No home garden",0,3,81.4138983050848
129,270.49,"No barrel",0,22228,"No home garden",0,3,81.0213559322034
130,207.26,"Barrel",1,18875,"No home garden",0,2,76.7033898305085
131,266.46,"No barrel",0,28731,"No home garden",0,3,85.535593220339
132,173.71,"Barrel",1,19544,"No home garden",0,7,77.8810169491526
133,235.87,"Barrel",1,28653,"No home garden",0,4,87.8908474576271
134,119.5,"Barrel",1,14885,"No home garden",0,7,62.1793220338983
135,158.89,"Barrel",1,27255,"No home garden",0,5,47.0664406779661
136,191.23,"Barrel",1,22252,"No home garden",0,5,72.7779661016949
137,233.08,"Barrel",1,16299,"No home garden",0,3,95.3491525423729
138,275.78,"No barrel",0,28339,"No home garden",0,4,84.3579661016949
139,231.46,"No barrel",0,31862,"Home garden",1,6,69.6376271186441
140,230.23,"Barrel",1,25688,"No home garden",0,5,85.7318644067797
141,177.86,"Barrel",1,23795,"Home garden",1,10,81.2176271186441
142,223.81,"Barrel",1,26763,"No home garden",0,5,94.5640677966102
143,205.84,"No barrel",0,20645,"No home garden",0,6,84.946779661017
144,184.87,"Barrel",1,11961,"No home garden",0,4,73.7593220338983
145,192.3,"No barrel",0,17118,"No home garden",0,8,66.1047457627119
146,211.11,"Barrel",1,28364,"Home garden",1,6,77.6847457627119
147,178.91,"Barrel",1,7939,"No home garden",0,7,83.9654237288136
148,286.43,"No barrel",0,32363,"No home garden",0,2,95.3491525423729
149,198.59,"Barrel",1,20559,"No home garden",0,3,82.3952542372882
150,216.86,"No barrel",0,22450,"No home garden",0,7,76.5071186440678
151,159.37,"Barrel",1,21992,"No home garden",0,4,72.3854237288135
152,234.05,"Barrel",1,27979,"No home garden",0,2,75.9183050847458
153,152.01,"Barrel",1,6885,"No home garden",0,7,77.2922033898305
154,245.65,"No barrel",0,30342,"Home garden",1,7,79.451186440678
155,271.27,"No barrel",0,18034,"No home garden",0,5,93.7789830508475
156,140.48,"Barrel",1,3635,"No home garden",0,4,86.7132203389831
157,149.6,"Barrel",1,13369,"No home garden",0,2,63.3569491525424
158,198.7,"No barrel",0,20765,"No home garden",0,7,68.8525423728814
159,172.47,"Barrel",1,20211,"No home garden",0,5,69.4413559322034
160,153.03,"Barrel",1,6049,"No home garden",0,6,78.0772881355932
161,217.31,"Barrel",1,28028,"No home garden",0,6,84.7505084745763
162,197.46,"Barrel",1,24006,"Home garden",1,8,76.5071186440678
163,238.04,"Barrel",1,22052,"No home garden",0,4,90.4423728813559
164,218.8,"Barrel",1,27177,"No home garden",0,6,88.6759322033898
165,207.38,"No barrel",0,20355,"Home garden",1,8,64.5345762711864
166,184.1,"No barrel",0,9577,"No home garden",0,9,64.3383050847458
167,235.13,"Barrel",1,34602,"No home garden",0,4,95.7416949152542
168,246.59,"No barrel",0,24962,"No home garden",0,5,74.3481355932203
169,113.6,"Barrel",1,7522,"No home garden",0,9,71.0115254237288
170,284.35,"No barrel",0,30832,"No home garden",0,3,89.8535593220339
171,215.45,"Barrel",1,33357,"Home garden",1,8,82.3952542372882
172,235.83,"No barrel",0,28891,"No home garden",0,4,64.7308474576271
173,152.72,"Barrel",1,7664,"No home garden",0,7,70.2264406779661
174,241.28,"No barrel",0,22879,"No home garden",0,1,67.6749152542373
175,236,"No barrel",0,32797,"Home garden",1,9,77.4884745762712
176,167.92,"Barrel",1,6317,"No home garden",0,3,79.0586440677966
177,234.85,"Barrel",1,38750,"No home garden",0,4,74.9369491525424
178,158.23,"Barrel",1,10549,"No home garden",0,6,83.9654237288136
179,187.68,"Barrel",1,16835,"No home garden",0,2,72.9742372881356
180,206.54,"Barrel",1,29641,"No home garden",0,5,52.1694915254237
181,154.67,"No barrel",0,1950,"No home garden",0,7,62.7681355932204
182,231.45,"No barrel",0,21646,"No home garden",0,4,78.6661016949153
183,238.22,"No barrel",0,31386,"No home garden",0,5,58.6464406779661
184,235.17,"No barrel",0,23409,"No home garden",0,5,71.9928813559322
185,247.5,"Barrel",1,36306,"No home garden",0,3,101.826101694915
186,194.42,"Barrel",1,14235,"No home garden",0,8,89.8535593220339
187,231.43,"No barrel",0,19422,"No home garden",0,3,68.8525423728814
188,172.16,"Barrel",1,19659,"No home garden",0,5,80.628813559322
189,277.56,"No barrel",0,24669,"No home garden",0,5,89.2647457627119
190,207.28,"No barrel",0,14662,"No home garden",0,5,79.8437288135593
191,214.15,"Barrel",1,24369,"No home garden",0,4,84.946779661017
192,235.35,"Barrel",1,36826,"Home garden",1,7,89.6572881355932
193,169.86,"No barrel",0,17097,"No home garden",0,6,63.7494915254237
194,199.68,"No barrel",0,14804,"No home garden",0,5,74.7406779661017
195,163.95,"Barrel",1,20895,"No home garden",0,7,65.5159322033898
196,245.3,"No barrel",0,23453,"No home garden",0,4,83.3766101694915
197,233.04,"No barrel",0,15292,"No home garden",0,4,78.4698305084746
198,154.31,"Barrel",1,11943,"No home garden",0,4,65.3196610169492
199,229.06,"No barrel",0,39000,"Home garden",1,4,61.786779661017
200,207.62,"No barrel",0,24622,"Home garden",1,7,68.46
201,146.11,"Barrel",1,12524,"No home garden",0,4,68.2637288135593
202,121.2,"Barrel",1,7235,"No home garden",0,9,69.0488135593221
203,211.83,"No barrel",0,19168,"No home garden",0,6,73.5630508474576
204,199.43,"Barrel",1,28649,"Home garden",1,8,84.946779661017
205,166.22,"Barrel",1,17615,"No home garden",0,3,70.8152542372881
206,198.62,"Barrel",1,24905,"Home garden",1,8,88.4796610169492
207,222.6,"No barrel",0,29426,"Home garden",1,7,79.451186440678
208,235.43,"No barrel",0,22186,"No home garden",0,5,75.5257627118644
209,179.06,"Barrel",1,24699,"Home garden",1,8,80.2362711864407
210,143.27,"Barrel",1,16278,"No home garden",0,8,67.0861016949153
211,241.88,"No barrel",0,30939,"Home garden",1,9,70.8152542372881
212,215.19,"Barrel",1,28699,"No home garden",0,6,75.3294915254237
213,227.09,"No barrel",0,22377,"No home garden",0,5,75.9183050847458
214,228.36,"No barrel",0,25072,"No home garden",0,5,70.6189830508475
215,191,"Barrel",1,17516,"No home garden",0,7,81.6101694915254
216,242.12,"No barrel",0,24901,"Home garden",1,9,87.6945762711865
217,162.93,"No barrel",0,3797,"No home garden",0,7,66.6935593220339
218,147.43,"Barrel",1,12596,"No home garden",0,5,73.3667796610169
219,228.73,"Barrel",1,29474,"Home garden",1,7,84.5542372881356
220,222.53,"No barrel",0,20795,"Home garden",1,8,74.3481355932203
221,255.51,"No barrel",0,21396,"No home garden",0,5,81.2176271186441
222,215,"No barrel",0,11609,"No home garden",0,7,82.9840677966102
223,258.54,"No barrel",0,26493,"No home garden",0,4,89.4610169491525
224,156.36,"Barrel",1,12809,"No home garden",0,7,67.2823728813559
225,162.7,"Barrel",1,13605,"No home garden",0,7,69.8338983050847
226,218.3,"Barrel",1,26145,"No home garden",0,5,77.4884745762712
227,139.86,"Barrel",1,572,"No home garden",0,9,68.8525423728814
228,247.65,"No barrel",0,28862,"No home garden",0,4,70.2264406779661
229,266.93,"No barrel",0,28305,"No home garden",0,4,86.7132203389831
230,170.07,"Barrel",1,22778,"Home garden",1,8,70.4227118644068
231,246.68,"No barrel",0,28042,"No home garden",0,6,86.9094915254237
232,213.98,"Barrel",1,20065,"No home garden",0,3,89.8535593220339
233,184.08,"No barrel",0,8463,"No home garden",0,6,76.5071186440678
234,211.87,"Barrel",1,19207,"No home garden",0,3,94.9566101694915
235,167.48,"Barrel",1,22067,"Home garden",1,8,63.7494915254237
236,170.19,"Barrel",1,12730,"No home garden",0,3,64.3383050847458
237,177.81,"Barrel",1,23102,"No home garden",0,5,61.3942372881356
238,198.47,"Barrel",1,25148,"Home garden",1,7,83.1803389830508
239,254.68,"No barrel",0,29420,"No home garden",0,5,70.8152542372881
240,267.82,"No barrel",0,27732,"No home garden",0,5,76.3108474576271
241,223.48,"Barrel",1,26237,"No home garden",0,4,71.7966101694915
242,184.77,"Barrel",1,16245,"No home garden",0,2,67.2823728813559
243,205.78,"Barrel",1,20156,"No home garden",0,4,88.6759322033898
244,196.29,"Barrel",1,12116,"No home garden",0,3,75.3294915254237
245,177.52,"Barrel",1,27499,"No home garden",0,4,51.9732203389831
246,251.84,"Barrel",1,29061,"No home garden",0,3,84.946779661017
247,173.98,"Barrel",1,16866,"No home garden",0,8,83.5728813559322
248,181.66,"Barrel",1,14483,"No home garden",0,7,78.6661016949153
249,205.85,"No barrel",0,20120,"No home garden",0,7,87.4983050847458
250,164.38,"Barrel",1,17426,"No home garden",0,8,78.4698305084746
251,231.16,"No barrel",0,10322,"No home garden",0,6,97.9006779661017
252,167.63,"Barrel",1,10334,"No home garden",0,6,67.6749152542373
253,249.36,"No barrel",0,31526,"Home garden",1,6,83.3766101694915
254,195.66,"No barrel",0,14850,"No home garden",0,5,72.9742372881356
255,184.56,"Barrel",1,13115,"No home garden",0,3,67.871186440678
256,208.42,"Barrel",1,29775,"No home garden",0,5,78.4698305084746
257,213.56,"No barrel",0,24220,"No home garden",0,5,64.7308474576271
258,233.57,"No barrel",0,17341,"No home garden",0,4,75.9183050847458
259,240.53,"No barrel",0,23242,"No home garden",0,6,63.3569491525424
260,286.79,"No barrel",0,38900,"Home garden",1,7,78.0772881355932
261,171.92,"Barrel",1,12636,"No home garden",0,5,81.0213559322034
262,206.97,"Barrel",1,25900,"Home garden",1,7,84.1616949152542
263,205.2,"Barrel",1,30876,"Home garden",1,6,64.7308474576271
264,244.36,"Barrel",1,38559,"Home garden",1,6,80.4325423728814
265,143.54,"Barrel",1,11182,"No home garden",0,6,71.4040677966102
266,237.98,"No barrel",0,25847,"No home garden",0,4,76.5071186440678
267,259.23,"No barrel",0,16846,"No home garden",0,2,85.1430508474576
268,202.09,"Barrel",1,21089,"No home garden",0,6,79.451186440678
269,151.88,"Barrel",1,11424,"No home garden",0,4,60.0203389830508
270,236.68,"Barrel",1,34542,"No home garden",0,3,75.3294915254237
271,211.02,"No barrel",0,22464,"Home garden",1,7,72.5816949152542
272,211.26,"No barrel",0,11423,"No home garden",0,4,85.1430508474576
273,205.76,"No barrel",0,26701,"No home garden",0,5,66.4972881355932
274,185.18,"Barrel",1,13528,"No home garden",0,2,70.0301694915254
275,202.92,"Barrel",1,30111,"Home garden",1,7,83.3766101694915
276,180.99,"No barrel",0,7301,"No home garden",0,9,61.9830508474576
277,202.46,"Barrel",1,19713,"No home garden",0,2,69.8338983050847
278,220.91,"No barrel",0,15397,"No home garden",0,6,86.9094915254237
279,199.05,"No barrel",0,24008,"Home garden",1,7,50.9918644067797
280,251.89,"Barrel",1,36530,"No home garden",0,3,67.4786440677966
281,242.46,"No barrel",0,22268,"Home garden",1,8,87.3020338983051
282,175.14,"Barrel",1,22842,"No home garden",0,7,82.3952542372882
283,194.89,"No barrel",0,5676,"No home garden",0,3,70.2264406779661
284,207.72,"No barrel",0,19227,"No home garden",0,5,62.964406779661
285,247.36,"No barrel",0,12084,"No home garden",0,5,81.4138983050848
286,221.84,"No barrel",0,20179,"No home garden",0,7,80.2362711864407
287,188.49,"No barrel",0,13680,"No home garden",0,4,71.7966101694915
288,205.89,"Barrel",1,29663,"Home garden",1,7,73.3667796610169
289,200.66,"Barrel",1,9402,"No home garden",0,4,77.8810169491526
290,111.58,"Barrel",1,4957,"No home garden",0,10,80.628813559322
291,161.16,"Barrel",1,5772,"No home garden",0,5,82.7877966101695
292,187.42,"Barrel",1,25044,"Home garden",1,8,70.0301694915254
293,209.99,"No barrel",0,9163,"No home garden",0,5,83.1803389830508
294,191.23,"No barrel",0,11746,"No home garden",0,3,73.1705084745763
295,252.14,"Barrel",1,36012,"No home garden",0,4,85.1430508474576
296,177.33,"No barrel",0,19909,"No home garden",0,7,53.3471186440678
297,167.03,"Barrel",1,13791,"No home garden",0,3,79.451186440678
298,187.81,"No barrel",0,17166,"Home garden",1,8,73.5630508474576
299,198.57,"Barrel",1,32059,"No home garden",0,4,85.7318644067797
300,231.49,"No barrel",0,15538,"No home garden",0,8,83.9654237288136
301,232.52,"No barrel",0,24576,"No home garden",0,6,71.4040677966102
302,208.64,"Barrel",1,36060,"Home garden",1,8,66.6935593220339
303,162.41,"Barrel",1,14428,"No home garden",0,4,66.4972881355932
304,101.26,"Barrel",1,16403,"No home garden",0,6,55.7023728813559
305,194.97,"Barrel",1,15809,"No home garden",0,7,84.1616949152542
306,193.42,"Barrel",1,16009,"No home garden",0,3,84.1616949152542
307,213.12,"No barrel",0,22192,"Home garden",1,10,67.2823728813559
308,266.1,"No barrel",0,32695,"Home garden",1,8,82.0027118644068
309,234.76,"No barrel",0,26563,"Home garden",1,8,83.1803389830508
310,253.2,"No barrel",0,20250,"No home garden",0,4,89.6572881355932
311,210.04,"No barrel",0,19129,"No home garden",0,2,71.4040677966102
312,267.01,"No barrel",0,36691,"Home garden",1,10,79.451186440678
313,145.63,"Barrel",1,19936,"Home garden",1,9,69.8338983050847
314,275.26,"No barrel",0,30956,"No home garden",0,4,90.2461016949153
315,192.9,"No barrel",0,9035,"No home garden",0,5,79.0586440677966
316,207.12,"Barrel",1,25321,"No home garden",0,6,78.862372881356
317,185.11,"Barrel",1,21845,"No home garden",0,7,78.2735593220339
318,142.82,"Barrel",1,18141,"No home garden",0,6,56.4874576271186
319,210.66,"No barrel",0,17294,"Home garden",1,8,61.3942372881356
320,182.06,"Barrel",1,24703,"Home garden",1,10,69.6376271186441
321,206.6,"No barrel",0,26873,"Home garden",1,7,59.0389830508475
322,178.8,"Barrel",1,23680,"Home garden",1,10,80.4325423728814
323,237.5,"Barrel",1,32314,"No home garden",0,4,89.0684745762712
324,252.24,"No barrel",0,26245,"No home garden",0,6,74.7406779661017
325,204.38,"No barrel",0,21201,"No home garden",0,6,74.7406779661017
326,227.1,"Barrel",1,31968,"No home garden",0,2,75.3294915254237
327,249.2,"No barrel",0,21966,"No home garden",0,6,92.0125423728814
328,238.55,"No barrel",0,21619,"No home garden",0,3,83.1803389830508
329,262.91,"No barrel",0,29348,"No home garden",0,5,86.3206779661017
330,228.45,"No barrel",0,17334,"No home garden",0,6,82.3952542372882
331,221.84,"No barrel",0,22451,"Home garden",1,8,71.6003389830509
332,177.4,"Barrel",1,23481,"Home garden",1,8,71.2077966101695
333,189.1,"Barrel",1,11152,"No home garden",0,6,93.9752542372881
334,189.52,"Barrel",1,13522,"No home garden",0,2,81.8064406779661
335,275.7,"No barrel",0,18675,"No home garden",0,2,77.6847457627119
336,218.46,"No barrel",0,29744,"Home garden",1,6,70.8152542372881
337,188.22,"Barrel",1,29141,"Home garden",1,9,81.0213559322034
338,151.03,"Barrel",1,18130,"No home garden",0,6,59.8240677966102
339,200.19,"No barrel",0,9674,"No home garden",0,7,65.3196610169492
340,170.18,"Barrel",1,2995,"No home garden",0,7,74.9369491525424
341,170.78,"Barrel",1,17610,"No home garden",0,4,71.2077966101695
342,145.01,"Barrel",1,5752,"No home garden",0,5,70.2264406779661
343,157.96,"Barrel",1,18593,"No home garden",0,5,70.4227118644068
344,255.89,"Barrel",1,31806,"No home garden",0,4,91.031186440678
345,150.54,"Barrel",1,4582,"No home garden",0,7,71.2077966101695
346,253.99,"Barrel",1,27107,"Home garden",1,7,92.208813559322
347,212.76,"Barrel",1,20361,"No home garden",0,6,85.535593220339
348,167.34,"Barrel",1,11789,"No home garden",0,7,85.3393220338983
349,239.61,"No barrel",0,22098,"No home garden",0,4,71.6003389830509
350,162.49,"Barrel",1,9797,"No home garden",0,3,56.0949152542373
351,241.19,"Barrel",1,28685,"Home garden",1,7,93.1901694915254
352,221.59,"Barrel",1,23137,"No home garden",0,2,78.862372881356
353,186.52,"Barrel",1,17442,"No home garden",0,5,89.2647457627119
354,138.14,"Barrel",1,2082,"No home garden",0,6,81.0213559322034
355,163.98,"Barrel",1,1886,"No home garden",0,6,82.5915254237288
356,192.42,"Barrel",1,19408,"No home garden",0,3,71.9928813559322
357,204.77,"Barrel",1,15740,"No home garden",0,2,67.4786440677966
358,139.69,"Barrel",1,10330,"No home garden",0,8,72.9742372881356
359,243.61,"No barrel",0,23610,"Home garden",1,8,82.3952542372882
360,150.08,"Barrel",1,10932,"No home garden",0,5,69.8338983050847
361,210.29,"No barrel",0,11705,"No home garden",0,4,71.0115254237288
362,279.24,"No barrel",0,36420,"Home garden",1,7,70.0301694915254
363,282.31,"No barrel",0,37060,"Home garden",1,8,89.6572881355932
364,234.9,"No barrel",0,20577,"No home garden",0,3,84.946779661017
365,194.45,"No barrel",0,13606,"No home garden",0,6,75.7220338983051
366,186.22,"Barrel",1,24182,"No home garden",0,7,66.1047457627119
367,164.49,"Barrel",1,8218,"No home garden",0,3,70.2264406779661
368,235.68,"No barrel",0,28461,"Home garden",1,6,76.7033898305085
369,150.77,"Barrel",1,11640,"No home garden",0,4,78.4698305084746
370,151.53,"Barrel",1,6801,"No home garden",0,5,65.3196610169492
371,186.93,"Barrel",1,19448,"No home garden",0,5,64.5345762711864
372,178.4,"Barrel",1,20970,"No home garden",0,6,66.4972881355932
373,193.37,"Barrel",1,21163,"No home garden",0,1,74.1518644067797
374,175.72,"Barrel",1,17070,"No home garden",0,3,69.2450847457627
375,141.2,"Barrel",1,30536,"Home garden",1,10,53.1508474576271
376,191.69,"No barrel",0,982,"No home garden",0,7,81.6101694915254
377,249,"No barrel",0,19660,"No home garden",0,3,76.3108474576271
378,184.1,"Barrel",1,22161,"Home garden",1,9,97.9006779661017
379,264.43,"No barrel",0,31622,"No home garden",0,4,66.3010169491525
380,225.46,"No barrel",0,8157,"No home garden",0,7,77.8810169491526
381,178.21,"Barrel",1,13119,"No home garden",0,5,82.0027118644068
382,198.78,"Barrel",1,24252,"No home garden",0,5,82.1989830508475
383,225.73,"No barrel",0,17648,"No home garden",0,5,86.5169491525424
384,149.1,"Barrel",1,3478,"No home garden",0,4,59.6277966101695
385,209.95,"Barrel",1,27011,"No home garden",0,4,75.5257627118644
386,180.57,"Barrel",1,16246,"No home garden",0,3,68.8525423728814
387,187.03,"Barrel",1,13220,"No home garden",0,3,78.6661016949153
388,213.72,"No barrel",0,29814,"Home garden",1,10,73.5630508474576
389,206.81,"Barrel",1,32031,"Home garden",1,7,80.2362711864407
390,227.54,"No barrel",0,19079,"No home garden",0,3,62.964406779661
391,238.06,"Barrel",1,31389,"No home garden",0,3,89.4610169491525
392,205,"Barrel",1,16959,"No home garden",0,3,84.946779661017
393,216.6,"Barrel",1,34034,"Home garden",1,9,78.2735593220339
394,189.05,"No barrel",0,14242,"No home garden",0,7,67.0861016949153
395,226.08,"No barrel",0,7896,"No home garden",0,4,85.9281355932203
396,170.96,"No barrel",0,15567,"No home garden",0,8,57.468813559322
397,215.55,"No barrel",0,11384,"No home garden",0,5,81.0213559322034
398,241.28,"No barrel",0,12423,"No home garden",0,2,70.8152542372881
399,127.85,"Barrel",1,11376,"No home garden",0,6,69.6376271186441
