"date","m_holiday","m_workingday","m_temp","m_atemp","m_humidity","m_windspeed","m_season","m_weather","total_casual","total_registered","total_count"
2011-02-03,0,1,4.17010729070366,7.07430279988097,44.1667008752866,22.574037977249,"1","1",490,2494,2984
2011-02-04,0,1,6.00248886778206,9.21315327319707,59.1805631188579,11.6578671880337,"1","2",577,2611,3188
2011-02-05,0,0,6.9900945086274,9.86991779180335,93.6746396893407,13.1392645827809,"1","3",589,1875,2464
2011-02-06,0,0,8.86792753123026,12.0368907948936,56.5903013097368,13.0046438012505,"1","1",829,2327,3156
2011-02-07,0,1,8.30929259604027,12.5727330984315,73.8422218880169,6.67100030138569,"1","1",602,2648,3250
2011-02-08,0,1,5.59912410373228,7.61299160755179,52.8513753851307,25.3416897803813,"1","1",528,2491,3019
2011-02-09,0,1,3.10512318850109,5.16559129834879,49.409950382486,16.9234350986953,"1","1",524,2530,3054
2011-02-10,0,1,2.39665969886229,5.50089608017438,44.6091406342358,19.9293046881093,"1","1",479,2472,2951
2011-02-11,0,1,4.94410995089794,8.40374380595617,50.0839961480655,10.8982812231435,"1","1",603,2540,3143
2011-02-12,0,0,6.16838840002693,9.48963263403967,54.9385583476997,17.2764740825008,"1","1",789,2231,3020
2011-02-13,0,0,10.4767081416342,13.4451301779913,45.8804797087845,19.0655301726773,"1","1",898,2204,3102
2011-02-14,0,1,13.8254929812437,16.8809751645191,37.5460262669857,32.1459808321347,"1","1",715,2790,3505
2011-02-15,0,1,8.68291038950164,10.3617156275436,30.9057184854504,22.2068319180773,"1","1",593,2657,3250
2011-02-16,0,1,10.3541335872828,12.820462745173,43.4151200484774,19.0528796182675,"1","1",686,2948,3634
2011-02-17,0,1,14.6712129599619,18.5649100928241,51.3135993005495,17.0258399785078,"1","1",769,3280,4049
2011-02-18,0,1,19.5872744313124,21.7211648564468,51.3362347787904,21.3360946740244,"1","1",1115,3452,4567
2011-02-19,0,0,14.1451358670473,16.5796371280602,18.2078432412785,36.4199829795221,"1","1",1058,2111,3169
2011-03-01,0,1,7.93253718758274,10.7211644459111,53.3082236799844,16.4792378661353,"1","1",635,2761,3396
2011-03-02,0,1,10.6294632787435,13.15430224344,44.8241825601767,23.6172591236841,"1","1",718,2959,3677
2011-03-03,0,1,4.52603463347529,7.70488635203999,31.7207580924226,17.9859468869165,"1","1",664,2619,3283
2011-03-04,0,1,7.58726269007174,10.5239717070433,61.3542069530989,15.7391155749348,"1","2",688,2779,3467
2011-03-05,0,0,12.7806635911034,15.8830179405804,79.1772036269918,20.4111606948118,"1","2",1126,2477,3603
2011-03-06,0,0,12.5463980818384,14.9717403050598,94.794860124691,26.246343118377,"1","2",576,1437,2013
2011-03-07,0,1,7.8445671451494,9.71377278464311,54.9997271257707,26.1479362382821,"1","1",732,2661,3393
2011-03-08,0,1,8.97364850858901,12.8514119981927,42.6062776897057,13.6429590028995,"1","1",815,2885,3700
2011-03-09,0,1,9.5650895384928,11.9000625624518,77.0767394000316,18.7765894790982,"1","2",708,2739,3447
2011-03-10,0,1,12.3853570485029,16.0032441405305,1.31365761952515,20.3896092728855,"1","3",505,1474,1979
2011-03-11,0,1,9.69876606482492,12.4005333668622,65.1218549542539,18.4663190883001,"1","1",744,2720,3464
2011-03-12,0,0,10.1032750834055,13.392825703695,59.7229243828265,16.0988646618619,"1","1",1227,2407,3634
2011-03-13,0,0,13.1129146841795,16.0812274266003,51.366036799665,22.4187519665795,"1","1",1517,2423,3940
2011-03-14,0,1,10.424551610304,13.5898373428639,49.3776406777092,11.7549848376487,"1","1",860,2682,3542
2011-03-15,0,1,9.98156389848747,13.1091552677701,65.2486163707487,15.0689500679309,"1","2",784,2765,3549
2011-03-16,0,1,11.8500263468533,15.3293686948096,77.9897045252607,15.2949999822427,"1","2",809,2894,3703
2011-03-17,0,1,14.1623148266071,17.1444564033945,60.457792663206,17.4580236574096,"1","1",936,3383,4319
2011-03-18,0,1,19.2241479670514,22.57886134351,52.750391369027,17.5540662228378,"1","1",1378,3382,4760
2011-03-19,0,0,16.3959773521817,20.3174076919454,38.063988108996,27.5087398604621,"1","1",1968,2708,4676
2011-04-01,0,1,12.5196968650166,11.8871981669251,69.19200763369,19.7918799048209,"2","1",777,2972,3749
2011-04-02,0,0,14.3711342297756,12.9258905011292,66.203032285008,15.7942251024392,"2","1",1371,2396,3767
2011-04-03,0,0,16.699130703331,16.1122362976667,48.4397699941793,16.2064147498496,"2","1",2225,2630,4855
2011-04-04,0,1,24.4127730530598,23.53788767642,43.2945000687846,29.7205788420556,"2","1",1231,3461,4692
2011-04-05,0,1,17.896074450499,16.7053318571046,64.8243659773855,28.1980469999076,"2","1",654,2678,3332
2011-04-06,0,1,16.9450728743584,16.1030839196727,47.1645368847674,20.1924753763153,"2","1",886,3441,4327
2011-04-07,0,1,18.5640653546251,18.9836020990212,59.978333250396,13.8928148337691,"2","1",1079,3678,4757
2011-04-08,0,1,14.9540315989181,13.6141277120629,84.4161568983776,16.1161029691817,"2","2",642,2325,2967
2011-04-09,0,0,15.17306809134,14.0521533682675,87.1618710768748,12.1337036580672,"2","2",1404,2600,4004
2011-04-10,0,0,18.0560885041487,18.1898559431069,85.0943282206759,13.6973169173852,"2","2",1758,2747,4505
2011-04-11,0,1,25.8571046123822,24.4481766759345,71.3691879401004,24.6551189324399,"2","1",1322,3539,4861
2011-04-12,0,1,21.5855871416654,21.1776852549763,73.3212983173706,22.7451182586969,"2","2",750,2821,3571
2011-04-13,0,1,17.7828512871012,18.0631564363528,82.1815770475516,20.0311006067304,"2","2",694,3027,3721
2011-04-14,0,1,19.1843315770031,19.5780757566071,53.7674124670024,10.8000906782017,"2","1",1030,3818,4848
2011-04-15,1,0,19.1739938442981,18.7522937834391,66.5602248267671,18.6060632777347,"2","1",1166,3548,4714
2011-04-16,0,0,18.4421486978735,18.374384931005,88.7347650063482,26.1643836835638,"2","2",610,1683,2293
2011-04-17,0,0,20.1418301174343,19.0461054713808,47.8936493224886,22.7772231811639,"2","1",2110,3263,5373
2011-04-18,0,1,22.5764406720142,21.6991620970148,53.3293081408609,12.3811984260143,"2","1",1185,3838,5023
2011-04-19,0,1,21.4804048835268,20.6574438611079,66.6661186046265,13.274015689923,"2","2",916,3896,4812
2011-05-01,0,0,20.0966158795573,19.1628828136566,76.9527161257359,10.2074953694309,"2","2",1673,3294,4967
2011-05-02,0,1,23.1930343613904,22.8294046439697,72.4203476404942,15.5526372475719,"2","2",1400,4693,6093
2011-05-03,0,1,26.0331644798608,24.8081378703701,70.0626382987625,26.2882862977991,"2","2",1125,5015,6140
2011-05-04,0,1,18.0462668230224,17.3118798435813,74.1224164635762,25.7959209087006,"2","1",728,3482,4210
2011-05-05,0,1,19.7324603089052,18.8582176064919,44.9228539651862,23.0801659151761,"2","1",1084,4943,6027
2011-05-06,0,1,21.0391709036873,20.3445282403331,59.7896966281537,18.221297585658,"2","1",1374,4823,6197
2011-05-07,0,0,21.8854456888893,21.9959839515508,53.5504156621147,13.6345156299648,"2","1",2159,4234,6393
2011-05-08,0,0,22.023954539264,22.3351104335807,64.2561789283692,9.18510303525949,"2","1",1974,4050,6024
2011-05-09,0,1,22.0983062405623,22.6289308055445,59.2323054074658,15.6015724641955,"2","1",1152,4861,6013
2011-05-10,0,1,22.7307722138576,22.6422934048648,48.6295072015646,9.55088814253685,"2","1",1157,5281,6438
2011-05-11,0,1,24.1893346261887,22.6832119319971,62.9219878813813,10.853762101786,"2","1",1066,4782,5848
2011-05-12,0,1,23.2676708841394,22.4809455179065,73.4918628491042,14.9861942481982,"2","1",1198,5359,6557
2011-05-13,0,1,22.0022110261134,21.4785951685772,86.9087379836202,16.1504001943425,"2","2",1174,4555,5729
2011-05-14,0,0,22.2108342517051,21.7639274500284,92.3010626932324,11.7100817402983,"2","2",1424,3611,5035
2011-05-15,0,0,24.2082047562516,22.9967897105929,87.6858120419926,12.3549547731644,"2","1",2147,4084,6231
2011-05-16,0,1,24.3430334204962,23.7653041682087,77.8230122668283,11.9948644084356,"2","1",1298,4338,5636
2011-05-17,0,1,23.9879931735621,23.1703040557478,84.2774486254719,22.9166893050813,"2","2",1185,4574,5759
2011-05-18,0,1,23.4900641828436,22.8713316065941,86.1747478196082,16.485485641451,"2","1",1037,4461,5498
2011-05-19,0,1,22.9923177492239,21.7714351391972,82.2547941985455,10.1728642500688,"2","1",1242,5020,6262
2011-06-01,0,1,32.0187878174811,31.4394654560517,66.5831075196601,17.3774660407436,"2","1",1076,4594,5670
2011-06-02,0,1,30.6624310332154,27.8914078917911,29.6208516546771,24.6064813505088,"2","1",1235,5404,6639
2011-06-03,0,1,26.5140416311466,25.3253856390056,35.4310747953477,19.5056872910833,"2","1",1431,5575,7006
2011-06-04,0,0,27.4709240539056,25.4013480868461,45.5614633390835,11.7854368734005,"2","1",2458,4576,7034
2011-06-05,0,0,27.9707664212082,26.5118724458135,64.9832513812544,10.7905338833574,"2","1",2256,4345,6601
2011-06-06,0,1,29.5191751288251,26.7645694402308,60.4705929087551,11.9604736591748,"2","1",1202,5003,6205
2011-06-07,0,1,30.4197898068889,28.3366919309876,59.7869343845041,15.0876482022037,"2","1",1289,5220,6509
2011-06-08,0,1,32.2573172630963,31.4106214526473,62.191815649499,11.0185778489746,"2","1",1189,4872,6061
2011-06-09,0,1,34.0769957062926,32.6107302216632,57.1002460617156,14.0139908235456,"2","2",1086,4495,5581
2011-06-10,0,1,31.7341729368641,30.755109515801,60.0509847884843,11.877226087147,"2","1",1325,4922,6247
2011-06-11,0,0,31.0022379338172,29.5087206670253,65.6767092307776,14.7116513630209,"2","1",2318,4410,6728
2011-06-12,0,0,29.5959007906026,27.8282334722328,74.1135688881403,14.6666902217005,"2","1",2014,4095,6109
2011-06-13,0,1,26.5774981166887,26.2166282645954,49.3753894852202,23.3120076241034,"2","1",1455,5317,6772
2011-06-14,0,1,25.1834316403515,25.9188906135105,50.9924841391921,21.3312170732351,"2","1",1232,5339,6571
2011-06-15,0,1,26.7747903655251,25.4490403296882,46.2568478491891,14.0022801927719,"2","1",1291,5569,6860
2011-06-16,0,1,27.0337320996309,25.558654546275,68.708709572067,17.864035928434,"2","2",1025,4342,5367
2011-06-17,0,1,27.8052765537763,26.1250856102328,73.6218474978045,12.3551162348798,"2","1",1397,5133,6530
2011-06-18,0,0,29.6359951374026,28.0505549082859,66.2282280192861,9.60965232560791,"2","1",2353,4430,6783
2011-06-19,0,0,29.5143270563895,28.1118745215061,66.6264107330056,10.0783829551643,"2","2",2187,4222,6409
2011-07-01,0,1,33.6628477564132,28.2304291270234,39.6150969382828,9.71376813764708,"3","1",1829,5318,7147
2011-07-02,0,0,34.2816603226602,28.6112117371237,44.7090902387293,11.1563088713157,"3","1",2777,4026,6803
2011-07-03,0,0,32.9555595289494,29.0527382998612,68.181483064145,18.698135935963,"3","1",2879,3440,6319
2011-07-04,1,0,33.6488856750435,28.7619035074587,63.6379564720769,8.93616215313396,"3","1",3698,4086,7784
2011-07-05,0,1,34.8709452748767,30.3093121640351,58.5017933038386,10.5956571045605,"3","1",1537,4752,6289
2011-07-06,0,1,33.8741292811799,29.717237809706,72.6545167941719,13.6182062720504,"3","1",1309,5011,6320
2011-07-07,0,1,34.8422375079827,29.8536098198768,64.7188442445119,13.7304111053494,"3","1",1250,4984,6234
2011-07-08,0,1,33.3417335586024,29.0320014987845,75.6294655721127,18.7326761283924,"3","2",1196,4473,5669
2011-07-09,0,0,34.143395121948,29.0793092763541,62.0200163560467,13.9768039483166,"3","1",2532,4511,7043
2011-07-10,0,0,34.8083148616993,30.3445207267521,58.5801504682977,16.0482468541246,"3","1",2341,4280,6621
2011-07-11,0,1,35.3140072439387,31.7989278378914,63.4559460521127,21.8440890530622,"3","1",1208,4512,5720
2011-07-12,0,1,36.1855711837187,32.4332340756579,55.3757835497528,14.6752061340228,"3","1",1194,4714,5908
2011-07-13,0,1,34.9338078668185,29.977856476403,62.0673530890911,12.079135037825,"3","1",1289,4718,6007
2011-07-14,0,1,32.1599240587963,27.8256384895382,47.9629921968615,17.9733634135316,"3","1",1426,5386,6812
2011-07-15,0,1,31.3738276038396,27.1334955089704,59.5873027487982,14.6411390929793,"3","1",1879,5364,7243
2011-07-16,0,0,32.5129245604022,27.5547476726398,58.9531860746788,17.6801759011512,"3","1",3035,4645,7680
2011-07-17,0,0,33.3344999188074,29.2954704711241,60.0573884995196,18.3332212098181,"3","1",2604,4426,7030
2011-07-18,0,1,35.1557496184869,30.4981969736827,64.9061639587019,17.3871617621943,"3","1",1350,4759,6109
2011-07-19,0,1,36.5773338205518,32.661285721847,64.9810702450281,13.1101914934303,"3","1",1259,4925,6184
2011-08-01,0,1,35.8499775010751,30.748323588856,55.4098485622669,12.8392397901869,"3","1",1227,4649,5876
2011-08-02,0,1,37.1085116702185,30.7095010657156,49.7203841020353,16.5538165319725,"3","1",1313,5212,6525
2011-08-03,0,1,34.3789515667178,29.7124026426132,65.1426315832745,13.8738259721187,"3","2",962,4223,5185
2011-08-04,0,1,32.7074587049204,28.8597074576627,75.7210900300174,17.6360463399945,"3","2",1325,4949,6274
2011-08-05,0,1,32.7383323241446,28.8644435124154,63.2845297849123,16.5547394457913,"3","1",1560,5003,6563
2011-08-06,0,0,32.9845314554399,29.5733471145788,75.9392083774864,17.0288822307106,"3","1",2085,3882,5967
2011-08-07,0,0,34.4118435684819,31.3479079377441,74.1090277008437,15.7437496348384,"3","1",1860,3589,5449
2011-08-08,0,1,35.1508499175788,30.5659010921081,57.7834701585506,15.9529435904008,"3","1",1355,4594,5949
2011-08-09,0,1,35.7305694172911,31.5582311708539,57.1551937844416,14.0758212761577,"3","1",1437,4853,6290
2011-08-10,0,1,35.6318763570765,29.8827662762578,42.6196093586061,17.0284434583974,"3","1",1407,5047,6454
2011-08-11,0,1,33.7183404643423,28.3655716212054,44.0788266664715,14.6879553547432,"3","1",1378,5183,6561
2011-08-12,0,1,32.563186626455,28.6059474972834,42.2672169290257,10.411311352675,"3","1",1595,5041,6636
2011-08-13,0,0,32.1291287983615,27.8583902713093,73.3206797731729,18.7735354295476,"3","2",2044,3694,5738
2011-08-14,0,0,32.1391855366004,26.7855840781123,82.7285831230312,18.1544119456491,"3","1",1867,3595,5462
2011-08-15,0,1,31.1225840147051,26.9564897306359,71.7729287559999,16.4613391035478,"3","1",1298,4684,5982
2011-08-16,0,1,32.9666142738672,27.6789391522091,57.8270270298345,18.2777285186536,"3","1",1207,5168,6375
2011-08-17,0,1,34.0326145092352,29.3097082447581,58.8257221542019,12.5312783859447,"3","1",1186,5186,6372
2011-08-18,0,1,33.2462700875119,28.9245303129749,65.443407765863,18.4716830986473,"3","1",1159,4269,5428
2011-08-19,0,1,31.5522541465486,27.6278771155334,72.7938266388004,11.351856113329,"3","1",1343,4490,5833
2011-09-01,0,1,31.0091558910612,26.5744567044652,64.2028671898413,13.9837871564327,"3","1",1307,5493,6800
2011-09-02,0,1,31.3329506999898,25.8591123967667,72.0762195663298,12.2415463647684,"3","2",1394,5002,6396
2011-09-03,0,0,31.2119231864079,27.5309218506135,71.9463516692271,16.2865814260138,"3","1",2530,3627,6157
2011-09-04,0,0,32.6930323896971,28.8146708590363,74.2972143782217,16.7556467900963,"3","1",3152,3478,6630
2011-09-05,1,0,31.4525754869242,26.8745692762879,80.0647916313008,17.4046614849339,"3","2",1781,3213,4994
2011-09-06,0,1,26.1221954631943,22.3343289111951,89.4642816163814,26.1694764778457,"3","3",707,3561,4268
2011-09-07,0,1,28.2372023737251,23.4212086509907,91.8865613983803,10.0793032473309,"3","3",639,2927,3566
2011-09-08,0,1,30.2269464138143,24.0923486994855,93.7846759775429,15.9315843023241,"3","3",653,2686,3339
2011-09-09,0,1,29.8276509020695,24.8800849031993,91.0077698838795,10.7394622409495,"3","1",913,4216,5129
2011-09-10,0,0,30.8214489364516,25.9752883072298,75.3009451796393,13.1752960140315,"3","1",2275,4731,7006
2011-09-11,0,0,30.479262174315,26.1928403892203,71.1204837038359,11.9166013457184,"3","1",2186,4517,6703
2011-09-12,0,1,29.559273840239,26.0072998226544,71.0433607823919,8.72197874058964,"3","1",1199,5145,6344
2011-09-13,0,1,30.413129932678,26.0642329831534,70.2557916633343,11.3449568575468,"3","1",1213,5201,6414
2011-09-14,0,1,32.4041541025034,27.5724593788514,69.6989343847968,14.0940355013438,"3","1",1154,5311,6465
2011-09-15,0,1,27.1318790376293,23.7704763348578,70.4416064776052,20.675245926632,"3","1",915,4370,5285
2011-09-16,0,1,23.0224015781,19.4977750525556,59.3582270316803,14.5320060412148,"3","1",1257,5211,6468
2011-09-17,0,0,23.4631961865706,20.3865276789196,72.4205598182154,17.5166398828479,"3","1",1970,4204,6174
2011-09-18,0,0,25.0210868455127,21.1929234157949,69.8971354695943,15.568201907587,"3","1",1894,4014,5908
2011-09-19,0,1,26.4381539908953,22.8568547980939,68.098680248576,14.1697360331485,"3","2",1226,4956,6182
2011-10-01,0,0,15.6918494236972,17.5333280516636,74.8696650643697,23.2086431109485,"4","2",1007,2996,4003
2011-10-02,0,0,13.2766177704761,14.4990340279488,79.3838023142571,16.4102859373614,"4","3",1160,3387,4547
2011-10-03,0,1,15.217877169388,16.6024962164548,75.7554578022116,9.11041370621428,"4","2",827,4367,5194
2011-10-04,0,1,18.9006908864658,19.9947067022955,70.2046098344992,15.1783863333543,"4","1",1010,5107,6117
2011-10-05,0,1,21.4438603824032,22.6525435272526,63.615807587122,15.7749005036457,"4","1",1048,5457,6505
2011-10-06,0,1,19.4124060935462,20.3449896661148,61.3154003394522,13.0747179991062,"4","1",1181,5284,6465
2011-10-07,0,1,20.4100552440859,21.8454447588359,68.50720633981,4.4400300303301,"4","1",1441,5221,6662
2011-10-08,0,0,20.3218035924737,22.1633950834637,69.9054845800142,5.49941856481992,"4","1",2819,4289,7108
2011-10-09,0,0,21.1510560961335,22.9414678905485,71.1262298518469,6.41551810404798,"4","1",3009,4183,7192
2011-10-10,1,0,22.4716841234099,23.2781911815891,73.0353239149814,6.43865223966969,"4","1",2056,4765,6821
2011-10-11,0,1,22.3640857545129,23.4629674121704,80.8704756675593,13.3074911990711,"4","2",1167,5023,6190
2011-10-12,0,1,21.463324325233,22.3738027673838,89.8896906872796,20.7637662981653,"4","3",696,3285,3981
2011-10-13,0,1,23.6662089254343,23.86878386457,88.9210578562478,11.9408605818146,"4","2",735,3719,4454
2011-10-14,0,1,21.6202259664673,22.9977989849125,72.1571050606703,17.5739670055896,"4","1",1059,4236,5295
2011-10-15,0,0,20.0715376641668,21.6067958063663,48.8785306907788,21.9634002330775,"4","1",2476,4424,6900
2011-10-16,0,0,19.7322295912209,21.24345776975,47.3373965390173,22.6292787820434,"4","1",2293,4452,6745
2011-10-17,0,1,21.0835176214677,22.0835599582136,58.4514278998679,14.1803348179757,"4","1",1256,5017,6273
2011-10-18,0,1,21.5332614634002,22.7327530591505,68.9792317510231,12.2324811781397,"4","1",1187,5282,6469
2011-10-19,0,1,20.5153100285678,22.2173619515852,89.268422205847,17.9932321798169,"4","3",710,3157,3867
2011-11-01,0,1,15.2010555714376,16.8105462652456,68.7037914293259,11.8432698528801,"4","1",903,4775,5678
2011-11-02,0,1,14.11257133546,16.6273233205107,71.8447591416209,7.57513722557869,"4","1",864,4949,5813
2011-11-03,0,1,15.6116493344031,17.21143923991,70.6874011549349,11.7464714417109,"4","1",816,4761,5577
2011-11-04,0,1,16.0262120676636,17.1196842236935,61.4463199463269,21.8104601051274,"4","2",997,4692,5689
2011-11-05,0,0,11.7095585744817,13.5927212605533,51.9294119519576,16.0831862550787,"4","1",1658,3859,5517
2011-11-06,0,0,13.0527625580135,15.4599804699197,74.7971568030997,9.65141018632729,"4","1",1444,3769,5213
2011-11-07,0,1,15.3967265516428,16.6713523788326,75.8095457044267,5.7323021064658,"4","1",866,4807,5673
2011-11-08,0,1,15.9013665882106,17.5460873090182,72.1766254247241,6.97370939671521,"4","1",899,4958,5857
2011-11-09,0,1,15.4152040766127,17.2497144819503,75.7055356504433,7.35580566238867,"4","1",821,4964,5785
2011-11-10,0,1,14.7023046671691,15.7916598040296,80.0861134802497,15.7609046978391,"4","2",692,3850,4542
2011-11-11,1,0,11.8164247231907,12.6559298743535,45.2208283092179,24.8335426573301,"4","1",946,4057,5003
2011-11-12,0,0,13.5460006170968,14.8874375750408,53.9528873728416,17.0728886172729,"4","1",1829,3872,5701
2011-11-13,0,0,17.8074424186373,18.3796413008622,46.3552092782455,22.522177840494,"4","1",1538,3817,5355
2011-11-14,0,1,20.728753960325,22.4515414613812,58.2061641576017,23.9747879800334,"4","1",1104,5050,6154
2011-11-15,0,1,20.6147064577973,21.9722696553619,69.5330898886626,15.4958090021498,"4","2",989,4887,5876
2011-11-16,0,1,17.4763139824914,19.591472016164,93.7589119052899,11.2829910279591,"4","3",638,2701,3339
2011-11-17,0,1,12.5924666153648,13.2306191402072,57.5129599387989,24.3167609589385,"4","2",602,4046,4648
2011-11-18,0,1,10.5271687094573,10.9645814679048,40.96050007471,13.8030674171959,"4","1",737,4269,5006
2011-11-19,0,0,12.9942859197216,12.9164349029865,50.7179360612007,17.619094243578,"4","1",1480,3804,5284
2011-12-01,0,1,11.538453027235,12.9394949826318,51.5706596132761,18.47460491421,"4","1",661,4690,5351
2011-12-02,0,1,11.7311439656463,14.0188014105066,62.301026660415,9.97376743689263,"4","1",792,4802,5594
2011-12-03,0,0,11.6036653980592,13.2079528011325,61.7890607643237,9.88410495064261,"4","1",1252,4029,5281
2011-12-04,0,0,12.9355990059268,14.4725371612839,78.7066817817765,9.01507309675096,"4","1",1158,3952,5110
2011-12-05,0,1,15.7869088853695,16.8299670872073,81.8609810109856,7.38199405024771,"4","1",726,4757,5483
2011-12-06,0,1,17.9448683468437,19.7204956925873,94.6606806020003,18.2871659511927,"4","3",608,3503,4111
2011-12-07,0,1,16.0378243984967,16.9810951334242,96.8655504403441,21.1570001935244,"4","3",524,1626,2150
2011-12-08,0,1,9.00700976105835,10.5269532215257,56.1650795401924,19.016486440443,"4","1",640,4308,4948
2011-12-09,0,1,11.1378596401831,13.3026619927512,70.1967608353216,7.23719589745208,"4","1",750,4447,5197
2011-12-10,0,0,9.69117531450636,10.8280042684177,51.0347696361146,18.5614269577479,"4","1",1040,3794,4834
2011-12-11,0,0,8.21276839565217,10.3806606975517,49.3765699405181,9.41345463879643,"4","1",870,3452,4322
2011-12-12,0,1,8.97943450618495,10.4019123413806,67.8764089856917,5.8706112497109,"4","1",633,4277,4910
2011-12-13,0,1,11.0652653492712,12.2648546798493,58.2998762838868,12.0116930017779,"4","1",629,4507,5136
2011-12-14,0,1,12.2001615586771,14.0409768242845,67.0200148766188,7.5175418364828,"4","2",668,4671,5339
2011-12-15,0,1,15.9777750105004,17.5431694749949,63.3401721594603,22.9649903200164,"4","2",665,4636,5301
2011-12-16,0,1,14.3596871107622,14.9193775767142,49.0693224896725,21.3147365822312,"4","2",680,4531,5211
2011-12-17,0,0,9.68636882355541,9.92411267814544,55.5069872544486,19.4409321317021,"4","1",791,3577,4368
2011-12-18,0,0,8.43392307195813,9.60323787187192,58.3862808478982,14.5292245619938,"4","1",705,3281,3986
2011-12-19,0,1,10.2389568049176,11.5559278243852,63.7141028276773,14.9425705383533,"4","1",727,4269,4996
2012-01-01,0,0,12.4668352498565,15.7076371863574,69.0173041365192,15.3174113269304,"1","1",1307,2537,3839
2012-01-02,1,0,7.82421109014152,10.2548367286939,37.8025878455311,23.9135944119156,"1","1",766,2566,3392
2012-01-03,0,1,3.2479486456445,4.55779921204012,43.5771369764404,26.5548380075319,"1","1",672,3083,3794
2012-01-04,0,1,1.11816803481566,4.18206329447814,42.0053406367741,14.8477531621021,"1","2",643,3210,3962
2012-01-05,0,1,7.64250750000445,11.541328867706,52.3241384996592,10.9108794764416,"1","1",688,4033,4873
2012-01-06,0,1,10.6512326070301,14.0570106184366,54.757841326422,15.3499279319182,"1","1",890,4695,5736
2012-01-07,0,0,13.255816515775,16.634009427488,53.2805180642924,15.2407712060669,"1","1",1769,4345,6183
2012-01-08,0,0,10.7556720378791,14.362616138621,47.5704440567361,15.9281809100464,"1","1",1190,3710,5052
2012-01-09,0,1,6.75903118425282,9.94760594744365,69.9681874458585,9.56799858547109,"1","2",552,3160,3910
2012-01-10,0,1,9.95898823235335,13.4319013928488,65.5345754826676,15.0470115984279,"1","1",746,4287,5135
2012-01-11,0,1,7.47121037782567,11.7101652326584,83.9653981307277,11.5802575025246,"1","3",688,2984,3708
2012-01-12,0,1,12.5928376675286,15.8630411404658,80.8075875493692,16.075609932906,"1","1",863,4722,5741
2012-01-13,0,1,8.55858003999889,10.1701507354097,50.4038589685331,29.2679030342275,"1","1",721,3936,4849
2012-01-14,0,0,4.22633089136421,6.70357255790463,46.964261696243,16.066143071446,"1","1",931,3062,4088
2012-01-15,0,0,4.01275277359643,6.25957044092153,41.6050810682856,18.7733229512868,"1","1",852,2925,3894
2012-01-16,1,0,5.6895018581577,7.36122818010975,52.4015372946686,19.4153138690195,"1","1",800,2994,3860
2012-01-17,0,1,11.547955416254,15.1040994378032,70.5692844961389,24.9462677773135,"1","1",709,3685,4493
2012-01-18,0,1,8.60090802424278,11.5337809789982,44.2651468521699,30.7270306950523,"1","1",629,4174,4987
