,index,Plot,Rated,Response,Language,Title,Country,Writer,Metascore,imdbRating,Director,Released_x,Actors,Year,Genre_x,Awards,Runtime,Type,Poster,imdbVotes,Error,Month,Week,English,USA,rating,title,Released_y,Movie,Genre_y,Budget,Revenue,Trailer,Adj_Revenue,Adj_Budget
10,424095.0,"The story of an uptown rat that gets flushed down the toilet from his penthouse apartment, ending in the sewers of London, where he has to learn a whole new and different way of life.",PG,True,English,Flushed Away,"UK, USA","Dick Clement (screenplay), Ian La Frenais (screenplay), Christopher Lloyd (screenplay), Joe Keenan (screenplay), William Davies (screenplay), Sam Fell (story), Peter Lord (story), Dick Clement (story), Ian La Frenais (story)",7.4,6.7,"David Bowers, Sam Fell",2006-11-03,"Hugh Jackman, Kate Winslet, Ian McKellen, Jean Reno",2006,"Animation, Adventure, Comedy",Nominated for 1 BAFTA Film Award. Another 6 wins & 11 nominations.,85.0,movie,http://ia.media-imdb.com/images/M/MV5BMTI1MzE1MDk2N15BMl5BanBnXkFtZTYwMjEwMzI3._V1_SX300.jpg,64285.0,,11.0,44.0,1,0,0.0,Flushed Away,2006-11-03,Flushed Away,Comedy,149000000.0,64665672.0,,76280057.14347957,175761391.83055976
11,112571.0,"Jane is a night club singer, out of work. Robin is a quirky real estate agent looking for a ride-share to accompany her to California. Her advertisement is answered by Jane, who at first ...",R,True,English,Boys on the Side,"USA, France",Don Roos,6.1,6.3,Herbert Ross,1995-02-03,"Whoopi Goldberg, Mary-Louise Parker, Drew Barrymore, Matthew McConaughey",1995,"Comedy, Drama",1 win & 2 nominations.,115.0,movie,http://ia.media-imdb.com/images/M/MV5BMTQzNzg4NDk3OF5BMl5BanBnXkFtZTcwMjcwNTgxMQ@@._V1_SX300.jpg,8379.0,,2.0,5.0,1,0,3.0,Boys on the Side,1995-02-03,Boys on the Side,Drama,,23418200.0,,36446385.03792415,
12,1386703.0,"A factory worker, Douglas Quaid, begins to suspect that he is a spy after visiting Rekall - a company that provides its clients with implanted fake memories of a life they would like to have led - goes wrong and he finds himself on the run.",PG-13,True,English,Total Recall,"USA, Canada","Kurt Wimmer (screenplay), Mark Bomback (screenplay), Ronald Shusett (screen story by), Dan O'Bannon (screen story by), Jon Povill (screen story by), Kurt Wimmer (screen story by), Ronald Shusett (based on the motion picture ""Total Recall"",  screenplay by), Dan O'Bannon (based on the motion picture ""Total Recall"",  screenplay by), Gary Goldman (based on the motion picture ""Total Recall"",  screenplay by), Ronald Shusett (based on the motion picture ""Total Recall"",  screen story by), Dan O'Bannon (based on the motion picture ""Total Recall"",  screen story by), Jon Povill (based on the motion picture ""Total Recall"",  screen story by)",4.3,6.3,Len Wiseman,2012-08-03,"Colin Farrell, Kate Beckinsale, Jessica Biel, Bryan Cranston",2012,"Action, Adventure, Sci-Fi",4 nominations.,118.0,movie,http://ia.media-imdb.com/images/M/MV5BMzQ2NzYwOTEzMl5BMl5BanBnXkFtZTcwNjExNTMxOA@@._V1_SX300.jpg,155966.0,,8.0,31.0,1,0,1.0,Total Recall,2012-08-03,Total Recall,Action,125000000.0,58877969.0,Play,60761471.760545306,128998742.63781352
13,457572.0,"Timmy Robinson's best friend in the whole wide world is a six-foot tall rotting zombie named Fido. But when FIDO eats the next-door neighbor, Mom and Dad hit the roof, and Timmy has to go ...",R,True,English,Fido,Canada,"Robert Chomiak, Andrew Currie, Dennis Heaton, Dennis Heaton (original story)",7.0,6.8,Andrew Currie,2007-03-16,"David Kaye, Jan Skorzewski, Kevin Tyell, Andy Parkin",2007,"Comedy, Drama, Horror",13 wins & 15 nominations.,93.0,movie,http://ia.media-imdb.com/images/M/MV5BMjEzNjQ4OTYxMl5BMl5BanBnXkFtZTcwMjY5MDEwNQ@@._V1_SX300.jpg,21602.0,,3.0,11.0,1,0,2.0,Fido,2007-06-15,Fido,Horror,8000000.0,298110.0,,344501.9107185203,9244960.872658288
14,112579.0,"Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson, for four days in the 1960s.",PG-13,True,English,The Bridges of Madison County,USA,"Richard LaGravenese (screenplay), Robert James Waller (novel)",6.6,7.5,Clint Eastwood,1995-06-02,"Clint Eastwood, Meryl Streep, Annie Corley, Victor Slezak",1995,"Drama, Romance",Nominated for 1 Oscar. Another 7 wins & 10 nominations.,135.0,movie,http://ia.media-imdb.com/images/M/MV5BMTI0MDkxMzA2NF5BMl5BanBnXkFtZTYwNjIxMDI5._V1_SX300.jpg,43393.0,,6.0,22.0,1,1,3.0,"Bridges of Madison County, The",1995-06-02,The Bridges of Madison County,Drama,22000000.0,71516617.0,,111303266.68111776,34239201.596806385
15,1441326.0,"Haunted by painful memories and increasing paranoia, a damaged woman struggles to re-assimilate with her family after fleeing an abusive cult.",R,True,English,Martha Marcy May Marlene,USA,Sean Durkin,7.6,7.0,Sean Durkin,2011-12-21,"Elizabeth Olsen, Christopher Abbott, Brady Corbet, Hugh Dancy",2011,"Drama, Thriller",16 wins & 41 nominations.,102.0,movie,http://ia.media-imdb.com/images/M/MV5BMTc1MTYwMzg1N15BMl5BanBnXkFtZTcwNzM0MDY4Ng@@._V1_SX300.jpg,31339.0,,12.0,51.0,1,1,3.0,Martha Marcy May Marlene,2011-10-21,Martha Marcy May Marlene,Thriller/Suspense,1000000.0,2981038.0,Play,3166392.6329584103,1062177.8833273544
16,62467.0,A recently blinded woman is terrorized by a trio of thugs while they search for a heroin stuffed doll they believe is in her apartment.,,True,English,Wait Until Dark,USA,"Frederick Knott (play), Robert Carrington (screenplay), Jane-Howard Carrington (screenplay)",,7.9,Terence Young,1967-10-26,"Audrey Hepburn, Alan Arkin, Richard Crenna, Efrem Zimbalist Jr.",1967,"Crime, Drama, Thriller",Nominated for 1 Oscar. Another 1 win & 3 nominations.,108.0,movie,http://ia.media-imdb.com/images/M/MV5BMTQyNTAzOTI3NF5BMl5BanBnXkFtZTcwNTM0Mjg0Mg@@._V1_SX300.jpg,16348.0,,10.0,43.0,1,1,3.0,Wait Until Dark,1967-10-26,Wait Until Dark,,,17550741.0,,124784168.13848025,
17,81060.0,Two 15-year old girls from different sides of the tracks compete to see who will be first to lose their virginity while at camp.,R,True,English,Little Darlings,USA,"Kimi Peck (screenplay), Dalene Young (screenplay), Kimi Peck (story)",,6.4,Ronald F. Maxwell,1980-05-05,"Tatum O'Neal, Kristy McNichol, Armand Assante, Matt Dillon",1980,"Comedy, Drama",1 nomination.,96.0,movie,http://ia.media-imdb.com/images/M/MV5BMTc3Mzg3OTE5NV5BMl5BanBnXkFtZTgwOTczMjEyMDE@._V1_SX300.jpg,3112.0,,5.0,19.0,1,1,3.0,Little Darlings,1980-03-21,Little Darlings,,,34326249.0,,103206412.09619538,
18,89092.0,"A soldier from Earth crash-lands on an alien world after sustaining battle damage. Eventually he encounters another survivor, but from the enemy species he was fighting; they band together ...",PG-13,True,English,Enemy Mine,USA,"Barry Longyear (story), Edward Khmara (screenplay)",,6.9,Wolfgang Petersen,1985-12-20,"Dennis Quaid, Louis Gossett Jr., Brion James, Richard Marcus",1985,"Action, Adventure, Drama",2 wins & 6 nominations.,108.0,movie,http://ia.media-imdb.com/images/M/MV5BMTkxODQ1NDMwMl5BMl5BanBnXkFtZTgwMTY4MjQxMDE@._V1_SX300.jpg,27659.0,,12.0,51.0,1,1,0.0,Enemy Mine,1985-12-20,Enemy Mine,Drama,,12303411.0,,27279286.13721327,
19,1531930.0,A man's life is altered unexpectedly after telling a lie to get out of work.,R,True,English,The Lie,USA,"T. Coraghessan Boyle (short story), Jeff Feuerzeig (additional material), Joshua Leonard (screenplay), Mark Webber (screenplay), Jess Weixler (screenplay)",5.9,5.2,Joshua Leonard,2011-11-11,"Alia Shawkat, Kelli Garner, Mark Webber, Jess Weixler",2011,Drama,N/A,80.0,movie,http://ia.media-imdb.com/images/M/MV5BNjM4NjI1NjA3NF5BMl5BanBnXkFtZTcwNTM0OTQ3Ng@@._V1_SX300.jpg,482.0,,11.0,45.0,1,1,3.0,"Lie, The",2011-11-18,The Lie,Black Comedy,,0.0,,0.0,
20,94089.0,"Spalding Gray tells about his participation in the film, ""The Killing Fields"" & the background story about the troubles of Cambodia.",R,True,English,Swimming to Cambodia,USA,Spalding Gray,6.8,7.8,Jonathan Demme,1987-04-01,"Spalding Gray, Sam Waterston, Ira Wheeler",1987,"Comedy, Drama",5 nominations.,85.0,movie,http://ia.media-imdb.com/images/M/MV5BMTMzMjU4MTEzMl5BMl5BanBnXkFtZTcwOTU1MzMyMQ@@._V1_SX300.jpg,1430.0,,4.0,14.0,1,1,0.0,Swimming to Cambodia,1987-04-01,Swimming to Cambodia,,,1092000.0,,2297088.7769784173,
21,481141.0,The life of a top chef changes when she becomes the guardian of her young niece.,PG,True,English,No Reservations,"USA, Australia","Carol Fuchs (screenplay), Sandra Nettelbeck (screenplay)",5.0,6.3,Scott Hicks,2007-07-27,"Catherine Zeta-Jones, Aaron Eckhart, Abigail Breslin, Patricia Clarkson",2007,"Comedy, Drama, Romance",1 nomination.,104.0,movie,http://ia.media-imdb.com/images/M/MV5BMTI1NzQ5MzU1OV5BMl5BanBnXkFtZTcwNzExODU0MQ@@._V1_SX300.jpg,48439.0,,7.0,30.0,1,0,3.0,No Reservations,2007-07-27,No Reservations,Romantic Comedy,28000000.0,43107979.0,,49816447.39429689,32357363.054304007
22,49038.0,A naive but stubborn cowboy falls in love with a saloon singer and tries to take her away against her will to get married and live on his ranch in Montana.,,True,English,Bus Stop,USA,"George Axelrod (screenplay), William Inge (play)",,6.7,Joshua Logan,1956-09-20,"Marilyn Monroe, Don Murray, Arthur O'Connell, Betty Field",1956,"Comedy, Drama, Romance",Nominated for 1 Oscar. Another 1 win & 5 nominations.,96.0,movie,http://ia.media-imdb.com/images/M/MV5BMTkyMzAwMTIzMV5BMl5BanBnXkFtZTcwODkzMjMyMQ@@._V1_SX300.jpg,6579.0,,9.0,38.0,1,1,3.0,Bus Stop,1956-08-31,Bus Stop,Comedy,,4500000.0,,39276940.29850747,
23,1645170.0,The heroic story of a dictator who risks his life to ensure that democracy would never come to the country he so lovingly oppressed.,R,True,"English, Hebrew",The Dictator,USA,"Sacha Baron Cohen, Alec Berg, David Mandel, Jeff Schaffer",5.8,6.4,Larry Charles,2012-05-16,"Sacha Baron Cohen, Sayed Badreya, Rocky Citron, Liam Campora",2012,Comedy,1 win.,83.0,movie,http://ia.media-imdb.com/images/M/MV5BMjA4NjEyOTc4NV5BMl5BanBnXkFtZTcwODYzMjk2Nw@@._V1_SX300.jpg,157623.0,,5.0,20.0,0,1,1.0,"Dictator, The",2012-05-16,The Dictator,Comedy,65000000.0,59650222.0,Play,61558429.08853154,67079346.17166303
24,82869.0,"In the distant future, a police marshal stationed at a remote mining colony on the Jupiter moon of Io uncovers a drug-smuggling conspiracy, and gets no help from the populace when he later finds himself marked for murder.",R,True,English,Outland,UK,Peter Hyams,,6.6,Peter Hyams,1981-05-22,"Sean Connery, Peter Boyle, Frances Sternhagen, James Sikking",1981,"Action, Crime, Sci-Fi",Nominated for 1 Oscar. Another 1 win & 6 nominations.,112.0,movie,http://ia.media-imdb.com/images/M/MV5BMTM0NjQ2ODU5Ml5BMl5BanBnXkFtZTcwNjY4MTUyMQ@@._V1_SX300.jpg,17400.0,,5.0,21.0,1,0,1.0,Outland,1981-05-22,Outland,Action,,20000000.0,,53773793.10344827,
25,420015.0,"Captives of the very relationships that define and sustain them, nine women resiliently meet the travails and disappointments of life.",R,True,"English, Spanish, American Sign Language",Nine Lives,USA,Rodrigo García,8.0,6.9,Rodrigo García,2005-09-02,"Elpidia Carrillo, Aomawa Baker, Miguel Sandoval, Mary Pat Dowhy",2005,Drama,8 wins & 10 nominations.,115.0,movie,http://ia.media-imdb.com/images/M/MV5BMTU4MTQyMzg2M15BMl5BanBnXkFtZTcwODMyMjEzMQ@@._V1_SX300.jpg,5127.0,,9.0,35.0,0,1,3.0,Nine Lives,2005-10-14,Nine Lives,Drama,,478830.0,,587341.3648662821,
26,97523.0,The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.,PG,True,English,"Honey, I Shrunk the Kids",USA,"Stuart Gordon (story), Brian Yuzna (story), Ed Naha (story), Ed Naha (screenplay), Tom Schulman (screenplay)",,6.2,Joe Johnston,1989-06-23,"Rick Moranis, Matt Frewer, Marcia Strassman, Kristine Sutherland",1989,"Adventure, Comedy, Family",Won 1 BAFTA Film Award. Another 1 win & 10 nominations.,93.0,movie,http://ia.media-imdb.com/images/M/MV5BMTcxMDYyOTQ3M15BMl5BanBnXkFtZTYwNjc5NzI5._V1_SX300.jpg,76413.0,,6.0,25.0,1,1,3.0,"Honey, I Shrunk the Kids",1989-06-23,"Honey, I Shrunk the Kids",Adventure,,130724172.0,,252505990.2357721,
27,1017451.0,A coming-of-age biopic about '70s teenage band The Runaways.,R,True,English,The Runaways,USA,"Floria Sigismondi (screenplay), Cherie Currie (book)",6.5,6.6,Floria Sigismondi,2010-04-08,"Kristen Stewart, Dakota Fanning, Michael Shannon, Stella Maeve",2010,"Biography, Drama, Music",4 nominations.,106.0,movie,http://ia.media-imdb.com/images/M/MV5BMTI3Nzc2ODI4NV5BMl5BanBnXkFtZTcwMzkxNDMyMw@@._V1_SX300.jpg,31874.0,,4.0,14.0,1,1,3.0,"Runaways, The",2010-03-19,The Runaways,Drama,9500000.0,3573673.0,Play,3857819.3129629367,10255354.497501003
28,1074638.0,"Bond's loyalty to M is tested when her past comes back to haunt her. Whilst MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",PG-13,True,English,Skyfall,"UK, USA","Neal Purvis, Robert Wade, John Logan",8.1,7.8,Sam Mendes,2012-11-09,"Daniel Craig, Judi Dench, Javier Bardem, Ralph Fiennes",2012,"Action, Adventure, Thriller",Won 2 Oscars. Another 40 wins & 74 nominations.,143.0,movie,http://ia.media-imdb.com/images/M/MV5BMjAyODkzNDgzMF5BMl5BanBnXkFtZTcwMDMxMDI4Nw@@._V1_SX300.jpg,376186.0,,11.0,45.0,1,0,3.0,Skyfall,2012-11-08,Skyfall,Action,200000000.0,304360277.0,Play,314096744.3351731,206397988.22050163
29,112792.0,An ex-Marine turned teacher struggles to connect with her students in an inner city school.,R,True,English,Dangerous Minds,USA,"LouAnne Johnson (book), Ronald Bass (screenplay)",4.7,6.3,John N. Smith,1995-08-11,"Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett",1995,"Biography, Crime, Drama",5 wins & 5 nominations.,99.0,movie,http://ia.media-imdb.com/images/M/MV5BMTI3NDIyMjIyM15BMl5BanBnXkFtZTYwMzA3NjU5._V1_SX300.jpg,30511.0,,8.0,32.0,1,1,3.0,Dangerous Minds,1995-08-11,Dangerous Minds,Drama,,84919401.0,,132162385.9235928,
30,492481.0,A recently-singled New York writer finds herself in two surprising and complicated relationships.,,True,English,Puccini for Beginners,USA,Maria Maggenti,5.4,6.1,Maria Maggenti,2007-02-07,"Ken Barnett, Julianne Nicholson, Brian Letscher, Elizabeth Reaser",2007,"Comedy, Romance",1 win & 1 nomination.,82.0,movie,http://ia.media-imdb.com/images/M/MV5BMjE5NzQyNDEwNF5BMl5BanBnXkFtZTcwNTYxNDI0MQ@@._V1_SX300.jpg,1829.0,,2.0,6.0,1,1,3.0,Puccini for Beginners,2007-02-02,Puccini for Beginners,Romantic Comedy,,89417.0,,103332.08329381076,
31,463854.0,"Six months after the rage virus was inflicted on the population of Great Britain, the US Army helps to secure a small area of London for the survivors to repopulate and start again. But not everything goes to plan.",R,True,English,28 Weeks Later,"UK, Spain","Rowan Joffe (screenplay), Juan Carlos Fresnadillo (screenplay), Enrique López Lavigne (screenplay), Jesús Olmo (screenplay)",7.8,7.0,Juan Carlos Fresnadillo,2007-05-11,"Robert Carlyle, Rose Byrne, Jeremy Renner, Harold Perrineau",2007,"Horror, Sci-Fi, Thriller",2 wins & 7 nominations.,100.0,movie,http://ia.media-imdb.com/images/M/MV5BMTUxMjc2MTcxNV5BMl5BanBnXkFtZTcwMzgzOTY0MQ@@._V1_SX300.jpg,166068.0,,5.0,19.0,1,0,3.0,28 Weeks Later,2007-05-11,28 Weeks Later,Horror,15000000.0,28638916.0,,33095707.231918424,17334301.63623429
32,115685.0,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing moralistic parents.,R,True,English,The Birdcage,USA,"Jean Poiret (play), Francis Veber (earlier screenplay), Édouard Molinaro (earlier screenplay), Marcello Danon (earlier screenplay), Jean Poiret (earlier screenplay), Elaine May (screenplay)",7.2,6.9,Mike Nichols,1996-03-08,"Robin Williams, Gene Hackman, Nathan Lane, Dianne Wiest",1996,Comedy,Nominated for 1 Oscar. Another 6 wins & 14 nominations.,117.0,movie,http://ia.media-imdb.com/images/M/MV5BMTM2NjExODYyOF5BMl5BanBnXkFtZTcwNTc0NjgyNA@@._V1_SX300.jpg,48423.0,,3.0,10.0,1,1,2.0,"Birdcage, The",1996-03-08,The Birdcage,Comedy,,124060553.0,,187951737.795,
33,112401.0,"Robert Rath is a seasoned hitman who just wants out of the business with no back talk. But, as things go, it ain't so easy. A younger, peppier assassin named Bain is having a field day ...",R,True,"English, Dutch, Spanish",Assassins,"USA, France","Andy Wachowski (story), Lana Wachowski (story), Andy Wachowski (screenplay), Lana Wachowski (screenplay), Brian Helgeland (screenplay)",,6.2,Richard Donner,1995-10-06,"Sylvester Stallone, Antonio Banderas, Julianne Moore, Anatoli Davydov",1995,"Action, Thriller, Crime",1 nomination.,132.0,movie,http://ia.media-imdb.com/images/M/MV5BMTY4OTUwMDY0Ml5BMl5BanBnXkFtZTcwMTg1NDcyMQ@@._V1_SX300.jpg,49364.0,,10.0,40.0,0,0,1.0,Assassins,1995-10-06,Assassins,Action,50000000.0,30306268.0,,47166473.622674644,77816367.26546906
34,1282140.0,A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.,PG-13,True,English,Easy A,USA,Bert V. Royal,7.2,7.2,Will Gluck,2010-09-17,"Emma Stone, Penn Badgley, Amanda Bynes, Dan Byrd",2010,"Comedy, Romance",Nominated for 1 Golden Globe. Another 4 wins & 9 nominations.,92.0,movie,http://ia.media-imdb.com/images/M/MV5BMjE1MzU1Mjg1OF5BMl5BanBnXkFtZTcwNDc3NDQ2Mw@@._V1_SX300.jpg,182792.0,,9.0,37.0,1,1,3.0,Easy A,2010-09-17,Easy A,Comedy,8000000.0,58401464.0,Play,63045022.78874136,8636087.997895582
35,107282.0,The life histories of four Asian women and their daughters reflect and guide each other.,R,True,"English, Mandarin, Cantonese",The Joy Luck Club,"USA, China","Amy Tan (novel), Amy Tan (screenplay), Ronald Bass (screenplay)",8.4,7.6,Wayne Wang,1993-10-29,"Kieu Chinh, Tsai Chin, France Nuyen, Lisa Lu",1993,Drama,Nominated for 1 BAFTA Film Award. Another 3 wins & 4 nominations.,139.0,movie,http://ia.media-imdb.com/images/M/MV5BMTI4Mjg1OTY1OV5BMl5BanBnXkFtZTcwMDU4ODUyMQ@@._V1_SX300.jpg,11289.0,,10.0,43.0,0,0,3.0,"Joy Luck Club, The",1993-09-08,The Joy Luck Club,Drama,,32790064.0,,53787662.066086955,
36,2191701.0,"After moving his family back to his hometown to be with his friends and their kids, Lenny finds out that between old bullies, new bullies, schizo bus drivers, drunk cops on skis, and 400 costumed party crashers sometimes crazy follows you.",PG-13,True,English,Grown Ups 2,USA,"Fred Wolf, Adam Sandler, Tim Herlihy, Adam Sandler (based on characters created by), Fred Wolf (based on characters created by)",1.9,5.4,Dennis Dugan,2013-07-12,"Adam Sandler, Kevin James, Chris Rock, David Spade",2013,Comedy,1 win & 11 nominations.,101.0,movie,http://ia.media-imdb.com/images/M/MV5BMTgwNTI2MDI0OF5BMl5BanBnXkFtZTcwMTk5MDg0OQ@@._V1_SX300.jpg,60641.0,,7.0,28.0,1,1,2.0,Grown Ups 2,2013-07-12,Grown Ups 2,Comedy,80000000.0,133668525.0,Play,135779080.65789473,81263157.89473684
37,2279864.0,"A disgraced former marketing executive plots revenge against his former boss, who made billions from the electric car company they started.",,True,English,Clear History,USA,"Larry David, Alec Berg, David Mandel, Jeff Schaffer",,6.6,Greg Mottola,2013-08-10,"Larry David, Bill Hader, Philip Baker Hall, Jon Hamm",2013,Comedy,N/A,100.0,movie,http://ia.media-imdb.com/images/M/MV5BMTQyMzc3MzQxN15BMl5BanBnXkFtZTgwOTE5OTkwMDE@._V1_SX300.jpg,9024.0,,8.0,32.0,1,1,2.0,Clear History,2013-11-05,Clear History,Comedy,,0.0,,0.0,
