"address","village","takeup_survey","age","agpop","educ","rice_inc","disaster_prob","male","default","delay","intensive","risk_averse","disaster_yes","network_obs","network_rate_presession","network_onlyone","network_onlytwo","network_twomore","network_yes","pre_takeup_rate","disaster"
"beilian4","beilian","no",61,2,1,100,20,1,0,0,1,0,1,5,0.60000002,1,0,0,1,0.40000001,"yes"
"beilian4","beilian","yes",44,4,1,90,50,1,0,0,1,0,1,5,0.2,0,0,0,0,0.40000001,"yes"
"beilian4","beilian","yes",71,2,0,100,20,1,0,0,0,0,1,5,0.2,1,0,0,1,0.40000001,"yes"
"beilian4","beilian","no",45,3,2,70,50,1,0,0,1,0.40000001,NA,NA,NA,NA,NA,NA,NA,0.40000001,NA
"beilian4","beilian","yes",49,6,1,90,20,1,0,1,0,0,0,5,0.40000001,0,1,1,1,0.40000001,"no"
"beilian4","beilian","yes",73,2,1,40,50,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0.40000001,NA
"beilian4","beilian","no",53,2,2,20,50,1,0,0,1,0.60000002,1,5,0.2,0,0,0,0,0.40000001,"yes"
"beixing4","beixing","yes",41,4,2,20,40,1,0,1,0,0.80000001,0,5,0.40000001,0,1,1,1,0.33333334,"no"
"beixing4","beixing","yes",41,4,1,100,50,1,0,1,0,0.39999998,1,5,0.40000001,1,0,0,1,0.33333334,"yes"
"beixing4","beixing","yes",59,4,1,85,20,1,0,1,1,0,0,5,0.40000001,1,0,0,1,0.33333334,"no"
"beixing4","beixing","no",81,2,0,10,30,1,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,0.33333334,NA
"beixing4","beixing","yes",43,4,1,30,0,1,0,0,1,0,0,5,0.40000001,1,0,0,1,0.33333334,"no"
"beixing4","beixing","no",46,4,1,NA,0,1,0,1,1,0,0,5,0,0,0,0,0,0.33333334,"no"
"beixing4","beixing","no",55,3,0,85,20,1,0,0,0,1,1,5,0.2,0,0,0,0,0.33333334,"yes"
"beixing4","beixing","yes",68,5,1,60,50,1,0,1,1,0.2,NA,5,0.40000001,0,1,1,1,0.33333334,NA
"beixing4","beixing","no",59,7,1,20,0,1,0,1,0,0,0,5,0.40000001,1,0,0,1,0.33333334,"no"
"beixing4","beixing","no",48,3,1,100,30,1,0,0,1,0,1,5,0.60000002,0,1,1,1,0.33333334,"yes"
"beixing4","beixing","no",56,4,0,80,50,1,0,1,1,0,1,5,0.40000001,0,1,1,1,0.33333334,"yes"
"beixing4","beixing","yes",41,5,1,100,50,1,0,1,1,0.39999998,1,5,0.2,1,0,0,1,0.33333334,"yes"
"beixing4","beixing","no",57,6,1,50,20,1,0,1,0,0.19999999,0,5,0.40000001,0,0,0,0,0.33333334,"no"
"beixing4","beixing","no",42,5,1,50,50,1,0,1,1,0.39999998,0,5,0.2,0,0,0,0,0.33333334,"no"
"beixing4","beixing","no",47,4,0,100,40,1,0,0,1,0,1,5,0.40000001,1,0,0,1,0.33333334,"yes"
"beixing4","beixing","no",58,6,1,30,40,1,0,1,1,0,0,5,0,0,0,0,0,0.33333334,"no"
"beixing4","beixing","yes",59,6,1,90,20,1,0,0,0,0,1,5,0,0,0,0,0,0.33333334,"yes"
"beixing4","beixing","no",82,3,0,100,40,1,0,1,1,0,0,5,0.60000002,0,0,0,0,0.33333334,"no"
"beixing4","beixing","no",58,6,0,40,50,1,0,0,0,0,1,5,0.40000001,1,0,0,1,0.33333334,"yes"
"beixing4","beixing","no",52,5,2,85,20,1,0,1,0,0,1,5,0.40000001,1,0,0,1,0.33333334,"yes"
"beixing4","beixing","no",37,5,1,60,50,1,0,0,1,0.39999998,0,5,0.2,0,0,0,0,0.33333334,"no"
"beixing4","beixing","yes",37,4,1,75,30,1,0,0,1,0,0,5,0.2,1,0,0,1,0.33333334,"no"
"beixing5","beixing","no",63,5,0,NA,40,1,1,0,0,0,0,5,0.40000001,0,0,0,0,0.5,"no"
"beixing5","beixing","no",66,11,1,90,10,1,1,0,0,0,0,5,0.2,1,0,0,1,0.5,"no"
"beixing5","beixing","no",37,4,2,70,40,1,1,1,0,0,0,5,0.40000001,0,0,0,0,0.5,"no"
"beixing5","beixing","no",47,4,2,100,20,1,1,1,0,0.19999999,1,5,0.40000001,1,0,0,1,0.5,"yes"
"beixing5","beixing","no",46,3,1,80,50,1,1,1,0,0.39999998,0,5,0.2,1,0,0,1,0.5,"no"
"beixing5","beixing","yes",61,2,1,100,20,1,1,1,1,0,1,5,0.40000001,1,0,0,1,0.5,"yes"
"beixing5","beixing","no",44,4,0,90,50,1,1,0,1,0,0,5,0.2,1,0,0,1,0.5,"no"
"beixing5","beixing","yes",57,2,1,100,20,1,1,0,1,0.60000002,0,5,0.40000001,0,1,1,1,0.5,"no"
"beixing5","beixing","no",49,5,1,100,20,1,1,0,1,0.19999999,0,5,0.40000001,0,1,1,1,0.5,"no"
"beixing5","beixing","no",50,5,1,100,10,1,1,1,1,1,1,5,0.2,0,0,0,0,0.5,"yes"
"beixing5","beixing","yes",42,5,0,90,20,1,1,0,1,0,0,5,0.40000001,0,1,1,1,0.5,"no"
"beixing5","beixing","yes",69,4,0,100,50,1,1,0,1,0,0,5,0,0,0,0,0,0.5,"no"
"beixing5","beixing","no",64,7,1,20,30,1,1,0,0,0,1,5,0.2,1,0,0,1,0.5,"yes"
"beixing5","beixing","yes",46,7,2,90,50,1,1,0,0,0,0,5,0.40000001,0,1,1,1,0.5,"no"
"beixing5","beixing","no",42,9,1,95,0,1,1,1,1,0,0,5,0.2,0,0,0,0,0.5,"no"
"beixing5","beixing","yes",42,2,0,50,0,1,1,0,1,1,0,5,0.2,1,0,0,1,0.5,"no"
"beixing5","beixing","no",38,5,1,30,50,1,1,1,1,0.60000002,0,5,0.60000002,1,0,0,1,0.5,"no"
"beixing5","beixing","yes",63,2,0,40,40,1,1,1,1,0,1,5,0.40000001,0,1,1,1,0.5,"yes"
"beixing5","beixing","no",59,1,1,90,0,1,1,1,1,0,1,5,0.2,1,0,0,1,0.5,"yes"
"beixing712","beixing","no",34,5,1,100,50,1,1,0,0,0,0,5,0.40000001,0,0,0,0,0.42105263,"no"
"beixing712","beixing","no",80,5,0,40,50,1,1,0,0,0.40000001,NA,NA,NA,NA,NA,NA,NA,0.42105263,NA
"beixing712","beixing","no",59,2,1,75,20,1,1,1,0,0,0,5,0.60000002,0,1,1,1,0.42105263,"no"
"beixing712","beixing","yes",50,7,3,NA,5,1,1,1,0,0.39999998,1,5,0.2,0,0,0,0,0.42105263,"yes"
"beixing712","beixing","no",45,5,1,80,30,1,1,0,0,0.19999999,1,5,0.40000001,1,0,0,1,0.42105263,"yes"
"beixing712","beixing","no",51,5,0,100,40,1,1,1,0,0,1,5,0.40000001,0,0,0,0,0.42105263,"yes"
"beixing712","beixing","no",42,5,1,60,50,1,1,0,0,0.19999999,0,5,0,0,0,0,0,0.42105263,"no"
"beixing712","beixing","no",42,4,1,100,20,1,1,0,0,0,0,5,0,0,0,0,0,0.42105263,"no"
"beixing712","beixing","yes",45,3,1,95,50,1,1,0,1,0.39999998,1,5,0.60000002,0,1,1,1,0.42105263,"yes"
"beixing712","beixing","yes",75,7,0,100,30,1,1,0,1,0,0,5,1,0,0,1,1,0.42105263,"no"
"beixing712","beixing","yes",66,4,0,100,20,1,1,0,1,0,1,4,0.25,1,0,0,1,0.42105263,"yes"
"beixing712","beixing","yes",74,2,0,100,20,1,1,1,1,0,1,5,0,0,0,0,0,0.42105263,"yes"
"beixing712","beixing","no",56,7,0,50,0,1,1,0,0,0,0,5,0.40000001,0,0,0,0,0.42105263,"no"
"beixing712","beixing","no",52,6,3,90,20,1,1,1,1,0.39999998,1,5,0.40000001,0,1,1,1,0.42105263,"yes"
"beixing712","beixing","yes",49,4,1,40,0,1,1,0,1,0,0,5,0.40000001,0,0,0,0,0.42105263,"no"
"beixing712","beixing","no",36,3,1,50,30,1,1,1,1,0.80000001,0,5,0.2,1,0,0,1,0.42105263,"no"
"beixing712","beixing","yes",43,5,4,80,0,1,1,1,1,0,0,5,0.2,0,0,0,0,0.42105263,"no"
"beixing712","beixing","no",37,5,2,100,30,1,1,1,1,0.60000002,1,5,0,0,0,0,0,0.42105263,"yes"
"beixing712","beixing","no",33,4,1,NA,50,1,1,1,0,0,0,5,0.40000001,0,0,0,0,0.42105263,"no"
"beixing712","beixing","yes",48,4,2,100,50,1,1,1,0,0,1,5,0.60000002,0,0,0,0,0.42105263,"yes"
"beixing712","beixing","no",47,4,3,60,20,1,1,1,0,0.39999998,0,5,0.40000001,1,0,0,1,0.42105263,"no"
"beixing712","beixing","no",52,3,0,100,50,1,1,0,1,0.19999999,1,5,0.2,0,0,0,0,0.42105263,"yes"
"beixing712","beixing","no",43,4,1,90,50,1,1,1,0,1,0,5,0.2,1,0,0,1,0.42105263,"no"
"beixing712","beixing","yes",50,4,2,80,50,1,1,1,1,0.39999998,NA,5,0.2,0,0,0,0,0.42105263,NA
"beixing712","beixing","yes",68,2,0,60,50,1,1,0,1,0,0,5,0.40000001,0,1,1,1,0.42105263,"no"
"beixing712","beixing","no",45,7,1,100,30,1,1,1,1,0,1,5,0.2,1,0,0,1,0.42105263,"yes"
"beixing712","beixing","yes",57,6,1,60,50,1,1,0,1,0,1,5,0.60000002,1,0,0,1,0.42105263,"yes"
"beixing712","beixing","no",40,4,1,NA,0,1,1,0,0,0.39999998,0,5,0.40000001,1,0,0,1,0.42105263,"no"
"beixing712","beixing","no",44,4,1,NA,50,1,1,1,0,0,1,5,0.2,0,0,0,0,0.42105263,"yes"
"beixing712","beixing","no",45,4,1,100,20,1,1,1,0,0,0,5,0.40000001,1,0,0,1,0.42105263,"no"
"beixing712","beixing","no",36,5,1,100,40,1,1,0,1,0.60000002,1,5,0.40000001,0,0,0,0,0.42105263,"yes"
"beixing712","beixing","no",42,4,1,90,50,1,1,0,0,1,0,5,0.60000002,1,0,0,1,0.42105263,"no"
"beixing712","beixing","no",53,4,1,NA,20,1,1,1,0,0,0,5,0.2,0,0,0,0,0.42105263,"no"
"beixing712","beixing","yes",48,6,1,100,40,1,1,1,0,0,1,5,0.40000001,1,0,0,1,0.42105263,"yes"
"beixing712","beixing","yes",45,10,2,100,20,1,1,1,0,0,0,4,0,0,0,0,0,0.42105263,"no"
"beixing712","beixing","no",45,4,1,70,20,1,1,1,1,0.19999999,0,5,0.40000001,0,0,0,0,0.42105263,"no"
"beixing712","beixing","no",45,4,1,40,40,1,1,1,1,0.60000002,0,5,0.2,0,0,0,0,0.42105263,"no"
"beixing712","beixing","yes",41,4,1,100,50,1,1,0,0,0,1,5,0.40000001,0,1,1,1,0.42105263,"yes"
"beixing712","beixing","yes",63,2,0,90,20,1,1,0,1,0,1,5,0.40000001,0,1,1,1,0.42105263,"yes"
"beixing712","beixing","no",71,5,0,90,30,1,1,0,0,0,0,5,0.40000001,0,0,0,0,0.42105263,"no"
"beixing712","beixing","yes",48,4,2,60,30,1,1,1,1,0,1,5,0.40000001,0,1,1,1,0.42105263,"yes"
"caijia1","caijia","no",39,4,2,80,20,1,0,0,0,0.80000001,NA,NA,NA,NA,NA,NA,NA,0.40000001,NA
"caijia1","caijia","yes",73,3,0,100,30,1,0,1,0,0.60000002,1,5,0.2,0,0,0,0,0.40000001,"yes"
"caijia1","caijia","no",46,NA,NA,70,50,1,0,0,0,0.40000001,NA,NA,NA,NA,NA,NA,NA,0.40000001,NA
"caijia1","caijia","no",60,4,1,100,20,1,0,0,0,0,0,5,0.60000002,1,0,0,1,0.40000001,"no"
"caijia1","caijia","yes",47,4,1,60,30,1,0,0,1,0,0,5,0.80000001,0,0,0,0,0.40000001,"no"
"caijia1","caijia","no",64,6,1,70,50,1,0,1,1,0,1,5,0.2,0,0,0,0,0.40000001,"yes"
"caijia1","caijia","yes",37,4,1,40,40,1,0,0,1,1,1,5,0,0,0,0,0,0.40000001,"yes"
"caijia1","caijia","no",62,1,1,100,30,1,0,0,0,0,1,5,0.2,1,0,0,1,0.40000001,"yes"
"caijia1","caijia","yes",50,5,1,80,40,1,0,1,0,0.60000002,NA,5,0.80000001,0,1,1,1,0.40000001,NA
"caijia1","caijia","no",71,5,0,100,50,1,0,0,0,0,0,5,0.60000002,1,0,0,1,0.40000001,"no"
"caijia1","caijia","no",42,5,2,60,40,1,0,0,1,0.39999998,0,5,0.2,1,0,0,1,0.40000001,"no"
"caijia1","caijia","no",50,5,2,60,10,1,0,1,0,0,0,5,0.2,1,0,0,1,0.40000001,"no"
"caijia1","caijia","no",67,7,0,40,20,1,0,1,0,0,1,5,0,0,0,0,0,0.40000001,"yes"
"caijia1","caijia","yes",70,2,1,70,50,1,0,1,1,1,0,5,0,0,0,0,0,0.40000001,"no"
"caijia1","caijia","no",45,3,1,60,30,1,0,0,0,0,0,5,0.80000001,0,0,0,0,0.40000001,"no"
"caijia1","caijia","yes",40,4,2,80,20,1,0,1,1,0.80000001,NA,NA,NA,NA,NA,NA,NA,0.40000001,NA
"caijia1","caijia","no",68,3,0,100,10,1,0,1,0,0,0,5,0,0,0,0,0,0.40000001,"no"
"caijia1","caijia","yes",45,3,1,100,20,1,0,1,1,0,1,5,0.60000002,0,1,1,1,0.40000001,"yes"
"caijia1","caijia","yes",53,3,1,80,20,1,0,1,1,0,0,5,0.2,0,0,0,0,0.40000001,"no"
"caijia1","caijia","no",63,3,0,90,50,1,0,1,0,0,1,5,0.60000002,0,0,0,0,0.40000001,"yes"
"caijia1","caijia","yes",59,10,1,70,20,1,0,1,1,0.80000001,NA,NA,NA,NA,NA,NA,NA,0.40000001,NA
"caijia1","caijia","no",58,5,0,50,30,1,0,1,0,0,0,5,0.40000001,1,0,0,1,0.40000001,"no"
"caijia1","caijia","no",56,4,1,100,50,1,0,1,1,0,0,5,0.2,0,0,0,0,0.40000001,"no"
"caijia1","caijia","no",78,6,0,100,20,1,0,0,0,0,1,5,0.2,1,0,0,1,0.40000001,"yes"
"caijia1","caijia","no",63,3,1,40,10,1,0,1,0,0,0,5,0,0,0,0,0,0.40000001,"no"
"caijia1","caijia","no",32,4,2,80,50,1,0,0,0,0,1,5,0.40000001,0,1,1,1,0.40000001,"yes"
"caijia1","caijia","yes",54,3,2,60,50,1,0,0,1,1,0,5,0.2,0,0,0,0,0.40000001,"no"
"caijia1","caijia","yes",46,3,1,80,20,1,0,1,1,0,0,5,0.60000002,0,1,1,1,0.40000001,"no"
"caijia1","caijia","yes",46,4,0,80,40,1,0,0,1,0,1,5,0.40000001,1,0,0,1,0.40000001,"yes"
"caijia1","caijia","yes",76,4,0,40,30,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0.40000001,NA
"caijia1","caijia","yes",41,4,1,50,20,1,0,0,1,0.60000002,1,5,0.60000002,0,1,1,1,0.40000001,"yes"
"caijia1","caijia","yes",53,4,1,40,50,1,0,0,1,1,1,5,0.40000001,0,1,1,1,0.40000001,"yes"
"caijia1","caijia","no",65,4,2,100,50,1,0,1,0,0,0,5,0.2,0,0,0,0,0.40000001,"no"
"caijia1","caijia","yes",57,2,1,60,20,1,0,1,1,0,0,5,0,0,0,0,0,0.40000001,"no"
"caijia6","caijia","no",53,5,2,40,50,1,1,0,0,0.19999999,1,5,0,0,0,0,0,0.33333334,"yes"
"caijia6","caijia","yes",47,3,1,90,30,1,1,0,0,0,0,5,0.80000001,1,0,0,1,0.33333334,"no"
"caijia6","caijia","yes",55,3,2,60,30,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,0.33333334,NA
"caijia6","caijia","no",59,10,0,100,50,1,1,0,1,0.39999998,0,5,0.2,0,0,0,0,0.33333334,"no"
"caijia6","caijia","yes",73,6,NA,30,20,1,1,1,1,0.80000001,NA,NA,NA,NA,NA,NA,NA,0.33333334,NA
"caijia6","caijia","no",74,5,1,100,40,1,1,0,0,0,1,2,1,0,0,0,0,0.33333334,"yes"
"caijia6","caijia","yes",60,6,1,25,0,1,1,1,1,0,0,5,0.2,1,0,0,1,0.33333334,"no"
"caijia6","caijia","no",58,9,1,15,50,1,1,0,1,0.39999998,0,5,0.2,1,0,0,1,0.33333334,"no"
"caijia6","caijia","no",40,4,1,60,20,1,1,1,1,0,1,5,0.2,1,0,0,1,0.33333334,"yes"
"caijia6","caijia","yes",60,13,1,80,10,1,1,1,0,0.19999999,1,5,0.2,0,0,0,0,0.33333334,"yes"
"caijia6","caijia","no",52,3,0,100,10,1,1,1,1,0,0,5,0.40000001,0,0,0,0,0.33333334,"no"
"caijia6","caijia","no",59,9,0,50,30,1,1,0,1,0,0,5,0.2,1,0,0,1,0.33333334,"no"
"caijia6","caijia","yes",66,2,1,50,20,1,1,1,0,0,0,5,0.2,1,0,0,1,0.33333334,"no"
"caijia6","caijia","no",72,5,1,100,50,1,1,1,1,1,0,5,0,0,0,0,0,0.33333334,"no"
"caijia6","caijia","no",62,6,NA,40,40,1,1,1,1,0,0,5,0.2,0,0,0,0,0.33333334,"no"
"caijia6","caijia","no",67,6,0,80,20,1,1,1,0,0,0,5,0,0,0,0,0,0.33333334,"no"
"caijia6","caijia","no",43,4,1,60,20,1,1,1,1,0,0,5,0.40000001,1,0,0,1,0.33333334,"no"
"caijia6","caijia","no",57,7,3,60,50,1,1,0,1,0.40000001,NA,NA,NA,NA,NA,NA,NA,0.33333334,NA
"caijia6","caijia","no",38,4,2,70,50,1,1,1,0,0,0,5,0.2,0,0,0,0,0.33333334,"no"
"caijia6","caijia","no",50,5,2,70,50,1,1,0,0,0.40000001,NA,NA,NA,NA,NA,NA,NA,0.33333334,NA
"caijia6","caijia","no",36,4,2,25,20,1,1,1,0,0.39999998,0,5,0.40000001,1,0,0,1,0.33333334,"no"
"caijia6","caijia","no",62,6,NA,70,40,1,1,1,1,0,1,5,0,0,0,0,0,0.33333334,"yes"
"caijia6","caijia","no",62,6,2,40,20,1,1,0,0,0,0,5,1,0,0,1,1,0.33333334,"no"
"caijia6","caijia","yes",64,10,3,20,10,1,1,0,0,0,1,5,0.60000002,0,0,0,0,0.33333334,"yes"
"caijia6","caijia","no",55,3,2,60,50,1,1,1,0,0,1,5,0.40000001,0,1,1,1,0.33333334,"yes"
"caijia6","caijia","no",57,4,1,40,20,1,1,1,1,0,0,5,0.2,0,0,0,0,0.33333334,"no"
"caijia6","caijia","yes",41,4,2,30,50,1,1,0,0,1,0,5,0.60000002,0,1,1,1,0.33333334,"no"
"caijia6","caijia","no",38,5,2,14,40,1,1,1,1,0,1,5,0.40000001,1,0,0,1,0.33333334,"yes"
"caijia6","caijia","yes",42,4,2,100,40,1,1,0,1,0,1,5,0.60000002,0,1,1,1,0.33333334,"yes"
"caijia6","caijia","yes",53,4,4,15,20,1,1,0,1,0.19999999,1,5,0.40000001,0,1,1,1,0.33333334,"yes"
"caijia6","caijia","yes",57,2,1,20,50,1,1,1,0,1,0,5,0,0,0,0,0,0.33333334,"no"
"caijia6","caijia","no",64,7,1,40,50,1,1,1,0,0,0,4,0.25,0,0,0,0,0.33333334,"no"
"caijia6","caijia","no",48,5,1,30,10,1,1,1,0,0.19999999,0,5,0.40000001,1,0,0,1,0.33333334,"no"
"caijia6","caijia","no",41,3,2,NA,30,1,1,1,0,0,0,5,0.2,0,0,0,0,0.33333334,"no"
"caijia6","caijia","no",70,12,0,70,40,1,1,0,1,0.60000002,NA,NA,NA,NA,NA,NA,NA,0.33333334,NA
"caijia6","caijia","yes",52,4,4,60,50,1,1,1,0,0.2,NA,5,0.40000001,0,1,1,1,0.33333334,NA
"caijia6","caijia","yes",52,4,2,60,50,1,1,1,0,0,NA,5,0.2,1,0,0,1,0.33333334,NA
"caijia6","caijia","yes",76,6,1,40,30,1,1,1,1,0,NA,5,0.40000001,0,1,1,1,0.33333334,NA
"caijia6","caijia","no",74,3,0,40,30,1,1,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,0.33333334,NA
"caijia6","caijia","no",37,5,1,40,50,1,1,1,0,0,1,5,0.40000001,0,0,0,0,0.33333334,"yes"
"caijia6","caijia","no",68,2,0,90,20,1,1,1,0,0,0,5,0.40000001,1,0,0,1,0.33333334,"no"
"caijia6","caijia","yes",37,4,NA,80,40,1,1,1,0,0.60000002,NA,NA,NA,NA,NA,NA,NA,0.33333334,NA
"caijia6","caijia","no",35,10,1,100,30,1,1,1,1,0,1,5,0.2,0,0,0,0,0.33333334,"yes"
"chaxishangchaxi","chaxi","no",73,7,0,100,50,1,0,0,0,0,1,2,0.5,1,0,0,1,0.25,"yes"
"chaxishangchaxi","chaxi","no",53,5,3,100,30,1,0,0,0,0,1,5,0.2,1,0,0,1,0.25,"yes"
"chaxishangchaxi","chaxi","no",53,4,0,80,50,1,0,0,0,0,1,5,0.60000002,0,1,1,1,0.25,"yes"
