"treat","age","education","black","hispanic","married","nodegree","re75","re78","id"
1,20,9,1,0,0,1,660.51593,12229.63,150
1,20,11,1,0,0,1,696.21918,0,151
1,18,10,1,0,0,1,699.78961,480.52701,152
1,17,10,1,0,0,1,856.88641,3251.1001,153
1,26,12,1,0,0,0,1088.907,11460.56,154
1,22,10,1,0,0,1,1071.108,7315.4521,155
1,20,12,1,0,0,0,1160.366,702.1839,156
1,18,8,1,0,0,1,1199.641,0,157
1,18,9,1,0,0,1,1285.33,15369.48,158
1,18,10,1,0,0,1,1371.017,12064.41,159
1,19,10,1,0,0,1,1374.587,13278.97,160
1,18,9,0,1,0,1,1713.7729,8836.5664,161
1,17,10,0,1,0,1,2202.7959,4387.0571,162
1,19,11,1,0,0,1,1927.995,11965.81,163
1,27,11,1,0,1,1,2142.217,2186.189,164
1,19,10,1,0,0,1,3213.113,2975.031,165
1,19,9,0,1,0,1,3276.1499,14271.23,166
1,27,10,1,0,0,1,3213.322,2094.1189,167
1,21,11,1,0,1,1,4167.998,11300.24,168
1,29,10,1,0,1,1,4923.2632,130.67909,169
1,34,11,0,1,0,1,4641.4668,2877.6819,170
1,25,10,0,0,0,1,4712.874,6103.7461,171
1,31,13,0,0,0,0,5498.3501,2329.8669,172
1,41,9,1,0,1,1,5783.981,0,173
1,21,11,0,1,0,1,6658.562,9381.2949,174
1,20,11,1,0,0,1,6426.646,16451.461,175
1,24,12,0,1,1,0,7212.1099,6485.5078,176
1,41,9,1,0,1,1,7212.1201,3154.72,177
1,21,12,0,0,0,0,7390.6338,3557.9341,178
1,22,11,1,0,0,1,7497.752,668.74658,179
1,20,9,0,1,0,1,8015.4419,5487.9702,180
1,17,11,1,0,0,1,8497.4355,9017.0039,181
1,24,11,1,0,0,1,9180.9199,0,182
1,23,12,1,0,1,0,15079.95,10283.49,183
1,23,10,1,0,0,1,15709.56,5665.0659,184
1,26,11,0,0,0,1,22959.76,2746.614,185
1,21,13,1,0,0,0,24806.83,8803.666,186
1,18,10,1,0,1,1,1958.0959,10989.93,187
1,22,10,1,0,0,1,653.95422,11134.98,188
1,17,10,1,0,0,1,1000.55,1433.531,189
1,20,7,1,0,0,1,1569.49,5518.083,190
1,17,9,1,0,0,1,1667.583,5594.729,191
1,23,11,1,0,0,1,1961.864,3689.126,192
1,32,10,1,0,0,1,2321.5371,179.0217,193
1,19,12,1,0,0,0,2534.072,4551.979,194
1,30,10,1,0,0,1,2615.8169,0,195
1,25,12,1,0,0,0,2746.6079,2090.678,196
1,26,11,0,0,0,1,4676.457,1973.345,197
1,19,10,1,0,0,1,3473.8081,5861.603,198
1,19,8,0,0,0,1,3416.907,9251.3574,199
1,20,10,1,0,0,1,5100.8389,13626.04,200
1,21,11,1,0,0,1,5310.1069,7906.3408,201
1,23,12,1,0,0,0,7841.9722,7947.2568,202
1,19,11,1,0,0,1,6409.0269,11648.7,203
1,22,11,1,0,0,1,8774.791,18295.82,204
1,23,12,1,0,0,0,7782.042,14416.84,205
1,26,10,1,0,1,1,8141.7031,4635.6602,206
1,24,12,1,0,0,0,12982.34,0,207
1,18,10,0,1,0,1,12625.51,0,208
1,27,11,1,0,0,1,14223.5,7661.9731,209
1,21,11,0,1,0,1,17983.711,15191.91,210
1,25,8,0,0,0,1,23096.65,6421.5298,211
1,21,12,1,0,0,0,807.95111,4350.9072,212
1,19,11,1,0,0,1,532.2536,0,213
1,18,11,1,0,0,1,851.60608,0,214
1,34,7,1,0,0,1,857.51947,0,215
1,21,11,0,0,0,1,946.22791,11412.24,216
1,25,9,1,0,0,1,1536.5031,1709.342,217
1,17,9,1,0,0,1,1341.651,1374.066,218
1,28,8,1,0,0,1,1182.786,7779.2632,219
1,18,9,1,0,0,1,1182.786,5100.4692,220
1,27,12,1,0,0,0,4310.4551,0,221
1,23,9,1,0,0,1,1774.1801,11464.71,222
1,19,8,0,1,0,1,1862.889,8774.623,223
1,21,11,1,0,0,1,2158.585,0,224
1,21,11,1,0,0,1,2217.7241,4082.3701,225
1,23,10,1,0,0,1,2217.7241,0,226
1,27,9,1,0,0,1,2294.605,2018.556,227
1,27,11,1,0,0,1,2483.8521,0,228
1,23,12,0,0,0,0,3903.1951,796.55969,229
1,27,8,1,0,0,1,7218.2769,7976.9321,230
1,28,11,1,0,1,1,6952.5801,7318.186,231
1,25,12,1,0,0,0,5204.2588,0,232
1,20,12,1,0,0,0,6085.4209,9750.6602,233
1,26,12,1,0,0,0,6608.8032,5811.7651,234
1,23,10,1,0,1,1,10495.08,3385.811,235
1,49,8,0,0,1,1,7285.9482,16717.119,236
1,19,11,1,0,0,1,10224.37,11293.81,237
1,21,13,0,0,0,0,8616.8516,99.570023,238
1,27,12,1,0,1,0,7806.3872,2777.585,239
1,23,11,1,0,0,1,8959.5889,1659.5,240
1,22,11,1,0,0,1,12170.94,8408.3926,241
1,24,15,1,0,0,0,13008.5,14683.63,242
1,24,12,1,0,0,0,18154.061,0,243
1,18,11,1,0,0,1,214.5636,929.88391,244
1,17,10,1,0,0,1,5793.8521,5522.7881,245
1,17,9,1,0,0,1,1253.439,5445.2002,246
1,28,11,1,0,0,1,6871.856,0,247
1,27,11,1,0,0,1,2666.2739,0,248
1,19,11,1,0,0,1,2615.2759,4146.603,249
1,18,11,0,0,0,1,919.55792,4321.7051,250
1,24,10,1,0,0,1,2421.947,1660.5081,251
1,23,12,1,0,0,0,3039.96,8484.2393,252
1,21,9,1,0,0,1,5749.3311,743.66663,253
1,21,12,1,0,0,0,3332.4089,9371.0371,254
1,24,9,1,0,0,1,2288.675,4849.5591,255
1,20,9,0,1,0,1,5875.0488,1358.6429,256
1,25,13,1,0,0,0,3090.7319,0,257
1,35,8,1,0,1,1,17976.15,3786.6279,258
1,17,9,0,1,0,1,74.343452,6210.6699,259
1,24,11,1,0,1,1,1666.113,4032.708,260
1,20,12,1,0,0,0,165.2077,0,261
1,21,8,1,0,0,1,3695.897,4279.6128,262
1,18,10,1,0,0,1,1784.274,11141.39,263
1,27,12,1,0,0,0,357.94989,22163.25,264
1,22,9,1,0,0,1,3836.9861,3462.564,265
1,46,8,1,0,0,1,2594.7229,0,266
1,19,10,1,0,0,1,6056.7539,0,267
1,19,11,0,1,1,1,5463.8032,6788.4629,268
1,22,12,1,0,0,0,936.17731,0,269
1,22,12,0,0,0,0,8455.5039,12590.71,270
1,26,12,1,0,1,0,5794.8311,1424.944,271
1,29,12,1,0,0,0,4878.937,10976.51,272
1,31,9,1,0,0,1,5517.8408,9558.501,273
1,29,12,1,0,0,0,1817.2841,0,274
1,35,9,1,0,1,1,13830.64,12803.97,275
1,25,12,1,0,0,0,2409.2739,0,276
1,22,12,0,1,1,0,7055.7021,10092.83,277
1,27,10,1,0,0,1,3550.075,0,278
1,22,10,1,0,1,1,5588.6641,13228.28,279
1,19,8,1,0,0,1,2937.2639,7535.9419,280
1,20,11,1,0,0,1,1220.8361,1085.4399,281
1,21,12,0,0,0,0,334.04941,12558.02,282
1,27,12,1,0,1,0,334.04929,0,283
1,20,10,1,0,0,1,2777.355,5615.189,284
1,23,12,1,0,0,0,501.0741,671.33179,285
1,27,13,0,0,1,0,853.72247,0,286
1,23,12,0,1,0,0,1117.439,559.44318,287
1,24,12,1,0,0,0,2842.7639,6167.6812,288
1,20,11,1,0,0,1,1484.994,6943.3418,289
1,26,10,1,0,0,1,6788.958,672.87732,290
1,25,14,1,0,1,0,11536.57,36646.949,291
1,26,10,1,0,1,1,0,0,292
1,20,9,1,0,0,1,0,8881.665,293
1,31,4,1,0,0,1,4023.2109,7382.5488,294
1,24,10,1,0,1,1,4078.1521,0,295
1,33,11,1,0,1,1,25142.24,4181.9419,296
1,33,12,1,0,1,0,10941.35,15952.6,297
0,23,10,1,0,0,1,0,0,298
0,26,12,0,0,0,0,0,12383.68,299
0,22,9,1,0,0,1,0,0,300
0,34,9,1,0,0,1,4368.4131,14051.16,301
0,18,9,1,0,0,1,0,10740.08,302
0,45,11,1,0,0,1,0,11796.47,303
0,18,9,1,0,0,1,0,9227.0518,304
0,27,12,1,0,0,0,2483.8511,3552.2681,305
0,24,8,0,0,0,1,0,10569.27,306
0,34,11,1,0,1,1,0,6040.335,307
0,20,13,1,0,0,0,8965.2432,9199.5635,308
0,24,4,0,1,0,1,0,3880.833,309
0,28,12,0,0,0,0,803.34302,16477.02,310
0,21,10,1,0,0,1,922.57288,0,311
0,28,12,1,0,1,0,29009.109,10067.43,312
0,20,12,1,0,0,0,6004.728,4779.7202,313
0,23,8,1,0,0,1,3403.0559,0,314
0,21,11,1,0,1,1,7244.561,8976.8262,315
0,36,10,1,0,0,1,0,0,316
0,18,12,0,0,0,0,735.20508,2502.5259,317
0,21,14,1,0,0,0,0,5775.062,318
0,30,13,1,0,0,0,5569.7612,0,319
0,26,11,0,1,0,1,1491.016,0,320
0,28,9,1,0,0,1,0,0,321
0,31,4,0,0,0,1,10711.08,0,322
0,18,12,1,0,0,0,642.66449,14444.71,323
0,27,7,1,0,1,1,0,0,324
0,19,11,0,0,0,1,0,0,325
0,20,8,1,0,0,1,0,0,326
0,28,8,1,0,0,1,10610.08,4623.188,327
0,34,12,1,0,0,0,0,2113.7219,328
0,24,10,1,0,0,1,0,7618.6392,329
0,24,9,1,0,0,1,0,16461.57,330
0,22,8,0,1,0,1,0,9920.9453,331
0,25,11,1,0,0,1,0,4196.375,332
0,20,11,0,0,0,1,1177.118,8743.0713,333
0,21,9,1,0,0,1,0,3343.2241,334
0,19,12,1,0,0,0,2814.1951,1720.907,335
0,39,9,1,0,0,1,0,0,336
0,19,9,1,0,1,1,0,16658.25,337
0,24,10,1,0,0,1,1307.908,0,338
0,44,9,1,0,0,1,0,9722.0029,339
0,23,11,1,0,0,1,1896.0229,5573.5469,340
0,22,12,1,0,0,0,532.2536,1333.4449,341
0,27,8,1,0,0,1,0,3783.6599,342
0,27,11,1,0,1,1,1122.621,215.83479,343
0,18,9,1,0,0,1,1605.448,0,344
0,25,8,1,0,0,1,0,3515.929,345
0,31,10,1,0,0,1,0,17014.59,346
0,28,10,1,0,0,1,6567.3291,5435.7871,347
0,26,10,1,0,1,1,558.77338,0,348
0,30,8,1,0,0,1,1706.657,0,349
0,28,11,0,1,1,1,0,6771.6221,350
0,34,10,1,0,1,1,0,0,351
0,21,7,0,1,0,1,0,0,352
0,33,12,1,0,0,0,0,5970.2568,353
0,19,9,1,0,0,1,1778.089,7171,354
0,20,11,1,0,0,1,7967.209,0,355
0,18,10,0,1,0,1,0,1859.167,356
0,27,12,1,0,1,0,752.39008,0,357
0,26,12,1,0,1,0,0,6191.9429,358
0,24,9,1,0,0,1,9662.6699,0,359
0,31,12,1,0,0,0,0,7284.394,360
0,22,12,1,0,0,0,2158.05,0,361
0,28,14,1,0,0,0,6539.5371,3123.116,362
0,35,10,1,0,0,1,0,445.8309,363
0,20,12,1,0,0,0,0,0,364
0,30,9,0,0,0,1,3141.917,1320.923,365
0,25,11,1,0,0,1,0,0,366
0,25,10,1,0,0,1,0,7367.04,367
0,35,11,1,0,0,1,0,0,368
0,22,8,1,0,0,1,6150.52,0,369
0,21,12,1,0,0,0,449.04791,0,370
0,20,10,1,0,0,1,0,2015.5031,371
0,21,8,1,0,0,1,2237.208,1764.108,372
0,25,9,0,1,0,1,0,15791.13,373
0,24,10,0,1,0,1,3000.8379,5350.0381,374
0,33,11,1,0,0,1,2899.8201,18859.891,375
0,21,9,1,0,0,1,12357.22,0,376
0,27,11,1,0,1,1,4491.8838,0,377
0,27,10,1,0,0,1,0,1135.47,378
0,20,11,0,1,0,1,0,6378.7202,379
0,25,13,1,0,0,0,10240.36,10020.72,380
0,18,11,1,0,0,1,645.27228,5497.5908,381
0,26,11,1,0,0,1,0,7176.187,382
0,38,8,1,0,0,1,0,0,383
0,21,11,1,0,1,1,7652.1201,8396.6543,384
0,34,11,1,0,0,1,8912.4844,5611.8662,385
0,21,10,1,0,0,1,1162.3621,39483.531,386
0,31,13,1,0,0,0,10393.61,7404.7622,387
0,34,10,1,0,0,1,0,7952.54,388
0,25,11,1,0,0,1,3649.769,0,389
0,24,9,1,0,0,1,1275.356,8644.4268,390
0,19,12,1,0,0,0,0,0,391
0,32,8,1,0,0,1,0,7152.1318,392
0,20,9,0,1,0,1,0,8329.8232,393
0,23,10,1,0,0,1,0,0,394
0,38,10,1,0,0,1,0,12429.91,395
0,24,11,1,0,0,1,0,0,396
0,19,10,0,1,0,1,1197.462,11223.72,397
0,23,11,1,0,0,1,0,5088.7598,398
0,20,7,0,1,0,1,0,4374.04,399
0,25,10,1,0,1,1,9319.4443,0,400
0,21,11,1,0,0,1,0,1553.291,401
0,25,10,1,0,0,1,0,0,402
0,22,11,1,0,1,1,0,1698.304,403
0,29,9,0,1,0,1,16341.16,16900.301,404
0,21,11,1,0,0,1,1862.889,11630.66,405
0,21,7,1,0,0,1,0,11011.57,406
0,23,11,1,0,0,1,0,0,407
0,20,12,1,0,0,0,1371.473,20893.109,408
0,21,11,0,1,0,1,8920.4707,20857.84,409
0,26,12,1,0,0,0,7322.0371,4677.0488,410
0,24,12,0,0,0,0,0,11294.63,411
0,43,10,1,0,0,1,4128.4429,7565.2729,412
0,31,11,1,0,0,1,1726.4449,0,413
0,22,11,1,0,0,1,2707.3721,100.6998,414
0,29,11,1,0,0,1,0,0,415
0,24,11,1,0,0,1,0,14626.39,416
0,22,9,1,0,0,1,0,12898.38,417
0,19,11,1,0,0,1,8870.8789,7396.292,418
0,28,11,1,0,0,1,0,5767.1328,419
0,18,10,0,1,0,1,0,6527.9189,420
0,18,9,1,0,0,1,2138.094,5767.7041,421
0,26,10,1,0,0,1,0,3931.238,422
0,25,10,1,0,0,1,0,20942.24,423
0,26,12,1,0,0,0,8479.5928,10820.55,424
0,23,11,1,0,0,1,29897.189,23483.449,425
0,20,8,0,1,0,1,1124.801,11731.2,426
0,24,10,1,0,0,1,0,0,427
0,27,13,1,0,0,0,8797.3477,1653.481,428
0,26,5,1,0,0,1,0,0,429
0,37,10,1,0,0,1,8606.7432,0,430
0,36,10,1,0,0,1,0,14690.35,431
0,22,11,1,0,0,1,0,0,432
0,22,9,1,0,0,1,506.40759,604.19873,433
0,25,12,1,0,0,0,0,3418.0969,434
0,22,10,1,0,0,1,1765.676,0,435
0,27,11,1,0,0,1,0,11197.34,436
0,29,8,1,0,0,1,0,0,437
0,18,9,1,0,0,1,2006.629,6546.0098,438
0,24,12,1,0,0,0,0,0,439
0,27,9,0,1,0,1,1596.762,6723.4141,440
0,19,9,1,0,0,1,902.45648,1914.4139,441
0,22,10,1,0,0,1,0,0,442
0,29,12,1,0,0,0,1359.347,132.75999,443
0,30,11,1,0,1,1,9311.9385,3982.801,444
0,22,7,1,0,0,1,13503.77,11607.09,445
0,24,7,1,0,0,1,0,1455.6899,446
0,29,14,1,0,0,0,3357.1851,7226.0488,447
0,29,12,1,0,0,0,0,1890.937,448
0,22,11,1,0,0,1,1321.66,2639.29,449
0,25,11,0,1,1,1,0,4485.6162,450
0,30,12,1,0,0,0,0,13613.35,451
0,22,8,1,0,0,1,0,1390.509,452
0,55,3,1,0,0,1,0,5843.7959,453
0,35,10,1,0,0,1,9902.7627,9453.8271,454
0,20,10,1,0,0,1,0,8598.5225,455
0,29,9,1,0,0,1,1203.824,9378.6533,456
0,20,11,1,0,0,1,3470.3889,7896.707,457
0,27,9,1,0,0,1,2129.0161,0,458
0,28,10,1,0,1,1,6449.48,16988.18,459
0,20,11,1,0,0,1,2531.311,0,460
0,26,14,1,0,1,0,2025.566,0,461
0,19,8,0,1,0,1,1087.803,2987.1011,462
0,34,11,1,0,0,1,0,2920.199,463
0,22,12,1,0,0,0,0,0,464
0,32,12,0,1,1,0,0,6735.3198,465
0,19,11,1,0,0,1,1868.021,0,466
0,31,10,1,0,0,1,0,0,467
0,18,9,1,0,0,1,0,0,468
0,28,10,1,0,0,1,4479.5869,128.672,469
0,32,12,1,0,0,0,12419.18,10673.7,470
0,50,10,0,1,0,1,0,0,471
0,20,12,1,0,0,0,591.81512,4159.9189,472
0,25,11,1,0,1,1,0,44.755459,473
0,23,10,1,0,1,1,0,0,474
0,21,14,1,0,0,0,5926.7949,29408.039,475
0,38,10,1,0,0,1,0,0,476
0,25,7,0,1,0,1,1177.118,9722.3486,477
0,25,10,1,0,1,1,0,3701.812,478
0,29,12,1,0,0,0,2080.209,16969.949,479
0,42,10,1,0,0,1,0,6930.3359,480
0,39,12,1,0,1,0,0,3795.7991,481
0,27,11,1,0,1,1,20035.26,9074.7637,482
0,34,13,1,0,1,0,0,5193.2471,483
0,25,11,1,0,1,1,3266.406,479.2677,484
0,28,10,1,0,0,1,10068.4,0,485
0,24,7,1,0,0,1,0,2193.5281,486
0,32,11,1,0,0,1,0,11120.53,487
0,27,13,1,0,0,0,0,7609.5181,488
0,20,12,1,0,0,0,4932.2148,6086.9658,489
0,29,13,1,0,0,0,2265.5791,2725.322,490
0,26,10,1,0,0,1,0,2169.0271,491
0,44,11,1,0,0,1,0,0,492
0,24,9,1,0,0,1,4118.6812,597.41998,493
0,28,10,0,0,1,1,6346.1929,6793.0771,494
0,24,11,1,0,0,1,1327.993,9495.9023,495
0,25,11,1,0,0,1,0,1264.2321,496
0,25,8,1,0,1,1,515.82739,14281.31,497
0,23,11,1,0,0,1,5716.4072,10274.84,498
0,20,11,1,0,0,1,1650.4611,278.87509,499
0,24,12,1,0,0,0,8100.5332,11235.11,500
0,20,11,0,0,1,1,8159.5068,6336.7832,501
0,25,12,1,0,0,0,0,0,502
0,28,11,1,0,0,1,863.47949,0,503
0,28,12,1,0,1,0,0,0,504
0,21,12,0,0,0,0,5440.8149,11544.01,505
0,24,11,0,0,0,1,1468.3831,10361.69,506
0,32,10,1,0,0,1,0,0,507
0,21,10,1,0,1,1,1785.1801,6831.106,508
0,21,8,1,0,0,1,6608.3042,3083.5811,509
0,25,10,1,0,1,1,11696.37,11127.28,510
0,22,10,0,0,1,1,23031.98,5448.8008,511
0,22,10,1,0,0,1,0,0,512
0,19,9,1,0,0,1,0,5712.6431,513
0,31,10,1,0,1,1,0,0,514
0,23,11,1,0,0,1,0,0,515
0,22,11,1,0,0,1,875.26147,9139.6523,516
0,33,11,1,0,0,1,0,0,517
0,27,10,1,0,0,1,0,1184.882,518
0,29,11,1,0,1,1,0,10225.88,519
0,38,10,1,0,1,1,14701.95,4393.5229,520
0,20,6,1,0,0,1,2850.6101,0,521
0,23,10,1,0,0,1,0,0,522
0,29,11,1,0,0,1,3256.165,3290.293,523
0,26,9,1,0,0,1,6955.0542,11856.88,524
0,25,9,1,0,1,1,0,4715.3711,525
0,24,11,1,0,0,1,13370.58,19533.881,526
0,25,10,1,0,0,1,0,289.78989,527
0,23,11,0,0,0,1,19995.641,12896.22,528
0,25,13,1,0,0,0,3751.0481,1672.776,529
0,20,9,1,0,0,1,9164.4492,8924.3945,530
0,25,11,1,0,0,1,3072.7261,284.65839,531
0,29,12,0,0,0,0,12205.14,16328.96,532
0,25,9,1,0,1,1,16946.631,7343.9639,533
0,23,11,1,0,0,1,580.7901,0,534
0,44,9,1,0,1,1,10857.24,12359.31,535
0,22,12,1,0,1,0,9352.1992,8072.1812,536
0,20,11,0,0,0,1,1159.131,0,537
0,36,11,1,0,0,1,7311.561,0,538
0,24,10,1,0,0,1,0,0,539
0,28,8,0,0,0,1,0,8190.4209,540
0,39,11,1,0,0,1,83.689636,0,541
0,27,12,0,1,0,0,24276.971,15762.88,542
0,31,10,1,0,0,1,520.44629,14527.88,543
0,26,6,1,0,0,1,0,4813.0498,544
0,30,11,1,0,1,1,24105.391,7263.0249,545
0,31,8,1,0,0,1,4577.6802,6153.8301,546
0,26,8,1,0,0,1,5562.5981,3523.5779,547
0,26,10,1,0,1,1,9107.4307,12659.58,548
0,24,12,1,0,0,0,159.8847,0,549
0,25,11,1,0,0,1,2455.0669,8764.1484,550
0,29,9,1,0,0,1,9160.6934,0,551
0,30,14,1,0,1,0,0,7344.6782,552
0,25,10,1,0,1,1,0,0,553
0,41,12,1,0,0,0,9818.4668,0,554
0,29,11,1,0,1,1,0,0,555
0,25,12,1,0,1,0,0,0,556
0,28,13,1,0,0,0,0,0,557
0,23,11,1,0,0,1,0,4350.9072,558
0,54,11,1,0,0,1,0,7812.522,559
0,33,5,0,1,0,1,0,0,560
0,31,12,0,0,0,0,494.64301,0,561
0,34,12,1,0,0,0,4087.2141,5670.8198,562
0,50,8,1,0,1,1,5630.0498,8997.1934,563
0,31,11,1,0,0,1,7505.2129,308.33521,564
0,36,12,0,1,0,0,11491.95,4978.501,565
0,20,8,1,0,0,1,0,3644.655,566
0,24,12,0,0,1,0,24294.75,665.73743,567
0,23,12,0,1,0,0,8960.6836,7078.1782,568
0,26,13,0,0,0,0,5395.1191,9766.2002,569
