days_to_21,all,felony,misdemeanor,murder,manslaughter,rape,robbery,assault,alcohol,drunk_at_risk,dui
-964,4983,1708,3275,14,0,17,139,418,1139,3,355
-963,4863,1684,3179,16,1,7,132,365,1092,0,363
-962,5025,1708,3317,12,4,18,118,380,1159,5,370
-961,4977,1632,3345,16,0,9,138,399,1181,6,375
-960,4968,1662,3306,10,0,11,135,394,1119,3,383
-959,4749,1642,3107,12,1,14,110,386,1068,5,356
-958,4798,1634,3164,13,0,7,114,364,1097,3,362
-957,4922,1709,3213,14,2,15,158,368,1115,4,371
-956,4981,1710,3271,17,1,9,124,357,1168,5,390
-955,5007,1700,3307,20,2,9,117,409,1132,5,363
-954,4863,1657,3206,12,1,13,114,389,1134,0,361
-953,4929,1720,3209,8,0,8,110,378,1159,2,378
-952,5008,1726,3282,15,1,9,123,404,1134,2,357
-951,4963,1688,3275,13,0,14,108,386,1101,3,332
-950,4952,1704,3248,11,2,14,128,403,1112,3,376
-949,5066,1775,3291,9,2,13,110,379,1112,3,367
-948,4877,1677,3200,16,1,10,111,407,1116,2,344
-947,4890,1681,3209,18,2,14,123,400,1087,2,348
-946,5043,1779,3264,7,1,13,139,394,1163,6,387
-945,4979,1723,3256,15,3,12,131,410,1142,7,395
-944,4924,1682,3242,8,0,10,89,377,1110,1,362
-943,5022,1736,3286,12,1,14,109,425,1121,8,366
-942,5101,1746,3355,10,2,13,122,376,1236,4,409
-941,5070,1754,3316,20,1,15,128,414,1147,4,372
-940,4969,1661,3308,9,0,12,113,404,1138,2,379
-939,5014,1742,3272,15,1,12,161,407,1138,7,381
-938,4885,1636,3249,9,1,12,119,378,1088,6,344
-937,4906,1638,3268,10,4,8,115,376,1119,5,353
-936,5062,1762,3300,8,2,13,123,412,1153,6,398
-935,4922,1635,3287,10,3,14,123,371,1173,4,404
-934,5104,1781,3323,16,4,17,128,420,1151,6,362
-933,5046,1677,3369,11,1,20,119,411,1199,5,415
-932,5132,1709,3423,16,2,13,134,411,1178,6,389
-931,5083,1704,3379,14,1,15,135,405,1142,2,399
-930,4999,1676,3323,14,2,17,122,417,1126,2,381
-929,5036,1743,3293,9,1,11,155,392,1161,1,373
-928,5135,1746,3389,7,0,14,138,420,1211,6,389
-927,5004,1706,3298,12,2,10,113,388,1161,2,396
-926,5081,1668,3413,12,3,11,114,425,1198,2,393
-925,5139,1712,3427,14,1,17,129,369,1197,1,423
-924,5069,1727,3342,7,1,9,130,390,1128,5,330
-923,5106,1712,3394,12,0,11,123,411,1166,2,388
-922,5122,1792,3330,9,0,9,141,372,1136,4,356
-921,5038,1685,3353,11,1,18,110,419,1208,2,387
-920,5117,1771,3346,11,1,10,136,413,1156,6,375
-919,5014,1713,3301,8,1,11,128,349,1134,3,386
-918,4992,1687,3305,16,4,15,134,408,1177,5,378
-917,5082,1704,3378,11,1,11,122,398,1162,2,413
-916,5031,1768,3263,14,1,10,132,412,1113,3,349
-915,5117,1722,3395,18,3,10,137,381,1155,6,359
-914,5188,1780,3408,12,1,19,115,407,1186,2,378
-913,5154,1713,3441,20,1,12,137,409,1206,6,396
-912,5167,1761,3406,8,4,14,137,425,1158,4,400
-911,5096,1743,3353,23,0,18,135,379,1156,7,361
-910,5021,1714,3307,19,1,12,111,406,1135,3,377
-909,4972,1682,3290,10,2,9,118,419,1114,2,372
-908,5028,1663,3365,13,1,10,105,384,1172,0,387
-907,5103,1656,3447,9,1,12,147,398,1170,3,373
-906,5101,1713,3388,9,2,15,126,407,1159,3,373
-905,5165,1749,3416,11,2,13,136,428,1210,6,421
-904,5045,1711,3334,16,0,8,105,409,1123,4,358
-903,5162,1757,3405,18,1,19,129,398,1204,5,422
-902,4994,1672,3322,18,1,15,114,386,1148,3,402
-901,5197,1719,3478,9,3,12,114,421,1216,2,385
-900,5139,1824,3315,14,1,7,129,382,1147,1,395
-899,5149,1708,3441,7,2,12,116,387,1234,6,401
-898,5119,1721,3398,20,2,12,144,401,1229,1,387
-897,5225,1745,3480,11,3,13,137,419,1237,5,419
-896,5152,1684,3468,9,3,17,109,424,1196,4,427
-895,5189,1735,3454,12,1,10,120,405,1149,1,372
-894,5209,1776,3433,13,0,13,131,416,1168,0,382
-893,5127,1778,3349,14,0,11,134,418,1162,5,422
-892,5223,1749,3474,12,3,12,130,393,1211,5,422
-891,5256,1788,3468,11,2,12,126,419,1174,4,386
-890,5193,1711,3482,10,1,15,134,392,1251,6,406
-889,5163,1736,3427,10,0,11,136,421,1168,4,397
-888,5081,1680,3401,9,5,15,120,369,1177,1,400
-887,5157,1714,3443,12,2,12,120,384,1192,4,400
-886,5142,1730,3412,13,0,10,121,385,1205,0,396
-885,5159,1781,3378,14,2,13,111,447,1149,3,421
-884,5227,1755,3472,14,0,11,122,410,1218,3,404
-883,5262,1808,3454,19,2,14,148,408,1235,1,439
-882,5051,1670,3381,9,0,8,112,419,1195,3,411
-881,5136,1712,3424,16,0,9,112,442,1196,3,432
-880,5161,1698,3463,8,1,9,122,425,1142,2,374
-879,5103,1704,3399,9,0,12,139,375,1219,3,452
-878,5152,1722,3430,8,1,8,117,439,1166,4,383
-877,5246,1804,3442,11,3,11,123,432,1242,7,447
-876,5189,1779,3410,8,0,13,148,392,1183,5,423
-875,5100,1697,3403,14,0,7,121,380,1218,4,452
-874,5066,1727,3339,10,4,11,132,416,1159,3,392
-873,5240,1839,3401,16,1,14,133,464,1148,6,378
-872,5242,1771,3471,11,1,10,129,410,1166,3,406
-871,5139,1719,3420,17,0,9,132,406,1186,4,396
-870,5285,1783,3502,20,1,13,139,410,1223,6,391
-869,5163,1760,3403,15,1,9,142,424,1200,3,391
-868,5178,1730,3448,11,1,13,119,419,1187,5,391
-867,5172,1774,3398,12,2,11,124,388,1192,1,416
-866,5073,1759,3314,9,0,4,125,412,1180,3,411
-865,5106,1715,3391,13,0,13,133,391,1215,6,386
-864,5162,1737,3425,14,2,13,123,419,1190,6,415
-863,5125,1709,3416,6,1,10,116,412,1215,5,421
-862,5196,1721,3475,9,1,12,130,404,1251,7,454
-861,5326,1798,3528,9,1,10,139,404,1254,3,443
-860,5160,1756,3404,10,3,9,113,415,1121,3,382
-859,5180,1772,3408,16,1,17,119,401,1167,1,410
-858,5276,1764,3512,16,2,14,133,430,1241,3,438
-857,5243,1690,3553,7,0,15,133,415,1286,4,465
-856,5124,1651,3473,12,2,12,128,395,1232,2,415
-855,5309,1771,3538,12,2,14,127,440,1216,4,433
-854,5254,1690,3564,14,0,13,112,394,1298,4,437
-853,5337,1752,3585,20,2,19,151,410,1273,2,431
-852,5349,1814,3535,12,1,15,113,420,1241,4,431
-851,5230,1712,3518,16,0,13,117,404,1249,5,460
-850,5282,1772,3510,17,1,11,97,395,1205,5,404
-849,5265,1725,3540,8,3,15,125,462,1204,6,419
-848,5366,1810,3556,10,3,19,143,419,1272,4,450
-847,5223,1715,3508,6,2,12,129,389,1200,2,416
-846,5144,1695,3449,11,2,13,127,400,1177,5,387
-845,5334,1766,3568,13,2,12,130,443,1256,2,451
-844,5306,1794,3512,14,1,14,118,400,1256,2,445
-843,5315,1754,3561,21,0,12,123,399,1248,5,434
-842,5339,1756,3583,17,0,15,109,401,1312,2,471
-841,5208,1759,3449,15,1,22,127,386,1125,3,385
-840,5203,1748,3455,13,0,15,134,412,1200,4,417
-839,5253,1767,3486,10,1,17,149,370,1218,4,406
-838,5301,1732,3569,14,0,6,132,405,1262,4,441
-837,5316,1781,3535,16,0,11,149,395,1230,5,459
-836,5227,1710,3517,14,1,13,133,429,1263,5,422
-835,5277,1709,3568,17,3,16,130,449,1278,2,436
-834,5224,1772,3452,21,2,13,129,413,1238,7,413
-833,5279,1762,3517,20,2,10,122,408,1315,8,447
-832,5280,1780,3500,12,0,10,135,403,1212,0,418
-831,5315,1782,3533,14,0,8,142,428,1213,6,431
-830,5341,1748,3593,18,4,9,139,401,1303,8,439
-829,5305,1661,3644,15,1,12,111,384,1298,7,475
-828,5323,1747,3576,13,2,12,140,406,1242,2,455
-827,5193,1758,3435,11,0,17,122,397,1202,4,433
-826,5259,1752,3507,20,2,17,153,383,1255,8,421
-825,5184,1684,3500,15,2,12,112,396,1209,2,441
-824,5200,1708,3492,10,3,15,139,385,1265,4,432
-823,5460,1763,3697,11,2,12,135,388,1309,4,455
-822,5236,1701,3535,9,0,8,120,396,1281,1,443
-821,5265,1735,3530,13,1,19,110,380,1239,2,447
-820,5384,1761,3623,12,2,16,139,401,1257,6,435
-819,5294,1722,3572,13,2,10,127,385,1226,6,412
-818,5272,1776,3496,11,2,12,134,392,1222,8,402
-817,5307,1756,3551,7,4,16,130,400,1232,6,434
-816,5252,1787,3465,13,1,21,134,400,1233,5,410
-815,5253,1680,3573,11,0,13,123,354,1242,1,449
-814,5431,1768,3663,13,2,12,115,434,1331,3,447
-813,5285,1727,3558,11,2,9,132,426,1238,5,463
-812,5403,1742,3661,17,2,6,144,440,1260,4,401
-811,5315,1788,3527,16,1,9,128,407,1235,4,458
-810,5229,1671,3558,18,0,10,122,384,1282,2,484
-809,5225,1686,3539,20,1,9,122,406,1203,1,430
-808,5351,1769,3582,15,1,9,121,430,1234,5,422
-807,5251,1774,3477,8,0,13,100,392,1254,4,454
-806,5209,1672,3537,17,2,6,124,388,1222,1,416
-805,5291,1768,3523,11,1,10,127,431,1267,4,448
-804,5407,1819,3588,15,3,13,136,412,1262,5,450
-803,5291,1738,3553,11,0,14,102,386,1260,5,469
-802,5344,1770,3574,12,1,15,127,388,1302,4,433
-801,5297,1737,3560,10,1,8,114,411,1285,7,475
-800,5247,1697,3550,9,3,9,131,398,1278,1,459
-799,5301,1695,3606,14,1,6,114,400,1276,2,449
-798,5318,1759,3559,15,3,14,118,427,1270,2,434
-797,5335,1758,3577,7,1,14,114,412,1228,2,466
-796,5395,1770,3625,13,0,17,116,438,1307,4,453
-795,5350,1727,3623,10,2,9,112,406,1269,4,450
-794,5408,1781,3627,14,2,10,129,443,1269,2,450
-793,5378,1733,3645,15,0,9,135,405,1277,6,442
-792,5422,1743,3679,17,2,18,107,450,1299,2,498
-791,5363,1735,3628,17,0,18,99,397,1259,2,426
-790,5281,1761,3520,7,5,12,137,421,1237,2,430
-789,5318,1728,3590,14,1,8,121,408,1285,5,460
-788,5308,1784,3524,17,5,12,125,436,1232,4,452
-787,5392,1732,3660,11,0,11,135,428,1285,2,456
-786,5287,1728,3559,13,5,12,120,393,1267,2,483
-785,5372,1842,3530,16,2,16,138,434,1238,4,421
-784,5402,1718,3684,13,0,16,125,393,1314,5,496
-783,5343,1778,3565,9,0,10,116,416,1209,4,413
-782,5227,1767,3460,20,1,11,119,410,1192,0,444
-781,5434,1809,3625,16,2,14,122,408,1307,3,484
-780,5449,1781,3668,9,1,12,125,393,1320,4,450
-779,5378,1789,3589,7,2,12,123,434,1279,4,428
-778,5347,1797,3550,14,0,18,134,414,1252,5,450
-777,5293,1762,3531,15,3,8,129,418,1258,3,449
-776,5373,1788,3585,16,2,12,118,407,1243,6,422
-775,5424,1773,3651,9,2,11,118,432,1288,7,417
-774,5322,1712,3610,12,0,10,115,410,1261,7,466
-773,5439,1768,3671,10,2,10,110,456,1349,3,492
-772,5304,1790,3514,11,0,13,133,393,1285,3,464
-771,5158,1688,3470,12,0,12,110,386,1254,6,452
-770,5289,1760,3529,16,2,7,137,427,1226,4,420
-769,5289,1769,3520,12,1,15,104,395,1267,3,444
-768,5293,1732,3561,11,0,13,109,407,1221,3,438
-767,5349,1734,3615,10,1,13,127,448,1256,3,421
-766,5328,1745,3583,14,1,5,133,435,1278,3,469
-765,5302,1722,3580,11,1,11,130,424,1255,6,442
-764,5357,1818,3539,12,1,7,135,424,1297,1,470
-763,5302,1773,3529,9,4,10,116,427,1235,3,475
-762,5452,1818,3634,14,2,16,123,402,1265,5,459
-761,5359,1768,3591,16,1,7,124,424,1309,9,468
-760,5440,1816,3624,9,0,10,110,441,1256,4,428
-759,5437,1748,3689,10,1,12,125,450,1348,2,456
-758,5576,1778,3798,12,2,10,147,439,1357,4,463
-757,5441,1775,3666,19,3,9,129,416,1322,0,486
-756,5516,1870,3646,15,3,12,126,383,1291,3,460
-755,5280,1791,3489,14,1,11,133,408,1271,2,476
-754,5312,1701,3611,12,0,12,120,421,1231,4,433
-753,5482,1753,3729,14,1,12,125,370,1366,3,465
-752,5415,1755,3660,21,4,22,133,411,1315,3,491
-751,5506,1839,3667,17,2,9,153,438,1355,2,517
-750,5289,1730,3559,15,1,9,118,414,1276,3,437
-749,5386,1757,3629,12,0,10,128,433,1347,4,489
-748,5528,1849,3679,12,1,14,130,426,1287,2,490
-747,5291,1732,3559,17,1,18,130,413,1224,3,420
-746,5512,1819,3693,11,3,12,133,430,1280,4,460
-745,5478,1834,3644,10,2,10,140,435,1321,4,498
-744,5433,1805,3628,14,1,10,147,412,1280,8,497
-743,5391,1731,3660,13,2,9,116,408,1276,5,440
-742,5503,1842,3661,17,1,16,125,437,1317,6,432
-741,5355,1744,3611,8,0,12,118,382,1280,1,487
-740,5472,1808,3664,21,1,8,119,424,1308,1,493
-739,5370,1733,3637,10,1,6,125,413,1261,6,487
-738,5463,1857,3606,22,3,19,119,396,1324,4,481
-737,5503,1829,3674,23,3,5,143,446,1279,4,480
-736,5259,1709,3550,9,2,7,127,390,1343,6,474
-735,5486,1735,3751,10,3,8,112,441,1363,7,509
-734,5441,1748,3693,14,1,13,122,417,1266,5,489
-733,5363,1736,3627,16,1,15,125,391,1237,6,466
-732,5478,1777,3701,13,1,11,133,455,1343,4,470
-731,6029,1819,4210,12,1,14,138,437,1686,8,597
-730,6376,1949,4427,6,1,18,139,487,1872,4,701
-729,5770,1777,3993,18,3,11,101,455,1522,7,581
-728,5309,1677,3632,10,2,12,112,414,1237,3,453
-727,5470,1779,3691,19,0,15,114,427,1325,9,471
-726,5434,1706,3728,7,1,13,140,439,1309,7,441
-725,5426,1781,3645,17,0,13,142,425,1288,4,487
-724,5322,1706,3616,11,0,10,112,378,1264,11,479
-723,5465,1729,3736,13,2,13,135,411,1285,4,460
-722,5328,1712,3616,14,3,19,105,399,1291,3,522
-721,5337,1688,3649,14,1,15,109,422,1333,4,529
-720,5245,1621,3624,17,3,12,116,429,1287,3,499
-719,5334,1737,3597,8,1,15,130,428,1255,3,470
-718,5370,1692,3678,18,1,5,124,412,1330,5,481
-717,5410,1699,3711,13,3,3,94,414,1302,3,505
-716,5406,1763,3643,16,2,16,128,413,1321,2,491
-715,5433,1734,3699,12,2,12,109,433,1320,5,497
-714,5406,1789,3617,11,1,9,131,434,1287,3,477
-713,5480,1765,3715,13,2,19,136,428,1284,6,469
-712,5390,1705,3685,12,1,11,113,459,1295,3,504
-711,5401,1709,3692,13,3,12,102,456,1286,5,461
-710,5551,1810,3741,19,1,10,131,463,1326,4,514
-709,5303,1650,3653,17,2,7,114,376,1300,5,490
-708,5413,1688,3725,7,2,15,111,462,1323,2,487
-707,5306,1734,3572,16,3,15,127,356,1271,4,472
-706,5399,1754,3645,18,4,13,110,415,1358,0,533
-705,5338,1715,3623,14,0,3,123,395,1300,4,431
-704,5436,1758,3678,15,1,12,126,419,1278,5,499
-703,5389,1709,3680,11,0,8,116,371,1298,1,504
-702,5404,1712,3692,15,1,11,125,389,1335,3,489
-701,5483,1793,3690,12,1,12,134,449,1359,3,519
-700,5281,1740,3541,13,2,11,120,416,1253,3,464
-699,5268,1727,3541,19,4,15,129,404,1256,3,469
-698,5361,1732,3629,17,0,16,122,424,1302,4,522
-697,5445,1796,3649,19,0,19,126,401,1329,6,484
-696,5537,1779,3758,11,1,13,135,432,1402,4,517
-695,5391,1694,3697,10,1,8,109,430,1353,0,481
-694,5271,1675,3596,13,1,14,111,397,1304,2,497
-693,5369,1699,3670,13,3,14,114,445,1328,4,490
-692,5265,1679,3586,23,1,12,102,385,1306,2,512
-691,5304,1716,3588,8,2,10,120,354,1290,1,483
-690,5351,1665,3686,10,3,7,126,467,1261,2,488
-689,5489,1779,3710,18,4,16,136,412,1358,4,513
-688,5389,1727,3662,13,2,14,137,386,1370,2,532
-687,5410,1770,3640,16,3,22,107,411,1352,5,525
-686,5443,1803,3640,14,2,7,116,400,1326,2,511
-685,5331,1780,3551,14,1,10,112,422,1231,2,461
-684,5365,1768,3597,7,2,13,115,444,1263,2,488
-683,5350,1742,3608,15,1,6,121,415,1292,7,487
-682,5249,1609,3640,15,1,8,102,396,1243,3,474
-681,5408,1676,3732,14,3,12,123,413,1312,10,482
-680,5333,1664,3669,15,2,10,135,402,1366,3,545
-679,5478,1780,3698,12,1,5,120,427,1309,7,498
-678,5431,1738,3693,17,1,13,123,452,1335,6,497
-677,5306,1737,3569,11,1,13,131,381,1274,0,490
-676,5480,1741,3739,15,0,19,118,415,1332,4,497
-675,5444,1777,3667,18,3,14,128,407,1323,4,475
-674,5396,1644,3752,12,1,9,132,387,1384,2,532
-673,5398,1745,3653,13,2,16,113,444,1333,6,516
-672,5289,1649,3640,11,0,19,116,415,1273,2,484
-671,5331,1690,3641,14,0,18,118,388,1268,6,486
-670,5345,1645,3700,17,1,6,106,416,1358,3,508
-669,5330,1699,3631,8,2,16,126,406,1301,5,481
-668,5365,1680,3685,11,1,10,118,383,1360,3,518
-667,5501,1747,3754,18,0,8,112,417,1409,4,515
-666,5436,1725,3711,11,3,13,114,407,1304,1,529
-665,5353,1755,3598,13,1,6,107,421,1363,3,505
-664,5359,1691,3668,17,0,16,113,400,1289,4,505
-663,5342,1755,3587,13,1,12,120,399,1236,6,465
-662,5289,1654,3635,16,0,7,104,421,1329,7,490
-661,5420,1732,3688,11,1,14,121,402,1273,1,527
-660,5340,1704,3636,12,1,15,122,417,1276,4,527
-659,5222,1592,3630,14,1,13,104,402,1346,3,538
-658,5315,1761,3554,9,2,14,130,417,1283,2,478
-657,5343,1739,3604,11,2,11,139,420,1301,3,510
-656,5384,1736,3648,17,1,14,117,431,1331,2,493
-655,5454,1758,3696,15,1,5,121,457,1288,6,487
-654,5464,1737,3727,13,4,8,128,415,1337,3,471
-653,5422,1682,3740,12,1,10,108,374,1385,5,549
-652,5397,1749,3648,17,1,10,115,437,1317,1,520
-651,5370,1745,3625,11,0,22,119,424,1261,2,458
-650,5341,1683,3658,8,3,19,109,400,1324,4,487
-649,5390,1743,3647,18,0,11,101,420,1319,9,496
-648,5388,1668,3720,11,2,10,126,415,1369,3,562
-647,5440,1677,3763,20,1,12,105,426,1379,6,535
-646,5491,1755,3736,13,0,13,137,396,1331,0,504
-645,5397,1712,3685,14,0,19,126,421,1383,2,543
-644,5440,1716,3724,12,2,10,141,422,1341,2,484
-643,5335,1756,3579,12,2,12,128,374,1279,7,523
-642,5269,1728,3541,10,2,7,132,386,1245,5,479
-641,5391,1669,3722,18,2,15,128,396,1306,4,509
-640,5417,1704,3713,15,1,6,115,413,1369,3,552
-639,5518,1740,3778,15,0,10,126,418,1358,4,533
-638,5349,1662,3687,9,0,7,107,411,1361,3,529
-637,5379,1676,3703,17,0,11,115,411,1335,4,508
-636,5312,1732,3580,19,1,15,137,400,1265,3,518
-635,5302,1715,3587,12,2,16,121,414,1276,3,500
-634,5365,1677,3688,13,0,11,104,416,1377,0,534
-633,5223,1671,3552,12,1,14,119,384,1272,6,515
-632,5311,1645,3666,16,2,9,116,367,1322,5,509
-631,5308,1632,3676,17,1,12,111,393,1324,4,513
-630,5372,1730,3642,16,2,11,116,433,1322,3,519
-629,5257,1662,3595,13,0,14,100,404,1342,5,515
-628,5480,1763,3717,15,2,9,132,424,1333,4,490
-627,5623,1827,3796,13,1,11,121,442,1353,7,508
-626,5373,1717,3656,16,1,10,119,396,1332,3,507
-625,5386,1691,3695,17,3,14,118,398,1370,5,549
-624,5408,1710,3698,18,4,16,121,421,1309,3,508
-623,5434,1758,3676,13,1,8,125,416,1321,8,524
-622,5405,1772,3633,16,2,5,121,464,1259,6,500
-621,5211,1646,3565,16,0,15,119,392,1267,3,483
-620,5582,1753,3829,14,1,12,109,441,1434,4,540
-619,5358,1681,3677,11,1,13,115,418,1339,3,498
