room_id,host_id,room_type,address,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,last_modified,latitude,longitude,location,name,currency,rate_type
43373,189356,Private room,"Seattle, WA, United States",228,4.5,2,1,1,44,10:05.6,47.650552,-122.330589,0101000020E6100000B6DAC35E28955EC0772CB64945D34740,Big sunny central house with view!,USD,nightly
47491,215230,Private room,"Seattle, WA, United States",43,4.5,1,1,1,60,03:40.2,47.692465,-122.286884,0101000020E6100000B96FB54E5C925EC0F44F70B1A2D84740,Tranquil Rooms at Maple Creek House,USD,nightly
48848,212404,Entire home/apt,"Seattle, WA, United States",39,5,2,1,1,110,57:16.9,47.671587,-122.259947,0101000020E61000005FECBDF8A2905EC09AB51490F6D54740,green suite seattle - dog friendly,USD,nightly
51748,91519,Private room,"Bellevue, WA, United States",6,4.5,1,1,1,75,39:13.3,47.609575,-122.120515,0101000020E61000005BEB8B84B6875EC0C7BAB88D06CE4740,"Fully Furnished Room ""B""",USD,nightly
52525,215230,Private room,"Seattle, WA, United States",29,4.5,1,1,1,40,03:40.7,47.692701,-122.285479,0101000020E6100000772CB64945925EC00874266DAAD84740,Maple Creek House in Wedgwood,USD,nightly
58503,157262,Entire home/apt,"Seattle, WA, United States",217,4.5,4,2,1,62,58:37.0,47.679467,-122.3566,0101000020E61000003B70CE88D2965EC00ADB4FC6F8D64740,Spacious Private Daylight Basement Apartment,USD,nightly
63733,311363,Entire home/apt,"Seattle, WA, United States",213,5,2,1,1,79,05:54.3,47.671714,-122.365888,0101000020E6100000ED7F80B56A975EC0F7216FB9FAD54740,Seattle- Ballard Guestsuite -,USD,nightly
66540,215230,Private room,"Seattle, WA, United States",25,5,1,1,1,50,03:40.2,47.694208,-122.286249,0101000020E6100000D06053E751925EC0904FC8CEDBD84740,Large Tranquil Room in Wedgwood,USD,nightly
66611,215230,Private room,"Seattle, WA, United States",24,4.5,1,1,1,40,01:19.5,47.692815,-122.285336,0101000020E6100000C617EDF142925EC0D1967329AED84740,Study Den in Tranquil Setting,USD,nightly
67270,331573,Private room,"Seattle, WA, United States",178,5,2,1,1,70,08:45.3,47.561681,-122.272123,0101000020E6100000525F96766A915EC06DE4BA29E5C74740,"Light and airy, steps to the Lake.",USD,nightly
69004,75946,Private room,"Redmond, WA, United States",5,4.5,2,1,1,100,57:33.4,47.661317,-122.130755,0101000020E61000007632384A5E885EC0F8A41309A6D44740,Master BDR private Bath & SPA,USD,nightly
76565,232785,Private room,"Seattle, WA, United States",10,5,2,1,1,55,12:46.5,47.547002,-122.354441,0101000020E610000023D74D29AF965EC05D6C5A2904C64740,Quiet Room in West Seattle,USD,nightly
78963,75946,Private room,"Redmond, WA, United States",7,4.5,1,1,1.5,30,57:33.4,47.662076,-122.132483,0101000020E6100000A911FA997A885EC0B6BB07E8BED44740,★★★★★★MS Redmond RM6,USD,nightly
78965,75946,Private room,"Redmond, WA, United States",14,5,1,1,1.5,33,53:33.8,47.6624,-122.131469,0101000020E610000005DCF3FC69885EC0696FF085C9D44740,★★★Microsoft Redmond RM3,USD,nightly
78969,75946,Private room,"Redmond, WA, United States",7,4,1,1,1.5,33,58:05.5,47.660809,-122.131052,0101000020E6100000D384ED2763885EC084F3A96395D44740,★★★★★ Microsoft Redmond RM5,USD,nightly
78975,75946,Private room,"Redmond, WA, United States",4,5,1,1,2,35,58:05.5,47.660885,-122.132493,0101000020E6100000BB7CEBC37A885EC05FB532E197D44740,★★★★★★★★Microsoft Redmond RM8,USD,nightly
78980,75946,Private room,"Redmond, WA, United States",10,4.5,1,1,1.5,33,57:33.4,47.661039,-122.132152,0101000020E61000007786A92D75885EC0B6300BED9CD44740,★★Microsoft Redmond RM2,USD,nightly
79321,427101,Private room,"Bellevue, WA, United States",76,5,2,1,1,55,58:05.5,47.616533,-122.135776,0101000020E61000003BE5D18DB0885EC0CFF3A78DEACE4740,"Bellevue, WA room w/ toilet & bath",USD,nightly
86185,192355,Private room,"Seattle, WA, United States",63,4.5,2,1,1,65,05:14.6,47.582392,-122.394478,0101000020E6100000753FA7203F995EC0DCB930D28BCA4740,West Seattle: Admiral calm & quiet,USD,nightly
103908,541406,Entire home/apt,"Seattle, WA, United States",17,4.5,4,1,1,200,04:35.9,47.684273,-122.326616,0101000020E61000006C96CB46E7945EC09544F64196D74740,Green Lake Gem - Walk to Lake,USD,nightly
103920,541406,Entire home/apt,"Seattle, WA, United States",19,4.5,6,2,1,200,04:19.9,47.684157,-122.325972,0101000020E610000059DAA9B9DC945EC02C2AE27492D74740,Green Lake Spacious Two Bedrooms - Walk to Lake!,USD,nightly
107884,331494,Entire home/apt,"Seattle, WA, United States",114,5,3,1,1,75,42:59.5,47.579996,-122.402045,0101000020E61000004DA1F31ABB995EC0C9E7154F3DCA4740,West Seattle/Alki Beach House,USD,nightly
107962,112093,Entire home/apt,"Seattle, WA, United States",219,5,2,1,1,120,59:53.4,47.714885,-122.332964,0101000020E6100000B4AF3C484F955EC053B3075A81DB4740,Haller Lake Restored Log Cabin,USD,nightly
108765,541908,Entire home/apt,"Seattle, WA, United States",57,5,2,1,1,115,08:23.9,47.552566,-122.30435,0101000020E610000068226C787A935EC0D670917BBAC64740,Beacon Hill Cottage in the City,USD,nightly
116221,587302,Entire home/apt,"Seattle, WA, United States",38,5,2,1,1,135,29:03.3,47.654371,-122.357454,0101000020E6100000C3F4BD86E0965EC0B439CE6DC2D34740,"Modern, Light-Filled Fremont Flat",USD,nightly
117165,559827,Private room,"Seattle, WA, United States",126,5,2,1,1,100,05:10.4,47.568739,-122.406488,0101000020E6100000DA8D3EE6039A5EC0D97A8670CCC84740,Suite+Office in Gorgeous View Home,USD,nightly
119103,601600,Entire home/apt,"Seattle, WA, United States",350,5,3,1,1,79,27:24.8,47.652309,-122.350005,0101000020E6100000EF1B5F7B66965EC078F17EDC7ED34740,Teeny Tiny Guestyhouse!,USD,nightly
132120,378445,Entire home/apt,"Seattle, WA, United States",88,5,4,1,1,64,12:43.7,47.669228,-122.335174,0101000020E61000000C1EA67D73955EC0A3C85A43A9D54740,Mother-in-Law Apartment in Seattle,USD,nightly
132160,558743,Entire home/apt,"Seattle, WA, United States",244,5,6,2,1,90,59:21.3,47.682261,-122.34345,0101000020E6100000EB73B515FB955EC00A2B155454D74740,"Green Lake Guest Suite, private apt",USD,nightly
134091,658155,Entire home/apt,"Seattle, WA, United States",152,5,4,1,1,90,25:09.0,47.62254,-122.317085,0101000020E61000005743E21E4B945EC0D6390664AFCF4740,Vintage Capitol Hill - 1 Pkg Spot,USD,nightly
136480,539515,Private room,"Seattle, WA, United States",56,5,2,1,1,85,40:40.1,47.555084,-122.264553,0101000020E6100000C2C3B46FEE905EC0354415FE0CC74740,Bright Cheery Room in Seattle House,USD,nightly
140331,683617,Private room,"Seattle, WA, United States",140,5,2,1,1,75,16:00.3,47.618939,-122.292123,0101000020E610000034DAAA24B2925EC0069CA56439CF4740,Metrobilly Retreat,USD,nightly
143704,696788,Entire home/apt,"Seattle, WA, United States",338,5,3,1,1,55,45:37.8,47.612313,-122.298252,0101000020E6100000DD7D8E8F16935EC034F5BA4560CE4740,"Private 1BR, Parking, Eco-Cleaned, 5% to Charity",USD,nightly
151545,306615,Entire home/apt,"Seattle, WA, United States",13,5,5,2,1.5,125,12:55.0,47.650623,-122.320076,0101000020E6100000020F0C207C945EC041834D9D47D34740,Seattle 3 Bed Charmer w/Holiday Ships on the Bay!,USD,nightly
152568,734114,Entire home/apt,"Mercer Island, WA, United States",2,,10,3,4.5,5900,39:23.6,47.59259,-122.246703,0101000020E6100000CE3461FBC98F5EC0E4F736FDD9CB4740,Luxury Waterfront Mansion,USD,nightly
158345,759949,Private room,"Seattle, WA, United States",412,5,2,1,1,55,59:11.6,47.669921,-122.401464,0101000020E61000005EA10F96B1995EC0AAF3A8F8BFD54740,Restful Room in W. Ballard-NO cleaning fee!,USD,nightly
162563,776719,Private room,"Seattle, WA, United States",9,5,1,1,1,120,53:21.4,47.612942,-122.312636,0101000020E610000058E36C3A02945EC0232C2AE274CE4740,Quiet Clean and safe neighborhood,USD,nightly
170273,804996,Entire home/apt,"Seattle, WA, United States",201,5,7,3,2.5,179,33:17.1,47.627674,-122.358611,0101000020E6100000183F8D7BF3965EC05646239F57D04740,Stroll to Stunning Views from a Historic Home,USD,nightly
170469,756099,Private room,"Seattle, WA, United States",84,5,2,1,1,70,05:42.9,47.678299,-122.374931,0101000020E61000006CD097DEFE975EC06BF46A80D2D64740,Private Bed & Bath in Ballard,USD,nightly
173896,830508,Private room,"Seattle, WA, United States",274,5,2,1,1,50,05:16.4,47.672345,-122.39892,0101000020E61000001A6EC0E787995EC08750A5660FD64740,Cozy in Ballard: Detached Bedroom en Suite,USD,nightly
174636,834328,Private room,"Seattle, WA, United States",36,5,3,1,1,85,40:55.7,47.511457,-122.256081,0101000020E6100000200890A163905EC0B727486C77C14740,"2 Rooms available, view of the lake",USD,nightly
175576,239585,Entire home/apt,"Seattle, WA, United States",279,5,2,1,1,85,33:12.0,47.635482,-122.358478,0101000020E61000007995B54DF1965EC02D99637957D14740,Private Apartment - Queen Anne Hill,USD,nightly
189156,179030,Entire home/apt,"Seattle, WA, United States",254,5,2,0,1,59,42:50.1,47.545431,-122.397837,0101000020E6100000E108522976995EC0BF9CD9AED0C54740,Sweet Studio -Water & Mountain view,USD,nightly
189219,912871,Private room,"Redmond, WA, United States",111,4.5,2,1,1,85,55:03.3,47.693384,-122.130263,0101000020E61000003F389F3A56885EC0EBC891CEC0D84740,Private home near Microsoft/Redmond,USD,nightly
190984,923095,Entire home/apt,"Seattle, WA, United States",152,4.5,2,1,1,72,08:06.5,47.552842,-122.277894,0101000020E61000004C70EA03C9915EC078EDD286C3C64740,Home in Hillman City - large studio & free parking,USD,nightly
191795,928106,Entire home/apt,"Kirkland, WA, United States",2,,12,4,2.5,250,57:04.8,47.722114,-122.222447,0101000020E6100000F98557923C8E5EC0EBFD463B6EDC4740,"*Fully Stocked, Spacious 4BR Home*",USD,nightly
193836,583579,Entire home/apt,"Seattle, WA, United States",164,4.5,5,1,1,89,11:28.7,47.535701,-122.386312,0101000020E61000005A83F755B9985EC09EB7B1D991C44740,Spacious Suite Near Lincoln Park in West Seattle,USD,nightly
201550,986136,Entire home/apt,"Redmond, WA, United States",139,5,2,1,1,105,54:25.0,47.676552,-122.137596,0101000020E6100000DE03745FCE885EC08E05854199D64740,Modern apartment w. access to gym,USD,nightly
202251,601266,Entire home/apt,"Seattle, WA, United States",22,4.5,6,3,1,225,07:48.2,47.677705,-122.359839,0101000020E6100000D234289A07975EC0F8AA9509BFD64740,Seattle Phinney Ridge Ballard,USD,nightly
210316,2438665,Private room,"Seattle, WA, United States",67,5,2,1,4,54,05:39.1,47.699898,-122.366142,0101000020E61000004AECDADE6E975EC09544F64196D94740,"""THE 5-STAR HOUSE""",USD,nightly
215882,971336,Entire home/apt,"Seattle, WA, United States",338,5,2,1,1,84,08:23.8,47.561297,-122.281219,0101000020E6100000E200FA7DFF915EC0E52B8194D8C74740,Relaxing Garden Cottage w/ Hot Tub!,USD,nightly
217142,8243075,Entire home/apt,"Seattle, WA, United States",132,5,7,2,2,159,59:45.2,47.615339,-122.347905,0101000020E61000005A47551344965EC0077AA86DC3CE4740,LOCATION! Family SPACIOUS 2BD/2BA PRKG FREE WiFi,USD,nightly
218741,468703,Private room,"Seattle, WA, United States",131,5,3,1,1,90,07:31.1,47.682309,-122.37875,0101000020E61000000AD7A3703D985EC01B62BCE655D74740,"Private, Large Room+Bath in Ballard",USD,nightly
219532,1037115,Entire home/apt,"Seattle, WA, United States",76,4.5,6,3,1.5,275,29:38.1,47.655891,-122.36055,0101000020E6100000A9A44E4013975EC0D05E7D3CF4D34740,"Fun home in Funky Fremont, Seattle",USD,nightly
222885,72845,Private room,"Seattle, WA, United States",30,5,2,1,1,75,08:29.2,47.675747,-122.357389,0101000020E6100000CFBC1C76DF965EC060AFB0E07ED64740,Gluten Free on Phinney Ridge,USD,nightly
224763,8243075,Entire home/apt,"Seattle, WA, United States",88,4.5,4,1,1,119,58:33.9,47.61386,-122.348787,0101000020E61000004791B58652965EC04A29E8F692CE4740,"Location! Sleeps 4 WiFi  Luxurious, Parking Inc!",USD,nightly
225820,72845,Private room,"Seattle, WA, United States",83,5,5,2,1,90,08:29.2,47.677809,-122.358621,0101000020E61000002AAA7EA5F3965EC09DF7FF71C2D64740,Family Friendly on Phinney Ridge,USD,nightly
226495,1037115,Entire home/apt,"Seattle, WA, United States",81,4.5,6,2,1,150,08:00.8,47.690487,-122.369019,0101000020E61000009126DE019E975EC015A8C5E061D84740,"Fun apartment in Ballard, Seattle",USD,nightly
226536,209571,Private room,"Seattle, WA, United States",167,5,2,1,1,36,27:01.9,47.661197,-122.401446,0101000020E61000000B47904AB1995EC04E9B711AA2D44740,Serene Room in Sunny Cottage near Discovery Park,USD,nightly
226677,30559,Private room,"Seattle, WA, United States",132,5,2,1,3,45,08:27.6,47.550617,-122.318268,0101000020E610000041D7BE805E945EC092CF2B9E7AC64740,Sunny Parisian beauty room w/ comfy bed,USD,nightly
227636,1187351,Entire home/apt,"Seattle, WA, United States",210,5,3,1,1,85,28:13.7,47.668071,-122.362086,0101000020E6100000BA15C26A2C975EC0F833BC5983D54740,Large Ballard/Fremont apartment,USD,nightly
229990,1201633,Entire home/apt,"Seattle, WA, United States",1,,9,2,2,150,05:13.6,47.578229,-122.411812,0101000020E61000006C06B8205B9A5EC0A54C6A6803CA4740,Alki Beach 1/2 block to beach,USD,nightly
231097,990692,Private room,"Seattle, WA, United States",142,5,2,1,1,54,02:17.3,47.70639,-122.280746,0101000020E6100000E61E12BEF7915EC0581CCEFC6ADA4740,Peaceful NE Seattle guest room,USD,nightly
233502,1215564,Private room,"Seattle, WA, United States",1,,2,1,1,60,05:14.6,47.573266,-122.374361,0101000020E610000076F9D687F5975EC051F4C0C760C94740,West Seattle room with private bath,USD,nightly
241016,956883,Entire home/apt,"Seattle, WA, United States",82,5,5,3,1,99,29:40.6,47.643286,-122.375819,0101000020E6100000CA8D226B0D985EC0C2FC153257D24740,Scandinavian Queen Anne Home,USD,nightly
241032,956883,Entire home/apt,"Seattle, WA, United States",285,4.5,4,1,1,175,35:00.5,47.636289,-122.371025,0101000020E6100000E63FA4DFBE975EC0FBE6FEEA71D14740,Stylish Queen Anne Apartment,USD,nightly
251922,512084,Entire home/apt,"Seattle, WA, United States",208,5,4,2,1,78,04:51.9,47.581433,-122.394109,0101000020E6100000CB83F41439995EC057E883656CCA4740,"Sleepy North Admiral, West Seattle",USD,nightly
254012,1334187,Entire home/apt,"Kirkland, WA, United States",178,5,2,1,2,160,53:55.0,47.681471,-122.195685,0101000020E610000056D4601A868C5EC0121615713AD74740,Downtown Kirkland Cottage,USD,nightly
254340,1336214,Entire home/apt,"Seattle, WA, United States",148,5,2,1,1,85,07:35.4,47.677166,-122.361693,0101000020E61000004C8C65FA25975EC048FB1F60ADD64740,Phinney Oasis-Ballard/Phinney,USD,nightly
260613,1387754,Entire home/apt,"Seattle, WA, United States",45,5,2,1,1,95,07:30.1,47.68649,-122.368462,0101000020E610000066F4A3E194975EC0F98381E7DED74740,Modern & New MIL Apt. in N. Ballard,USD,nightly
261912,558743,Entire home/apt,"Seattle, WA, United States",30,5,4,2,1,150,01:40.4,47.683781,-122.342013,0101000020E6100000A3737E8AE3955EC02750C42286D74740,"Storybook Tudor, house at GreenLake",USD,nightly
264829,862329,Entire home/apt,"Seattle, WA, United States",47,4.5,7,2,1,87,03:13.9,47.575291,-122.302049,0101000020E6100000873254C554935EC07157AF22A3C94740,2bed Rm Inner City Suite Near Dwtn,USD,nightly
271509,74305,Entire home/apt,"Seattle, WA, United States",65,5,6,2,1,186,26:22.4,47.614845,-122.347534,0101000020E6100000E00F3FFF3D965EC0F88DAF3DB3CE4740,★Harbor&City Views!★SALE 12/21,USD,nightly
277416,8243075,Entire home/apt,"Seattle, WA, United States",101,5,4,1,1,129,26:19.1,47.616075,-122.346677,0101000020E6100000A051BAF42F965EC00D71AC8BDBCE4740,Near Space Needle! Sunny 1 bd/1 ba WiFi CLEAN Prkg,USD,nightly
278830,1452570,Entire home/apt,"Seattle, WA, United States",68,4.5,6,3,2,279,33:16.5,47.632918,-122.372471,0101000020E610000057ED9A90D6975EC05D86FF7403D14740,Charming Craftsman house,USD,nightly
281208,658155,Entire home/apt,"Seattle, WA, United States",147,5,6,2,2.5,100,46:12.2,47.594711,-122.305588,0101000020E61000003483F8C08E935EC025C9737D1FCC4740,"Luxury, Location, Great For Family",USD,nightly
281789,31509,Private room,"Seattle, WA, United States",52,5,2,1,1,99,19:31.7,47.619883,-122.319613,0101000020E61000001898158A74945EC0562C7E5358CF4740,11th Avenue Inn Bed and Breakfast,USD,nightly
282934,781716,Entire home/apt,"Seattle, WA, United States",89,5,2,1,1,140,29:19.9,47.657589,-122.354376,0101000020E6100000309FAC18AE965EC0CC9A58E02BD44740,Seattle Sojourn Guest Suite near Lighthouse Roasters,USD,nightly
284087,721070,Entire home/apt,"Seattle, WA, United States",157,5,6,2,1,155,53:51.7,47.611481,-122.329121,0101000020E610000051DB865110955EC00C90680245CE4740,The Nest in the Heart of the City,USD,nightly
286080,74305,Entire home/apt,"Seattle, WA, United States",81,4.5,6,2,2,167,59:39.2,47.614616,-122.34803,0101000020E6100000B8019F1F46965EC096CCB1BCABCE4740,12/18-19★2Bed Sleep 6/Heart of Downtown Seattle,USD,nightly
301059,74305,Entire home/apt,"Seattle, WA, United States",44,5,4,1,1,124,58:49.7,47.614471,-122.348145,0101000020E61000000551F70148965EC093AB58FCA6CE4740,1/3-9✶ Belltown-Fantastic View,USD,nightly
303277,1204187,Entire home/apt,"Seattle, WA, United States",8,5,2,2,1,104,14:48.7,47.64481,-122.324285,0101000020E61000005665DF15C1945EC01F11532289D24740,Hip Condo Private Deck East Lake Union - Long Term,USD,nightly
317248,658155,Entire home/apt,"Seattle, WA, United States",147,5,7,2,2,120,23:30.4,47.62254,-122.317085,0101000020E61000005743E21E4B945EC0D6390664AFCF4740,Historic Seattle Home Designed for Modern Living,USD,nightly
318475,1634441,Entire home/apt,"Seattle, WA, United States",122,5,2,1,1.5,130,29:02.6,47.656334,-122.349978,0101000020E61000007214200A66965EC05EA0A4C002D44740,Center of the universe Fremont Flat,USD,nightly
338091,1717589,Entire home/apt,"Seattle, WA, United States",116,4.5,4,1,1,220,25:21.4,47.618971,-122.324207,0101000020E61000009888B7CEBF945EC0121615713ACF4740,"spacious, great location w view",USD,nightly
340706,1015653,Entire home/apt,"Seattle, WA, United States",183,5,4,1,1,90,12:34.3,47.655885,-122.332136,0101000020E6100000C1745AB741955EC0EE77280AF4D34740,Charming Wallingford Apartment,USD,nightly
340738,1729224,Entire home/apt,"Seattle, WA, United States",0,,2,1,1,195,16:13.6,47.623443,-122.306587,0101000020E61000003D98141F9F935EC0C7F5EFFACCCF4740,Victorian home on Capitol Hill,USD,nightly
341454,1732181,Entire home/apt,"Seattle, WA, United States",49,5,4,2,1,150,52:59.4,47.611366,-122.311188,0101000020E610000017BA1281EA935EC073F1B73D41CE4740,"Cool 2BR Flat w/Private Balcony, City Views",USD,nightly
353039,1787819,Entire home/apt,"Seattle, WA, United States",46,5,4,1,1,114,53:51.7,47.614006,-122.32235,0101000020E610000066F7E461A1945EC01EC6A4BF97CE4740,St. John's Apt. 300 *Walkscore 99*,USD,nightly
353110,1788284,Entire home/apt,"Seattle, WA, United States",69,5,5,1,1,80,04:41.8,47.580029,-122.390251,0101000020E6100000CE8E54DFF9985EC0A5DDE8633ECA4740,West Seattle Backyard Vacation Cottage,USD,nightly
356248,306615,Entire home/apt,"Seattle, WA, United States",21,5,4,2,1,149,14:48.7,47.650471,-122.320221,0101000020E6100000849F38807E945EC08BFF3BA242D34740,Seattle 2BR Charmer with Holiday Ships on the Bay!,USD,nightly
