"wage","education","experience","age","ethnicity","region","gender","occupation","sector","union","married","log_wage"
16,12,35,53,"cauc","south","male","worker","manufacturing","yes","yes",2.77258872223978
13.98,14,14,34,"cauc","other","male","worker","other","no","no",2.63762773680566
13.26,12,16,34,"cauc","other","male","worker","other","yes","yes",2.58475198475772
6.1,10,44,60,"cauc","other","female","worker","manufacturing","yes","no",1.80828877117927
3.75,16,13,35,"cauc","south","female","worker","other","no","no",1.32175583998232
9,13,8,27,"other","other","male","worker","manufacturing","yes","no",2.19722457733622
9.45,12,13,31,"cauc","other","male","worker","manufacturing","no","no",2.24601474150565
5.5,11,18,35,"cauc","other","male","worker","other","yes","yes",1.70474809223843
8.93,12,18,36,"cauc","other","female","worker","other","no","yes",2.18941639488841
6.25,12,6,24,"cauc","south","female","worker","other","no","no",1.83258146374831
9.75,11,37,54,"cauc","south","male","worker","manufacturing","yes","yes",2.27726728500976
6.73,12,2,20,"cauc","south","male","worker","manufacturing","no","yes",1.90657514365664
7.78,12,23,41,"cauc","other","male","worker","manufacturing","no","yes",2.0515563381903
2.85,12,1,19,"cauc","other","male","worker","other","no","no",1.04731899428056
3.35,12,10,28,"other","south","female","worker","manufacturing","no","yes",1.20896034583698
19.98,12,23,41,"cauc","other","male","worker","manufacturing","no","yes",2.99473177322041
8.5,12,8,26,"other","other","male","worker","other","yes","yes",2.14006616349627
9.75,15,9,30,"cauc","other","female","worker","manufacturing","no","yes",2.27726728500976
15,12,33,51,"cauc","other","male","worker","construction","yes","yes",2.70805020110221
8,12,19,37,"cauc","other","female","worker","manufacturing","no","yes",2.07944154167984
11.25,13,14,33,"cauc","other","male","worker","other","no","yes",2.42036812865043
14,11,13,30,"cauc","other","male","worker","other","yes","yes",2.63905732961526
10,10,12,28,"cauc","other","male","worker","construction","no","yes",2.30258509299405
6.5,12,8,26,"cauc","other","male","worker","other","no","no",1.87180217690159
9.83,12,23,41,"cauc","other","male","worker","manufacturing","no","yes",2.28543893415908
18.5,14,13,33,"cauc","other","female","worker","manufacturing","no","no",2.91777073208428
12.5,12,9,27,"cauc","south","male","worker","other","no","yes",2.52572864430826
26,14,21,41,"cauc","other","male","worker","other","yes","yes",3.25809653802148
14,5,44,55,"cauc","south","male","worker","construction","no","yes",2.63905732961526
10.5,12,4,22,"cauc","other","male","worker","other","yes","yes",2.35137525716348
11,8,42,56,"cauc","other","male","worker","manufacturing","no","yes",2.39789527279837
12.47,13,10,29,"cauc","other","male","worker","other","yes","yes",2.52332575969195
12.5,12,11,29,"cauc","other","male","worker","construction","no","no",2.52572864430826
15,12,40,58,"cauc","other","male","worker","construction","yes","yes",2.70805020110221
6,12,8,26,"cauc","other","male","worker","construction","no","no",1.79175946922805
9.5,11,29,46,"cauc","south","male","worker","construction","no","yes",2.2512917986065
5,16,3,25,"cauc","other","male","worker","other","yes","no",1.6094379124341
3.75,11,11,28,"cauc","other","male","worker","construction","no","no",1.32175583998232
12.57,12,12,30,"cauc","other","male","worker","other","yes","yes",2.53131302260216
6.88,8,22,36,"hispanic","other","female","worker","other","no","yes",1.92861865194525
5.5,12,12,30,"cauc","other","male","worker","other","no","yes",1.70474809223843
7,12,7,25,"cauc","other","male","worker","other","yes","yes",1.94591014905531
4.5,12,15,33,"cauc","other","female","worker","manufacturing","no","no",1.50407739677627
6.5,12,28,46,"cauc","other","male","worker","other","no","yes",1.87180217690159
12,12,20,38,"cauc","south","male","worker","manufacturing","yes","yes",2.484906649788
5,12,6,24,"cauc","south","male","worker","construction","no","no",1.6094379124341
6.5,12,5,23,"cauc","south","male","worker","manufacturing","no","no",1.87180217690159
6.8,9,30,45,"cauc","south","female","worker","manufacturing","no","yes",1.91692261218206
8.75,13,18,37,"cauc","other","male","worker","other","no","yes",2.16905370036952
3.75,12,6,24,"other","south","female","worker","manufacturing","no","yes",1.32175583998232
4.5,12,16,34,"hispanic","south","male","worker","other","no","no",1.50407739677627
6,12,1,19,"hispanic","south","male","worker","other","yes","no",1.79175946922805
5.5,12,3,21,"cauc","other","male","worker","manufacturing","no","no",1.70474809223843
13,12,8,26,"cauc","other","male","worker","other","no","yes",2.56494935746154
5.65,14,2,22,"cauc","other","male","worker","manufacturing","no","no",1.73165554515835
4.8,9,16,31,"other","other","male","worker","manufacturing","no","no",1.56861591791385
7,10,9,25,"cauc","south","male","worker","construction","no","yes",1.94591014905531
5.25,12,2,20,"cauc","other","male","worker","other","no","no",1.65822807660353
3.35,7,43,56,"cauc","south","male","worker","manufacturing","no","yes",1.20896034583698
8.5,9,38,53,"cauc","other","male","worker","manufacturing","no","yes",2.14006616349627
6,12,9,27,"cauc","other","male","worker","other","no","yes",1.79175946922805
6.75,12,12,30,"cauc","south","male","worker","other","no","yes",1.90954250488444
8.89,12,18,36,"cauc","other","male","worker","manufacturing","no","yes",2.18492704952581
14.21,11,15,32,"cauc","other","male","worker","manufacturing","yes","no",2.65394594210901
10.78,11,28,45,"other","south","male","worker","construction","yes","yes",2.37769256548085
8.9,10,27,43,"cauc","south","male","worker","construction","yes","yes",2.18605127673809
7.5,12,38,56,"cauc","south","male","worker","other","no","yes",2.01490302054226
4.5,12,3,21,"cauc","other","female","worker","manufacturing","no","no",1.50407739677627
11.25,12,41,59,"cauc","other","male","worker","other","yes","yes",2.42036812865043
13.45,12,16,34,"cauc","south","male","worker","other","yes","yes",2.59897910604785
6,13,7,26,"cauc","south","male","worker","manufacturing","no","yes",1.79175946922805
4.62,6,33,45,"other","south","female","worker","manufacturing","no","no",1.53039470509365
10.58,14,25,45,"cauc","other","male","worker","manufacturing","no","yes",2.35896542643015
5,12,5,23,"cauc","south","male","worker","other","no","yes",1.6094379124341
8.2,14,17,37,"other","south","male","worker","other","no","no",2.10413415427021
6.25,12,1,19,"cauc","south","male","worker","other","no","no",1.83258146374831
8.5,12,13,31,"cauc","other","male","worker","manufacturing","no","yes",2.14006616349627
24.98,16,18,40,"cauc","other","male","management","other","no","yes",3.21807550469743
16.65,14,21,41,"cauc","south","male","management","other","no","yes",2.81241021642645
6.25,14,2,22,"cauc","other","male","management","other","no","no",1.83258146374831
4.55,12,4,22,"hispanic","south","female","management","other","no","no",1.51512723296286
11.25,12,30,48,"hispanic","south","female","management","other","no","yes",2.42036812865043
21.25,13,32,51,"cauc","other","male","management","other","no","no",3.05635689537043
12.65,17,13,36,"cauc","other","female","management","other","no","yes",2.53765721517353
7.5,12,17,35,"cauc","other","male","management","other","no","no",2.01490302054226
10.25,14,26,46,"cauc","other","female","management","other","no","yes",2.32727770558442
3.35,16,9,31,"cauc","other","male","management","other","no","no",1.20896034583698
13.45,16,8,30,"other","other","male","management","other","no","no",2.59897910604785
4.84,15,1,22,"cauc","other","male","management","other","yes","yes",1.57691472072854
26.29,17,32,55,"cauc","south","male","management","other","no","yes",3.26918863874179
6.58,12,24,42,"cauc","other","female","management","other","no","yes",1.88403474533723
44.5,14,1,21,"cauc","other","female","management","other","no","no",3.79548918917219
15,12,42,60,"cauc","other","male","management","manufacturing","no","yes",2.70805020110221
11.25,16,3,25,"other","other","female","management","manufacturing","no","no",2.42036812865043
7,12,32,50,"cauc","other","female","management","other","no","yes",1.94591014905531
10,14,22,42,"other","other","male","management","other","no","no",2.30258509299405
14.53,16,18,40,"cauc","other","male","management","other","no","yes",2.67621547758219
20,18,19,43,"cauc","other","female","management","other","no","yes",2.99573227355399
22.5,15,12,33,"cauc","other","male","management","other","no","yes",3.11351530921037
3.64,12,42,60,"cauc","other","female","management","other","no","yes",1.29198368164865
10.62,12,34,52,"cauc","south","male","management","other","no","yes",2.36273901581379
24.98,18,29,53,"cauc","other","male","management","other","no","yes",3.21807550469743
6,16,8,30,"cauc","south","male","management","other","no","no",1.79175946922805
19,18,13,37,"cauc","other","male","management","manufacturing","no","no",2.94443897916644
13.2,16,10,32,"cauc","other","male","management","other","no","no",2.58021682959233
22.5,16,22,44,"cauc","other","male","management","other","no","yes",3.11351530921037
15,16,10,32,"cauc","south","male","management","other","no","yes",2.70805020110221
6.88,17,15,38,"cauc","other","female","management","other","no","yes",1.92861865194525
11.84,12,26,44,"cauc","other","male","management","other","no","yes",2.47148362945586
16.14,14,16,36,"cauc","other","male","management","other","no","no",2.7813006628418
13.95,18,14,38,"cauc","other","female","management","other","no","yes",2.63547950826737
13.16,12,38,56,"cauc","other","female","management","other","no","yes",2.57718192589717
5.3,12,14,32,"other","south","male","management","other","no","yes",1.66770682055808
4.5,12,7,25,"cauc","other","female","management","other","no","yes",1.50407739677627
10,18,13,37,"cauc","south","female","management","other","no","no",2.30258509299405
10,10,20,36,"cauc","other","male","management","other","no","yes",2.30258509299405
10,16,7,29,"hispanic","other","male","management","other","yes","yes",2.30258509299405
9.37,16,26,48,"cauc","other","female","management","other","no","yes",2.23751309625033
5.8,16,14,36,"cauc","other","male","management","other","no","yes",1.75785791755237
17.86,13,36,55,"cauc","other","male","management","other","no","no",2.88256357544835
1,12,24,42,"cauc","other","male","management","other","no","yes",0
8.8,14,41,61,"cauc","south","male","management","other","no","yes",2.17475172148416
9,16,7,29,"other","other","male","management","other","no","yes",2.19722457733622
18.16,17,14,37,"cauc","south","male","management","other","no","no",2.89922137317315
7.81,12,1,19,"cauc","south","female","management","other","no","no",2.05540496385159
10.62,16,6,28,"cauc","other","female","management","manufacturing","no","yes",2.36273901581379
4.5,12,3,21,"cauc","other","female","management","other","no","yes",1.50407739677627
17.25,15,31,52,"cauc","other","male","management","other","no","yes",2.84781214347737
10.5,13,14,33,"cauc","other","female","management","manufacturing","no","yes",2.35137525716348
9.22,14,13,33,"cauc","other","female","management","other","no","yes",2.2213750375685
15,16,26,48,"other","other","male","management","manufacturing","yes","yes",2.70805020110221
22.5,18,14,38,"cauc","other","male","management","other","no","yes",3.11351530921037
4.55,13,33,52,"cauc","other","female","sales","other","no","yes",1.51512723296286
9,12,16,34,"cauc","other","male","sales","other","no","yes",2.19722457733622
13.33,18,10,34,"cauc","other","male","sales","other","no","yes",2.59001713419062
15,14,22,42,"cauc","other","male","sales","other","no","no",2.70805020110221
7.5,14,2,22,"cauc","other","male","sales","other","no","no",2.01490302054226
4.25,12,29,47,"cauc","south","female","sales","other","no","yes",1.44691898293633
12.5,12,43,61,"cauc","other","male","sales","manufacturing","no","yes",2.52572864430826
5.13,12,5,23,"cauc","other","female","sales","other","no","yes",1.63510565918268
3.35,16,14,36,"other","south","female","sales","other","no","yes",1.20896034583698
11.11,12,28,46,"cauc","south","male","sales","other","no","yes",2.40784560365154
3.84,11,25,42,"other","south","female","sales","other","no","yes",1.34547236659964
6.4,12,45,63,"cauc","other","female","sales","other","no","yes",1.85629799036563
5.56,14,5,25,"cauc","south","male","sales","other","no","no",1.71559810826249
10,12,20,38,"cauc","south","male","sales","manufacturing","no","yes",2.30258509299405
5.65,16,6,28,"cauc","other","female","sales","other","no","yes",1.73165554515835
11.5,16,16,38,"cauc","other","male","sales","other","no","yes",2.4423470353692
3.5,11,33,50,"cauc","other","female","sales","other","no","yes",1.25276296849537
3.35,13,2,21,"cauc","south","female","sales","other","no","yes",1.20896034583698
4.75,12,10,28,"cauc","south","female","sales","other","no","no",1.55814461804655
19.98,14,44,64,"cauc","south","male","sales","other","no","yes",2.99473177322041
3.5,14,6,26,"cauc","south","female","sales","other","no","yes",1.25276296849537
4,12,15,33,"cauc","other","female","sales","other","no","no",1.38629436111989
7,12,5,23,"cauc","other","male","sales","other","no","yes",1.94591014905531
6.25,13,4,23,"cauc","other","female","sales","manufacturing","no","yes",1.83258146374831
4.5,14,14,34,"cauc","other","male","sales","other","no","yes",1.50407739677627
14.29,14,32,52,"cauc","other","female","sales","other","no","yes",2.65955999194178
5,12,14,32,"cauc","other","female","sales","other","no","yes",1.6094379124341
13.75,14,21,41,"cauc","other","male","sales","other","no","yes",2.62103882411258
13.71,12,43,61,"cauc","other","male","sales","other","yes","yes",2.61812549357422
7.5,12,27,45,"other","south","female","sales","other","no","yes",2.01490302054226
3.8,12,4,22,"cauc","other","female","sales","other","no","no",1.33500106673234
5,14,0,20,"hispanic","other","male","sales","other","no","no",1.6094379124341
9.42,12,32,50,"cauc","south","male","sales","other","no","yes",2.24283508858827
5.5,12,20,38,"cauc","other","male","sales","other","no","yes",1.70474809223843
3.75,15,4,25,"cauc","south","male","sales","other","no","no",1.32175583998232
3.5,12,34,52,"cauc","other","male","sales","other","no","yes",1.25276296849537
5.8,13,5,24,"cauc","other","male","sales","other","no","no",1.75785791755237
12,17,13,36,"cauc","other","male","sales","manufacturing","no","yes",2.484906649788
5,14,17,37,"hispanic","other","female","office","other","no","yes",1.6094379124341
8.75,13,10,29,"cauc","south","female","office","other","no","yes",2.16905370036952
10,16,7,29,"cauc","other","female","office","other","no","yes",2.30258509299405
8.5,12,25,43,"cauc","other","female","office","other","no","no",2.14006616349627
8.63,12,18,36,"other","other","female","office","other","no","yes",2.15524450509534
9,16,27,49,"cauc","other","female","office","manufacturing","no","yes",2.19722457733622
5.5,16,2,24,"cauc","other","female","office","other","no","no",1.70474809223843
11.11,13,13,32,"cauc","other","male","office","other","no","yes",2.40784560365154
10,14,24,44,"cauc","other","female","office","other","no","no",2.30258509299405
5.2,18,13,37,"hispanic","south","female","office","other","no","yes",1.64865862558738
8,14,15,35,"cauc","other","female","office","other","yes","no",2.07944154167984
3.56,12,12,30,"hispanic","south","female","office","other","no","no",1.26976054486394
5.2,12,24,42,"cauc","other","female","office","other","no","yes",1.64865862558738
11.67,12,43,61,"cauc","other","female","office","construction","no","yes",2.45702144629846
11.32,12,13,31,"cauc","other","female","office","manufacturing","no","yes",2.42657107277504
7.5,12,16,34,"cauc","south","female","office","other","no","yes",2.01490302054226
5.5,11,24,41,"cauc","other","female","office","other","no","yes",1.70474809223843
5,16,4,26,"cauc","south","female","office","other","no","yes",1.6094379124341
7.75,12,24,42,"cauc","other","female","office","other","no","yes",2.04769284336526
5.25,12,45,63,"cauc","other","female","office","other","no","yes",1.65822807660353
9,12,20,38,"cauc","other","male","office","other","yes","yes",2.19722457733622
9.65,12,38,56,"cauc","other","female","office","other","no","yes",2.26695791535089
5.21,18,10,34,"cauc","south","male","office","other","no","yes",1.65057985576528
7,11,16,33,"other","other","female","office","other","no","yes",1.94591014905531
12.16,12,32,50,"other","south","female","office","other","no","yes",2.49815187653802
5.25,16,2,24,"cauc","south","female","office","other","no","no",1.65822807660353
10.32,13,28,47,"cauc","south","female","office","other","no","no",2.33408376005342
3.35,16,3,25,"other","other","male","office","other","no","no",1.20896034583698
7.7,13,8,27,"cauc","other","female","office","other","yes","no",2.04122032885964
9.17,12,44,62,"cauc","other","female","office","manufacturing","no","yes",2.21593728626837
8.43,12,12,30,"cauc","south","male","office","other","no","yes",2.13179677201376
4,12,8,26,"other","south","male","office","other","no","yes",1.38629436111989
4.13,12,4,22,"cauc","other","female","office","other","no","yes",1.41827740697294
3,12,28,46,"cauc","south","female","office","other","no","yes",1.09861228866811
4.25,13,0,19,"cauc","south","female","office","other","no","no",1.44691898293633
7.53,14,1,21,"cauc","south","male","office","other","no","no",2.0188950418118
10.53,14,12,32,"cauc","other","female","office","manufacturing","no","yes",2.35422832614588
5,12,39,57,"cauc","other","female","office","other","no","yes",1.6094379124341
15.03,12,24,42,"cauc","other","female","office","other","no","yes",2.71004820376488
11.25,17,32,55,"other","other","female","office","other","no","yes",2.42036812865043
6.25,16,4,26,"other","other","male","office","other","no","no",1.83258146374831
3.5,12,25,43,"other","other","female","office","other","no","no",1.25276296849537
6.85,12,8,26,"other","other","male","office","other","no","no",1.92424865227413
12.5,13,16,35,"cauc","other","female","office","other","no","yes",2.52572864430826
12,12,5,23,"cauc","south","male","office","other","no","no",2.484906649788
6,13,31,50,"cauc","other","male","office","other","no","no",1.79175946922805
9.5,12,25,43,"cauc","other","female","office","other","no","no",2.2512917986065
4.1,12,15,33,"cauc","other","female","office","other","no","yes",1.41098697371026
10.43,14,15,35,"cauc","south","female","office","other","no","yes",2.34468626901268
5,12,0,18,"cauc","other","female","office","other","no","no",1.6094379124341
7.69,12,19,37,"cauc","other","male","office","other","no","yes",2.03992078351755
5.5,12,21,39,"other","other","female","office","other","no","no",1.70474809223843
6.4,12,6,24,"cauc","other","female","office","other","no","no",1.85629799036563
12.5,12,14,32,"cauc","other","female","office","other","yes","yes",2.52572864430826
6.25,13,30,49,"cauc","other","female","office","other","no","yes",1.83258146374831
8,12,8,26,"cauc","other","female","office","other","no","no",2.07944154167984
9.6,9,33,48,"cauc","other","male","office","other","yes","no",2.26176309847379
9.1,13,16,35,"hispanic","other","male","office","other","no","no",2.2082744135228
7.5,12,20,38,"cauc","south","female","office","other","no","no",2.01490302054226
5,13,6,25,"cauc","south","female","office","other","no","yes",1.6094379124341
7,12,10,28,"cauc","other","female","office","other","yes","yes",1.94591014905531
3.55,13,1,20,"cauc","south","female","office","other","no","no",1.26694760348732
8.5,12,2,20,"other","south","male","office","other","no","no",2.14006616349627
4.5,13,0,19,"cauc","south","female","office","other","no","no",1.50407739677627
7.88,16,17,39,"other","other","male","office","other","no","yes",2.06432790386979
5.25,12,8,26,"cauc","other","female","office","other","no","no",1.65822807660353
5,12,4,22,"cauc","south","male","office","other","no","no",1.6094379124341
9.33,12,15,33,"cauc","other","female","office","other","no","no",2.23323501485925
10.5,12,29,47,"cauc","other","female","office","other","no","yes",2.35137525716348
7.5,12,23,41,"other","south","female","office","other","no","yes",2.01490302054226
9.5,12,39,57,"cauc","south","female","office","other","no","yes",2.2512917986065
9.6,12,14,32,"cauc","south","female","office","other","no","yes",2.26176309847379
5.87,17,6,29,"other","south","female","office","other","no","no",1.76985463384001
11.02,14,12,32,"cauc","south","male","office","other","yes","yes",2.39971180372477
5,12,26,44,"cauc","south","female","office","other","no","no",1.6094379124341
5.62,14,32,52,"cauc","other","female","office","other","no","yes",1.7263316639056
12.5,15,6,27,"cauc","other","female","office","other","no","yes",2.52572864430826
10.81,12,40,58,"cauc","other","female","office","other","no","yes",2.38047163165112
5.4,12,18,36,"cauc","other","female","office","manufacturing","no","yes",1.68639895357023
7,11,12,29,"cauc","other","female","office","other","no","no",1.94591014905531
4.59,12,36,54,"cauc","south","female","office","construction","no","yes",1.52388002407245
6,12,19,37,"cauc","other","female","office","other","no","yes",1.79175946922805
11.71,16,42,64,"cauc","other","female","office","manufacturing","no","no",2.46044317760963
5.62,13,2,21,"hispanic","other","female","office","other","no","yes",1.7263316639056
5.5,12,33,51,"cauc","other","female","office","other","no","yes",1.70474809223843
4.85,12,14,32,"cauc","south","female","office","other","no","yes",1.57897870494939
6.75,12,22,40,"cauc","other","male","office","other","no","no",1.90954250488444
4.25,12,20,38,"cauc","other","female","office","other","no","yes",1.44691898293633
5.75,12,15,33,"cauc","other","female","office","other","no","yes",1.74919985480926
3.5,12,35,53,"cauc","other","male","office","other","no","yes",1.25276296849537
3.35,12,7,25,"cauc","other","female","office","other","no","yes",1.20896034583698
10.62,12,45,63,"cauc","other","female","office","manufacturing","no","no",2.36273901581379
8,12,9,27,"cauc","other","female","office","other","no","no",2.07944154167984
4.75,12,2,20,"cauc","south","female","office","other","no","yes",1.55814461804655
8.5,17,3,26,"cauc","south","male","office","other","no","no",2.14006616349627
8.85,14,19,39,"other","other","female","office","other","yes","yes",2.18041745901984
8,12,14,32,"cauc","south","female","office","other","no","yes",2.07944154167984
6,4,54,64,"cauc","other","male","services","other","no","yes",1.79175946922805
7.14,14,17,37,"cauc","other","male","services","other","no","yes",1.96571277635149
3.4,8,29,43,"other","other","female","services","other","no","yes",1.22377543162212
6,15,26,47,"cauc","south","female","services","other","no","no",1.79175946922805
3.75,2,16,24,"hispanic","other","male","services","other","no","no",1.32175583998232
8.89,8,29,43,"other","other","female","services","other","no","no",2.18492704952581
4.35,11,20,37,"cauc","other","female","services","other","no","yes",1.47017584510059
13.1,10,38,54,"other","south","female","services","other","no","yes",2.57261223020711
4.35,8,37,51,"other","south","female","services","other","no","yes",1.47017584510059
3.5,9,48,63,"cauc","other","male","services","other","no","no",1.25276296849537
3.8,12,16,34,"cauc","other","female","services","other","no","no",1.33500106673234
5.26,8,38,52,"cauc","other","female","services","other","no","yes",1.66013102674962
3.35,14,0,20,"other","other","male","services","other","no","no",1.20896034583698
16.26,12,14,32,"other","other","male","services","other","yes","no",2.78870810411966
4.25,12,2,20,"cauc","other","female","services","other","no","yes",1.44691898293633
4.5,16,21,43,"cauc","other","male","services","other","no","yes",1.50407739677627
8,13,15,34,"cauc","other","female","services","other","no","yes",2.07944154167984
4,16,20,42,"cauc","other","female","services","other","no","no",1.38629436111989
7.96,14,12,32,"cauc","other","female","services","other","no","yes",2.07442899985629
4,12,7,25,"hispanic","south","male","services","other","no","no",1.38629436111989
4.15,11,4,21,"cauc","other","male","services","other","no","yes",1.42310833424261
5.95,13,9,28,"cauc","south","male","services","other","no","yes",1.78339121955754
3.6,12,43,61,"hispanic","south","female","services","other","no","yes",1.28093384546206
8.75,10,19,35,"cauc","south","male","services","other","no","no",2.16905370036952
3.4,8,49,63,"cauc","other","female","services","other","no","no",1.22377543162212
4.28,12,38,56,"cauc","other","female","services","other","no","yes",1.45395300959371
5.35,12,13,31,"cauc","other","female","services","other","no","yes",1.67709656090792
5,12,14,32,"cauc","other","female","services","other","no","yes",1.6094379124341
7.65,12,20,38,"cauc","other","male","services","other","no","no",2.03470564783844
6.94,12,7,25,"cauc","other","female","services","other","no","no",1.93730177451871
7.5,12,9,27,"cauc","other","female","services","manufacturing","yes","yes",2.01490302054226
3.6,12,6,24,"cauc","other","female","services","other","no","no",1.28093384546206
1.75,12,5,23,"cauc","south","female","services","other","no","yes",0.559615787935423
3.45,13,1,20,"other","south","female","services","other","no","no",1.23837423104327
9.63,14,22,42,"cauc","other","male","services","other","yes","yes",2.26488322581003
