address,village,takeup_survey,age,agpop,educ,rice_inc,disaster_prob,male,default,delay,intensive,risk_averse,disaster_yes,network_rate_preintensive,network_rate_presession,network_rate_presimple,knowledge_network,network_onlyone,network_onlytwo,network_twomore,network_yes,pre_takeup_rate,id_fake
beilian2,beilian,0,41,12,1,90,50,1,1,0,0,0,1,0,.80000001,.80000001,.60000002,0,0,0,0,.071428575,29
beilian2,beilian,0,76,6,1,100,20,1,1,1,1,0,0,0,.40000001,.40000001,.2,0,0,0,0,.071428575,30
beilian2,beilian,0,36,5,3,90,50,1,1,0,1,0,0,.2,.2,0,1,1,0,0,1,.071428575,31
beilian2,beilian,1,57,6,1,90,40,1,1,0,1,.80000001,1,0,0,0,,0,0,0,0,.071428575,32
beilian2,beilian,1,43,6,2,100,20,1,1,1,0,0,1,0,0,0,,0,0,0,0,.071428575,33
beilian2,beilian,0,42,4,2,75,20,1,1,1,0,0,1,.2,.2,0,.80000001,1,0,0,1,.071428575,34
beilian2,beilian,0,62,2,0,100,30,1,1,1,0,0,0,0,.2,.2,.60000002,0,0,0,0,.071428575,35
beilian2,beilian,1,78,7,1,100,30,1,1,1,1,.39999998,0,0,0,0,,0,0,0,0,.071428575,36
beilian2,beilian,0,52,6,1,70,0,1,1,1,1,.19999999,1,.2,.2,0,1,1,0,0,1,.071428575,37
beilian2,beilian,0,42,4,1,100,40,1,1,1,1,0,1,0,.40000001,.40000001,1,0,0,0,0,.071428575,38
beilian2,beilian,1,76,6,1,100,50,1,1,1,1,.60000002,0,.2,.2,0,.80000001,1,0,0,1,.071428575,39
beilian2,beilian,0,33,4,1,70,50,1,1,1,1,0,0,.2,.2,0,.80000001,1,0,0,1,.071428575,40
beilian2,beilian,0,50,3,1,95,50,1,1,0,0,0,1,.2,.2,0,1,1,0,0,1,.071428575,41
beilian4,beilian,0,53,2,2,20,50,1,0,0,1,.60000002,1,0,.2,.2,0,0,0,0,0,.40000001,42
beilian4,beilian,0,61,2,1,100,20,1,0,0,1,0,1,.2,.60000002,.40000004,.1,1,0,0,1,.40000001,43
beilian4,beilian,0,65,5,1,100,50,1,0,0,0,0,0,0,1,1,0,0,0,0,0,.40000001,44
beilian4,beilian,1,43,4,1,90,30,1,0,0,1,0,1,0,.2,.2,0,0,0,0,0,.40000001,45
beilian4,beilian,1,49,6,1,90,20,1,0,1,0,0,0,.40000001,.40000001,0,.5,0,1,1,1,.40000001,46
beilian4,beilian,1,71,2,0,100,20,1,0,0,0,0,1,.2,.2,0,.80000001,1,0,0,1,.40000001,47
beilian4,beilian,0,64,4,0,100,50,1,0,1,0,0,0,0,0,0,,0,0,0,0,.40000001,48
beilian4,beilian,1,62,6,1,50,40,1,0,1,1,.39999998,0,.25,.25,0,.2,1,0,0,1,.40000001,49
beilian4,beilian,0,45,3,2,70,50,1,0,0,1,.40000001,,,,,,,,,,.40000001,50
beilian4,beilian,1,67,2,1,100,40,1,0,1,0,.80000001,0,0,.2,.2,0,0,0,0,0,.40000001,51
beilian4,beilian,1,52,5,1,85,40,1,0,0,0,0,0,0,0,0,,0,0,0,0,.40000001,52
beilian4,beilian,0,43,3,1,80,40,1,0,1,0,.39999998,0,0,.2,.2,.2,0,0,0,0,.40000001,53
beilian4,beilian,0,59,6,1,90,30,1,0,0,0,0,0,.40000001,.60000002,.20000002,.60000002,0,1,1,1,.40000001,54
beilian4,beilian,1,73,2,1,40,50,1,0,1,0,0,,,,,,,,,,.40000001,55
beilian4,beilian,1,44,4,1,90,50,1,0,0,1,0,1,0,.2,.2,.2,0,0,0,0,.40000001,56
beilian4,beilian,0,36,4,,60,40,1,0,1,1,0,1,.2,.40000001,.2,0,1,0,0,1,.40000001,57
beilian4,beilian,1,58,6,1,100,20,1,0,1,1,0,1,.2,.40000001,.2,.5,1,0,0,1,.40000001,58
beilian4,beilian,0,40,4,1,100,20,1,0,1,1,0,1,.40000001,.60000002,.20000002,.60000002,0,1,1,1,.40000001,59
beilian4,beilian,1,40,5,1,100,50,1,0,1,1,0,1,0,.40000001,.40000001,0,0,0,0,0,.40000001,60
beilian4,beilian,1,60,2,1,95,50,1,0,1,0,0,0,.2,.40000001,.2,.5,1,0,0,1,.40000001,61
beilian4,beilian,0,50,2,4,70,30,1,0,0,0,.2,,,,,,,,,,.40000001,62
beilian4,beilian,0,41,4,1,100,20,1,0,1,0,0,1,.2,.40000001,.2,0,1,0,0,1,.40000001,63
beixing4,beixing,1,41,4,1,100,50,1,0,1,0,.39999998,1,.2,.40000001,.2,.5,1,0,0,1,.33333334,64
beixing4,beixing,1,68,5,1,60,50,1,0,1,1,.2,,.40000001,.40000001,0,.80000001,0,1,1,1,.33333334,65
beixing4,beixing,1,59,4,1,85,20,1,0,1,1,0,0,.2,.40000001,.2,.30000001,1,0,0,1,.33333334,66
beixing4,beixing,0,46,4,1,,0,1,0,1,1,0,0,0,0,0,,0,0,0,0,.33333334,67
beixing4,beixing,0,59,7,1,20,0,1,0,1,0,0,0,.2,.40000001,.2,.30000001,1,0,0,1,.33333334,68
beixing4,beixing,1,41,5,1,100,50,1,0,1,1,.39999998,1,.2,.2,0,1,1,0,0,1,.33333334,69
beixing4,beixing,0,52,5,2,85,20,1,0,1,0,0,1,.2,.40000001,.2,.30000001,1,0,0,1,.33333334,70
beixing4,beixing,1,41,4,2,20,40,1,0,1,0,.80000001,0,.40000001,.40000001,0,.80000001,0,1,1,1,.33333334,71
beixing4,beixing,0,48,3,1,100,30,1,0,0,1,0,1,.40000001,.60000002,.20000002,.53333336,0,1,1,1,.33333334,72
beixing4,beixing,0,57,6,1,50,20,1,0,1,0,.19999999,0,0,.40000001,.40000001,.1,0,0,0,0,.33333334,73
beixing4,beixing,1,59,6,1,90,20,1,0,0,0,0,1,0,0,0,,0,0,0,0,.33333334,74
beixing4,beixing,0,81,2,0,10,30,1,0,0,0,.2,,,,,,,,,,.33333334,75
beixing4,beixing,0,58,6,0,40,50,1,0,0,0,0,1,.2,.40000001,.2,.70000005,1,0,0,1,.33333334,76
beixing4,beixing,0,56,4,0,80,50,1,0,1,1,0,1,.40000001,.40000001,0,.89999998,0,1,1,1,.33333334,77
beixing4,beixing,0,37,5,1,60,50,1,0,0,1,.39999998,0,0,.2,.2,.60000002,0,0,0,0,.33333334,78
beixing4,beixing,0,42,5,1,50,50,1,0,1,1,.39999998,0,0,.2,.2,.2,0,0,0,0,.33333334,79
beixing4,beixing,0,82,3,0,100,40,1,0,1,1,0,0,0,.60000002,.60000002,.2,0,0,0,0,.33333334,80
beixing4,beixing,0,55,3,0,85,20,1,0,0,0,1,1,0,.2,.2,0,0,0,0,0,.33333334,81
beixing4,beixing,1,37,4,1,75,30,1,0,0,1,0,0,.2,.2,0,.80000001,1,0,0,1,.33333334,82
beixing4,beixing,1,43,4,1,30,0,1,0,0,1,0,0,.2,.40000001,.2,.80000001,1,0,0,1,.33333334,83
beixing4,beixing,0,47,4,0,100,40,1,0,0,1,0,1,.2,.40000001,.2,.60000002,1,0,0,1,.33333334,84
beixing4,beixing,0,58,6,1,30,40,1,0,1,1,0,0,0,0,0,,0,0,0,0,.33333334,85
beixing5,beixing,0,50,5,1,100,10,1,1,1,1,1,1,0,.2,.2,.2,0,0,0,0,.5,86
beixing5,beixing,0,64,7,1,20,30,1,1,0,0,0,1,.2,.2,0,0,1,0,0,1,.5,87
beixing5,beixing,0,59,1,1,90,0,1,1,1,1,0,1,.2,.2,0,.2,1,0,0,1,.5,88
beixing5,beixing,0,46,3,1,80,50,1,1,1,0,.39999998,0,.2,.2,0,.2,1,0,0,1,.5,89
beixing5,beixing,0,66,11,1,90,10,1,1,0,0,0,0,.2,.2,0,.2,1,0,0,1,.5,90
beixing5,beixing,1,57,2,1,100,20,1,1,0,1,.60000002,0,.40000001,.40000001,0,.2,0,1,1,1,.5,91
beixing5,beixing,0,44,4,0,90,50,1,1,0,1,0,0,.2,.2,0,.2,1,0,0,1,.5,92
beixing5,beixing,0,63,5,0,,40,1,1,0,0,0,0,0,.40000001,.40000001,.2,0,0,0,0,.5,93
beixing5,beixing,1,61,2,1,100,20,1,1,1,1,0,1,.2,.40000001,.2,.5,1,0,0,1,.5,94
beixing5,beixing,0,37,4,2,70,40,1,1,1,0,0,0,0,.40000001,.40000001,.2,0,0,0,0,.5,95
beixing5,beixing,1,69,4,0,100,50,1,1,0,1,0,0,0,0,0,,0,0,0,0,.5,96
beixing5,beixing,0,49,5,1,100,20,1,1,0,1,.19999999,0,.40000001,.40000001,0,.1,0,1,1,1,.5,97
beixing5,beixing,1,46,7,2,90,50,1,1,0,0,0,0,.40000001,.40000001,0,.2,0,1,1,1,.5,98
beixing5,beixing,1,63,2,0,40,40,1,1,1,1,0,1,.40000001,.40000001,0,.30000001,0,1,1,1,.5,99
beixing5,beixing,1,42,2,0,50,0,1,1,0,1,1,0,.2,.2,0,.2,1,0,0,1,.5,100
beixing5,beixing,0,38,5,1,30,50,1,1,1,1,.60000002,0,.2,.60000002,.40000004,.40000001,1,0,0,1,.5,101
beixing5,beixing,1,42,5,0,90,20,1,1,0,1,0,0,.40000001,.40000001,0,.2,0,1,1,1,.5,102
beixing5,beixing,0,47,4,2,100,20,1,1,1,0,.19999999,1,.2,.40000001,.2,.2,1,0,0,1,.5,103
beixing5,beixing,0,42,9,1,95,0,1,1,1,1,0,0,0,.2,.2,.2,0,0,0,0,.5,104
beixing712,beixing,1,68,2,0,60,50,1,1,0,1,0,0,.40000001,.40000001,0,.5,0,1,1,1,.42105263,105
beixing712,beixing,0,45,4,1,40,40,1,1,1,1,.60000002,0,0,.2,.2,.2,0,0,0,0,.42105263,106
beixing712,beixing,1,48,4,2,60,30,1,1,1,1,0,1,.40000001,.40000001,0,.5,0,1,1,1,.42105263,107
beixing712,beixing,0,56,7,0,50,0,1,1,0,0,0,0,0,.40000001,.40000001,.2,0,0,0,0,.42105263,108
beixing712,beixing,1,50,7,3,,5,1,1,1,0,.39999998,1,0,.2,.2,1,0,0,0,0,.42105263,109
beixing712,beixing,0,36,3,1,50,30,1,1,1,1,.80000001,0,.2,.2,0,.80000001,1,0,0,1,.42105263,110
beixing712,beixing,1,41,4,1,100,50,1,1,0,0,0,1,.40000001,.40000001,0,.80000001,0,1,1,1,.42105263,111
beixing712,beixing,0,36,5,1,100,40,1,1,0,1,.60000002,1,0,.40000001,.40000001,.2,0,0,0,0,.42105263,112
beixing712,beixing,0,59,2,1,75,20,1,1,1,0,0,0,.40000001,.60000002,.20000002,.53333336,0,1,1,1,.42105263,113
beixing712,beixing,0,34,5,1,100,50,1,1,0,0,0,0,0,.40000001,.40000001,.2,0,0,0,0,.42105263,114
beixing712,beixing,0,45,4,1,70,20,1,1,1,1,.19999999,0,0,.40000001,.40000001,.2,0,0,0,0,.42105263,115
beixing712,beixing,0,42,5,1,60,50,1,1,0,0,.19999999,0,0,0,0,,0,0,0,0,.42105263,116
beixing712,beixing,0,47,4,3,60,20,1,1,1,0,.39999998,0,.2,.40000001,.2,.40000001,1,0,0,1,.42105263,117
beixing712,beixing,0,44,4,1,,50,1,1,1,0,0,1,0,.2,.2,1,0,0,0,0,.42105263,118
beixing712,beixing,1,57,6,1,60,50,1,1,0,1,0,1,.2,.60000002,.40000004,.2,1,0,0,1,.42105263,119
beixing712,beixing,0,52,3,0,100,50,1,1,0,1,.19999999,1,0,.2,.2,.2,0,0,0,0,.42105263,120
beixing712,beixing,0,37,5,2,100,30,1,1,1,1,.60000002,1,0,0,0,,0,0,0,0,.42105263,121
beixing712,beixing,1,49,4,1,40,0,1,1,0,1,0,0,0,.40000001,.40000001,.2,0,0,0,0,.42105263,122
beixing712,beixing,1,43,5,4,80,0,1,1,1,1,0,0,0,.2,.2,.2,0,0,0,0,.42105263,123
beixing712,beixing,0,71,5,0,90,30,1,1,0,0,0,0,0,.40000001,.40000001,.2,0,0,0,0,.42105263,124
beixing712,beixing,1,45,3,1,95,50,1,1,0,1,.39999998,1,.40000001,.60000002,.20000002,.40000001,0,1,1,1,.42105263,125
beixing712,beixing,1,45,10,2,100,20,1,1,1,0,0,0,0,0,0,,0,0,0,0,.42105263,126
beixing712,beixing,1,48,6,1,100,40,1,1,1,0,0,1,.2,.40000001,.2,.80000001,1,0,0,1,.42105263,127
beixing712,beixing,0,45,5,1,80,30,1,1,0,0,.19999999,1,.2,.40000001,.2,.5,1,0,0,1,.42105263,128
beixing712,beixing,0,45,7,1,100,30,1,1,1,1,0,1,.2,.2,0,.2,1,0,0,1,.42105263,129
beixing712,beixing,0,45,4,1,100,20,1,1,1,0,0,0,.2,.40000001,.2,.40000001,1,0,0,1,.42105263,130
beixing712,beixing,0,42,4,1,100,20,1,1,0,0,0,0,0,0,0,,0,0,0,0,.42105263,131
beixing712,beixing,0,33,4,1,,50,1,1,1,0,0,0,0,.40000001,.40000001,.2,0,0,0,0,.42105263,132
beixing712,beixing,1,48,4,2,100,50,1,1,1,0,0,1,0,.60000002,.60000002,.13333334,0,0,0,0,.42105263,133
beixing712,beixing,0,43,4,1,90,50,1,1,1,0,1,0,.2,.2,0,.80000001,1,0,0,1,.42105263,134
beixing712,beixing,1,74,2,0,100,20,1,1,1,1,0,1,0,0,0,,0,0,0,0,.42105263,135
beixing712,beixing,1,66,4,0,100,20,1,1,0,1,0,1,.25,.25,0,.80000001,1,0,0,1,.42105263,136
beixing712,beixing,0,52,6,3,90,20,1,1,1,1,.39999998,1,.40000001,.40000001,0,.80000001,0,1,1,1,.42105263,137
beixing712,beixing,0,53,4,1,,20,1,1,1,0,0,0,0,.2,.2,.2,0,0,0,0,.42105263,138
beixing712,beixing,0,42,4,1,90,50,1,1,0,0,1,0,.2,.60000002,.40000004,.53333336,1,0,0,1,.42105263,139
beixing712,beixing,0,80,5,0,40,50,1,1,0,0,.40000001,,,,,,,,,,.42105263,140
beixing712,beixing,0,40,4,1,,0,1,1,0,0,.39999998,0,.2,.40000001,.2,.5,1,0,0,1,.42105263,141
beixing712,beixing,1,50,4,2,80,50,1,1,1,1,.39999998,,0,.2,.2,.2,0,0,0,0,.42105263,142
beixing712,beixing,1,63,2,0,90,20,1,1,0,1,0,1,.40000001,.40000001,0,.80000001,0,1,1,1,.42105263,143
beixing712,beixing,1,75,7,0,100,30,1,1,0,1,0,0,.80000001,1,.19999999,.40000001,0,0,1,1,.42105263,144
beixing712,beixing,0,51,5,0,100,40,1,1,1,0,0,1,0,.40000001,.40000001,.2,0,0,0,0,.42105263,145
caijia1,caijia,0,58,5,0,50,30,1,0,1,0,0,0,.2,.40000001,.2,.30000001,1,0,0,1,.40000001,146
caijia1,caijia,1,73,3,0,100,30,1,0,1,0,.60000002,1,0,.2,.2,0,0,0,0,0,.40000001,147
caijia1,caijia,1,57,2,1,60,20,1,0,1,1,0,0,0,0,0,,0,0,0,0,.40000001,148
caijia1,caijia,1,45,3,1,100,20,1,0,1,1,0,1,.40000001,.60000002,.20000002,.53333336,0,1,1,1,.40000001,149
caijia1,caijia,0,62,1,1,100,30,1,0,0,0,0,1,.2,.2,0,.2,1,0,0,1,.40000001,150
caijia1,caijia,0,63,3,1,40,10,1,0,1,0,0,0,0,0,0,,0,0,0,0,.40000001,151
caijia1,caijia,0,32,4,2,80,50,1,0,0,0,0,1,.40000001,.40000001,0,.60000002,0,1,1,1,.40000001,152
caijia1,caijia,0,67,7,0,40,20,1,0,1,0,0,1,0,0,0,,0,0,0,0,.40000001,153
caijia1,caijia,1,54,3,2,60,50,1,0,0,1,1,0,0,.2,.2,,0,0,0,0,.40000001,154
caijia1,caijia,1,50,5,1,80,40,1,0,1,0,.60000002,,.40000001,.80000001,.40000001,1,0,1,1,1,.40000001,155
caijia1,caijia,1,53,4,1,40,50,1,0,0,1,1,1,.40000001,.40000001,0,.30000001,0,1,1,1,.40000001,156
caijia1,caijia,1,76,4,0,40,30,1,0,1,0,0,,,,,,,,,,.40000001,157
caijia1,caijia,1,70,2,1,70,50,1,0,1,1,1,0,0,0,0,,0,0,0,0,.40000001,158
caijia1,caijia,0,46,,,70,50,1,0,0,0,.40000001,,,,,,,,,,.40000001,159
caijia1,caijia,0,45,3,1,60,30,1,0,0,0,0,0,0,.80000001,.80000001,.06666667,0,0,0,0,.40000001,160
caijia1,caijia,1,37,4,1,40,40,1,0,0,1,1,1,0,0,0,,0,0,0,0,.40000001,161
caijia1,caijia,0,56,4,1,100,50,1,0,1,1,0,0,0,.2,.2,.2,0,0,0,0,.40000001,162
caijia1,caijia,1,53,3,1,80,20,1,0,1,1,0,0,0,.2,.2,,0,0,0,0,.40000001,163
caijia1,caijia,1,46,3,1,80,20,1,0,1,1,0,0,.40000001,.60000002,.20000002,.5,0,1,1,1,.40000001,164
caijia1,caijia,0,68,3,0,100,10,1,0,1,0,0,0,0,0,0,,0,0,0,0,.40000001,165
caijia1,caijia,0,71,5,0,100,50,1,0,0,0,0,0,.2,.60000002,.40000004,.33333334,1,0,0,1,.40000001,166
caijia1,caijia,0,78,6,0,100,20,1,0,0,0,0,1,.2,.2,0,.80000001,1,0,0,1,.40000001,167
caijia1,caijia,1,41,4,1,50,20,1,0,0,1,.60000002,1,.40000001,.60000002,.20000002,.60000002,0,1,1,1,.40000001,168
caijia1,caijia,0,50,5,2,60,10,1,0,1,0,0,0,.2,.2,0,.80000001,1,0,0,1,.40000001,169
caijia1,caijia,0,60,4,1,100,20,1,0,0,0,0,0,.2,.60000002,.40000004,.1,1,0,0,1,.40000001,170
caijia1,caijia,1,46,4,0,80,40,1,0,0,1,0,1,.2,.40000001,.2,.40000001,1,0,0,1,.40000001,171
caijia1,caijia,1,59,10,1,70,20,1,0,1,1,.80000001,,,,,,,,,,.40000001,172
caijia1,caijia,0,64,6,1,70,50,1,0,1,1,0,1,0,.2,.2,.2,0,0,0,0,.40000001,173
caijia1,caijia,1,47,4,1,60,30,1,0,0,1,0,0,0,.80000001,.80000001,.06666667,0,0,0,0,.40000001,174
caijia1,caijia,1,40,4,2,80,20,1,0,1,1,.80000001,,,,,,,,,,.40000001,175
caijia1,caijia,0,39,4,2,80,20,1,0,0,0,.80000001,,,,,,,,,,.40000001,176
caijia1,caijia,0,63,3,0,90,50,1,0,1,0,0,1,0,.60000002,.60000002,.06666667,0,0,0,0,.40000001,177
caijia1,caijia,0,42,5,2,60,40,1,0,0,1,.39999998,0,.2,.2,0,.80000001,1,0,0,1,.40000001,178
caijia1,caijia,0,65,4,2,100,50,1,0,1,0,0,0,0,.2,.2,,0,0,0,0,.40000001,179
caijia6,caijia,0,58,9,1,15,50,1,1,0,1,.39999998,0,.2,.2,0,.80000001,1,0,0,1,.33333334,180
caijia6,caijia,1,52,4,2,60,50,1,1,1,0,0,,.2,.2,0,.80000001,1,0,0,1,.33333334,181
caijia6,caijia,0,57,4,1,40,20,1,1,1,1,0,0,0,.2,.2,.2,0,0,0,0,.33333334,182
caijia6,caijia,1,64,10,3,20,10,1,1,0,0,0,1,0,.60000002,.60000002,.06666667,0,0,0,0,.33333334,183
caijia6,caijia,1,60,13,1,80,10,1,1,1,0,.19999999,1,0,.2,.2,.2,0,0,0,0,.33333334,184
caijia6,caijia,1,52,4,4,60,50,1,1,1,0,.2,,.40000001,.40000001,0,.80000001,0,1,1,1,.33333334,185
caijia6,caijia,0,52,3,0,100,10,1,1,1,1,0,0,0,.40000001,.40000001,.2,0,0,0,0,.33333334,186
caijia6,caijia,0,74,3,0,40,30,1,1,0,0,.2,,,,,,,,,,.33333334,187
caijia6,caijia,1,76,6,1,40,30,1,1,1,1,0,,.40000001,.40000001,0,.5,0,1,1,1,.33333334,188
caijia6,caijia,0,70,12,0,70,40,1,1,0,1,.60000002,,,,,,,,,,.33333334,189
caijia6,caijia,0,62,6,,40,40,1,1,1,1,0,0,0,.2,.2,1,0,0,0,0,.33333334,190
caijia6,caijia,0,48,5,1,30,10,1,1,1,0,.19999999,0,.2,.40000001,.2,1,1,0,0,1,.33333334,191
caijia6,caijia,1,73,6,,30,20,1,1,1,1,.80000001,,,,,,,,,,.33333334,192
caijia6,caijia,1,47,3,1,90,30,1,1,0,0,0,0,.2,.80000001,.60000002,.69999999,1,0,0,1,.33333334,193
caijia6,caijia,1,57,2,1,20,50,1,1,1,0,1,0,0,0,0,,0,0,0,0,.33333334,194
caijia6,caijia,0,41,3,2,,30,1,1,1,0,0,0,0,.2,.2,.2,0,0,0,0,.33333334,195
caijia6,caijia,1,42,4,2,100,40,1,1,0,1,0,1,.40000001,.60000002,.20000002,.33333334,0,1,1,1,.33333334,196
caijia6,caijia,1,66,2,1,50,20,1,1,1,0,0,0,.2,.2,0,.80000001,1,0,0,1,.33333334,197
caijia6,caijia,0,38,5,2,14,40,1,1,1,1,0,1,.2,.40000001,.2,.40000001,1,0,0,1,.33333334,198
caijia6,caijia,1,41,4,2,30,50,1,1,0,0,1,0,.40000001,.60000002,.20000002,0,0,1,1,1,.33333334,199
caijia6,caijia,0,36,4,2,25,20,1,1,1,0,.39999998,0,.2,.40000001,.2,.40000001,1,0,0,1,.33333334,200
caijia6,caijia,0,57,7,3,60,50,1,1,0,1,.40000001,,,,,,,,,,.33333334,201
caijia6,caijia,0,35,10,1,100,30,1,1,1,1,0,1,0,.2,.2,0,0,0,0,0,.33333334,202
caijia6,caijia,1,53,4,4,15,20,1,1,0,1,.19999999,1,.40000001,.40000001,0,.30000001,0,1,1,1,.33333334,203
caijia6,caijia,0,50,5,2,70,50,1,1,0,0,.40000001,,,,,,,,,,.33333334,204
caijia6,caijia,0,72,5,1,100,50,1,1,1,1,1,0,0,0,0,,0,0,0,0,.33333334,205
caijia6,caijia,1,60,6,1,25,0,1,1,1,1,0,0,.2,.2,0,.80000001,1,0,0,1,.33333334,206
caijia6,caijia,0,59,10,0,100,50,1,1,0,1,.39999998,0,0,.2,.2,0,0,0,0,0,.33333334,207
caijia6,caijia,0,40,4,1,60,20,1,1,1,1,0,1,.2,.2,0,0,1,0,0,1,.33333334,208
caijia6,caijia,0,74,5,1,100,40,1,1,0,0,0,1,0,1,1,.60000002,0,0,0,0,.33333334,209
caijia6,caijia,0,62,6,2,40,20,1,1,0,0,0,0,.60000002,1,.39999998,.25,0,0,1,1,.33333334,210
caijia6,caijia,0,37,5,1,40,50,1,1,1,0,0,1,0,.40000001,.40000001,.1,0,0,0,0,.33333334,211
caijia6,caijia,0,67,6,0,80,20,1,1,1,0,0,0,0,0,0,,0,0,0,0,.33333334,212
caijia6,caijia,0,68,2,0,90,20,1,1,1,0,0,0,.2,.40000001,.2,1,1,0,0,1,.33333334,213
caijia6,caijia,0,59,9,0,50,30,1,1,0,1,0,0,.2,.2,0,.40000001,1,0,0,1,.33333334,214
caijia6,caijia,0,55,3,2,60,50,1,1,1,0,0,1,.40000001,.40000001,0,.80000001,0,1,1,1,.33333334,215
caijia6,caijia,0,64,7,1,40,50,1,1,1,0,0,0,0,.25,.25,.2,0,0,0,0,.33333334,216
caijia6,caijia,0,53,5,2,40,50,1,1,0,0,.19999999,1,0,0,0,,0,0,0,0,.33333334,217
caijia6,caijia,1,55,3,2,60,30,1,1,1,0,0,,,,,,,,,,.33333334,218
caijia6,caijia,0,62,6,,70,40,1,1,1,1,0,1,0,0,0,,0,0,0,0,.33333334,219
caijia6,caijia,0,43,4,1,60,20,1,1,1,1,0,0,.2,.40000001,.2,.2,1,0,0,1,.33333334,220
caijia6,caijia,1,37,4,,80,40,1,1,1,0,.60000002,,,,,,,,,,.33333334,221
caijia6,caijia,0,38,4,2,70,50,1,1,1,0,0,0,0,.2,.2,.2,0,0,0,0,.33333334,222
chaxishangchaxi,chaxi,0,40,6,1,100,20,1,0,0,1,0,1,.40000001,.80000001,.40000001,.40000001,0,1,1,1,.25,223
chaxishangchaxi,chaxi,1,53,4,1,40,50,1,0,0,1,0,1,.2,.40000001,.2,.60000002,1,0,0,1,.25,224
chaxishangchaxi,chaxi,0,53,5,3,100,30,1,0,0,0,0,1,.2,.2,0,.40000001,1,0,0,1,.25,225
