userFollowerCount,userFollowingCount,userBiographyLength,userMediaCount,userHasProfilPic,userIsPrivate,usernameDigitCount,usernameLength
507,493,59,25,1,1,0,12
562,691,18,21,1,1,0,12
524,510,0,18,1,1,0,9
252,579,0,0,1,1,0,14
181,199,0,3,0,1,1,21
182,188,19,24,1,1,0,7
777,582,22,29,1,0,0,13
257,281,17,11,1,1,0,8
109,104,22,20,1,0,0,13
127,142,0,6,1,1,0,13
611,412,139,12,1,1,0,13
136,365,0,19,1,1,0,14
264,265,34,4,1,1,0,10
447,387,12,31,1,1,0,12
225,256,0,1,1,1,0,10
278,672,25,21,1,1,0,15
152,221,0,117,1,0,0,11
616,718,0,35,1,1,0,12
357,369,65,6,1,1,0,11
38,158,0,1,0,1,0,14
199,197,74,6,1,0,0,10
452,385,49,172,1,0,0,6
265,312,93,53,1,1,0,9
485,510,115,24,1,1,0,13
247,236,1,12,1,1,0,12
696,769,30,11,1,0,3,16
342,286,35,18,1,1,0,13
189,272,0,8,1,1,0,12
487,788,44,43,1,1,0,8
68,75,0,17,1,0,0,15
354,363,10,40,1,0,0,11
334,499,34,30,1,1,0,12
304,321,32,23,1,1,0,11
226,248,42,19,1,0,0,6
265,319,21,58,1,1,0,11
527,498,40,42,1,1,1,11
327,524,0,24,1,1,0,13
173,195,4,0,1,1,0,14
254,907,0,34,1,1,0,13
233,280,0,23,1,0,0,7
210,220,0,1,1,1,0,10
651,722,51,136,1,1,0,12
237,249,0,36,1,1,0,11
204,445,118,92,1,1,0,8
268,388,0,3,1,1,0,8
293,438,46,45,1,1,0,6
345,332,19,167,1,1,0,14
1725,1466,135,245,1,1,0,17
311,351,0,63,1,0,0,11
224,308,23,59,1,1,0,16
245,395,0,10,1,1,0,8
582,828,0,43,1,1,0,16
447,572,83,120,1,1,0,15
165,205,6,0,1,0,0,8
187,207,9,16,1,1,0,9
334,234,0,16,1,1,0,12
613,555,27,121,1,1,0,11
278,265,0,155,1,0,0,9
277,175,0,65,1,0,0,9
107,260,0,0,1,1,0,13
735,665,44,19,1,1,0,11
242,299,39,23,1,1,0,11
209,216,19,14,1,1,0,13
253,303,0,7,1,1,0,9
305,322,4,49,1,0,0,13
105,167,0,0,1,1,0,7
371,357,78,19,1,1,0,12
378,422,21,31,1,1,0,12
384,219,51,11,1,1,0,12
848,959,0,225,1,0,0,8
143,233,0,1,1,1,0,13
334,870,0,28,1,1,0,13
590,801,43,76,1,0,2,13
274,403,30,122,1,1,0,10
179,347,0,25,1,0,2,5
116,187,0,0,1,1,0,12
235,186,30,9,1,1,0,16
222,248,0,40,1,1,0,13
290,289,0,76,1,1,0,9
349,427,13,14,1,1,4,12
224,234,13,7,1,1,0,10
550,502,19,108,1,1,0,13
118,92,0,3,1,1,0,8
320,457,14,1,1,0,0,8
684,592,11,49,1,1,0,11
477,474,0,0,0,1,0,9
268,348,43,21,1,0,0,11
303,418,115,92,1,1,0,13
185,486,7,0,1,1,0,9
347,407,66,11,1,1,0,17
340,806,0,18,1,0,0,13
350,385,0,63,1,1,0,8
391,314,3,17,1,0,0,12
404,454,9,26,1,1,0,11
679,666,115,54,1,1,0,7
236,338,21,23,1,1,0,11
898,624,150,141,1,1,0,15
489,473,8,86,1,0,4,9
379,386,0,31,1,0,0,11
316,317,110,101,1,1,0,7
473,614,5,99,1,0,0,13
146,163,69,63,1,1,0,9
256,338,36,39,1,1,0,10
1035,828,0,24,1,0,0,10
326,654,146,155,1,1,0,8
342,371,43,15,1,1,0,11
531,686,0,41,1,1,0,9
488,569,0,34,1,1,0,9
1218,351,35,15,1,0,0,10
403,388,0,23,1,1,0,11
393,372,25,7,1,0,0,9
505,382,9,4,1,1,0,11
181,186,0,8,1,1,0,11
319,319,46,138,1,1,0,11
561,737,0,66,1,1,0,9
283,355,0,140,1,1,0,8
384,469,42,71,1,1,0,11
446,496,0,62,1,1,0,7
208,310,9,440,1,1,0,10
1123,1162,130,428,1,1,0,12
283,442,6,36,1,1,0,8
682,762,11,114,1,1,0,7
460,459,41,23,1,1,0,12
461,440,25,115,1,1,0,10
725,733,35,91,1,1,0,13
132,345,0,33,1,1,0,6
424,499,50,38,1,1,0,7
321,306,18,102,1,1,0,9
584,653,34,88,1,1,0,9
589,601,58,58,1,1,0,13
620,623,0,161,1,1,0,9
1500,1446,103,132,1,1,0,14
213,235,42,32,1,1,1,13
376,437,116,33,1,1,0,9
150,256,98,28,1,1,0,15
351,381,35,25,1,0,0,10
414,440,14,71,1,0,0,9
473,397,35,28,1,1,0,16
521,860,0,262,1,1,0,7
230,358,0,26,1,0,0,10
350,426,30,24,1,1,0,12
376,636,19,60,1,1,0,7
475,528,0,29,1,1,0,7
288,276,22,13,1,1,0,12
515,571,0,4,1,0,0,11
470,627,61,7,1,1,0,8
367,416,41,111,1,1,0,7
252,265,41,4,1,1,0,9
269,268,0,23,1,1,0,8
312,453,33,47,1,1,0,9
370,387,21,22,1,1,0,7
609,543,23,58,1,1,0,9
330,433,63,35,1,0,0,15
649,630,35,67,1,0,0,9
529,589,33,67,1,1,0,13
348,359,0,21,1,1,0,10
576,680,135,187,1,1,0,11
387,382,43,69,1,1,0,8
120,84,25,48,1,1,0,13
290,517,2,16,1,1,0,10
522,641,88,171,1,0,0,7
639,677,17,125,1,1,0,9
554,561,0,325,1,1,0,12
230,436,0,36,1,1,0,14
545,494,22,22,1,1,0,15
252,509,0,28,1,1,0,11
420,1097,22,29,1,1,0,10
2939,595,140,43,1,0,0,13
456,545,82,48,1,1,0,10
326,784,6,27,1,1,0,12
241,293,22,16,1,1,0,10
349,420,0,61,1,1,0,12
367,524,0,47,1,1,0,11
462,682,0,94,1,1,0,10
202,201,0,21,1,1,0,9
95,90,0,4,1,1,2,14
346,318,18,0,1,0,0,12
603,1233,7,588,1,1,0,7
386,482,32,48,1,1,0,7
219,99,87,79,1,0,0,18
99,227,0,117,1,1,0,17
417,375,6,25,1,1,0,10
266,248,33,12,1,0,0,11
592,108,35,117,1,0,0,9
308,423,0,101,1,1,2,14
261,102,0,142,1,0,0,8
571,755,4,16,1,1,0,10
311,406,0,11,1,1,0,9
115,143,0,15,1,1,0,7
623,579,146,83,1,0,0,14
473,794,0,4,1,1,0,8
575,537,27,44,1,1,0,14
399,826,54,70,1,1,0,13
119,116,0,2,1,1,0,15
260,344,0,99,1,1,0,14
436,348,57,33,1,0,0,11
917,591,37,48,1,1,0,8
153,367,9,72,1,0,0,13
676,701,0,249,1,1,0,11
369,430,60,14,1,1,0,14
373,1477,90,25,1,0,0,14
429,449,0,1,1,0,4,9
234,196,146,66,1,1,2,8
481,452,93,163,1,0,0,10
337,296,7,65,1,0,0,13
208,571,0,11,1,0,0,8
873,4935,22,30,1,0,0,9
194,219,14,33,1,1,0,15
371,442,0,9,1,1,0,16
83,252,0,40,1,1,0,12
22,28,0,0,0,1,0,15
244,263,0,82,1,1,0,11
134,365,7,59,1,1,0,11
349,352,15,44,1,1,4,21
427,509,26,0,1,1,0,12
60,108,0,49,1,1,1,14
249,171,0,56,1,1,0,8
378,578,9,61,1,1,0,7
92,196,3,5,1,1,0,12
221,224,0,39,1,0,0,14
66,61,20,0,1,0,0,12
462,483,32,31,1,1,0,12
630,755,0,125,1,1,0,10
126,88,0,2,1,0,0,9
486,479,20,38,1,1,0,15
51,48,0,43,1,1,0,8
626,679,48,58,1,1,0,12
748,996,11,44,1,1,0,13
1058,614,23,52,1,0,0,12
633,661,19,31,1,1,0,10
207,201,131,75,1,1,2,12
200,257,20,3,1,1,0,11
216,268,40,10,1,1,1,10
911,343,76,411,1,0,0,7
199,209,107,49,1,1,0,10
658,604,8,27,1,1,0,7
409,504,32,3,1,1,0,20
158,209,0,5,1,1,0,7
872,772,0,174,1,0,0,11
203,250,53,131,1,1,0,8
93,51,0,1,1,1,0,10
66,84,0,1,1,1,0,10
422,377,18,17,1,0,0,13
106,115,0,8,1,1,0,8
238,100,10,100,1,1,0,11
325,523,0,84,1,1,0,17
278,458,42,85,1,1,0,14
1817,758,2,115,1,1,0,14
70,78,0,9,1,0,0,20
788,664,24,383,1,0,0,11
522,856,139,216,1,0,0,11
88,146,34,6,1,0,0,8
427,407,45,124,1,1,0,8
150,149,77,22,1,0,0,13
1099,584,0,124,1,1,0,11
504,465,0,74,1,1,2,11
83,119,39,5,1,1,0,12
715,598,66,210,1,0,0,7
226,261,0,20,1,1,0,13
393,463,0,165,1,1,0,8
261,299,119,8,1,0,0,10
421,424,15,124,1,1,0,6
114,115,24,21,1,1,0,6
200,224,71,17,1,1,0,12
260,349,0,26,1,0,0,12
227,342,49,128,1,1,0,9
481,531,16,9,1,1,0,12
272,918,0,1,1,0,0,7
438,339,32,12,1,1,0,13
772,669,22,79,1,0,0,8
217,198,3,0,1,1,0,17
654,679,33,24,1,0,0,8
336,598,0,223,1,1,0,8
210,367,0,114,1,1,0,8
269,127,148,146,1,1,0,13
239,324,106,29,1,1,0,10
365,627,12,107,1,0,0,7
218,316,16,438,1,1,0,10
323,373,40,10,1,1,0,14
249,234,19,17,1,1,0,9
245,423,0,74,1,1,0,10
508,723,33,154,1,1,0,11
304,298,32,1,1,1,4,17
3257,3511,136,113,1,0,0,8
420,417,43,6,1,1,0,11
209,257,10,52,1,1,0,12
1669,996,127,107,1,1,2,13
81,52,0,4,1,1,0,15
415,439,0,13,1,1,0,11
129,152,0,0,1,1,0,14
165,181,0,85,1,1,0,13
273,297,19,0,1,1,0,15
338,330,41,17,1,0,0,12
225,446,0,53,1,0,0,11
449,410,19,19,1,1,0,8
594,863,105,276,1,1,0,9
679,764,23,39,1,1,0,11
569,539,41,95,1,1,0,11
540,543,0,73,1,1,0,12
441,368,25,30,1,1,0,8
570,455,37,120,1,1,0,10
367,1114,16,69,1,0,0,8
634,648,59,21,1,0,0,9
687,539,18,78,1,0,0,9
160,169,9,8,1,1,0,10
566,464,32,65,1,1,0,9
113,148,0,9,1,1,0,10
670,547,52,68,1,1,0,12
501,465,18,4,1,1,0,10
369,396,0,5,1,1,0,12
363,355,41,17,1,1,0,11
218,255,0,2,1,1,0,9
446,489,29,46,1,1,0,10
404,392,25,23,1,1,0,14
426,486,60,110,1,0,0,12
207,201,131,75,1,1,2,12
200,229,17,4,1,1,2,10
606,722,44,56,1,1,0,9
191,280,9,4,1,1,0,15
414,440,14,71,1,0,0,9
698,705,0,32,1,1,0,7
510,669,33,31,1,1,0,11
233,242,43,9,1,1,0,14
361,358,18,75,1,0,0,9
200,204,0,60,1,1,2,16
222,185,0,22,1,1,0,6
148,196,0,7,1,1,0,12
274,309,0,2,1,1,0,12
209,240,0,0,1,0,0,6
301,477,20,6,1,1,0,12
116,162,39,11,1,1,0,11
207,196,0,7,1,1,0,11
199,272,18,36,1,1,0,8
289,451,0,76,1,1,0,13
513,520,49,37,1,0,0,10
105,174,0,0,1,1,0,11
695,635,25,21,1,0,0,9
540,604,0,16,1,1,0,16
337,482,0,7,1,1,0,14
625,703,48,34,1,1,0,8
175,313,11,4,1,0,0,7
358,315,26,33,1,1,0,6
616,564,37,26,1,0,0,10
600,719,50,181,1,1,0,12
236,226,12,12,1,1,0,7
325,335,0,50,1,1,0,14
384,410,0,48,1,1,1,13
256,308,8,6,1,1,0,17
113,112,0,14,1,1,0,10
81,142,0,8,1,1,2,7
380,500,38,19,1,1,0,9
270,493,0,0,1,0,0,13
427,981,20,95,1,1,2,13
386,482,32,48,1,1,0,7
65,67,79,116,1,0,0,8
315,363,26,0,1,0,0,8
69,100,0,5,1,1,0,9
339,476,56,33,1,1,0,8
156,199,42,2,1,0,0,11
288,304,45,5,1,1,0,11
101,109,0,2,1,1,3,17
358,336,0,9,1,0,0,13
467,519,13,16,1,1,0,17
318,306,51,13,1,0,0,11
352,575,6,88,1,1,0,13
256,344,34,53,1,1,0,12
228,320,17,20,1,1,0,11
257,252,0,25,1,0,0,12
240,492,78,12,1,1,0,13
203,256,0,1,1,1,0,7
79,80,7,2,1,1,0,11
431,463,21,42,1,1,0,10
217,266,11,13,1,1,0,13
423,523,0,114,1,1,0,11
142,224,0,8,1,0,0,7
432,410,25,26,1,1,0,10
310,357,23,44,1,1,0,10
333,358,35,23,1,1,0,18
202,201,0,21,1,1,0,9
421,565,30,44,1,1,0,6
449,481,34,45,1,1,2,10
318,318,8,9,1,1,0,10
371,370,29,10,1,1,0,14
262,265,19,22,1,1,0,11
588,497,0,13,1,1,0,12
636,632,16,111,1,0,0,5
266,257,44,105,1,1,0,11
204,126,0,393,1,0,0,14
514,573,19,216,1,0,2,15
450,708,52,58,1,1,0,10
406,478,0,76,1,1,0,12
397,371,0,298,1,1,0,6
1078,179,0,131,1,0,2,15
523,396,30,52,1,1,0,11
255,246,0,12,1,1,0,12
87,95,24,11,1,1,0,17
133,135,20,4,1,1,0,10
197,267,13,8,1,1,0,12
709,692,0,76,1,1,0,17
296,291,0,26,1,1,0,14
198,198,17,35,1,0,0,12
619,793,98,272,1,1,0,7
174,172,0,1,1,1,0,10
190,184,0,2,1,1,0,11
198,233,0,28,1,1,0,15
324,323,0,114,1,1,0,10
251,257,0,24,1,1,0,15
218,255,0,2,1,1,0,9
224,287,0,51,1,1,0,13
293,259,0,36,1,1,0,13
155,359,73,71,1,1,0,8
204,263,49,24,1,0,0,9
512,365,67,12,1,1,2,12
257,291,139,19,1,1,2,10
213,245,0,31,1,1,0,12
369,396,0,5,1,1,0,12
309,323,0,96,1,1,0,11
472,534,0,27,1,1,0,7
202,340,0,28,1,1,0,11
272,240,0,147,1,0,0,13
303,341,20,12,1,1,0,13
189,190,0,9,1,1,0,6
455,449,18,32,1,1,0,12
634,618,17,25,1,1,0,7
541,516,134,84,1,0,0,8
450,473,64,152,1,1,0,15
143,237,0,3,1,0,0,12
467,681,1,149,1,1,0,10
1050,820,43,332,1,0,0,10
194,278,0,3,1,1,1,11
55,31,0,1,1,0,0,8
462,682,0,94,1,1,0,10
455,603,0,79,1,1,0,11
246,267,0,55,1,1,0,15
116,214,0,5,1,1,0,11
97,156,0,24,1,1,0,9
1507,1198,35,175,1,1,0,13
196,270,0,199,1,0,0,15
304,450,0,271,1,1,0,8
488,546,14,25,1,1,0,9
464,684,39,102,1,1,0,10
894,874,1,414,1,1,2,11
871,841,78,161,1,0,0,12
281,560,32,396,1,1,0,10
1170,1355,0,491,1,1,0,14
474,935,72,273,1,1,0,8
489,570,40,367,1,1,0,11
604,674,0,65,1,1,0,11
964,861,29,9,1,1,0,8
359,386,0,397,1,1,0,15
523,782,9,471,1,1,0,5
615,1187,1,984,1,1,0,13
894,720,41,80,1,0,0,11
420,457,21,127,1,0,0,10
495,491,40,12,1,1,2,11
557,703,0,60,1,0,0,11
403,449,8,204,1,1,0,12
450,579,103,67,1,1,0,9
242,273,0,206,1,1,0,13
381,1319,144,102,1,1,0,11
736,662,0,312,1,0,0,7
625,977,13,7,1,1,0,11
372,362,36,13,1,1,0,7
550,555,133,234,1,1,0,16
150,184,0,79,1,0,0,6
407,464,70,579,1,1,0,7
1017,1201,0,263,1,0,0,14
148,426,0,22,1,1,0,8
1209,1093,38,289,1,0,0,8
382,691,0,300,1,1,0,6
520,604,15,732,1,0,0,9
1002,1089,0,582,1,1,0,10
305,386,24,166,1,1,0,9
619,937,0,16,1,1,0,10
619,750,24,38,1,1,0,9
719,607,45,69,1,1,0,11
108,125,1,16,1,1,0,13
343,388,0,67,1,1,0,5
323,405,0,69,1,1,0,10
1020,1048,101,126,1,0,0,8
982,979,0,266,1,0,0,13
416,460,0,104,1,1,0,10
511,916,0,134,1,1,0,12
511,563,32,16,1,0,0,15
403,490,0,38,1,1,0,12
319,429,0,68,1,1,0,7
213,406,0,169,1,1,0,6
199,228,0,12,1,1,0,8
211,255,23,27,1,1,4,10
214,208,0,9,1,1,0,12
875,878,4,15,1,1,0,13
907,927,64,36,1,1,0,14
299,540,0,112,1,1,0,12
625,921,0,91,1,1,0,7
238,410,11,44,1,1,0,10
167,294,0,37,1,1,0,14
509,690,0,15,1,1,0,10
210,238,0,1,1,0,0,10
366,377,8,373,1,1,0,9
475,551,0,93,1,1,0,11
330,272,14,103,1,1,0,10
362,373,0,19,1,0,0,10
248,289,22,21,1,1,0,10
379,531,27,52,1,1,0,11
431,688,0,15,1,1,0,9
609,719,89,37,1,0,0,11
548,480,0,98,1,1,0,7
428,413,16,314,1,1,0,12
361,1066,0,308,1,1,0,12
775,691,25,26,1,1,0,6
543,1020,41,179,1,1,0,14
383,419,4,5,1,1,0,11
103,143,0,20,1,1,1,11
367,361,0,98,1,1,0,9
321,295,18,99,1,1,0,11
146,134,31,36,1,1,0,10
219,337,0,0,1,1,1,7
302,362,1,54,1,1,0,13
379,484,0,130,1,1,0,10
468,504,0,26,1,1,0,9
645,694,0,69,1,1,0,12
251,321,48,42,1,1,0,12
276,352,0,69,1,1,0,8
302,307,7,80,1,1,0,15
357,593,0,20,1,1,0,9
251,292,0,3,1,1,0,9
824,962,23,5,1,0,0,14
549,545,0,100,1,1,0,11
552,639,1,184,1,1,0,10
409,407,25,164,1,1,0,12
362,332,0,38,1,0,0,14
374,449,0,26,1,1,0,12
601,509,33,223,1,1,0,10
723,649,18,62,1,0,0,8
473,531,24,19,1,1,0,10
536,669,21,30,1,1,2,8
404,458,0,240,1,1,0,10
516,764,0,217,1,1,0,10
406,392,0,142,1,0,0,6
400,835,0,44,1,1,0,9
1933,995,0,107,1,1,0,11
500,667,0,150,1,1,0,11
447,749,0,185,1,1,0,14
439,910,1,517,1,1,0,10
1054,1538,25,445,1,0,0,6
208,571,0,11,1,0,0,8
349,806,125,66,1,1,0,10
427,594,7,37,1,1,0,9
323,505,0,0,1,1,1,13
341,440,51,9,1,1,0,14
104,120,0,12,1,1,0,9
272,302,31,1,1,1,0,7
170,181,18,15,1,1,0,14
381,515,43,67,1,1,0,12
196,224,0,0,1,0,0,10
141,96,91,9,1,0,0,9
273,392,0,5,1,1,0,11
1221,999,0,30,1,1,0,13
402,478,56,22,1,1,0,14
260,390,0,37,1,1,0,11
180,224,0,3,1,1,2,8
137,1096,0,5,1,0,0,12
43,48,0,13,1,1,4,10
404,408,27,102,1,1,0,7
719,1107,0,227,1,1,0,13
771,1743,96,118,1,1,0,15
271,771,30,81,1,1,0,9
124,115,0,143,1,0,0,6
102,264,0,11,1,1,0,12
109,154,0,0,1,1,0,14
422,466,25,27,1,1,0,12
544,371,24,5,1,1,2,9
284,315,0,23,1,1,0,7
1083,1066,46,469,1,0,0,9
647,454,0,6,1,1,0,6
172,141,0,62,1,0,0,9
255,308,0,80,1,1,0,11
718,917,84,86,1,1,2,12
120,135,14,46,1,0,0,13
531,480,0,13,1,0,0,12
136,162,103,2,1,1,2,8
661,628,63,29,1,1,0,8
70,90,0,0,1,1,4,9
1562,1213,0,98,1,1,0,14
1483,1498,28,770,1,1,0,11
1087,922,133,284,1,0,0,10
911,561,29,211,1,0,0,13
1257,857,14,228,1,0,0,11
433,490,0,12,1,1,0,11
267,319,19,15,1,1,0,16
163,109,0,36,1,1,2,12
196,207,0,27,1,1,0,7
260,296,10,2,1,0,0,7
192,145,0,37,1,1,0,10
187,191,24,45,1,0,0,15
579,504,27,35,1,1,0,11
442,719,0,96,1,0,2,7
5,4,0,0,1,0,2,13
309,827,0,203,1,1,0,9
189,332,0,5,1,1,0,16
522,493,0,43,1,1,0,11
43,30,0,15,1,1,2,6
59,89,0,0,1,0,2,12
168,10,0,0,1,0,0,5
213,274,0,1,1,1,0,13
56,153,28,36,1,1,3,13
294,307,0,22,1,1,2,11
290,656,0,50,1,1,0,11
488,1071,0,53,1,1,0,7
384,455,0,31,1,0,2,6
390,520,38,78,1,1,0,10
1342,712,24,112,1,0,0,12
486,651,18,227,1,1,0,7
94,123,0,0,0,1,0,12
603,496,57,100,1,1,0,13
445,449,0,60,1,0,0,16
260,161,0,2,1,1,0,10
484,412,13,59,1,1,0,8
461,700,0,475,1,1,0,7
248,197,71,27,1,1,0,11
296,495,0,49,1,1,0,12
200,304,0,82,1,1,0,8
511,873,1,502,1,1,0,11
728,307,0,50,1,0,0,5
969,944,124,118,1,0,0,12
225,307,0,74,1,1,0,8
237,492,0,21,1,1,4,10
115,160,54,61,1,1,0,9
5,13,0,1,1,1,4,16
284,289,8,31,1,1,0,10
207,225,24,6,1,1,0,10
106,147,0,1,1,1,0,11
220,367,0,10,1,1,0,12
39,43,11,0,1,1,4,10
311,412,0,3,0,1,0,13
372,374,0,46,1,1,0,14
42,8,0,1,1,0,0,15
368,459,30,65,1,1,0,7
566,585,0,13,1,1,0,7
615,830,42,108,1,1,0,15
174,26,52,12,1,1,0,11
847,958,0,209,1,1,0,14
1121,1118,150,615,1,1,0,10
245,208,4,2,1,1,2,12
374,445,0,104,1,1,0,7
505,498,0,64,1,0,0,9
341,1049,33,176,1,1,0,8
433,543,1,288,1,1,0,12
499,758,0,23,1,1,2,13
310,349,0,25,1,1,0,14
330,422,40,799,1,1,0,11
527,659,24,109,1,0,0,10
79,90,0,0,1,1,0,7
456,653,1,170,1,1,0,9
319,378,48,41,1,1,0,13
169,39,0,4,1,0,0,11
403,470,23,47,1,1,0,10
550,485,31,84,1,1,0,11
972,732,5,113,1,1,0,13
161,168,0,59,1,1,0,8
584,669,42,31,1,0,0,10
433,453,0,52,1,1,0,10
512,522,56,88,1,1,0,10
547,790,0,17,1,0,0,8
402,343,98,1058,1,1,0,10
1801,1029,0,123,1,0,0,8
322,365,50,122,1,1,0,6
1031,719,12,99,1,0,0,13
846,743,22,38,1,0,0,12
460,380,5,67,1,1,0,12
412,414,12,15,1,1,1,12
354,455,0,19,1,1,0,12
508,504,9,74,1,1,0,5
409,927,6,32,1,1,0,7
228,806,13,0,1,1,0,13
174,172,0,1,1,1,0,10
769,1115,25,92,1,0,0,10
559,674,0,13,1,1,0,14
382,346,23,38,1,1,0,7
338,334,19,30,1,1,0,13
345,362,0,56,1,1,0,11
419,411,33,38,1,1,0,13
476,462,9,75,1,1,0,13
348,338,15,15,1,1,0,6
582,623,0,36,1,1,0,14
479,547,59,80,1,1,0,10
352,333,14,38,1,1,0,11
581,544,6,58,1,1,0,11
560,500,39,49,1,1,0,9
525,1017,10,41,1,1,0,13
452,481,0,82,1,1,0,6
713,636,3,118,1,1,0,13
270,280,34,52,1,1,0,11
423,424,40,169,1,1,0,12
630,641,1,93,1,1,0,17
893,902,30,87,1,1,0,14
499,617,14,56,1,1,0,12
440,540,16,48,1,1,0,6
300,442,0,36,1,1,0,12
294,386,8,15,1,1,2,14
428,385,50,18,1,1,0,14
480,481,0,72,1,1,0,11
726,582,0,17,1,0,0,16
924,832,26,596,1,1,0,9
631,645,22,56,1,1,0,8
254,352,22,94,1,1,0,15
406,478,0,76,1,1,0,12
842,797,0,99,1,1,0,13
647,542,21,36,1,1,0,14
513,442,0,50,1,1,0,14
338,367,2,37,1,1,0,13
619,793,98,272,1,1,0,7
938,1194,66,27,1,1,0,14
293,235,0,103,1,1,0,12
564,538,0,71,1,1,0,13
727,729,0,31,1,1,0,11
314,187,102,200,1,0,0,11
651,643,39,171,1,1,0,15
507,582,34,99,1,1,0,11
