"Marital.status","Application.order","Course","Daytime.evening.attendance.","Previous.qualification","Previous.qualification..grade.","Mother.s.qualification","Father.s.qualification","Mother.s.occupation","Father.s.occupation","Admission.grade","Displaced","Educational.special.needs","Debtor","Tuition.fees.up.to.date","Gender","Scholarship.holder","Age.at.enrollment","International","Curricular.units.1st.sem..credited.","Curricular.units.1st.sem..enrolled.","Curricular.units.1st.sem..evaluations.","Curricular.units.1st.sem..approved.","Curricular.units.1st.sem..grade.","Curricular.units.1st.sem..without.evaluations.","Curricular.units.2nd.sem..credited.","Curricular.units.2nd.sem..enrolled.","Curricular.units.2nd.sem..evaluations.","Curricular.units.2nd.sem..approved.","Curricular.units.2nd.sem..grade.","Curricular.units.2nd.sem..without.evaluations.","Unemployment.rate","Inflation.rate","GDP","Target"
"Married",1,8014,0,"Secondary education",130,37,37,"Other","Personal Services, Security and Safety Workers and Sellers",113.5,1,0,0,1,0,0,36,0,0,6,0,0,0,0,0,6,0,0,0,0,9.4,-0.8,-3.12,"Dropout"
"Single",1,9853,1,"Secondary education",123,19,19,"Unskilled worker","Skilled Workers in Industry, Construction and Craftsmen",117.4,1,0,0,1,0,0,19,0,0,6,0,0,0,0,0,6,0,0,0,0,11.1,0.6,2.02,"Dropout"
"Single",1,9085,1,"Secondary education",113,1,1,"Administrative staff","Other",106.7,1,0,0,1,0,0,20,0,0,6,15,4,14.2,0,0,6,17,4,13.25,0,15.5,2.8,-4.06,"Dropout"
"Single",5,9500,1,"Secondary education",111,3,4,"Administrative staff","Intermediate Level Technicians and Professions",108.2,1,0,0,1,0,0,20,0,2,7,9,6,13.2666666666667,0,0,7,10,5,12.3,0,12.4,0.5,1.79,"Dropout"
"Single",2,9500,1,"Secondary education",122,37,37,"Unskilled worker","Unskilled worker",131,1,0,0,1,0,0,18,0,0,7,7,6,12.5166666666667,1,0,7,7,6,12.5166666666667,1,7.6,2.6,0.32,"Dropout"
"Single",1,171,1,"Secondary education",137,3,19,"Other","Unskilled worker",122.3,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,"Dropout"
"Single",1,9670,1,"Secondary education",117,1,38,"Intermediate Level Technicians and Professions","Unskilled worker",109.3,0,0,1,0,0,1,19,0,0,6,7,5,12,0,0,6,9,4,12.5,0,12.4,0.5,1.79,"Dropout"
"Single",4,9254,1,"Secondary education",132,12,19,"Unskilled worker","Unskilled worker",124.7,1,0,0,1,0,0,19,0,0,5,10,0,0,0,0,5,10,0,0,0,7.6,2.6,0.32,"Dropout"
"Single",1,9670,1,"Secondary education",128,19,1,"Administrative staff","Other",118.2,0,0,0,1,0,0,19,0,0,6,6,6,13.1666666666667,0,0,6,9,6,13,0,10.8,1.4,1.74,"Dropout"
"Single",5,9853,1,"Secondary education",132,12,12,"Administrative staff","Other",123.3,1,0,0,1,0,0,21,0,0,6,13,4,11.5,0,0,6,10,3,11,0,10.8,1.4,1.74,"Dropout"
"Single",2,9254,1,"Secondary education",125,37,37,"Unskilled worker","Other",122.6,1,0,1,0,0,0,20,0,0,6,8,4,11.75,0,0,6,6,6,13.1666666666667,0,11.1,0.6,2.02,"Dropout"
"Single",1,9500,1,"Higher education",140,1,1,"Unskilled worker","Personal Services, Security and Safety Workers and Sellers",140,0,0,0,1,0,0,33,0,2,7,8,6,14.35,0,3,8,10,6,14.5833333333333,0,16.2,0.3,-0.92,"Dropout"
"Single",1,9773,1,"Secondary education dropout",133.1,19,19,"Intermediate Level Technicians and Professions","Other",104,0,0,1,0,0,0,27,0,0,6,6,5,12,0,0,6,6,0,0,0,11.1,0.6,2.02,"Dropout"
"Single",3,9070,1,"Secondary education",131,1,37,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",122.3,1,0,0,0,0,0,19,0,0,6,6,6,12.1666666666667,0,0,6,6,0,0,0,15.5,2.8,-4.06,"Dropout"
"Single",2,9254,1,"Secondary education",143,1,19,"Administrative staff","Other",135,0,0,0,1,0,0,20,0,0,6,0,0,0,0,0,6,0,0,0,0,11.1,0.6,2.02,"Dropout"
"Single",1,9147,1,"Secondary education",140,12,3,"Administrative staff","Intermediate Level Technicians and Professions",118,1,0,0,1,0,0,24,0,0,5,5,0,0,0,0,5,5,0,0,0,7.6,2.6,0.32,"Dropout"
"Single",1,9853,1,"Secondary education",139,1,1,"Administrative staff","Other",134,0,0,0,1,0,0,21,0,0,6,0,0,0,0,0,6,0,0,0,0,NA,0.5,1.79,"Dropout"
"Single",1,9991,0,"Some higher education",130,19,1,"Intermediate Level Technicians and Professions","Other",152,1,0,0,1,0,0,27,0,0,5,0,0,0,0,0,5,0,0,0,0,8.9,1.4,3.51,"Dropout"
"Single",1,9119,1,"Higher education",150,3,2,"Other","Other",150,0,0,0,1,0,0,35,0,0,5,0,0,0,0,0,5,0,0,0,0,13.9,-0.3,0.79,"Dropout"
"Single",1,9254,1,"Secondary education dropout",133.1,3,19,"Other","Intermediate Level Technicians and Professions",124.5,0,0,0,1,0,1,36,0,0,6,7,6,13.7142857142857,0,0,6,6,5,12.8,0,16.2,0.3,-0.92,"Dropout"
"Single",1,9991,0,"Secondary education",133.1,37,37,"Unskilled worker","Unskilled worker",126.3,0,0,0,1,0,1,26,0,0,5,7,0,0,0,0,5,8,0,0,0,16.2,0.3,-0.92,"Dropout"
"Single",1,8014,0,"Secondary education",120,19,37,"Other","Skilled Workers in Industry, Construction and Craftsmen",100,1,0,0,1,0,0,24,0,0,6,11,1,10,0,0,6,6,0,0,6,9.4,-0.8,-3.12,"Dropout"
"Single",1,9085,1,"Secondary education",121,19,37,"Other","Intermediate Level Technicians and Professions",131.5,0,0,0,1,0,0,21,0,0,5,10,0,0,1,0,5,9,2,13.5,0,7.6,2.6,0.32,"Dropout"
"Single",3,9254,1,"Secondary education",115,1,1,"Intermediate Level Technicians and Professions","Intermediate Level Technicians and Professions",117.5,1,0,0,1,0,0,18,0,0,6,9,4,11.25,0,0,6,13,2,12.5,0,9.4,-0.8,-3.12,"Dropout"
"Single",1,9254,1,"Higher education",133.1,19,19,"Administrative staff","Other",130.5,0,0,0,1,0,0,38,0,0,6,0,0,0,0,0,6,0,0,0,0,15.5,2.8,-4.06,"Dropout"
"Single",1,9147,1,"Secondary education",133.1,37,1,"Unskilled worker","Other",100,0,0,0,1,0,0,21,0,0,5,12,3,12,0,0,5,12,1,15,3,16.2,0.3,-0.92,"Dropout"
"Single",1,9130,1,"Secondary education",126,19,1,"Unskilled worker","Unskilled worker",122.5,1,0,0,0,0,0,25,0,0,5,14,4,13.5,2,0,5,10,4,14.25,0,9.4,-0.8,-3.12,"Dropout"
"Single",1,9003,1,"Some higher education",130,37,37,"Unskilled worker","Other",130,0,0,1,0,0,0,29,0,0,6,13,3,12.75,0,0,6,8,3,11.3333333333333,0,13.9,-0.3,0.79,"Dropout"
"Single",3,9773,1,"Secondary education",131,38,37,"Other","Skilled Workers in Industry, Construction and Craftsmen",127.2,1,0,0,1,0,1,18,0,0,6,6,6,15,0,0,6,6,6,12.8333333333333,0,8.9,1.4,3.51,"Dropout"
"Married",1,9556,1,"Secondary education dropout",133.1,38,37,"Other","Skilled Workers in Industry, Construction and Craftsmen",99.5,1,0,1,0,0,1,37,0,0,7,13,1,16,0,0,7,12,0,0,0,8.9,1.4,3.51,"Dropout"
"Single",1,9238,1,"Secondary education",124,1,1,"Intermediate Level Technicians and Professions","Other",118.8,1,0,1,0,0,0,22,0,6,10,16,6,11.8333333333333,0,2,7,8,2,13,0,16.2,0.3,-0.92,"Dropout"
"Single",1,8014,0,"Secondary education",100,37,37,"Other","Other",100,0,0,0,1,0,0,34,0,0,6,0,0,0,0,0,6,0,0,0,0,12.7,3.7,-1.7,"Dropout"
"Single",1,9119,1,"Secondary education",130,37,38,"Unskilled worker","Unskilled worker",120,0,0,1,0,0,0,30,0,8,12,17,8,11.75,0,6,12,19,6,12.1666666666667,2,7.6,2.6,0.32,"Dropout"
"Single",2,9147,1,"Secondary education",121,1,19,"Unskilled worker","Unskilled worker",113.7,1,0,0,0,0,0,20,0,0,5,10,2,10,0,0,5,12,1,13,0,7.6,2.6,0.32,"Dropout"
"Married",1,9130,1,"Higher education",140,5,4,"Other","Other",140,0,0,1,0,0,0,29,0,7,9,16,7,11.5555555555556,4,5,7,12,5,13.2,2,7.6,2.6,0.32,"Dropout"
"Single",1,9670,1,"Secondary education",136,19,19,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",122,0,0,1,0,0,0,18,0,0,5,6,2,12.5,0,0,5,6,4,10.25,0,9.4,-0.8,-3.12,"Dropout"
"Single",2,9238,1,"Secondary education",143,1,11,"Administrative staff","Intermediate Level Technicians and Professions",128,1,0,0,1,0,0,19,0,0,6,11,0,0,0,0,6,0,0,0,0,9.4,-0.8,-3.12,"Dropout"
"Single",1,9130,1,"Higher education",150,3,1,"Other","Other",150,1,0,0,1,0,0,34,0,1,5,6,1,11,0,0,5,5,0,0,0,12.7,3.7,-1.7,"Dropout"
"Single",1,9130,1,"Some higher education",120,37,37,"Other","Other",120,1,0,1,0,0,0,19,0,2,6,7,5,11.6,0,1,6,12,2,11,0,12.4,0.5,1.79,"Dropout"
"Single",1,9147,1,"Secondary education",135,1,1,"Administrative staff","Other",118.5,0,0,0,1,0,0,25,0,0,5,12,2,10.5,0,0,5,5,0,0,0,11.1,0.6,2.02,"Dropout"
"Single",1,9119,1,"Some higher education",151,19,37,"Administrative staff","Skilled Workers in Industry, Construction and Craftsmen",151,0,0,1,1,0,0,26,0,0,5,6,0,0,0,0,5,5,0,0,0,16.2,0.3,-0.92,"Dropout"
"Single",1,171,1,"Secondary education",188,3,3,"Other","Other",178.3,1,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,2.8,-4.06,"Dropout"
"Single",4,171,1,"Secondary education",127,1,1,"Unskilled worker","Personal Services, Security and Safety Workers and Sellers",124.2,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,-0.8,-3.12,"Dropout"
"Single",1,9254,1,"Secondary education",127,19,19,"Administrative staff","Other",120.7,0,0,1,0,0,0,22,0,0,6,10,5,11,0,0,6,12,0,0,0,10.8,1.4,1.74,"Dropout"
"Single",1,9991,0,"Secondary education",133.1,37,37,"Other","Other",128.2,0,0,0,1,0,0,33,0,0,5,0,0,0,0,0,5,0,0,0,0,12.7,3.7,-1.7,"Dropout"
"Single",1,9085,1,"Post-graduate studies",160,3,39,"Other","Intermediate Level Technicians and Professions",172,0,0,0,1,0,0,26,0,0,6,0,0,0,0,0,6,0,0,0,0,8.9,1.4,3.51,"Dropout"
"Single",6,9500,1,"Secondary education",138,19,19,"Unskilled worker","Personal Services, Security and Safety Workers and Sellers",124.8,1,0,0,1,0,0,18,0,0,8,8,7,13.4142857142857,0,0,8,8,7,13.4142857142857,0,12.7,3.7,-1.7,"Dropout"
"Married",1,9085,1,"Secondary education dropout",133.1,38,38,"Administrative staff","Skilled Workers in Industry, Construction and Craftsmen",128.2,0,0,0,1,0,0,31,0,0,6,0,0,0,0,0,6,0,0,0,0,12.7,3.7,-1.7,"Dropout"
"Single",4,9147,1,"Secondary education",130,37,37,"Unskilled worker","Unskilled worker",119.9,1,0,0,0,0,0,34,0,0,5,5,0,0,0,0,5,0,0,0,0,9.4,-0.8,-3.12,"Dropout"
"Divorced",1,9500,1,"Secondary education dropout",133.1,38,19,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",140,0,0,0,1,0,1,26,0,0,7,13,5,12.74,0,0,8,12,6,10.9785714285714,0,16.2,0.3,-0.92,"Dropout"
"Single",2,9085,1,"Secondary education",120,1,1,"Unskilled worker","Other",115,0,0,0,0,0,0,20,0,0,5,8,2,10.5,0,0,5,8,2,12.3333333333333,0,7.6,2.6,0.32,"Dropout"
"Single",1,9670,1,"Secondary education",124,37,19,"Personal Services, Security and Safety Workers and Sellers","Other",114.2,1,0,1,1,0,0,18,0,0,6,6,5,11.8,0,0,6,9,4,13.7142857142857,0,10.8,1.4,1.74,"Dropout"
"Single",1,9147,1,"Secondary education",96,38,37,"Other","Other",96,1,0,0,1,0,0,19,0,0,5,10,3,10.6666666666667,0,0,5,9,0,0,3,16.2,0.3,-0.92,"Dropout"
"Widower",2,9085,1,"Secondary education",135,19,1,"Administrative staff","Other",129.4,1,0,0,1,0,0,21,0,0,5,8,0,0,4,0,5,12,0,0,4,10.8,1.4,1.74,"Dropout"
"Single",5,9670,1,"Secondary education",133.1,9,1,"Other","Other",133,1,0,0,1,0,0,19,0,0,6,0,0,0,0,0,6,0,0,0,0,7.6,2.6,0.32,"Dropout"
"Single",1,9003,1,"Higher education",130,38,37,"Personal Services, Security and Safety Workers and Sellers","Other",130,0,0,0,1,0,0,32,0,0,6,7,0,0,0,0,6,6,0,0,0,12.4,0.5,1.79,"Dropout"
"Single",1,8014,0,"Secondary education",133.1,3,3,"Other","Intermediate Level Technicians and Professions",135,0,0,0,1,0,0,27,0,7,10,10,9,11.4444444444444,0,4,11,11,5,10.8,0,10.8,1.4,1.74,"Dropout"
"Single",1,9254,1,"Secondary education dropout",133.1,34,34,"Other","Other",110,1,0,0,0,0,0,28,0,0,5,10,0,0,0,0,5,10,0,0,0,7.6,2.6,0.32,"Dropout"
"Single",2,9556,1,"Secondary education",133.1,19,19,"Unskilled worker","Unskilled worker",104.5,1,0,0,1,0,0,21,0,0,2,2,2,12.5,0,0,7,0,0,0,0,12.4,0.5,1.79,"Dropout"
"Single",3,9500,1,"Secondary education",130,3,1,"Other","Personal Services, Security and Safety Workers and Sellers",133.8,0,0,0,1,0,0,19,0,0,7,0,0,0,0,0,8,0,0,0,0,7.6,2.6,0.32,"Dropout"
"Single",2,9670,1,"Secondary education",125,38,19,"Administrative staff","Intermediate Level Technicians and Professions",106.6,1,0,0,1,0,0,20,0,4,6,7,6,11.5,0,0,6,10,4,10.5714285714286,0,10.8,1.4,1.74,"Dropout"
"Single",3,9130,1,"Higher education",130,19,37,"Other","Personal Services, Security and Safety Workers and Sellers",130,0,0,1,0,0,0,27,0,1,5,6,2,11.5,0,0,5,5,1,11,0,12.7,3.7,-1.7,"Dropout"
"Single",2,9085,1,"Higher education",130,3,3,"Other","Other",130,0,0,0,0,0,0,28,0,0,5,9,1,12,1,0,4,10,0,0,4,10.8,1.4,1.74,"Dropout"
"Single",1,9130,1,"Secondary education",150,5,5,"Other","Other",146.2,0,0,0,1,0,0,18,0,0,5,12,4,13,2,0,5,6,5,14,0,9.4,-0.8,-3.12,"Dropout"
"Single",2,9147,1,"Secondary education",125,1,19,"Administrative staff","Other",115.2,0,1,0,1,0,0,21,0,0,5,6,0,0,0,0,5,5,0,0,0,15.5,2.8,-4.06,"Dropout"
"Married",1,8014,0,"Secondary education",120,34,34,"Other","Other",101.8,0,0,0,0,0,0,32,0,0,5,5,0,0,0,0,5,10,0,0,0,10.8,1.4,1.74,"Dropout"
"Single",1,9991,0,"Secondary education",100,37,19,"Unskilled worker","Other",121.9,0,0,0,0,0,0,40,0,0,4,4,0,0,0,0,5,0,0,0,0,12.7,3.7,-1.7,"Dropout"
"Married",2,8014,0,"Secondary education",140,37,37,"Unskilled worker","Other",120.4,0,0,1,0,0,0,39,0,0,5,5,0,0,0,0,4,4,0,0,0,9.4,-0.8,-3.12,"Dropout"
"Married",2,9238,1,"Secondary education",140,37,37,"Unskilled worker","Other",120.4,0,0,1,0,0,0,39,0,0,6,0,0,0,0,0,6,0,0,0,0,9.4,-0.8,-3.12,"Dropout"
"Single",2,9853,1,"Secondary education",118,37,37,"Unskilled worker","Unskilled worker",112.1,1,0,0,1,0,0,23,0,0,6,11,4,11.25,0,0,6,10,5,10.2,0,7.6,2.6,0.32,"Dropout"
"Single",1,9556,1,"Secondary education",180,5,3,"Other","Other",183.5,1,0,0,1,0,0,18,1,0,7,8,4,12,0,0,8,8,0,0,0,16.2,0.3,-0.92,"Dropout"
"Single",1,9130,1,"Secondary education",154,3,3,"Other","Other",137.2,1,0,1,1,1,0,18,0,0,6,11,5,13.625,0,0,6,9,4,11.75,0,16.2,0.3,-0.92,"Dropout"
"Single",1,9670,1,"Secondary education",133,19,37,"Unskilled worker","Other",121.8,1,0,0,1,1,0,22,0,0,6,0,0,0,0,0,6,0,0,0,0,13.9,-0.3,0.79,"Dropout"
"Single",1,9070,1,"Some higher education",120,1,19,"Administrative staff","Skilled Workers in Industry, Construction and Craftsmen",120,0,0,1,0,1,0,20,0,0,6,11,0,0,6,0,6,12,0,0,12,16.2,0.3,-0.92,"Dropout"
"Single",1,9119,1,"Secondary education",150,3,3,"Administrative staff","Other",150,1,0,0,1,1,0,27,0,0,5,10,1,14,0,0,5,0,0,0,0,8.9,1.4,3.51,"Dropout"
"Single",3,9773,1,"Secondary education",128,19,1,"Unskilled worker","Unskilled worker",122.1,1,0,0,1,1,0,19,0,0,6,9,4,12.5,0,0,6,6,6,11.3333333333333,0,10.8,1.4,1.74,"Dropout"
"Single",5,9119,1,"Secondary education",126,12,19,"Administrative staff","Personal Services, Security and Safety Workers and Sellers",122.5,1,0,0,1,1,0,19,0,0,5,12,3,12,0,0,5,10,3,12,0,12.4,0.5,1.79,"Dropout"
"Single",1,9773,1,"Secondary education dropout",133.1,19,1,"Other","Unskilled worker",115,1,0,1,0,1,0,25,0,0,6,10,4,13,0,0,6,9,4,13.75,0,12.7,3.7,-1.7,"Dropout"
"Single",3,9119,1,"Secondary education",117,1,2,"Intermediate Level Technicians and Professions","Other",119.8,1,0,0,1,1,0,19,0,0,5,10,2,11,0,0,6,10,0,0,0,11.1,0.6,2.02,"Dropout"
"Single",2,9147,1,"Secondary education",133.1,1,1,"Administrative staff","Other",95,0,0,0,1,1,0,20,0,0,5,14,0,0,0,0,5,5,0,0,0,11.1,0.6,2.02,"Dropout"
"Single",1,9991,0,"Secondary education",139,1,1,"Administrative staff","Other",140.7,0,0,0,1,1,0,25,0,0,5,13,1,10,0,0,5,8,2,11.3333333333333,0,12.4,0.5,1.79,"Dropout"
"Single",1,9003,1,"Secondary education dropout",133.1,4,1,"Other","Other",120,0,0,0,1,1,0,25,0,0,3,4,0,0,0,0,3,5,0,0,0,16.2,0.3,-0.92,"Dropout"
"Single",4,9119,1,"Secondary education",129,34,36,"Other","Personal Services, Security and Safety Workers and Sellers",118.9,1,0,0,1,1,0,18,0,0,5,9,3,11.6666666666667,0,0,5,10,3,11.3333333333333,4,7.6,2.6,0.32,"Dropout"
"Single",1,9147,1,"Secondary education",130,38,37,"Unskilled worker","Unskilled worker",124.8,1,0,0,1,1,0,22,0,0,5,9,0,0,0,0,5,5,1,12,0,7.6,2.6,0.32,"Dropout"
"Single",6,9119,1,"Secondary education",111,19,3,"Personal Services, Security and Safety Workers and Sellers","Other",106.5,1,0,0,1,1,0,19,0,0,5,10,3,10.5,0,0,5,11,3,10.8,0,12.4,0.5,1.79,"Dropout"
"Married",1,9085,1,"Secondary education dropout",133.1,1,1,"Administrative staff","Other",120,1,0,0,0,1,0,29,0,0,5,12,0,0,4,0,5,8,0,0,1,9.4,-0.8,-3.12,"Dropout"
"Single",1,9853,1,"Secondary education",133.1,38,12,"Other","Other",111.5,0,0,0,0,0,1,20,0,0,6,10,4,12,0,0,6,14,3,10,0,7.6,2.6,0.32,"Dropout"
"Divorced",1,9853,1,"Secondary education",143,37,1,"Unskilled worker","Other",140,0,0,1,0,0,0,31,0,0,7,8,6,12.6666666666667,0,0,7,9,5,12.6,0,8.9,1.4,3.51,"Dropout"
"Single",5,9070,1,"Secondary education",122,19,38,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",119.6,0,0,1,0,0,0,21,0,0,6,6,4,13,0,0,6,8,4,11.6,0,10.8,1.4,1.74,"Dropout"
"Single",3,171,1,"Secondary education",115,9,1,"Other","Other",108.7,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,-0.8,-3.12,"Dropout"
"Single",1,9130,1,"Secondary education",123,19,3,"Intermediate Level Technicians and Professions","Other",121.6,1,0,1,1,0,1,19,0,0,5,7,0,0,0,0,5,5,0,0,0,7.6,2.6,0.32,"Dropout"
"Single",1,9085,1,"Secondary education",127,19,38,"Other","Other",117.6,0,0,0,1,0,0,18,0,0,6,0,0,0,0,0,6,0,0,0,0,12.4,0.5,1.79,"Dropout"
"Single",4,9070,1,"Secondary education",116,38,37,"Unskilled worker","Unskilled worker",109,0,0,0,1,0,1,23,0,0,6,6,6,13.3333333333333,0,0,6,8,3,12.6666666666667,0,11.1,0.6,2.02,"Dropout"
"Single",1,9853,1,"Secondary education",133.1,19,19,"Unskilled worker","Other",132,1,0,0,1,0,0,21,0,0,6,8,5,12,0,0,6,9,5,10.8,0,12.7,3.7,-1.7,"Dropout"
"Single",1,9773,1,"Secondary education",135,1,1,"Intermediate Level Technicians and Professions","Intermediate Level Technicians and Professions",129.8,0,0,0,1,0,1,18,0,0,6,6,6,12.6666666666667,0,0,6,6,6,11.8333333333333,0,12.7,3.7,-1.7,"Dropout"
"Single",2,9773,1,"Secondary education",108,38,38,"Other","Skilled Workers in Industry, Construction and Craftsmen",115,1,0,1,0,0,0,20,0,0,6,0,0,0,0,0,6,0,0,0,0,8.9,1.4,3.51,"Dropout"
"Single",1,9003,1,"Secondary education",130,19,19,"Unskilled worker","Unskilled worker",120,0,0,0,1,0,0,25,0,0,6,6,0,0,0,0,6,6,0,0,0,11.1,0.6,2.02,"Dropout"
"Single",2,9773,1,"Secondary education",126,37,38,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",129.5,1,0,1,0,0,0,18,0,0,6,9,5,12.2,0,0,6,9,4,11.75,0,10.8,1.4,1.74,"Dropout"
"Single",5,9500,1,"Secondary education",148,1,19,"Administrative staff","Other",130.2,1,0,0,1,0,0,19,0,0,7,0,0,0,0,0,8,0,0,0,0,12.4,0.5,1.79,"Dropout"
"Single",1,8014,0,"Secondary education",120,37,38,"Other","Skilled Workers in Industry, Construction and Craftsmen",120,1,0,0,1,0,0,30,0,9,11,19,9,13.4444444444444,1,5,7,7,7,14.7142857142857,0,7.6,2.6,0.32,"Dropout"
"Single",1,9853,1,"Secondary education",147,37,37,"Unskilled worker","Unskilled worker",142.8,1,0,0,1,0,0,23,0,0,6,11,2,10,0,0,6,15,2,11,0,7.6,2.6,0.32,"Dropout"
