"as_of_year","respondent_id","agency_name","agency_abbr","agency_code","loan_type_name","loan_type","loan_purpose_name","loan_purpose","owner_occupancy_name","owner_occupancy","preapproval_name","preapproval","action_taken_name","state_abbr","applicant_ethnicity_name","applicant_ethnicity","co_applicant_ethnicity_name","co_applicant_ethnicity","applicant_race_name_1","applicant_race_1","co_applicant_race_name_1","co_applicant_race_1","applicant_sex_name","applicant_sex","co_applicant_sex_name","co_applicant_sex","applicant_income_000s","population","minority_population","hud_median_family_income","tract_to_msamd_income","number_of_owner_occupied_units","number_of_1_to_4_family_units"
2017,"0000004365","Federal Deposit Insurance Corporation","FDIC",3,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","IN","Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"No co-applicant",8,"Female",2,"No co-applicant",5,31,2494,5.17000007629395,68400,113.599998474121,830,1183
2017,"0000004675","Federal Deposit Insurance Corporation","FDIC",3,"VA-guaranteed",3,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","MO","Not Hispanic or Latino",2,"No co-applicant",5,"American Indian or Alaska Native",1,"No co-applicant",8,"Male",1,"No co-applicant",5,67,4561,5.36999988555908,74600,54.6399993896484,1058,2127
2017,"0000005481","Office of the Comptroller of the Currency","OCC",1,"FSA/RHS-guaranteed",4,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","PA","Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"No co-applicant",8,"Female",2,"No co-applicant",5,53,3459,3.00999999046326,57500,101.730003356934,1078,1544
2017,"0000007569","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","","Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"No co-applicant",8,"Male",1,"No co-applicant",5,38,NA,NA,NA,NA,NA,NA
2017,"0000007909","Federal Deposit Insurance Corporation","FDIC",3,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","PA","Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"No co-applicant",8,"Male",1,"No co-applicant",5,23,4308,2.01999998092651,57500,81.6600036621094,1220,1726
2017,"0000008663","Federal Deposit Insurance Corporation","FDIC",3,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","TN","Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"White",5,"Male",1,"Male",1,60,4482,13.9700002670288,47900,83.1600036621094,1344,2128
2017,"0000008663","Federal Deposit Insurance Corporation","FDIC",3,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","TN","Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"White",5,"Male",1,"Female",2,60,7775,6.73000001907349,47900,122.470001220703,2613,4897
2017,"0000009179","Office of the Comptroller of the Currency","OCC",1,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","OH","Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"White",5,"Male",1,"Female",2,87,5265,8.22000026702881,57600,105.599998474121,1185,1621
2017,"0000010146","Federal Deposit Insurance Corporation","FDIC",3,"FHA-insured",2,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","KY","Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"No co-applicant",8,"Male",1,"No co-applicant",5,56,2672,3.63000011444092,65600,85.8399963378906,811,1300
2017,"0000011065","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","TX","Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"White",5,"Male",1,"Female",2,54,3889,50.9099998474121,63100,106.830001831055,700,1101
2017,"0000012311","Consumer Financial Protection Bureau","CFPB",9,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","OH","Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"No co-applicant",8,"Male",1,"No co-applicant",5,400,8520,4.53000020980835,65700,111.050003051758,2563,3234
2017,"0000012968","Office of the Comptroller of the Currency","OCC",1,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Preapproval was not requested",2,"Application denied by financial institution","TX","Hispanic or Latino",1,"Hispanic or Latino",1,"White",5,"White",5,"Male",1,"Female",2,68,4981,65.9499969482422,54200,121.150001525879,1354,2080
2017,"0000013112","Federal Deposit Insurance Corporation","FDIC",3,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Preapproval was not requested",2,"Application denied by financial institution","IN","Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"No co-applicant",8,"Male",1,"No co-applicant",5,62,5249,5.57999992370605,61400,152.880004882812,1939,2802
2017,"0000013425","Federal Deposit Insurance Corporation","FDIC",3,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","NC","Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"White",5,"Female",2,"Male",1,62,3031,14.9499998092651,48700,111.150001525879,795,1766
2017,"0000013425","Federal Deposit Insurance Corporation","FDIC",3,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","","Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"Black or African American",3,"Black or African American",3,"Male",1,"Female",2,138,NA,NA,NA,NA,NA,NA
2017,"0000013425","Federal Deposit Insurance Corporation","FDIC",3,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","","Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"White",5,"Male",1,"Female",2,43,NA,NA,NA,NA,NA,NA
2017,"0000015146","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","TX","Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",6,"White",5,"Information not provided by applicant in mail, Internet, or telephone application",3,"Male",1,77,4439,14.7299995422363,56100,91.4899978637695,1374,2345
2017,"0000015592","Office of the Comptroller of the Currency","OCC",1,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","FL","Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"No co-applicant",8,"Female",2,"No co-applicant",5,23,9729,50.2999992370605,64300,105.120002746582,2363,3305
2017,"0000016249","Federal Deposit Insurance Corporation","FDIC",3,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","IL","Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"Asian",2,"Asian",2,"Female",2,"Female",2,25,5794,74.3199996948242,77500,54.3800010681152,636,1225
2017,"0000016889","Federal Deposit Insurance Corporation","FDIC",3,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","GA","Information not provided by applicant in mail, Internet, or telephone application",3,"Not Hispanic or Latino",2,"White",5,"White",5,"Male",1,"Female",2,37,3639,6.67999982833862,46500,99.3099975585938,1201,2922
2017,"0000019531","Federal Deposit Insurance Corporation","FDIC",3,"FSA/RHS-guaranteed",4,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","ME","Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"No co-applicant",8,"Male",1,"No co-applicant",5,49,4576,2.33999991416931,55900,98.2099990844727,1321,2045
2017,"0000019629","Federal Deposit Insurance Corporation","FDIC",3,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","TX","Information not provided by applicant in mail, Internet, or telephone application",3,"No co-applicant",5,"Information not provided by applicant in mail, Internet, or telephone application",6,"No co-applicant",8,"Information not provided by applicant in mail, Internet, or telephone application",3,"No co-applicant",5,168,6559,15.6400003433228,81400,137.399993896484,2292,3318
2017,"0000019629","Federal Deposit Insurance Corporation","FDIC",3,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","TX","Information not provided by applicant in mail, Internet, or telephone application",3,"No co-applicant",5,"Information not provided by applicant in mail, Internet, or telephone application",6,"No co-applicant",8,"Information not provided by applicant in mail, Internet, or telephone application",3,"No co-applicant",5,58,38137,77.7699966430664,72500,129.330001831055,9771,11372
2017,"0000020310","Federal Deposit Insurance Corporation","FDIC",3,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","MT","Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"No co-applicant",8,"Female",2,"No co-applicant",5,51,6446,11.0900001525879,67400,122.419998168945,1705,2097
2017,"0000021122","Federal Deposit Insurance Corporation","FDIC",3,"VA-guaranteed",3,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","IL","Not Hispanic or Latino",2,"No co-applicant",5,"Black or African American",3,"No co-applicant",8,"Male",1,"No co-applicant",5,100,6415,88.6399993896484,77500,117.089996337891,2110,2483
2017,"0000021389","Office of the Comptroller of the Currency","OCC",1,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","KS","Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"No co-applicant",8,"Male",1,"No co-applicant",5,50,4853,6.11999988555908,66900,91.4100036621094,1487,2104
2017,"0000022946","Federal Deposit Insurance Corporation","FDIC",3,"FHA-insured",2,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","PR","Hispanic or Latino",1,"No co-applicant",5,"White",5,"No co-applicant",8,"Male",1,"No co-applicant",5,23,5636,96.129997253418,25900,141.949996948242,1403,2167
2017,"0000023216","Office of the Comptroller of the Currency","OCC",1,"FHA-insured",2,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","IL","Not Hispanic or Latino",2,"No co-applicant",5,"Black or African American",3,"No co-applicant",8,"Female",2,"No co-applicant",5,32,2382,100,77500,43.7299995422363,540,936
2017,"0000024354","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","MN","Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"No co-applicant",8,"Female",2,"No co-applicant",5,120,5413,7.82999992370605,89800,135.279998779297,1610,1875
2017,"0000024362","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","","Information not provided by applicant in mail, Internet, or telephone application",3,"No co-applicant",5,"Information not provided by applicant in mail, Internet, or telephone application",6,"No co-applicant",8,"Information not provided by applicant in mail, Internet, or telephone application",3,"No co-applicant",5,115,NA,NA,NA,NA,NA,NA
2017,"0000024362","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","","Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"No co-applicant",8,"Male",1,"No co-applicant",5,77,NA,NA,NA,NA,NA,NA
2017,"0000024362","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","","Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"No co-applicant",8,"Female",2,"No co-applicant",5,36,NA,NA,NA,NA,NA,NA
2017,"0000024382","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","SC","Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"No co-applicant",8,"Female",2,"No co-applicant",5,77,NA,NA,NA,NA,NA,NA
2017,"0000024382","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","","Hispanic or Latino",1,"Hispanic or Latino",1,"Information not provided by applicant in mail, Internet, or telephone application",6,"Information not provided by applicant in mail, Internet, or telephone application",6,"Female",2,"Male",1,78,NA,NA,NA,NA,NA,NA
2017,"0000024382","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","","Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"Black or African American",3,"White",5,"Female",2,"Male",1,102,NA,NA,NA,NA,NA,NA
2017,"0000024382","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","VA","Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"No co-applicant",8,"Male",1,"No co-applicant",5,28,3060,12.710000038147,53300,123.849998474121,788,1272
2017,"0000024382","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","TX","Hispanic or Latino",1,"Hispanic or Latino",1,"Information not provided by applicant in mail, Internet, or telephone application",6,"Information not provided by applicant in mail, Internet, or telephone application",6,"Female",2,"Male",1,78,8579,51.9500007629395,58300,86.620002746582,1642,2821
2017,"0000024382","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","VA","Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"No co-applicant",8,"Female",2,"No co-applicant",5,22,NA,NA,NA,NA,NA,NA
2017,"0000024382","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","SC","Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"No co-applicant",8,"Female",2,"No co-applicant",5,22,NA,NA,NA,NA,NA,NA
2017,"0000024382","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","NY","Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"No co-applicant",8,"Female",2,"No co-applicant",5,32,5908,3.27999997138977,68000,112.370002746582,2096,2483
2017,"0000024382","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","","Hispanic or Latino",1,"No co-applicant",5,"White",5,"No co-applicant",8,"Male",1,"No co-applicant",5,95,NA,NA,NA,NA,NA,NA
2017,"0000024382","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","TX","Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"No co-applicant",8,"Male",1,"No co-applicant",5,40,0,0,81400,0,0,0
2017,"0000024382","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","KY","Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,"White",5,"White",5,"Female",2,"Male",1,56,6406,3.40000009536743,47800,95.379997253418,2063,2878
2017,"0000024382","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","","Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,"White",5,"White",5,"Male",1,"Female",2,42,NA,NA,NA,NA,NA,NA
2017,"0000024382","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","TN","Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"No co-applicant",8,"Female",2,"No co-applicant",5,22,NA,NA,NA,NA,NA,NA
2017,"0000024382","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","TX","Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"No co-applicant",8,"Female",2,"No co-applicant",5,145,5253,94.8600006103516,64300,50.5900001525879,964,1728
2017,"0000024382","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Preapproval was not requested",2,"Application denied by financial institution","MS","Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"White",5,"Female",2,"Male",1,59,7632,13.6800003051758,51600,129.580001831055,2520,3262
2017,"0000024382","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","GA","Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"White",5,"Male",1,"Female",2,162,2731,59.1399993896484,46500,77.25,866,1530
2017,"0000024382","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","CA","Hispanic or Latino",1,"No co-applicant",5,"White",5,"No co-applicant",8,"Male",1,"No co-applicant",5,73,6480,49.4900016784668,57500,88.8600006103516,1302,1907
2017,"0000024382","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Preapproval was not requested",2,"Application denied by financial institution","LA","Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",6,"Information not provided by applicant in mail, Internet, or telephone application",6,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,58,10430,16.6599998474121,55900,183.139999389648,2958,3217
2017,"0000024382","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","SC","Not Hispanic or Latino",2,"No co-applicant",5,"Black or African American",3,"No co-applicant",8,"Male",1,"No co-applicant",5,39,NA,NA,NA,NA,NA,NA
2017,"0000024524","National Credit Union Administration","NCUA",5,"VA-guaranteed",3,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Preapproval was not requested",2,"Application denied by financial institution","OK","Not Hispanic or Latino",2,"No co-applicant",5,"White",5,"No co-applicant",8,"Male",1,"No co-applicant",5,52,2477,32.7400016784668,66600,75.5,601,1166
2017,"0000024693","National Credit Union Administration","NCUA",5,"FHA-insured",2,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","UT","Not Hispanic or Latino",2,"Not Hispanic or Latino",2,"White",5,"White",5,"Male",1,"Female",2,48,2989,13.7200002670288,75000,69.1399993896484,797,1198
2017,"0000024802","National Credit Union Administration","NCUA",5,"Conventional",1,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","CA","Hispanic or Latino",1,"Hispanic or Latino",1,"White",5,"White",5,"Male",1,"Female",2,52,7578,80.4800033569336,75200,40.6800003051758,868,1998
2017,"0000024891","Office of the Comptroller of the Currency","OCC",1,"FHA-insured",2,"Home purchase",1,"Owner-occupied as a principal dwelling",1,"Not applicable",3,"Application denied by financial institution","PA","Hispanic or Latino",1,"No co-applicant",5,"White",5,"No co-applicant",8,"Male",1,"No co-applicant",5,26,3301,54.4099998474121,75200,56.3600006103516,614,1038
