"sl_no","gender","ssc_p","ssc_b","hsc_p","hsc_b","hsc_s","degree_p","degree_t","workex","etest_p","specialisation","mba_p","status","salary"
139,"M",62,"Others",62,"Others","Commerce",60,"Comm&Mgmt","Yes",63,"Mkt&HR",52.38,"Placed",240000
140,"F",64,"Central",78,"Central","Commerce",79,"Comm&Mgmt","No",56,"Mkt&HR",64.08,"Placed",2e+05
141,"M",79,"Others",76,"Others","Science",67.5,"Comm&Mgmt","No",75,"Mkt&HR",59.42,"Placed",275000
142,"M",79,"Others",76,"Others","Commerce",64,"Comm&Mgmt","No",61.6,"Mkt&Fin",60.99,"Placed",320000
143,"F",85,"Others",90,"Others","Commerce",82,"Comm&Mgmt","No",92,"Mkt&Fin",68.03,"Placed",3e+05
144,"M",84,"Others",90.9,"Central","Commerce",66,"Comm&Mgmt","Yes",68.71,"Mkt&Fin",66.04,"Placed",3e+05
145,"F",55,"Central",47,"Central","Commerce",60,"Comm&Mgmt","No",60,"Mkt&HR",58.79,"Not Placed",NA
146,"F",63,"Central",66,"Central","Commerce",64,"Comm&Mgmt","No",68,"Mkt&HR",64.08,"Not Placed",NA
147,"F",64,"Central",67,"Others","Science",69.6,"Sci&Tech","Yes",55.67,"Mkt&HR",71.49,"Placed",250000
148,"M",74,"Central",62,"Others","Science",68,"Comm&Mgmt","No",74,"Mkt&Fin",57.99,"Placed",268000
149,"M",49,"Others",59,"Others","Science",65,"Sci&Tech","Yes",86,"Mkt&Fin",62.48,"Placed",340000
150,"M",76.7,"Others",89.7,"Others","Science",67.5,"Sci&Tech","Yes",95,"Mkt&Fin",71.77,"Placed",450000
151,"M",74,"Others",59,"Others","Commerce",73,"Comm&Mgmt","Yes",60,"Mkt&HR",56.7,"Placed",240000
152,"F",85,"Others",73,"Others","Commerce",81,"Comm&Mgmt","No",91,"Mkt&Fin",74.49,"Placed",4e+05
153,"M",69.7,"Central",68,"Others","Arts",68,"Comm&Mgmt","Yes",64,"Mkt&Fin",63.7,"Placed",4e+05
154,"M",73,"Central",78,"Others","Commerce",65,"Comm&Mgmt","Yes",95.46,"Mkt&Fin",62.16,"Placed",420000
155,"M",84,"Central",90.9,"Others","Commerce",65,"Comm&Mgmt","No",88.56,"Mkt&Fin",67.05,"Placed",276000
156,"M",62,"Others",63,"Others","Commerce",64,"Comm&Mgmt","No",67,"Mkt&Fin",57.03,"Placed",220000
157,"M",69.6,"Central",91,"Central","Commerce",69,"Comm&Mgmt","Yes",68,"Mkt&Fin",75.71,"Placed",2e+05
158,"F",73,"Others",58,"Others","Science",66,"Comm&Mgmt","No",53.7,"Mkt&HR",56.86,"Placed",240000
159,"M",58,"Central",61.12,"Central","Commerce",77.5,"Comm&Mgmt","No",84.27,"Mkt&HR",60.44,"Placed",270000
160,"M",83.84,"Others",75,"Others","Science",68,"Sci&Tech","Yes",62,"Mkt&HR",62.98,"Placed",3e+05
161,"M",69,"Central",71,"Central","Science",66.6,"Sci&Tech","Yes",56,"Mkt&HR",63.7,"Placed",3e+05
162,"M",65,"Central",72,"Central","Commerce",66.6,"Comm&Mgmt","Yes",67,"Mkt&Fin",61.82,"Placed",250000
163,"F",46,"Central",59,"Central","Arts",56.2,"Sci&Tech","Yes",60,"Mkt&HR",65.04,"Placed",940000
164,"M",62,"Central",67,"Central","Commerce",64,"Comm&Mgmt","No",56,"Mkt&Fin",54.97,"Placed",250000
165,"M",41,"Central",42,"Central","Science",60,"Comm&Mgmt","No",97,"Mkt&Fin",53.39,"Not Placed",NA
166,"M",59.6,"Others",52,"Others","Science",55,"Comm&Mgmt","No",64.25,"Mkt&HR",58.52,"Not Placed",NA
167,"M",62,"Central",67,"Central","Commerce",58,"Comm&Mgmt","No",77,"Mkt&Fin",51.29,"Not Placed",NA
168,"M",62,"Central",72,"Central","Commerce",77.5,"Comm&Mgmt","No",56,"Mkt&Fin",56.66,"Placed",265000
169,"M",74,"Others",66,"Others","Science",64.8,"Others","Yes",80,"Mkt&Fin",55.03,"Placed",3e+05
170,"F",47,"Central",59,"Central","Arts",64,"Comm&Mgmt","No",78,"Mkt&Fin",61.58,"Not Placed",NA
171,"M",80,"Others",70,"Others","Science",72,"Sci&Tech","No",87,"Mkt&HR",71.04,"Placed",450000
172,"M",41,"Others",55,"Others","Commerce",65,"Comm&Mgmt","No",74,"Mkt&Fin",60.59,"Placed",380000
173,"M",53,"Central",63,"Others","Science",64.21,"Sci&Tech","No",64.25,"Mkt&HR",59.43,"Not Placed",NA
174,"M",51,"Others",51,"Others","Science",61,"Sci&Tech","No",85,"Mkt&HR",65.48,"Placed",5e+05
175,"F",61,"Others",67,"Others","Commerce",60,"Comm&Mgmt","No",68,"Mkt&Fin",71.49,"Not Placed",NA
176,"F",51.57,"Others",42.16,"Others","Science",58,"Comm&Mgmt","No",85,"Mkt&HR",53.29,"Not Placed",NA
177,"M",63,"Others",67,"Others","Science",64,"Sci&Tech","No",75,"Mkt&Fin",66.46,"Placed",5e+05
178,"M",65,"Central",77,"Central","Commerce",69,"Comm&Mgmt","No",60,"Mkt&HR",61.82,"Placed",276000
179,"F",46,"Others",42,"Others","Arts",79,"Comm&Mgmt","Yes",55,"Mkt&HR",65.49,"Not Placed",NA
180,"F",77.44,"Central",70,"Central","Commerce",64.2,"Comm&Mgmt","Yes",75.5,"Mkt&Fin",70.2,"Placed",218000
181,"M",67,"Central",68.4,"Others","Commerce",66,"Comm&Mgmt","No",54,"Mkt&Fin",53.49,"Placed",250000
182,"F",50,"Others",37,"Others","Arts",52,"Others","No",65,"Mkt&HR",56.11,"Not Placed",NA
183,"M",58,"Central",61,"Central","Commerce",60,"Comm&Mgmt","Yes",62,"Mkt&HR",60.85,"Placed",260000
184,"M",61,"Others",62,"Others","Commerce",65,"Comm&Mgmt","No",62,"Mkt&Fin",56.81,"Placed",250000
185,"M",52,"Central",57,"Central","Commerce",50.8,"Comm&Mgmt","No",67,"Mkt&HR",62.79,"Not Placed",NA
186,"M",87,"Central",69.4,"Others","Science",65.6,"Sci&Tech","Yes",89,"Mkt&Fin",52.72,"Placed",255000
187,"M",79.33,"Others",70,"Others","Science",71,"Sci&Tech","Yes",75.5,"Mkt&Fin",66.94,"Placed",285000
188,"M",67,"Others",67,"Others","Arts",60,"Comm&Mgmt","No",55,"Mkt&HR",55.03,"Placed",265000
189,"M",85,"Central",70,"Others","Science",65,"Sci&Tech","No",59,"Mkt&HR",61.31,"Placed",3e+05
190,"M",70,"Others",57,"Others","Science",58,"Comm&Mgmt","No",56,"Mkt&Fin",62.77,"Not Placed",NA
191,"M",60.4,"Central",66.6,"Others","Science",65,"Comm&Mgmt","No",71,"Mkt&HR",52.71,"Placed",220000
192,"F",60.23,"Central",69,"Central","Commerce",63,"Comm&Mgmt","No",86,"Mkt&Fin",60.5,"Placed",216000
193,"M",51.57,"Others",74.66,"Others","Commerce",59.9,"Comm&Mgmt","Yes",56.15,"Mkt&HR",65.99,"Not Placed",NA
194,"M",58,"Others",40,"Others","Science",59,"Comm&Mgmt","No",73,"Mkt&HR",58.81,"Not Placed",NA
195,"M",61,"Central",82,"Central","Commerce",64,"Comm&Mgmt","Yes",68,"Mkt&HR",62.28,"Placed",411000
196,"F",66.5,"Others",70.4,"Central","Arts",71.93,"Comm&Mgmt","No",61,"Mkt&Fin",64.27,"Placed",230000
197,"M",52,"Central",49,"Others","Commerce",58,"Comm&Mgmt","No",62,"Mkt&HR",60.59,"Not Placed",NA
198,"M",87,"Others",87,"Others","Commerce",66,"Comm&Mgmt","No",90,"Mkt&Fin",52.72,"Placed",3e+05
199,"M",74.2,"Central",87.6,"Others","Commerce",77.25,"Comm&Mgmt","Yes",75.2,"Mkt&Fin",66.06,"Placed",285000
200,"F",58,"Others",62.83,"Others","Commerce",56.87,"Comm&Mgmt","No",87.55,"Mkt&Fin",71.96,"Not Placed",NA
201,"M",71,"Central",58.66,"Central","Science",58,"Sci&Tech","Yes",56,"Mkt&Fin",61.3,"Placed",690000
202,"M",85,"Central",60,"Others","Science",73.43,"Sci&Tech","Yes",60,"Mkt&Fin",61.29,"Placed",260000
203,"M",79,"Central",73.4,"Others","Commerce",80,"Comm&Mgmt","Yes",80,"Mkt&HR",69.06,"Placed",295000
204,"F",64,"Central",73.5,"Central","Commerce",72,"Comm&Mgmt","No",56,"Mkt&Fin",62.21,"Placed",3e+05
205,"M",67,"Others",61,"Central","Science",72,"Comm&Mgmt","No",72,"Mkt&Fin",61.01,"Placed",264000
206,"F",59,"Others",50,"Others","Commerce",52,"Comm&Mgmt","No",78,"Mkt&HR",58.32,"Placed",3e+05
207,"M",65,"Central",71.5,"Others","Commerce",62.8,"Comm&Mgmt","Yes",57,"Mkt&Fin",56.6,"Placed",265000
208,"F",69.8,"Others",62,"Others","Science",66,"Comm&Mgmt","No",61,"Mkt&HR",57.29,"Placed",265000
209,"F",52,"Others",61.33,"Others","Commerce",65,"Comm&Mgmt","No",63,"Mkt&Fin",57.29,"Not Placed",NA
210,"M",55.6,"Others",51,"Others","Commerce",57.5,"Comm&Mgmt","No",57.63,"Mkt&HR",62.72,"Not Placed",NA
211,"M",66,"Central",64,"Central","Science",60,"Comm&Mgmt","No",60,"Mkt&HR",61.9,"Not Placed",NA
212,"F",46,"Others",37,"Others","Science",79,"Sci&Tech","Yes",50.48,"Mkt&Fin",56.11,"Not Placed",NA
213,"M",60.8,"Central",67,"Others","Arts",65,"Comm&Mgmt","Yes",85,"Mkt&Fin",64.34,"Placed",3e+05
214,"M",79.33,"Central",77,"Central","Science",73.43,"Sci&Tech","Yes",75,"Mkt&Fin",66.94,"Placed",285000
215,"M",69,"Central",70,"Central","Arts",64.8,"Comm&Mgmt","No",93.4,"Mkt&HR",55.03,"Placed",3e+05
216,"M",65,"Central",64.8,"Others","Commerce",69.5,"Comm&Mgmt","Yes",56,"Mkt&Fin",56.94,"Placed",265000
217,"F",59,"Others",51,"Others","Science",67.25,"Sci&Tech","No",63,"Mkt&HR",59.24,"Not Placed",NA
218,"M",77,"Central",70,"Central","Commerce",59,"Comm&Mgmt","Yes",58,"Mkt&Fin",54.43,"Placed",220000
219,"F",73,"Others",63,"Others","Science",66,"Comm&Mgmt","No",89,"Mkt&Fin",60.5,"Placed",216000
220,"F",70.89,"Others",71.98,"Others","Science",65.6,"Comm&Mgmt","No",68,"Mkt&HR",71.63,"Not Placed",NA
221,"F",78,"Central",77,"Others","Commerce",80,"Comm&Mgmt","No",60,"Mkt&Fin",66.72,"Placed",287000
