data_id,treat,age,education,black,hispanic,married,nodegree,re75,re78
Lalonde Sample,1,26,11,0,0,0,1,22959.76,2746.614
Lalonde Sample,1,21,13,1,0,0,0,24806.83,8803.666
Lalonde Sample,1,18,10,1,0,1,1,1958.0959,10989.93
Lalonde Sample,1,22,10,1,0,0,1,653.95422,11134.98
Lalonde Sample,1,17,10,1,0,0,1,1000.55,1433.531
Lalonde Sample,1,20,7,1,0,0,1,1569.49,5518.083
Lalonde Sample,1,17,9,1,0,0,1,1667.583,5594.729
Lalonde Sample,1,23,11,1,0,0,1,1961.864,3689.126
Lalonde Sample,1,32,10,1,0,0,1,2321.5371,179.0217
Lalonde Sample,1,19,12,1,0,0,0,2534.072,4551.979
Lalonde Sample,1,30,10,1,0,0,1,2615.8169,0
Lalonde Sample,1,25,12,1,0,0,0,2746.6079,2090.678
Lalonde Sample,1,26,11,0,0,0,1,4676.457,1973.345
Lalonde Sample,1,19,10,1,0,0,1,3473.8081,5861.603
Lalonde Sample,1,19,8,0,0,0,1,3416.907,9251.3574
Lalonde Sample,1,20,10,1,0,0,1,5100.8389,13626.04
Lalonde Sample,1,21,11,1,0,0,1,5310.1069,7906.3408
Lalonde Sample,1,23,12,1,0,0,0,7841.9722,7947.2568
Lalonde Sample,1,19,11,1,0,0,1,6409.0269,11648.7
Lalonde Sample,1,22,11,1,0,0,1,8774.791,18295.82
Lalonde Sample,1,23,12,1,0,0,0,7782.042,14416.84
Lalonde Sample,1,26,10,1,0,1,1,8141.7031,4635.6602
Lalonde Sample,1,24,12,1,0,0,0,12982.34,0
Lalonde Sample,1,18,10,0,1,0,1,12625.51,0
Lalonde Sample,1,27,11,1,0,0,1,14223.5,7661.9731
Lalonde Sample,1,21,11,0,1,0,1,17983.711,15191.91
Lalonde Sample,1,25,8,0,0,0,1,23096.65,6421.5298
Lalonde Sample,1,21,12,1,0,0,0,807.95111,4350.9072
Lalonde Sample,1,19,11,1,0,0,1,532.2536,0
Lalonde Sample,1,18,11,1,0,0,1,851.60608,0
Lalonde Sample,1,34,7,1,0,0,1,857.51947,0
Lalonde Sample,1,21,11,0,0,0,1,946.22791,11412.24
Lalonde Sample,1,25,9,1,0,0,1,1536.5031,1709.342
Lalonde Sample,1,17,9,1,0,0,1,1341.651,1374.066
Lalonde Sample,1,28,8,1,0,0,1,1182.786,7779.2632
Lalonde Sample,1,18,9,1,0,0,1,1182.786,5100.4692
Lalonde Sample,1,27,12,1,0,0,0,4310.4551,0
Lalonde Sample,1,23,9,1,0,0,1,1774.1801,11464.71
Lalonde Sample,1,19,8,0,1,0,1,1862.889,8774.623
Lalonde Sample,1,21,11,1,0,0,1,2158.585,0
Lalonde Sample,1,21,11,1,0,0,1,2217.7241,4082.3701
Lalonde Sample,1,23,10,1,0,0,1,2217.7241,0
Lalonde Sample,1,27,9,1,0,0,1,2294.605,2018.556
Lalonde Sample,1,27,11,1,0,0,1,2483.8521,0
Lalonde Sample,1,23,12,0,0,0,0,3903.1951,796.55969
Lalonde Sample,1,27,8,1,0,0,1,7218.2769,7976.9321
Lalonde Sample,1,28,11,1,0,1,1,6952.5801,7318.186
Lalonde Sample,1,25,12,1,0,0,0,5204.2588,0
Lalonde Sample,1,20,12,1,0,0,0,6085.4209,9750.6602
Lalonde Sample,1,26,12,1,0,0,0,6608.8032,5811.7651
Lalonde Sample,1,23,10,1,0,1,1,10495.08,3385.811
Lalonde Sample,1,49,8,0,0,1,1,7285.9482,16717.119
Lalonde Sample,1,19,11,1,0,0,1,10224.37,11293.81
Lalonde Sample,1,21,13,0,0,0,0,8616.8516,99.570023
Lalonde Sample,1,27,12,1,0,1,0,7806.3872,2777.585
Lalonde Sample,1,23,11,1,0,0,1,8959.5889,1659.5
Lalonde Sample,1,22,11,1,0,0,1,12170.94,8408.3926
Lalonde Sample,1,24,15,1,0,0,0,13008.5,14683.63
Lalonde Sample,1,24,12,1,0,0,0,18154.061,0
Lalonde Sample,1,18,11,1,0,0,1,214.5636,929.88391
Lalonde Sample,1,17,10,1,0,0,1,5793.8521,5522.7881
Lalonde Sample,1,17,9,1,0,0,1,1253.439,5445.2002
Lalonde Sample,1,28,11,1,0,0,1,6871.856,0
Lalonde Sample,1,27,11,1,0,0,1,2666.2739,0
Lalonde Sample,1,19,11,1,0,0,1,2615.2759,4146.603
Lalonde Sample,1,18,11,0,0,0,1,919.55792,4321.7051
Lalonde Sample,1,24,10,1,0,0,1,2421.947,1660.5081
Lalonde Sample,1,23,12,1,0,0,0,3039.96,8484.2393
Lalonde Sample,1,21,9,1,0,0,1,5749.3311,743.66663
Lalonde Sample,1,21,12,1,0,0,0,3332.4089,9371.0371
Lalonde Sample,1,24,9,1,0,0,1,2288.675,4849.5591
Lalonde Sample,1,20,9,0,1,0,1,5875.0488,1358.6429
Lalonde Sample,1,25,13,1,0,0,0,3090.7319,0
Lalonde Sample,1,35,8,1,0,1,1,17976.15,3786.6279
Lalonde Sample,1,17,9,0,1,0,1,74.343452,6210.6699
Lalonde Sample,1,24,11,1,0,1,1,1666.113,4032.708
Lalonde Sample,1,20,12,1,0,0,0,165.2077,0
Lalonde Sample,1,21,8,1,0,0,1,3695.897,4279.6128
Lalonde Sample,1,18,10,1,0,0,1,1784.274,11141.39
Lalonde Sample,1,27,12,1,0,0,0,357.94989,22163.25
Lalonde Sample,1,22,9,1,0,0,1,3836.9861,3462.564
Lalonde Sample,1,46,8,1,0,0,1,2594.7229,0
Lalonde Sample,1,19,10,1,0,0,1,6056.7539,0
Lalonde Sample,1,19,11,0,1,1,1,5463.8032,6788.4629
Lalonde Sample,1,22,12,1,0,0,0,936.17731,0
Lalonde Sample,1,22,12,0,0,0,0,8455.5039,12590.71
Lalonde Sample,1,26,12,1,0,1,0,5794.8311,1424.944
Lalonde Sample,1,29,12,1,0,0,0,4878.937,10976.51
Lalonde Sample,1,31,9,1,0,0,1,5517.8408,9558.501
Lalonde Sample,1,29,12,1,0,0,0,1817.2841,0
Lalonde Sample,1,35,9,1,0,1,1,13830.64,12803.97
Lalonde Sample,1,25,12,1,0,0,0,2409.2739,0
Lalonde Sample,1,22,12,0,1,1,0,7055.7021,10092.83
Lalonde Sample,1,27,10,1,0,0,1,3550.075,0
Lalonde Sample,1,22,10,1,0,1,1,5588.6641,13228.28
Lalonde Sample,1,19,8,1,0,0,1,2937.2639,7535.9419
Lalonde Sample,1,20,11,1,0,0,1,1220.8361,1085.4399
Lalonde Sample,1,21,12,0,0,0,0,334.04941,12558.02
Lalonde Sample,1,27,12,1,0,1,0,334.04929,0
Lalonde Sample,1,20,10,1,0,0,1,2777.355,5615.189
Lalonde Sample,1,23,12,1,0,0,0,501.0741,671.33179
Lalonde Sample,1,27,13,0,0,1,0,853.72247,0
Lalonde Sample,1,23,12,0,1,0,0,1117.439,559.44318
Lalonde Sample,1,24,12,1,0,0,0,2842.7639,6167.6812
Lalonde Sample,1,20,11,1,0,0,1,1484.994,6943.3418
Lalonde Sample,1,26,10,1,0,0,1,6788.958,672.87732
Lalonde Sample,1,25,14,1,0,1,0,11536.57,36646.949
Lalonde Sample,1,26,10,1,0,1,1,0,0
Lalonde Sample,1,20,9,1,0,0,1,0,8881.665
Lalonde Sample,1,31,4,1,0,0,1,4023.2109,7382.5488
Lalonde Sample,1,24,10,1,0,1,1,4078.1521,0
Lalonde Sample,1,33,11,1,0,1,1,25142.24,4181.9419
Lalonde Sample,1,33,12,1,0,1,0,10941.35,15952.6
Lalonde Sample,0,23,10,1,0,0,1,0,0
Lalonde Sample,0,26,12,0,0,0,0,0,12383.68
Lalonde Sample,0,22,9,1,0,0,1,0,0
Lalonde Sample,0,34,9,1,0,0,1,4368.4131,14051.16
Lalonde Sample,0,18,9,1,0,0,1,0,10740.08
Lalonde Sample,0,45,11,1,0,0,1,0,11796.47
Lalonde Sample,0,18,9,1,0,0,1,0,9227.0518
Lalonde Sample,0,27,12,1,0,0,0,2483.8511,3552.2681
Lalonde Sample,0,24,8,0,0,0,1,0,10569.27
Lalonde Sample,0,34,11,1,0,1,1,0,6040.335
Lalonde Sample,0,20,13,1,0,0,0,8965.2432,9199.5635
Lalonde Sample,0,24,4,0,1,0,1,0,3880.833
Lalonde Sample,0,28,12,0,0,0,0,803.34302,16477.02
Lalonde Sample,0,21,10,1,0,0,1,922.57288,0
Lalonde Sample,0,28,12,1,0,1,0,29009.109,10067.43
Lalonde Sample,0,20,12,1,0,0,0,6004.728,4779.7202
Lalonde Sample,0,23,8,1,0,0,1,3403.0559,0
Lalonde Sample,0,21,11,1,0,1,1,7244.561,8976.8262
Lalonde Sample,0,36,10,1,0,0,1,0,0
Lalonde Sample,0,18,12,0,0,0,0,735.20508,2502.5259
Lalonde Sample,0,21,14,1,0,0,0,0,5775.062
Lalonde Sample,0,30,13,1,0,0,0,5569.7612,0
Lalonde Sample,0,26,11,0,1,0,1,1491.016,0
Lalonde Sample,0,28,9,1,0,0,1,0,0
Lalonde Sample,0,31,4,0,0,0,1,10711.08,0
Lalonde Sample,0,18,12,1,0,0,0,642.66449,14444.71
Lalonde Sample,0,27,7,1,0,1,1,0,0
Lalonde Sample,0,19,11,0,0,0,1,0,0
Lalonde Sample,0,20,8,1,0,0,1,0,0
Lalonde Sample,0,28,8,1,0,0,1,10610.08,4623.188
Lalonde Sample,0,34,12,1,0,0,0,0,2113.7219
Lalonde Sample,0,24,10,1,0,0,1,0,7618.6392
Lalonde Sample,0,24,9,1,0,0,1,0,16461.57
Lalonde Sample,0,22,8,0,1,0,1,0,9920.9453
Lalonde Sample,0,25,11,1,0,0,1,0,4196.375
Lalonde Sample,0,20,11,0,0,0,1,1177.118,8743.0713
Lalonde Sample,0,21,9,1,0,0,1,0,3343.2241
Lalonde Sample,0,19,12,1,0,0,0,2814.1951,1720.907
Lalonde Sample,0,39,9,1,0,0,1,0,0
Lalonde Sample,0,19,9,1,0,1,1,0,16658.25
Lalonde Sample,0,24,10,1,0,0,1,1307.908,0
Lalonde Sample,0,44,9,1,0,0,1,0,9722.0029
Lalonde Sample,0,23,11,1,0,0,1,1896.0229,5573.5469
Lalonde Sample,0,22,12,1,0,0,0,532.2536,1333.4449
Lalonde Sample,0,27,8,1,0,0,1,0,3783.6599
Lalonde Sample,0,27,11,1,0,1,1,1122.621,215.83479
Lalonde Sample,0,18,9,1,0,0,1,1605.448,0
Lalonde Sample,0,25,8,1,0,0,1,0,3515.929
Lalonde Sample,0,31,10,1,0,0,1,0,17014.59
Lalonde Sample,0,28,10,1,0,0,1,6567.3291,5435.7871
Lalonde Sample,0,26,10,1,0,1,1,558.77338,0
Lalonde Sample,0,30,8,1,0,0,1,1706.657,0
Lalonde Sample,0,28,11,0,1,1,1,0,6771.6221
Lalonde Sample,0,34,10,1,0,1,1,0,0
Lalonde Sample,0,21,7,0,1,0,1,0,0
Lalonde Sample,0,33,12,1,0,0,0,0,5970.2568
Lalonde Sample,0,19,9,1,0,0,1,1778.089,7171
Lalonde Sample,0,20,11,1,0,0,1,7967.209,0
Lalonde Sample,0,18,10,0,1,0,1,0,1859.167
Lalonde Sample,0,27,12,1,0,1,0,752.39008,0
Lalonde Sample,0,26,12,1,0,1,0,0,6191.9429
Lalonde Sample,0,24,9,1,0,0,1,9662.6699,0
Lalonde Sample,0,31,12,1,0,0,0,0,7284.394
Lalonde Sample,0,22,12,1,0,0,0,2158.05,0
Lalonde Sample,0,28,14,1,0,0,0,6539.5371,3123.116
Lalonde Sample,0,35,10,1,0,0,1,0,445.8309
Lalonde Sample,0,20,12,1,0,0,0,0,0
Lalonde Sample,0,30,9,0,0,0,1,3141.917,1320.923
Lalonde Sample,0,25,11,1,0,0,1,0,0
Lalonde Sample,0,25,10,1,0,0,1,0,7367.04
Lalonde Sample,0,35,11,1,0,0,1,0,0
Lalonde Sample,0,22,8,1,0,0,1,6150.52,0
Lalonde Sample,0,21,12,1,0,0,0,449.04791,0
Lalonde Sample,0,20,10,1,0,0,1,0,2015.5031
Lalonde Sample,0,21,8,1,0,0,1,2237.208,1764.108
Lalonde Sample,0,25,9,0,1,0,1,0,15791.13
Lalonde Sample,0,24,10,0,1,0,1,3000.8379,5350.0381
Lalonde Sample,0,33,11,1,0,0,1,2899.8201,18859.891
Lalonde Sample,0,21,9,1,0,0,1,12357.22,0
Lalonde Sample,0,27,11,1,0,1,1,4491.8838,0
Lalonde Sample,0,27,10,1,0,0,1,0,1135.47
Lalonde Sample,0,20,11,0,1,0,1,0,6378.7202
Lalonde Sample,0,25,13,1,0,0,0,10240.36,10020.72
Lalonde Sample,0,18,11,1,0,0,1,645.27228,5497.5908
Lalonde Sample,0,26,11,1,0,0,1,0,7176.187
Lalonde Sample,0,38,8,1,0,0,1,0,0
Lalonde Sample,0,21,11,1,0,1,1,7652.1201,8396.6543
Lalonde Sample,0,34,11,1,0,0,1,8912.4844,5611.8662
Lalonde Sample,0,21,10,1,0,0,1,1162.3621,39483.531
Lalonde Sample,0,31,13,1,0,0,0,10393.61,7404.7622
Lalonde Sample,0,34,10,1,0,0,1,0,7952.54
Lalonde Sample,0,25,11,1,0,0,1,3649.769,0
Lalonde Sample,0,24,9,1,0,0,1,1275.356,8644.4268
Lalonde Sample,0,19,12,1,0,0,0,0,0
Lalonde Sample,0,32,8,1,0,0,1,0,7152.1318
Lalonde Sample,0,20,9,0,1,0,1,0,8329.8232
Lalonde Sample,0,23,10,1,0,0,1,0,0
Lalonde Sample,0,38,10,1,0,0,1,0,12429.91
Lalonde Sample,0,24,11,1,0,0,1,0,0
Lalonde Sample,0,19,10,0,1,0,1,1197.462,11223.72
Lalonde Sample,0,23,11,1,0,0,1,0,5088.7598
Lalonde Sample,0,20,7,0,1,0,1,0,4374.04
Lalonde Sample,0,25,10,1,0,1,1,9319.4443,0
Lalonde Sample,0,21,11,1,0,0,1,0,1553.291
Lalonde Sample,0,25,10,1,0,0,1,0,0
Lalonde Sample,0,22,11,1,0,1,1,0,1698.304
Lalonde Sample,0,29,9,0,1,0,1,16341.16,16900.301
Lalonde Sample,0,21,11,1,0,0,1,1862.889,11630.66
Lalonde Sample,0,21,7,1,0,0,1,0,11011.57
Lalonde Sample,0,23,11,1,0,0,1,0,0
Lalonde Sample,0,20,12,1,0,0,0,1371.473,20893.109
Lalonde Sample,0,21,11,0,1,0,1,8920.4707,20857.84
Lalonde Sample,0,26,12,1,0,0,0,7322.0371,4677.0488
Lalonde Sample,0,24,12,0,0,0,0,0,11294.63
Lalonde Sample,0,43,10,1,0,0,1,4128.4429,7565.2729
Lalonde Sample,0,31,11,1,0,0,1,1726.4449,0
Lalonde Sample,0,22,11,1,0,0,1,2707.3721,100.6998
Lalonde Sample,0,29,11,1,0,0,1,0,0
Lalonde Sample,0,24,11,1,0,0,1,0,14626.39
Lalonde Sample,0,22,9,1,0,0,1,0,12898.38
Lalonde Sample,0,19,11,1,0,0,1,8870.8789,7396.292
Lalonde Sample,0,28,11,1,0,0,1,0,5767.1328
Lalonde Sample,0,18,10,0,1,0,1,0,6527.9189
Lalonde Sample,0,18,9,1,0,0,1,2138.094,5767.7041
Lalonde Sample,0,26,10,1,0,0,1,0,3931.238
Lalonde Sample,0,25,10,1,0,0,1,0,20942.24
Lalonde Sample,0,26,12,1,0,0,0,8479.5928,10820.55
Lalonde Sample,0,23,11,1,0,0,1,29897.189,23483.449
Lalonde Sample,0,20,8,0,1,0,1,1124.801,11731.2
Lalonde Sample,0,24,10,1,0,0,1,0,0
Lalonde Sample,0,27,13,1,0,0,0,8797.3477,1653.481
Lalonde Sample,0,26,5,1,0,0,1,0,0
Lalonde Sample,0,37,10,1,0,0,1,8606.7432,0
Lalonde Sample,0,36,10,1,0,0,1,0,14690.35
Lalonde Sample,0,22,11,1,0,0,1,0,0
Lalonde Sample,0,22,9,1,0,0,1,506.40759,604.19873
Lalonde Sample,0,25,12,1,0,0,0,0,3418.0969
Lalonde Sample,0,22,10,1,0,0,1,1765.676,0
Lalonde Sample,0,27,11,1,0,0,1,0,11197.34
Lalonde Sample,0,29,8,1,0,0,1,0,0
Lalonde Sample,0,18,9,1,0,0,1,2006.629,6546.0098
Lalonde Sample,0,24,12,1,0,0,0,0,0
Lalonde Sample,0,27,9,0,1,0,1,1596.762,6723.4141
Lalonde Sample,0,19,9,1,0,0,1,902.45648,1914.4139
Lalonde Sample,0,22,10,1,0,0,1,0,0
Lalonde Sample,0,29,12,1,0,0,0,1359.347,132.75999
