"","loan","village","religion","roof","rooms","beds","electricity","ownership","leader","degree_z"
"1048",1,"1","hindu","sheet",2,2,1,"GOVERNMENT",0,0.35132985109783
"1049",1,"1","hindu","sheet",3,2,1,"OWNED",0,0.0894611693458965
"1050",1,"1","hindu","sheet",3,2,1,"OWNED",0,-0.827079216785869
"1051",0,"1","hindu","sheet",2,1,1,"OWNED",0,-0.696144875909903
"1052",0,"1","hindu","sheet",2,2,1,"GOVERNMENT",0,-0.04147317153007
"1053",1,"1","hindu","sheet",2,4,1,"GOVERNMENT",0,1.79160760073346
"1054",1,"1","hindu","thatch",0,0,0,"OWNED",0,0.744132873725729
"1055",0,"1","hindu","other",5,4,1,"OWNED",0,-1.21988223941377
"1056",0,"1","hindu","stone",3,5,1,"OWNED",1,-0.04147317153007
"1057",0,"1","hindu","stone",1,0,1,"OWNED",0,-0.43427619415797
"1058",0,"1","hindu","other",5,0,1,"RENTED",0,-0.172407512406037
"1059",1,"1","hindu","other",3,0,1,"OWNED",1,0.220395510221863
"1060",0,"1","hindu","other",3,0,1,"OWNED",0,-0.565210535033936
"1061",0,"1","hindu","stone",1,0,1,"RENTED",1,-0.958013557661836
"1062",0,"1","hindu","stone",2,0,1,"OWNED",0,2.70814798686523
"1063",1,"1","hindu","other",3,1,1,"OWNED",0,-0.827079216785869
"1064",0,"1","hindu","other",3,0,1,"OWNED",0,-0.43427619415797
"1065",0,"1","hindu","stone",3,0,1,"OWNED",0,0.744132873725729
"1066",0,"1","hindu","other",4,0,1,"OWNED",0,-1.0889478985378
"1067",0,"1","hindu","other",1,0,1,"OWNED",0,0.744132873725729
"1068",0,"1","hindu","stone",5,0,1,"OWNED",0,0.220395510221863
"1069",0,"1","hindu","other",3,1,1,"OWNED",0,-0.696144875909903
"1070",0,"1","hindu","other",3,0,1,"OWNED",0,-1.21988223941377
"1071",0,"1","hindu","other",2,0,1,"OWNED",0,0.875067214601696
"1072",0,"1","hindu","rcc",7,0,1,"OWNED",0,-0.958013557661836
"1073",0,"1","hindu","other",3,0,1,"RENTED",0,2.05347628248539
"1074",0,"1","hindu","other",3,0,1,"OWNED",0,0.482264191973796
"1075",0,"1","hindu","other",2,0,1,"OWNED",0,-0.696144875909903
"1076",0,"1","hindu","other",2,0,1,"OWNED",0,-0.827079216785869
"1077",0,"1","hindu","other",2,0,1,"OWNED",1,-0.827079216785869
"1078",0,"1","hindu","tile",3,0,1,"OWNED",1,1.2678702372296
"1079",0,"1","hindu","sheet",2,1,0,"GOVERNMENT",0,2.83908232774119
"1080",0,"1","hindu","other",2,0,1,"OWNED",0,-1.0889478985378
"1081",0,"1","islam","other",2,0,1,"OWNED",0,1.13693589635363
"1082",0,"1","hindu","other",4,0,1,"SHARE_OWNED",0,-0.565210535033936
"1083",0,"1","hindu","other",3,0,1,"SHARE_OWNED",0,0.875067214601696
"1084",0,"1","hindu","sheet",1,0,1,"OWNED",0,-0.827079216785869
"1085",0,"1","hindu","other",2,1,1,"OWNED",0,-1.0889478985378
"1086",0,"1","hindu","rcc",4,0,1,"OWNED",0,-0.172407512406037
"1087",0,"1","hindu","stone",3,0,1,"OWNED",1,-0.958013557661836
"1088",1,"1","hindu","other",3,0,1,"OWNED",0,2.18441062336136
"1089",0,"1","hindu","stone",2,1,1,"OWNED",0,3.62468837299699
"1090",0,"1","hindu","stone",2,0,1,"OWNED",0,-0.696144875909903
"1091",0,"1","hindu","other",2,0,1,"OWNED",1,-1.0889478985378
"1092",0,"1","hindu","other",2,0,1,"OWNED",0,1.2678702372296
"1093",0,"1","hindu","other",2,1,1,"OWNED",0,-0.696144875909903
"1094",0,"1","hindu","other",3,1,1,"OWNED",0,0.220395510221863
"1095",0,"1","hindu","rcc",5,0,1,"OWNED",0,2.18441062336136
"1096",1,"1","hindu","other",2,0,1,"OWNED",0,-1.0889478985378
"1097",1,"1","hindu","sheet",1,0,1,"OWNED",0,0.875067214601696
"1098",0,"1","hindu","rcc",4,0,1,"OWNED",0,-0.696144875909903
"1099",0,"1","hindu","tile",1,0,1,"OWNED",0,1.52973891898153
"1100",0,"1","hindu","stone",3,0,1,"OWNED",0,-1.0889478985378
"1101",0,"1","hindu","other",3,1,1,"OWNED",0,0.220395510221863
"1102",0,"1","hindu","tile",2,0,1,"OWNED",0,0.220395510221863
"1103",1,"1","hindu","sheet",1,1,1,"OWNED",0,0.220395510221863
"1104",1,"1","hindu","stone",3,2,1,"OWNED",0,0.220395510221863
"1105",0,"1","hindu","rcc",5,1,1,"OWNED",0,1.79160760073346
"1106",0,"1","hindu","other",5,1,0,"OWNED",0,1.52973891898153
"1107",1,"1","hindu","other",4,0,1,"OWNED",0,-0.696144875909903
"1108",1,"1","hindu","stone",2,1,1,"OWNED",0,-0.43427619415797
"1109",0,"1","hindu","other",2,0,0,"OWNED",0,-0.827079216785869
"1110",1,"1","hindu","sheet",2,0,1,"OWNED",0,-0.43427619415797
"1111",0,"1","hindu","other",2,0,1,"OWNED",0,-1.21988223941377
"1112",0,"1","hindu","sheet",2,0,1,"OWNED",0,1.66067325985749
"1113",0,"1","hindu","other",2,0,1,"OWNED",0,0.0894611693458965
"1114",1,"1","hindu","other",4,0,1,"OWNED",0,-0.43427619415797
"1115",0,"1","hindu","other",4,0,1,"OWNED",0,1.66067325985749
"1116",0,"1","hindu","stone",2,0,1,"OWNED",0,-0.565210535033936
"1117",1,"1","hindu","tile",2,0,1,"OWNED",0,0.744132873725729
"1118",0,"1","hindu","rcc",2,2,1,"OWNED",0,-0.696144875909903
"1119",0,"1","hindu","rcc",3,0,1,"OWNED",0,2.31534496423733
"1120",0,"1","hindu","other",2,0,1,"OWNED",0,-0.827079216785869
"1121",0,"1","hindu","other",1,0,1,"OWNED",0,-0.303341853282003
"1122",0,"1","hindu","sheet",1,0,1,"OWNED",0,1.79160760073346
"1123",0,"1","hindu","stone",2,0,1,"OWNED",0,-1.21988223941377
"1124",1,"1","hindu","other",2,0,1,"OWNED",0,-0.43427619415797
"1125",0,"1","hindu","stone",2,0,1,"OWNED",1,-0.827079216785869
"1126",0,"1","hindu","other",1,0,1,"OWNED",0,1.66067325985749
"1127",0,"1","hindu","other",2,0,1,"OWNED",0,-1.0889478985378
"1128",0,"1","hindu","other",1,0,1,"OWNED",0,0.875067214601696
"1129",0,"1","hindu","other",2,0,1,"OWNED",0,-0.04147317153007
"1130",0,"1","hindu","other",1,0,0,"OWNED",0,-0.827079216785869
"1131",0,"1","hindu","other",2,0,1,"OWNED",0,-1.0889478985378
"1132",0,"1","hindu","tile",1,1,1,"OWNED",1,-0.43427619415797
"1133",0,"1","hindu","sheet",2,0,1,"OWNED",1,1.2678702372296
"1134",0,"1","hindu","tile",1,0,1,"OWNED",0,0.613198532849763
"1135",0,"1","hindu","sheet",1,0,1,"OWNED",1,-0.827079216785869
"1136",0,"1","hindu","tile",3,0,1,"OWNED",0,0.875067214601696
"1137",0,"1","hindu","tile",1,0,1,"SHARE_OWNED",0,-0.696144875909903
"1138",0,"1","hindu","sheet",1,0,0,"OWNED",0,-1.0889478985378
"1139",1,"1","hindu","tile",1,0,0,"OWNED",1,1.66067325985749
"1140",0,"1","hindu","tile",1,0,1,"OWNED",0,1.52973891898153
"1141",0,"1","hindu","other",1,0,0,"OWNED",0,-0.565210535033936
"1142",0,"1","hindu","sheet",1,1,0,"OWNED",0,-0.827079216785869
"1143",0,"1","hindu","sheet",1,0,1,"OWNED",0,1.39880457810556
"1144",0,"1","hindu","tile",2,0,1,"OWNED",0,-0.958013557661836
"1145",0,"1","hindu","sheet",1,0,1,"OWNED",0,-0.565210535033936
"1146",0,"1","hindu","sheet",2,0,1,"OWNED",0,1.13693589635363
"1147",0,"1","hindu","sheet",2,0,1,"OWNED",0,1.66067325985749
"1148",0,"1","hindu","other",1,0,1,"OWNED",0,1.92254194160943
"1149",0,"1","hindu","rcc",2,1,0,"RENTED",0,-0.696144875909903
"1150",0,"1","hindu","tile",1,0,1,"OWNED",0,-1.21988223941377
"1151",0,"1","hindu","other",2,1,1,"OWNED",0,-0.827079216785869
"1152",1,"1","hindu","sheet",1,0,1,"OWNED",0,0.0894611693458965
"1153",0,"1","hindu","other",1,0,0,"OWNED",0,-0.565210535033936
"1154",0,"1","hindu","stone",2,0,1,"OWNED",0,-0.827079216785869
"1155",0,"1","hindu","other",1,0,1,"OWNED",0,0.482264191973796
"1156",0,"1","hindu","stone",3,1,1,"OWNED",1,0.0894611693458965
"1157",0,"1","hindu","stone",3,1,1,"OWNED",0,0.220395510221863
"1158",0,"1","hindu","tile",2,0,1,"OWNED",0,1.2678702372296
"1159",0,"1","hindu","stone",2,0,1,"OWNED",0,-0.43427619415797
"1160",0,"1","hindu","tile",2,2,1,"OWNED",0,-0.565210535033936
"1161",0,"1","hindu","stone",7,3,1,"SHARE_OWNED",0,-0.827079216785869
"1162",0,"1","hindu","stone",2,0,1,"OWNED",1,1.79160760073346
"1163",1,"1","hindu","sheet",2,1,1,"GOVERNMENT",0,4.14842573650086
"1164",0,"1","hindu","tile",2,0,1,"OWNED",0,-0.172407512406037
"1165",0,"1","hindu","stone",2,0,1,"OWNED",0,-0.04147317153007
"1166",0,"1","hindu","sheet",2,0,1,"OWNED",0,-0.565210535033936
"1167",0,"1","hindu","sheet",2,1,1,"OWNED",0,-0.565210535033936
"1168",0,"1","hindu","sheet",1,0,1,"OWNED",0,-0.565210535033936
"1169",0,"1","hindu","stone",1,1,1,"OWNED",0,1.2678702372296
"1170",0,"1","hindu","sheet",1,0,1,"OWNED",0,-0.827079216785869
"1171",0,"1","hindu","sheet",2,0,1,"OWNED",0,1.39880457810556
"1172",0,"1","hindu","stone",2,2,1,"OWNED",1,-0.04147317153007
"1173",0,"1","hindu","other",2,0,1,"OWNED",0,3.36281969124506
"1174",0,"1","hindu","stone",2,0,0,"OWNED",0,0.875067214601696
"1175",0,"1","hindu","sheet",3,0,0,"OWNED",0,-0.565210535033936
"1176",0,"1","hindu","stone",2,1,1,"OWNED",1,-0.958013557661836
"1177",1,"1","hindu","rcc",2,1,1,"OWNED",1,-1.0889478985378
"1178",0,"1","hindu","tile",1,0,1,"OWNED",1,-0.696144875909903
"1179",0,"1","hindu","stone",2,1,1,"OWNED",0,-1.0889478985378
"1180",0,"1","hindu","sheet",3,2,1,"OWNED",0,-0.696144875909903
"1181",1,"1","hindu","tile",2,0,1,"OWNED",0,-1.0889478985378
"1182",0,"1","hindu","sheet",1,0,1,"OWNED",0,-1.0889478985378
"2001",1,"2","hindu","tile",2,0,1,"OWNED",1,-0.172407512406037
"2002",0,"2","hindu","sheet",2,1,1,"RENTED",0,-0.303341853282003
"2003",0,"2","hindu","sheet",1,3,1,"OWNED",0,-1.21988223941377
"2004",1,"2","hindu","tile",2,1,0,"OWNED",0,-0.303341853282003
"2005",0,"2","hindu","tile",2,5,1,"OWNED",0,-0.958013557661836
"2006",0,"2","hindu","sheet",2,6,1,"OWNED",0,0.220395510221863
"2007",0,"2","hindu","sheet",4,1,1,"OWNED",1,-0.43427619415797
"2008",0,"2","hindu","sheet",3,1,1,"OWNED",0,-0.43427619415797
"2009",1,"2","hindu","stone",3,1,1,"OWNED",0,0.613198532849763
"2010",0,"2","hindu","sheet",3,1,1,"OWNED",0,-0.565210535033936
"2011",0,"2","hindu","sheet",4,2,1,"OWNED",0,-0.303341853282003
"2012",0,"2","hindu","tile",2,4,1,"OWNED",0,0.0894611693458965
"2013",0,"2","hindu","sheet",1,1,1,"OWNED",0,-0.565210535033936
"2014",0,"2","hindu","sheet",2,1,1,"OWNED",0,-0.696144875909903
"2015",0,"2","hindu","sheet",3,5,1,"RENTED",0,-0.696144875909903
"2016",0,"2","hindu","sheet",1,0,1,"RENTED",0,-0.565210535033936
"2017",0,"2","hindu","sheet",2,1,1,"OWNED",0,-1.21988223941377
"2018",0,"2","hindu","sheet",3,5,1,"OWNED",0,-0.04147317153007
"2019",0,"2","hindu","sheet",3,0,1,"OWNED",0,-1.0889478985378
"2020",0,"2","hindu","sheet",1,2,1,"OWNED",0,-0.696144875909903
"2021",0,"2","hindu","stone",3,1,1,"OWNED",0,-0.43427619415797
"2022",0,"2","hindu","sheet",1,4,1,"OWNED",0,-0.303341853282003
"2023",1,"2","hindu","rcc",3,2,1,"OWNED",0,-0.958013557661836
"2024",0,"2","hindu","tile",1,2,1,"OWNED",0,0.35132985109783
"2025",0,"2","hindu","tile",3,0,1,"OWNED",0,0.613198532849763
"2026",0,"2","hindu","sheet",2,4,1,"OWNED",0,-0.172407512406037
"2027",0,"2","hindu","rcc",3,0,1,"OWNED",0,-0.43427619415797
"2028",0,"2","hindu","sheet",4,1,1,"OWNED",0,0.0894611693458965
"2029",0,"2","hindu","stone",2,2,1,"OWNED",0,-1.0889478985378
"2030",0,"2","hindu","rcc",6,0,1,"OWNED",0,-0.43427619415797
"2031",0,"2","hindu","sheet",2,1,1,"OWNED",0,-1.0889478985378
"2032",0,"2","hindu","rcc",5,3,1,"OWNED",0,0.220395510221863
"2033",0,"2","hindu","sheet",3,5,1,"OWNED",0,0.0894611693458965
"2034",0,"2","hindu","tile",2,6,0,"OWNED",0,-0.827079216785869
"2035",0,"2","hindu","sheet",3,6,1,"OWNED",0,-0.827079216785869
"2036",0,"2","hindu","sheet",3,1,1,"OWNED",1,-0.565210535033936
"2037",0,"2","hindu","stone",2,5,1,"OWNED",0,0.875067214601696
"2038",0,"2","hindu","stone",3,5,1,"OWNED",0,-1.21988223941377
"2039",0,"2","hindu","sheet",2,2,1,"OWNED",0,-0.958013557661836
"2040",0,"2","hindu","sheet",1,0,1,"OWNED",0,-1.21988223941377
"2041",0,"2","hindu","sheet",2,2,1,"OWNED",0,-0.827079216785869
"2042",1,"2","hindu","stone",3,4,1,"OWNED",1,-0.565210535033936
"2043",0,"2","hindu","tile",1,2,0,"OWNED",0,-0.827079216785869
"2044",0,"2","hindu","tile",1,7,1,"OWNED",0,-0.04147317153007
"2045",0,"2","hindu","tile",2,3,1,"OWNED",0,0.744132873725729
"2046",1,"2","hindu","stone",2,2,1,"OWNED",1,-0.696144875909903
"2047",1,"2","hindu","tile",2,2,1,"OWNED",0,-0.43427619415797
"2048",0,"2","hindu","tile",1,2,1,"OWNED",0,-0.43427619415797
"2049",0,"2","hindu","tile",1,1,1,"OWNED",0,-0.565210535033936
"2050",0,"2","hindu","tile",2,4,1,"OWNED",0,0.875067214601696
"2051",0,"2","hindu","tile",2,3,1,"OWNED",1,1.2678702372296
"2052",0,"2","hindu","sheet",1,1,1,"OWNED",0,-1.0889478985378
"2053",1,"2","hindu","tile",2,4,1,"OWNED",0,0.613198532849763
"2054",0,"2","hindu","tile",3,4,1,"OWNED",1,0.613198532849763
"2055",0,"2","hindu","tile",1,0,1,"OWNED",1,1.2678702372296
"2056",0,"2","hindu","stone",2,0,1,"OWNED",0,1.13693589635363
"2057",0,"2","hindu","tile",1,1,1,"OWNED",1,-0.827079216785869
"2058",0,"2","hindu","sheet",2,4,1,"OWNED",0,-0.565210535033936
"2059",0,"2","hindu","sheet",2,2,1,"OWNED",0,-0.827079216785869
"2060",0,"2","hindu","thatch",1,1,1,"OWNED",0,-0.303341853282003
"2061",1,"2","hindu","sheet",1,1,1,"OWNED",0,-0.827079216785869
"2062",0,"2","hindu","sheet",1,2,1,"OWNED",0,-0.303341853282003
"2063",1,"2","hindu","thatch",1,1,1,"OWNED",0,-0.958013557661836
"2064",0,"2","hindu","tile",1,2,1,"OWNED",0,-0.958013557661836
"2065",0,"2","hindu","sheet",2,4,1,"OWNED",0,-0.958013557661836
"2066",0,"2","hindu","tile",2,1,1,"OWNED",0,0.35132985109783
"2067",0,"2","hindu","tile",2,4,1,"OWNED",1,0.0894611693458965
"2068",0,"2","hindu","sheet",2,3,1,"OWNED",0,-1.0889478985378
"2069",0,"2","hindu","tile",2,0,0,"OWNED",1,1.92254194160943
"2070",0,"2","hindu","sheet",2,3,1,"OWNED",0,-0.827079216785869
"2071",0,"2","hindu","sheet",1,1,0,"OWNED",0,0.35132985109783
"2072",0,"2","hindu","sheet",2,2,1,"OWNED",0,-0.43427619415797
"2073",0,"2","hindu","tile",2,2,1,"OWNED",0,-0.43427619415797
"2074",0,"2","hindu","sheet",4,2,1,"OWNED",0,0.220395510221863
"2075",0,"2","hindu","sheet",1,0,0,"OWNED",0,-0.827079216785869
"2076",0,"2","hindu","sheet",2,3,1,"OWNED",0,-0.565210535033936
"2077",0,"2","hindu","sheet",0,0,1,"OWNED",0,-0.696144875909903
"2078",0,"2","hindu","tile",2,2,1,"OWNED",0,0.220395510221863
"2079",0,"2","hindu","stone",3,3,1,"OWNED",0,-0.303341853282003
"2080",0,"2","hindu","sheet",2,0,1,"OWNED",0,-0.827079216785869
"2081",0,"2","hindu","tile",2,1,1,"OWNED",0,0.0894611693458965
"2082",0,"2","hindu","tile",1,0,0,"OWNED",0,0.613198532849763
"2083",0,"2","hindu","tile",2,2,1,"OWNED",0,0.220395510221863
"2084",0,"2","hindu","sheet",2,1,1,"RENTED",0,0.35132985109783
"2085",0,"2","hindu","tile",2,1,1,"OWNED",0,0.35132985109783
"2086",0,"2","hindu","tile",2,0,1,"OWNED",0,1.13693589635363
"2087",0,"2","hindu","tile",2,1,1,"OWNED",0,0.613198532849763
"2088",0,"2","hindu","sheet",4,5,1,"OWNED",0,2.31534496423733
"2089",0,"2","hindu","sheet",1,3,1,"GOVERNMENT",0,0.35132985109783
"2090",0,"2","hindu","tile",2,0,1,"OWNED",0,-0.172407512406037
"2091",0,"2","hindu","tile",2,0,1,"OWNED",0,-0.565210535033936
"2092",0,"2","hindu","sheet",2,2,1,"OWNED",0,-1.0889478985378
"2093",0,"2","hindu","sheet",1,0,1,"OWNED",0,0.613198532849763
"2094",1,"2","hindu","stone",2,0,1,"OWNED",0,-0.43427619415797
"2095",0,"2","hindu","sheet",1,2,0,"OWNED",0,1.00600155547766
"2096",0,"2","hindu","tile",2,0,1,"OWNED",0,0.875067214601696
"2097",0,"2","hindu","sheet",1,1,1,"OWNED",0,-0.827079216785869
"2098",0,"2","hindu","tile",2,2,1,"OWNED",0,1.13693589635363
"2099",0,"2","hindu","tile",1,4,1,"OWNED",0,-0.827079216785869
"2100",0,"2","hindu","tile",1,1,1,"OWNED",0,-0.696144875909903
"2101",0,"2","hindu","sheet",2,1,1,"OWNED",0,-0.958013557661836
"2102",1,"2","hindu","stone",6,8,1,"OWNED",0,-0.958013557661836
"2103",0,"2","hindu","other",3,0,1,"OWNED",0,-0.43427619415797
"2104",0,"2","hindu","sheet",2,0,1,"OWNED",0,1.00600155547766
"2105",0,"2","hindu","stone",2,1,1,"OWNED",0,0.744132873725729
"2106",0,"2","hindu","other",1,6,1,"OWNED",0,0.482264191973796
"2107",0,"2","hindu","tile",2,0,1,"OWNED",0,0.482264191973796
"2108",0,"2","hindu","tile",1,0,1,"OWNED",0,-1.21988223941377
"2109",0,"2","hindu","tile",2,1,0,"OWNED",0,-0.04147317153007
"2110",0,"2","hindu","stone",2,2,1,"OWNED",1,0.613198532849763
"2111",0,"2","hindu","rcc",1,2,1,"OWNED",0,-0.04147317153007
"2112",0,"2","hindu","rcc",1,3,1,"OWNED",0,-0.565210535033936
"2113",1,"2","hindu","rcc",2,2,1,"RENTED",0,-1.21988223941377
"2114",0,"2","hindu","sheet",1,1,1,"RENTED",0,-1.21988223941377
"2115",0,"2","hindu","sheet",2,1,1,"OWNED",0,-0.43427619415797
"2116",0,"2","hindu","stone",2,1,1,"OWNED",0,-0.827079216785869
"2117",1,"2","hindu","tile",2,0,1,"OWNED",0,-0.696144875909903
"2118",0,"2","hindu","stone",2,0,1,"OWNED",0,0.482264191973796
"2119",0,"2","hindu","other",2,0,1,"OWNED",0,1.39880457810556
"2120",1,"2","hindu","sheet",4,0,1,"OWNED",0,-1.21988223941377
"2121",0,"2","hindu","stone",2,1,1,"OWNED",0,0.220395510221863
"2122",0,"2","hindu","sheet",1,2,1,"RENTED",0,-1.21988223941377
"2123",0,"2","hindu","rcc",2,6,1,"OWNED",1,1.13693589635363
"2124",0,"2","hindu","stone",3,2,1,"OWNED",0,0.35132985109783
"2125",0,"2","hindu","other",1,0,1,"OWNED",0,-0.827079216785869
"2126",0,"2","hindu","other",1,0,1,"OWNED",0,-0.565210535033936
"2127",0,"2","hindu","sheet",1,0,1,"OWNED",0,-0.696144875909903
"2128",1,"2","hindu","sheet",1,1,1,"OWNED",1,-0.696144875909903
"2129",0,"2","hindu","stone",3,6,1,"OWNED",0,-0.303341853282003
"2130",0,"2","hindu","other",2,0,1,"OWNED",1,0.875067214601696
"2131",0,"2","hindu","sheet",1,0,1,"OWNED",0,-0.43427619415797
"2132",0,"2","hindu","sheet",2,2,1,"OWNED",0,-0.958013557661836
"2133",0,"2","hindu","rcc",3,0,1,"OWNED",0,-0.958013557661836
"2134",0,"2","hindu","sheet",1,1,1,"OWNED",0,-0.696144875909903
"2135",0,"2","hindu","sheet",2,0,1,"OWNED",0,-1.21988223941377
"2136",1,"2","hindu","sheet",1,3,1,"OWNED",0,-0.696144875909903
"2137",0,"2","hindu","stone",3,5,1,"OWNED",0,-0.303341853282003
"2138",0,"2","hindu","tile",2,1,1,"OWNED",0,-0.172407512406037
"2139",1,"2","hindu","rcc",5,2,1,"OWNED",0,-0.696144875909903
"2140",0,"2","hindu","stone",4,4,1,"OWNED",0,-0.827079216785869
"2141",0,"2","hindu","stone",2,2,1,"OWNED",1,2.31534496423733
"2142",0,"2","hindu","stone",4,5,1,"OWNED",0,-0.172407512406037
"2143",0,"2","hindu","other",1,0,1,"OWNED",0,-0.303341853282003
"2144",0,"2","hindu","other",2,1,1,"OWNED",0,0.613198532849763
"2145",0,"2","hindu","sheet",4,2,1,"OWNED",1,1.2678702372296
"2146",0,"2","hindu","sheet",1,0,1,"OWNED",0,-0.827079216785869
"2147",0,"2","hindu","stone",1,2,1,"OWNED",0,-0.565210535033936
"2148",0,"2","hindu","other",1,0,1,"OWNED",0,-0.827079216785869
"2149",0,"2","hindu","sheet",2,2,1,"GOVERNMENT",0,-0.04147317153007
"2150",0,"2","hindu","other",3,1,1,"OWNED",0,-0.827079216785869
"2151",0,"2","hindu","other",1,0,1,"OWNED",0,-1.0889478985378
"2152",1,"2","hindu","other",1,2,1,"OWNED",0,-1.21988223941377
"2153",1,"2","hindu","sheet",2,0,1,"OWNED",0,0.0894611693458965
"2154",1,"2","hindu","other",2,2,1,"RENTED",0,0.482264191973796
"2155",0,"2","hindu","other",4,2,1,"OWNED",0,-0.43427619415797
"2156",1,"2","hindu","tile",3,2,1,"RENTED",0,-1.0889478985378
"2157",0,"2","hindu","sheet",2,0,1,"OWNED",0,1.39880457810556
"2158",0,"2","hindu","other",1,6,1,"OWNED",0,-0.958013557661836
"2159",0,"2","hindu","stone",2,4,1,"OWNED",0,-0.172407512406037
"2160",1,"2","hindu","rcc",3,2,1,"OWNED",0,-0.958013557661836
"2161",0,"2","hindu","other",2,2,1,"OWNED",0,0.0894611693458965
"2162",0,"2","hindu","sheet",2,1,0,"OWNED",1,-0.43427619415797
"2163",1,"2","hindu","sheet",1,0,1,"OWNED",0,-0.827079216785869
"2164",1,"2","hindu","tile",3,2,1,"OWNED",0,1.79160760073346
"2165",0,"2","hindu","tile",2,0,1,"OWNED",0,-0.958013557661836
"2166",0,"2","hindu","sheet",1,0,1,"OWNED",0,-1.0889478985378
"2167",0,"2","hindu","sheet",1,0,1,"OWNED",0,-0.43427619415797
"2168",0,"2","hindu","tile",1,0,1,"OWNED",0,-0.303341853282003
"2169",0,"2","hindu","stone",3,2,1,"OWNED",0,1.92254194160943
"2170",0,"2","hindu","rcc",3,4,1,"OWNED",0,-0.827079216785869
"2171",0,"2","hindu","tile",3,1,1,"OWNED",0,-0.04147317153007
"2172",0,"2","hindu","sheet",1,0,1,"OWNED",0,-0.696144875909903
"2173",1,"2","hindu","sheet",1,1,1,"OWNED",1,-0.172407512406037
