"id","water_bill","barrel","barrel_num","yard_size","home_garden","attitude_env","temperature","county","year"
51,270.18,"No barrel",0,35343,"Home garden",6,69.9190625,"Comal",2018
52,216.79,"No barrel",0,12211,"No home garden",6,71.9534375,"Guadalupe",2018
55,210.69,"No barrel",0,12990,"No home garden",4,75.005,"Travis",2018
57,239.13,"No barrel",0,27521,"Home garden",7,65.8503125,"Travis",2018
59,250.85,"No barrel",0,26410,"No home garden",4,70.93625,"Comal",2018
64,186,"No barrel",0,13646,"No home garden",6,63.8159375,"Travis",2018
65,223.82,"No barrel",0,20140,"No home garden",3,55.881875,"Travis",2018
67,219.04,"No barrel",0,11316,"No home garden",8,73.9878125,"Travis",2018
68,287.82,"No barrel",0,23572,"No home garden",4,79.480625,"Hays",2018
69,253.42,"No barrel",0,29730,"No home garden",5,70.529375,"Guadalupe",2018
70,206.44,"No barrel",0,12860,"No home garden",6,67.0709375,"Guadalupe",2018
71,213.55,"No barrel",0,13761,"No home garden",5,58.1196875,"Hays",2018
73,227.28,"No barrel",0,31993,"Home garden",5,68.495,"Travis",2018
75,254.44,"No barrel",0,36695,"Home garden",5,61.7815625,"Guadalupe",2018
76,223,"No barrel",0,16829,"No home garden",1,55.2715625,"Travis",2018
77,212.64,"No barrel",0,26067,"Home garden",7,63.0021875,"Comal",2018
78,224.06,"No barrel",0,23897,"No home garden",7,70.1225,"Comal",2018
79,234.41,"No barrel",0,34248,"Home garden",7,70.1225,"Hays",2018
80,257.09,"No barrel",0,28608,"Home garden",7,75.81875,"Hays",2018
82,244.96,"No barrel",0,24637,"Home garden",6,67.8846875,"Comal",2018
83,252.02,"No barrel",0,29531,"Home garden",6,64.6296875,"Comal",2018
84,214.61,"No barrel",0,18565,"No home garden",5,66.05375,"Hays",2018
85,219.13,"No barrel",0,19108,"No home garden",1,75.411875,"Guadalupe",2018
86,245.27,"No barrel",0,30574,"Home garden",6,75.6153125,"Guadalupe",2018
87,229.19,"No barrel",0,20286,"No home garden",4,63.0021875,"Hays",2018
88,263.65,"No barrel",0,16218,"No home garden",4,71.1396875,"Guadalupe",2018
89,182.68,"No barrel",0,18107,"No home garden",7,66.6640625,"Hays",2018
90,218.32,"No barrel",0,23129,"Home garden",8,73.9878125,"Travis",2018
93,247.13,"No barrel",0,12219,"No home garden",2,85.990625,"Guadalupe",2018
94,217.41,"No barrel",0,27721,"Home garden",6,53.03375,"Guadalupe",2018
95,244.46,"No barrel",0,18977,"No home garden",4,81.515,"Comal",2018
98,193.69,"No barrel",0,16333,"No home garden",6,63.6125,"Hays",2018
99,267.4,"No barrel",0,26412,"No home garden",6,72.3603125,"Hays",2018
101,218.11,"No barrel",0,22827,"No home garden",3,57.1025,"Hays",2018
102,270.05,"No barrel",0,28279,"No home garden",4,67.274375,"Comal",2018
104,178.38,"No barrel",0,11176,"No home garden",6,55.881875,"Travis",2018
105,175.22,"No barrel",0,10682,"No home garden",6,56.4921875,"Guadalupe",2018
106,250.71,"No barrel",0,25144,"No home garden",4,70.3259375,"Guadalupe",2018
107,239.01,"No barrel",0,22087,"No home garden",5,70.3259375,"Guadalupe",2018
109,221.65,"No barrel",0,26079,"No home garden",5,69.715625,"Hays",2018
110,212.91,"No barrel",0,21691,"No home garden",5,63.8159375,"Hays",2018
113,230.27,"No barrel",0,26331,"Home garden",8,75.6153125,"Comal",2018
114,257.66,"No barrel",0,32150,"No home garden",4,67.8846875,"Travis",2018
119,218.62,"No barrel",0,21556,"No home garden",4,73.1740625,"Comal",2018
124,234.73,"No barrel",0,19757,"No home garden",5,88.2284375,"Guadalupe",2018
125,251.71,"No barrel",0,24519,"No home garden",5,71.75,"Hays",2018
126,194.99,"No barrel",0,27526,"No home garden",6,47.1340625,"Comal",2018
127,225.89,"No barrel",0,22271,"No home garden",6,68.495,"Travis",2018
128,235.78,"No barrel",0,17550,"No home garden",3,74.598125,"Guadalupe",2018
129,216.38,"No barrel",0,22228,"No home garden",3,55.475,"Comal",2018
132,216.38,"No barrel",0,19544,"No home garden",7,56.8990625,"Travis",2018
134,223.57,"No barrel",0,14885,"No home garden",7,69.9190625,"Guadalupe",2018
135,281.43,"No barrel",0,27255,"No home garden",5,96.569375,"Guadalupe",2018
136,233.91,"No barrel",0,22252,"No home garden",5,66.460625,"Guadalupe",2018
138,227,"No barrel",0,28339,"No home garden",4,58.323125,"Comal",2018
142,243.03,"No barrel",0,26763,"No home garden",5,84.363125,"Travis",2018
143,241.5,"No barrel",0,20645,"No home garden",6,68.2915625,"Guadalupe",2018
144,212.11,"No barrel",0,11961,"No home garden",4,73.1740625,"Comal",2018
145,187.78,"No barrel",0,17118,"No home garden",7,71.343125,"Comal",2018
146,228.93,"No barrel",0,28364,"Home garden",6,68.088125,"Hays",2018
150,213.13,"No barrel",0,22450,"No home garden",7,65.24,"Guadalupe",2018
152,264.03,"No barrel",0,27979,"No home garden",2,75.411875,"Guadalupe",2018
153,170.94,"No barrel",0,6885,"No home garden",7,64.42625,"Guadalupe",2018
155,223.55,"No barrel",0,18034,"No home garden",5,75.005,"Travis",2018
157,245.53,"No barrel",0,13369,"No home garden",2,80.70125,"Travis",2018
160,174.87,"No barrel",0,6049,"No home garden",6,66.05375,"Guadalupe",2018
161,217.44,"No barrel",0,28028,"No home garden",6,70.7328125,"Hays",2018
162,168.98,"No barrel",0,24006,"Home garden",8,55.6784375,"Travis",2018
163,193.86,"No barrel",0,22052,"No home garden",4,54.8646875,"Travis",2018
164,219.74,"No barrel",0,27177,"No home garden",6,70.93625,"Comal",2018
167,242,"No barrel",0,34602,"No home garden",4,71.5465625,"Comal",2018
168,235.19,"No barrel",0,24962,"No home garden",5,68.088125,"Hays",2018
169,168.35,"No barrel",0,7522,"No home garden",9,77.6496875,"Guadalupe",2018
170,256.56,"No barrel",0,30832,"No home garden",3,66.6640625,"Hays",2018
171,278.48,"No barrel",0,33357,"Home garden",7,79.6840625,"Travis",2018
172,261.39,"No barrel",0,28891,"No home garden",4,71.9534375,"Hays",2018
174,254.93,"No barrel",0,22879,"No home garden",1,75.005,"Travis",2018
177,240.35,"No barrel",0,38750,"No home garden",4,57.91625,"Travis",2018
178,215.35,"No barrel",0,10549,"No home garden",6,73.3775,"Hays",2018
179,244.16,"No barrel",0,16835,"No home garden",2,75.6153125,"Hays",2018
180,261.26,"No barrel",0,29641,"No home garden",5,59.7471875,"Comal",2018
181,170.42,"No barrel",0,1950,"No home garden",7,67.68125,"Guadalupe",2018
184,217.84,"No barrel",0,23409,"No home garden",5,68.2915625,"Hays",2018
185,292.06,"No barrel",0,36306,"No home garden",3,84.1596875,"Comal",2018
186,195.83,"No barrel",0,14235,"No home garden",8,75.2084375,"Travis",2018
188,187.77,"No barrel",0,19659,"No home garden",5,48.558125,"Hays",2018
192,287.74,"No barrel",0,36826,"Home garden",7,78.666875,"Comal",2018
193,211.1,"No barrel",0,17097,"No home garden",5,63.4090625,"Comal",2018
194,219.79,"No barrel",0,14804,"No home garden",5,87.8215625,"Guadalupe",2018
199,287.96,"No barrel",0,39000,"Home garden",4,80.9046875,"Travis",2018
202,167.46,"No barrel",0,7235,"No home garden",9,68.2915625,"Travis",2018
203,231.78,"No barrel",0,19168,"No home garden",6,65.8503125,"Hays",2018
204,278.05,"No barrel",0,28649,"Home garden",8,85.58375,"Comal",2018
205,224.18,"No barrel",0,17615,"No home garden",3,78.666875,"Guadalupe",2018
207,228.78,"No barrel",0,29426,"Home garden",6,61.7815625,"Guadalupe",2018
208,209.46,"No barrel",0,22186,"No home garden",5,52.8303125,"Guadalupe",2018
209,254.34,"No barrel",0,24699,"Home garden",8,72.3603125,"Guadalupe",2018
212,225.08,"No barrel",0,28699,"No home garden",6,57.3059375,"Guadalupe",2018
213,217.1,"No barrel",0,22377,"No home garden",5,57.7128125,"Comal",2018
215,200.23,"No barrel",0,17516,"No home garden",7,72.3603125,"Comal",2018
216,222.2,"No barrel",0,24901,"Home garden",9,71.5465625,"Hays",2018
223,250.41,"No barrel",0,26493,"No home garden",4,79.07375,"Travis",2018
226,217.07,"No barrel",0,26145,"No home garden",5,66.2571875,"Guadalupe",2018
228,268.45,"No barrel",0,28862,"No home garden",4,79.07375,"Travis",2018
229,246.05,"No barrel",0,28305,"No home garden",4,74.598125,"Comal",2018
230,202.51,"No barrel",0,22778,"Home garden",7,74.3946875,"Hays",2018
231,210.98,"No barrel",0,28042,"No home garden",6,46.3203125,"Comal",2018
232,219.92,"No barrel",0,20065,"No home garden",3,78.8703125,"Guadalupe",2018
233,190.16,"No barrel",0,8463,"No home garden",6,60.9678125,"Comal",2018
235,182.9,"No barrel",0,22067,"Home garden",8,52.0165625,"Travis",2018
236,232.13,"No barrel",0,12730,"No home garden",3,82.5321875,"Guadalupe",2018
237,244.1,"No barrel",0,23102,"No home garden",5,85.7871875,"Travis",2018
238,236.51,"No barrel",0,25148,"Home garden",6,69.9190625,"Comal",2018
239,233.59,"No barrel",0,29420,"No home garden",5,66.8675,"Guadalupe",2018
241,237.27,"No barrel",0,26237,"No home garden",4,70.529375,"Guadalupe",2018
242,240.59,"No barrel",0,16245,"No home garden",2,78.0565625,"Guadalupe",2018
243,228.03,"No barrel",0,20156,"No home garden",4,77.2428125,"Travis",2018
244,245.57,"No barrel",0,12116,"No home garden",3,90.46625,"Comal",2018
245,274.72,"No barrel",0,27499,"No home garden",4,90.873125,"Hays",2018
248,200.29,"No barrel",0,14483,"No home garden",7,66.8675,"Guadalupe",2018
250,200.91,"No barrel",0,17426,"No home garden",7,50.5925,"Comal",2018
251,179.23,"No barrel",0,10322,"No home garden",6,58.1196875,"Travis",2018
252,198.61,"No barrel",0,10334,"No home garden",6,81.3115625,"Guadalupe",2018
253,270.99,"No barrel",0,31526,"Home garden",5,66.8675,"Hays",2018
254,220.12,"No barrel",0,14850,"No home garden",5,78.4634375,"Travis",2018
255,225.37,"No barrel",0,13115,"No home garden",3,69.5121875,"Comal",2018
257,252.06,"No barrel",0,24220,"No home garden",5,73.9878125,"Travis",2018
258,210.19,"No barrel",0,17341,"No home garden",4,52.0165625,"Travis",2018
259,206.69,"No barrel",0,23242,"No home garden",6,60.5609375,"Guadalupe",2018
260,285.18,"No barrel",0,38900,"Home garden",7,66.05375,"Comal",2018
261,224.32,"No barrel",0,12636,"No home garden",5,101.85875,"Comal",2018
262,210.92,"No barrel",0,25900,"Home garden",7,55.881875,"Guadalupe",2018
263,258.89,"No barrel",0,30876,"Home garden",6,76.8359375,"Comal",2018
264,274.52,"No barrel",0,38559,"Home garden",6,69.9190625,"Travis",2018
266,241.94,"No barrel",0,25847,"No home garden",4,77.039375,"Comal",2018
267,220.7,"No barrel",0,16846,"No home garden",2,61.985,"Comal",2018
268,230.96,"No barrel",0,21089,"No home garden",5,69.1053125,"Travis",2018
269,205.02,"No barrel",0,11424,"No home garden",4,66.2571875,"Guadalupe",2018
271,241.77,"No barrel",0,22464,"Home garden",7,73.1740625,"Guadalupe",2018
272,232.26,"No barrel",0,11423,"No home garden",3,85.990625,"Travis",2018
275,251.84,"No barrel",0,30111,"Home garden",6,74.19125,"Hays",2018
276,165.88,"No barrel",0,7301,"No home garden",9,66.460625,"Comal",2018
277,253.51,"No barrel",0,19713,"No home garden",2,86.804375,"Comal",2018
280,244.95,"No barrel",0,36530,"No home garden",3,70.93625,"Comal",2018
284,221.59,"No barrel",0,19227,"No home garden",5,83.7528125,"Travis",2018
285,257.11,"No barrel",0,12084,"No home garden",5,91.0765625,"Guadalupe",2018
286,231.05,"No barrel",0,20179,"No home garden",7,74.19125,"Travis",2018
287,199.72,"No barrel",0,13680,"No home garden",4,55.881875,"Hays",2018
289,209.04,"No barrel",0,9402,"No home garden",4,59.54375,"Travis",2018
291,219.98,"No barrel",0,5772,"No home garden",5,87.21125,"Hays",2018
292,198.41,"No barrel",0,25044,"Home garden",8,54.254375,"Comal",2018
294,223.96,"No barrel",0,11746,"No home garden",3,72.3603125,"Travis",2018
295,258.9,"No barrel",0,36012,"No home garden",4,70.7328125,"Travis",2018
296,218.83,"No barrel",0,19909,"No home garden",7,79.8875,"Hays",2018
297,263.51,"No barrel",0,13791,"No home garden",3,88.2284375,"Comal",2018
298,212.48,"No barrel",0,17166,"Home garden",8,67.8846875,"Guadalupe",2018
299,243.84,"No barrel",0,32059,"No home garden",3,59.950625,"Guadalupe",2018
300,172.51,"No barrel",0,15538,"No home garden",8,62.79875,"Comal",2018
301,220.47,"No barrel",0,24576,"No home garden",6,71.5465625,"Guadalupe",2018
302,263.96,"No barrel",0,36060,"Home garden",8,85.58375,"Hays",2018
303,197.98,"No barrel",0,14428,"No home garden",4,75.005,"Guadalupe",2018
304,197.22,"No barrel",0,16403,"No home garden",6,72.970625,"Hays",2018
309,176.04,"No barrel",0,26563,"Home garden",8,50.999375,"Travis",2018
313,214.66,"No barrel",0,19936,"Home garden",8,59.950625,"Hays",2018
314,214.13,"No barrel",0,30956,"No home garden",4,41.64125,"Travis",2018
315,198.66,"No barrel",0,9035,"No home garden",5,59.136875,"Comal",2018
317,214.57,"No barrel",0,21845,"No home garden",7,62.391875,"Travis",2018
318,233.84,"No barrel",0,18141,"No home garden",6,75.005,"Comal",2018
320,234.4,"No barrel",0,24703,"Home garden",9,73.784375,"Hays",2018
322,209.59,"No barrel",0,23680,"Home garden",9,72.7671875,"Guadalupe",2018
323,238.72,"No barrel",0,32314,"No home garden",4,59.54375,"Comal",2018
324,199.38,"No barrel",0,26245,"No home garden",6,46.930625,"Comal",2018
325,213.76,"No barrel",0,21201,"No home garden",6,72.56375,"Hays",2018
326,264.43,"No barrel",0,31968,"No home garden",2,79.6840625,"Guadalupe",2018
327,251.96,"No barrel",0,21966,"No home garden",6,77.039375,"Comal",2018
328,251.54,"No barrel",0,21619,"No home garden",3,74.3946875,"Hays",2018
329,252.2,"No barrel",0,29348,"No home garden",5,67.4778125,"Travis",2018
332,243.47,"No barrel",0,23481,"Home garden",8,77.039375,"Comal",2018
335,271.13,"No barrel",0,18675,"No home garden",2,84.5665625,"Guadalupe",2018
336,215.62,"No barrel",0,29744,"Home garden",6,60.1540625,"Comal",2018
337,218.31,"No barrel",0,29141,"Home garden",9,58.5265625,"Guadalupe",2018
338,219.9,"No barrel",0,18130,"No home garden",6,67.4778125,"Comal",2018
342,181.2,"No barrel",0,5752,"No home garden",5,69.1053125,"Hays",2018
343,214.11,"No barrel",0,18593,"No home garden",4,75.2084375,"Comal",2018
344,269.58,"No barrel",0,31806,"No home garden",4,94.128125,"Travis",2018
346,209.39,"No barrel",0,27107,"Home garden",7,60.3575,"Hays",2018
348,198.69,"No barrel",0,11789,"No home garden",7,64.6296875,"Hays",2018
349,264.43,"No barrel",0,22098,"No home garden",4,85.3803125,"Hays",2018
350,181.37,"No barrel",0,9797,"No home garden",3,66.6640625,"Hays",2018
357,255.57,"No barrel",0,15740,"No home garden",2,79.480625,"Comal",2018
361,216.61,"No barrel",0,11705,"No home garden",4,69.5121875,"Guadalupe",2018
362,280.74,"No barrel",0,36420,"Home garden",6,73.784375,"Travis",2018
363,257.72,"No barrel",0,37060,"Home garden",8,57.1025,"Comal",2018
364,206.97,"No barrel",0,20577,"No home garden",3,53.6440625,"Comal",2018
367,221.38,"No barrel",0,8218,"No home garden",3,66.05375,"Comal",2018
372,203.42,"No barrel",0,20970,"No home garden",6,75.005,"Comal",2018
374,235.58,"No barrel",0,17070,"No home garden",3,73.5809375,"Travis",2018
378,228.49,"No barrel",0,22161,"Home garden",8,68.088125,"Travis",2018
381,189.67,"No barrel",0,13119,"No home garden",4,60.3575,"Guadalupe",2018
382,243.47,"No barrel",0,24252,"No home garden",5,72.56375,"Guadalupe",2018
383,240.82,"No barrel",0,17648,"No home garden",5,79.480625,"Travis",2018
384,143.57,"No barrel",0,3478,"No home garden",4,55.2715625,"Comal",2018
385,219.99,"No barrel",0,27011,"No home garden",4,52.626875,"Travis",2018
386,252.85,"No barrel",0,16246,"No home garden",3,73.9878125,"Hays",2018
387,206.95,"No barrel",0,13220,"No home garden",2,68.495,"Guadalupe",2018
388,211.46,"No barrel",0,29814,"Home garden",10,58.1196875,"Guadalupe",2018
392,190.54,"No barrel",0,16959,"No home garden",3,63.0021875,"Comal",2018
393,275.6,"No barrel",0,34034,"Home garden",8,75.81875,"Comal",2018
394,206.99,"No barrel",0,14242,"No home garden",7,77.853125,"Comal",2018
395,186.95,"No barrel",0,7896,"No home garden",4,70.93625,"Hays",2018
397,206.61,"No barrel",0,11384,"No home garden",5,70.3259375,"Hays",2018
398,227.45,"No barrel",0,12423,"No home garden",2,78.26,"Travis",2018
399,199.99,"No barrel",0,11376,"No home garden",6,72.7671875,"Guadalupe",2018
404,238.12,"No barrel",0,26771,"Home garden",7,77.44625,"Hays",2018
405,220.85,"No barrel",0,12474,"No home garden",5,77.853125,"Comal",2018
406,196.27,"No barrel",0,15037,"Home garden",9,63.8159375,"Guadalupe",2018
407,230.64,"No barrel",0,21735,"Home garden",7,77.2428125,"Travis",2018
409,217.43,"No barrel",0,21485,"No home garden",6,60.764375,"Travis",2018
410,216.62,"No barrel",0,19231,"No home garden",6,63.6125,"Guadalupe",2018
411,198.28,"No barrel",0,11639,"No home garden",4,58.1196875,"Guadalupe",2018
414,194.44,"No barrel",0,12768,"No home garden",4,58.9334375,"Comal",2018
416,221.22,"No barrel",0,23186,"No home garden",5,75.005,"Hays",2018
417,198.47,"No barrel",0,18246,"No home garden",6,65.0365625,"Travis",2018
419,250.82,"No barrel",0,30214,"No home garden",5,66.2571875,"Comal",2018
420,182.2,"No barrel",0,9743,"No home garden",7,65.646875,"Hays",2018
421,167.46,"No barrel",0,14253,"No home garden",6,59.54375,"Hays",2018
423,207.56,"No barrel",0,21306,"No home garden",5,53.03375,"Travis",2018
424,170.31,"No barrel",0,12565,"No home garden",6,75.81875,"Travis",2018
426,278.27,"No barrel",0,28754,"No home garden",1,78.0565625,"Guadalupe",2018
428,182.31,"No barrel",0,4514,"No home garden",5,75.005,"Guadalupe",2018
429,266.63,"No barrel",0,28854,"No home garden",5,72.156875,"Guadalupe",2018
431,281.45,"No barrel",0,25658,"No home garden",1,72.970625,"Travis",2018
435,220.59,"No barrel",0,14747,"No home garden",2,65.646875,"Travis",2018
437,199.85,"No barrel",0,19782,"No home garden",3,67.274375,"Comal",2018
438,211.86,"No barrel",0,3006,"No home garden",8,84.1596875,"Comal",2018
439,189.65,"No barrel",0,4741,"No home garden",5,84.9734375,"Comal",2018
440,152.97,"No barrel",0,6697,"Home garden",10,53.03375,"Travis",2018
442,242.46,"No barrel",0,16104,"No home garden",7,86.1940625,"Travis",2018
444,218.88,"No barrel",0,11793,"No home garden",2,62.5953125,"Hays",2018
445,193.6,"No barrel",0,11378,"No home garden",9,76.4290625,"Guadalupe",2018
446,196.82,"No barrel",0,14103,"No home garden",2,53.8475,"Hays",2018
448,240.96,"No barrel",0,20782,"Home garden",7,77.853125,"Travis",2018
449,231.59,"No barrel",0,31260,"Home garden",9,62.1884375,"Hays",2018
450,258.44,"No barrel",0,20661,"No home garden",2,83.95625,"Travis",2018
451,220.1,"No barrel",0,13977,"No home garden",4,65.8503125,"Guadalupe",2018
454,217.34,"No barrel",0,13677,"No home garden",8,75.81875,"Travis",2018
455,218.35,"No barrel",0,26645,"No home garden",4,56.0853125,"Guadalupe",2018
456,220.42,"No barrel",0,11934,"No home garden",4,66.05375,"Comal",2018
457,249.08,"No barrel",0,21117,"No home garden",5,70.3259375,"Hays",2018
458,242,"No barrel",0,22077,"No home garden",3,60.3575,"Travis",2018
459,213.58,"No barrel",0,16688,"No home garden",6,72.7671875,"Travis",2018
461,207.43,"No barrel",0,18839,"No home garden",3,55.068125,"Guadalupe",2018
463,230.68,"No barrel",0,17226,"No home garden",5,75.6153125,"Comal",2018
464,193.6,"No barrel",0,3494,"No home garden",5,70.7328125,"Travis",2018
466,228.4,"No barrel",0,17631,"No home garden",4,67.274375,"Travis",2018
467,172.5,"No barrel",0,7341,"No home garden",6,69.5121875,"Travis",2018
468,230.74,"No barrel",0,36758,"Home garden",6,71.75,"Comal",2018
470,210.65,"No barrel",0,12537,"No home garden",5,69.715625,"Travis",2018
472,223.06,"No barrel",0,13035,"No home garden",3,65.24,"Hays",2018
475,265.33,"No barrel",0,33438,"Home garden",5,72.7671875,"Travis",2018
477,245.16,"No barrel",0,21262,"No home garden",2,60.9678125,"Comal",2018
480,244.52,"No barrel",0,20398,"No home garden",2,82.32875,"Comal",2018
481,249.22,"No barrel",0,33642,"Home garden",6,67.0709375,"Travis",2018
485,250.48,"No barrel",0,19375,"No home garden",2,75.411875,"Guadalupe",2018
490,222.21,"No barrel",0,8360,"No home garden",4,78.26,"Guadalupe",2018
491,242.42,"No barrel",0,20315,"No home garden",7,76.4290625,"Hays",2018
494,281.39,"No barrel",0,21082,"No home garden",2,83.7528125,"Guadalupe",2018
496,260.23,"No barrel",0,36297,"Home garden",5,63.0021875,"Comal",2018
499,252,"No barrel",0,29073,"No home garden",4,68.6984375,"Comal",2018
500,213.46,"No barrel",0,16948,"No home garden",4,59.7471875,"Comal",2018
505,215.64,"No barrel",0,14717,"No home garden",7,77.44625,"Guadalupe",2018
506,208.27,"No barrel",0,12366,"No home garden",8,78.666875,"Comal",2018
509,161.97,"No barrel",0,10577,"No home garden",5,46.52375,"Comal",2018
511,263.34,"No barrel",0,25056,"No home garden",3,73.9878125,"Guadalupe",2018
512,242.93,"No barrel",0,19805,"No home garden",7,77.853125,"Guadalupe",2018
513,221.4,"No barrel",0,21849,"Home garden",8,78.8703125,"Travis",2018
514,208.71,"No barrel",0,18702,"No home garden",4,40.2171875,"Travis",2018
517,184.87,"No barrel",0,11769,"No home garden",5,53.03375,"Comal",2018
518,261.9,"No barrel",0,32678,"No home garden",5,66.2571875,"Travis",2018
519,205.9,"No barrel",0,4896,"No home garden",3,71.343125,"Travis",2018
520,283.81,"No barrel",0,20312,"No home garden",1,82.5321875,"Guadalupe",2018
522,266.83,"No barrel",0,15112,"No home garden",5,75.6153125,"Hays",2018
524,236.59,"No barrel",0,21597,"Home garden",8,87.618125,"Guadalupe",2018
525,206.59,"No barrel",0,22765,"No home garden",5,47.744375,"Hays",2018
528,209.45,"No barrel",0,23827,"No home garden",5,64.2228125,"Guadalupe",2018
529,224.17,"No barrel",0,6480,"No home garden",4,69.30875,"Travis",2018
530,225.07,"No barrel",0,19272,"No home garden",6,73.3775,"Comal",2018
533,237.26,"No barrel",0,15135,"No home garden",6,62.391875,"Travis",2018
535,225.12,"No barrel",0,32483,"Home garden",7,60.764375,"Guadalupe",2018
536,252.31,"No barrel",0,32054,"Home garden",7,79.6840625,"Travis",2018
537,198.81,"No barrel",0,20563,"No home garden",6,58.323125,"Travis",2018
539,193.04,"No barrel",0,13443,"No home garden",7,57.3059375,"Guadalupe",2018
541,198.2,"No barrel",0,9706,"No home garden",7,71.5465625,"Guadalupe",2018
545,190.54,"No barrel",0,6954,"No home garden",3,60.5609375,"Hays",2018
549,245.59,"No barrel",0,14777,"No home garden",8,83.7528125,"Comal",2018
551,211.37,"No barrel",0,21492,"No home garden",5,71.1396875,"Guadalupe",2018
552,175.35,"No barrel",0,12530,"No home garden",8,59.950625,"Guadalupe",2018
554,197.32,"No barrel",0,7354,"No home garden",2,63.6125,"Guadalupe",2018
558,222.5,"No barrel",0,19455,"No home garden",3,79.2771875,"Hays",2018
560,222.7,"No barrel",0,14416,"No home garden",8,79.8875,"Comal",2018
565,211.36,"No barrel",0,30759,"Home garden",7,59.3403125,"Hays",2018
568,168.35,"No barrel",0,15692,"No home garden",7,60.5609375,"Comal",2018
569,212.53,"No barrel",0,19092,"No home garden",5,67.68125,"Hays",2018
573,236.8,"No barrel",0,22427,"No home garden",4,66.460625,"Comal",2018
574,195.56,"No barrel",0,7057,"No home garden",6,83.549375,"Comal",2018
576,224.9,"No barrel",0,15252,"No home garden",7,69.715625,"Travis",2018
577,257.73,"No barrel",0,23436,"No home garden",4,76.4290625,"Travis",2018
579,240.2,"No barrel",0,13721,"No home garden",2,79.07375,"Guadalupe",2018
582,237.93,"No barrel",0,24238,"No home garden",4,75.005,"Travis",2018
583,226.52,"No barrel",0,21808,"Home garden",7,51.813125,"Hays",2018
584,205.41,"No barrel",0,13758,"No home garden",5,53.03375,"Hays",2018
585,273.88,"No barrel",0,29175,"No home garden",4,71.1396875,"Guadalupe",2018
586,223.22,"No barrel",0,17458,"No home garden",8,72.56375,"Guadalupe",2018
589,293.19,"No barrel",0,33810,"Home garden",6,80.294375,"Hays",2018
591,280.41,"No barrel",0,22785,"No home garden",1,96.3659375,"Guadalupe",2018
593,227.33,"No barrel",0,18669,"Home garden",9,69.9190625,"Guadalupe",2018
596,224.11,"No barrel",0,25845,"No home garden",4,65.0365625,"Hays",2018
597,222.38,"No barrel",0,24886,"No home garden",1,60.5609375,"Guadalupe",2018
599,197.8,"No barrel",0,14287,"No home garden",5,59.54375,"Guadalupe",2018
601,218.23,"No barrel",0,15306,"No home garden",7,75.81875,"Travis",2018
603,246.71,"No barrel",0,26687,"No home garden",3,79.6840625,"Hays",2018
604,257.87,"No barrel",0,16737,"No home garden",4,82.735625,"Hays",2018
605,195.02,"No barrel",0,14883,"No home garden",8,66.6640625,"Hays",2018
606,269.92,"No barrel",0,29009,"No home garden",3,67.274375,"Hays",2018
