id,water_bill,barrel,barrel_num,yard_size,home_garden,attitude_env,temperature
78,196.54,Barrel,1,23897,No home garden,7,62.37559322
79,209.38,Barrel,1,34248,Home garden,7,71.4040678
80,242.18,No barrel,0,28608,Home garden,7,82.19898305
81,140.48,Barrel,1,4832,No home garden,8,71.79661017
82,213.61,Barrel,1,24637,Home garden,7,72.97423729
83,230.77,No barrel,0,29531,Home garden,6,68.46
84,201.43,No barrel,0,18565,No home garden,5,69.63762712
85,223.31,No barrel,0,19108,No home garden,1,77.68474576
86,267.9,No barrel,0,30574,Home garden,6,68.65627119
87,206.89,Barrel,1,20286,No home garden,4,89.65728814
88,177.22,Barrel,1,16218,No home garden,4,78.86237288
89,164.04,Barrel,1,18107,No home garden,7,63.94576271
90,200.85,No barrel,0,23129,Home garden,8,79.64745763
91,211.74,Barrel,1,17230,Home garden,9,86.71322034
92,153.7,Barrel,1,24724,Home garden,8,59.23525424
93,213.76,No barrel,0,12219,No home garden,2,75.32949153
94,185.25,Barrel,1,27721,Home garden,6,78.46983051
95,180.83,Barrel,1,18977,No home garden,4,82.00271186
96,232.74,Barrel,1,25067,Home garden,7,94.5640678
97,215.43,Barrel,1,27990,Home garden,6,79.84372881
98,217.37,Barrel,1,16333,No home garden,6,94.17152542
99,237.21,No barrel,0,26412,No home garden,6,68.06745763
100,195.3,No barrel,0,6261,No home garden,6,62.76813559
101,207.69,No barrel,0,22827,No home garden,3,67.47864407
102,227.11,Barrel,1,28279,No home garden,4,74.54440678
103,186.57,Barrel,1,18408,No home garden,7,75.32949153
104,154.95,Barrel,1,11176,No home garden,6,69.24508475
105,161.4,Barrel,1,10682,No home garden,7,82.78779661
106,209.59,Barrel,1,25144,No home garden,4,85.92813559
107,196.25,Barrel,1,22087,No home garden,6,74.54440678
108,209.29,Barrel,1,33313,Home garden,8,67.87118644
109,197.94,No barrel,0,26079,No home garden,5,46.08508475
110,251.86,No barrel,0,21691,No home garden,5,73.17050847
111,164.68,Barrel,1,24941,Home garden,10,67.87118644
112,246.76,No barrel,0,28018,Home garden,8,85.73186441
113,221.33,Barrel,1,26331,Home garden,8,83.37661017
114,251.75,No barrel,0,32150,No home garden,4,76.31084746
115,171.61,Barrel,1,27143,No home garden,5,71.4040678
116,145.34,Barrel,1,15679,Home garden,9,77.48847458
117,204,Barrel,1,34956,No home garden,3,78.66610169
118,163.23,Barrel,1,23506,No home garden,4,63.94576271
119,217.96,No barrel,0,21556,No home garden,4,60.80542373
120,217.18,No barrel,0,11430,No home garden,2,70.03016949
121,210.62,Barrel,1,19677,No home garden,5,82.19898305
122,216.99,Barrel,1,28299,No home garden,4,76.89966102
123,202,No barrel,0,14878,No home garden,5,78.86237288
124,224.21,Barrel,1,19757,No home garden,5,88.28338983
125,163.89,Barrel,1,24519,No home garden,5,66.69355932
126,238.1,Barrel,1,27526,No home garden,6,85.33932203
127,181.33,Barrel,1,22271,No home garden,6,87.89084746
128,229.81,No barrel,0,17550,No home garden,3,81.41389831
129,270.49,No barrel,0,22228,No home garden,3,81.02135593
130,207.26,Barrel,1,18875,No home garden,2,76.70338983
131,266.46,No barrel,0,28731,No home garden,3,85.53559322
132,173.71,Barrel,1,19544,No home garden,7,77.88101695
133,235.87,Barrel,1,28653,No home garden,4,87.89084746
134,119.5,Barrel,1,14885,No home garden,7,62.17932203
135,158.89,Barrel,1,27255,No home garden,5,47.06644068
136,191.23,Barrel,1,22252,No home garden,5,72.7779661
137,233.08,Barrel,1,16299,No home garden,3,95.34915254
138,275.78,No barrel,0,28339,No home garden,4,84.3579661
139,231.46,No barrel,0,31862,Home garden,6,69.63762712
140,230.23,Barrel,1,25688,No home garden,5,85.73186441
141,177.86,Barrel,1,23795,Home garden,10,81.21762712
142,223.81,Barrel,1,26763,No home garden,5,94.5640678
143,205.84,No barrel,0,20645,No home garden,6,84.94677966
144,184.87,Barrel,1,11961,No home garden,4,73.75932203
145,192.3,No barrel,0,17118,No home garden,8,66.10474576
146,211.11,Barrel,1,28364,Home garden,6,77.68474576
147,178.91,Barrel,1,7939,No home garden,7,83.96542373
148,286.43,No barrel,0,32363,No home garden,2,95.34915254
149,198.59,Barrel,1,20559,No home garden,3,82.39525424
150,216.86,No barrel,0,22450,No home garden,7,76.50711864
151,159.37,Barrel,1,21992,No home garden,4,72.38542373
152,234.05,Barrel,1,27979,No home garden,2,75.91830508
153,152.01,Barrel,1,6885,No home garden,7,77.29220339
154,245.65,No barrel,0,30342,Home garden,7,79.45118644
155,271.27,No barrel,0,18034,No home garden,5,93.77898305
156,140.48,Barrel,1,3635,No home garden,4,86.71322034
157,149.6,Barrel,1,13369,No home garden,2,63.35694915
158,198.7,No barrel,0,20765,No home garden,7,68.85254237
159,172.47,Barrel,1,20211,No home garden,5,69.44135593
160,153.03,Barrel,1,6049,No home garden,6,78.07728814
161,217.31,Barrel,1,28028,No home garden,6,84.75050847
162,197.46,Barrel,1,24006,Home garden,8,76.50711864
163,238.04,Barrel,1,22052,No home garden,4,90.44237288
164,218.8,Barrel,1,27177,No home garden,6,88.6759322
165,207.38,No barrel,0,20355,Home garden,8,64.53457627
166,184.1,No barrel,0,9577,No home garden,9,64.33830508
167,235.13,Barrel,1,34602,No home garden,4,95.74169492
168,246.59,No barrel,0,24962,No home garden,5,74.34813559
169,113.6,Barrel,1,7522,No home garden,9,71.01152542
170,284.35,No barrel,0,30832,No home garden,3,89.85355932
171,215.45,Barrel,1,33357,Home garden,8,82.39525424
172,235.83,No barrel,0,28891,No home garden,4,64.73084746
173,152.72,Barrel,1,7664,No home garden,7,70.22644068
174,241.28,No barrel,0,22879,No home garden,1,67.67491525
175,236,No barrel,0,32797,Home garden,9,77.48847458
176,167.92,Barrel,1,6317,No home garden,3,79.05864407
177,234.85,Barrel,1,38750,No home garden,4,74.93694915
178,158.23,Barrel,1,10549,No home garden,6,83.96542373
179,187.68,Barrel,1,16835,No home garden,2,72.97423729
180,206.54,Barrel,1,29641,No home garden,5,52.16949153
181,154.67,No barrel,0,1950,No home garden,7,62.76813559
182,231.45,No barrel,0,21646,No home garden,4,78.66610169
183,238.22,No barrel,0,31386,No home garden,5,58.64644068
184,235.17,No barrel,0,23409,No home garden,5,71.99288136
185,247.5,Barrel,1,36306,No home garden,3,101.8261017
186,194.42,Barrel,1,14235,No home garden,8,89.85355932
187,231.43,No barrel,0,19422,No home garden,3,68.85254237
188,172.16,Barrel,1,19659,No home garden,5,80.62881356
189,277.56,No barrel,0,24669,No home garden,5,89.26474576
190,207.28,No barrel,0,14662,No home garden,5,79.84372881
191,214.15,Barrel,1,24369,No home garden,4,84.94677966
192,235.35,Barrel,1,36826,Home garden,7,89.65728814
193,169.86,No barrel,0,17097,No home garden,6,63.74949153
194,199.68,No barrel,0,14804,No home garden,5,74.74067797
195,163.95,Barrel,1,20895,No home garden,7,65.5159322
196,245.3,No barrel,0,23453,No home garden,4,83.37661017
197,233.04,No barrel,0,15292,No home garden,4,78.46983051
198,154.31,Barrel,1,11943,No home garden,4,65.31966102
199,229.06,No barrel,0,39000,Home garden,4,61.78677966
200,207.62,No barrel,0,24622,Home garden,7,68.46
201,146.11,Barrel,1,12524,No home garden,4,68.26372881
202,121.2,Barrel,1,7235,No home garden,9,69.04881356
203,211.83,No barrel,0,19168,No home garden,6,73.56305085
204,199.43,Barrel,1,28649,Home garden,8,84.94677966
205,166.22,Barrel,1,17615,No home garden,3,70.81525424
206,198.62,Barrel,1,24905,Home garden,8,88.47966102
207,222.6,No barrel,0,29426,Home garden,7,79.45118644
208,235.43,No barrel,0,22186,No home garden,5,75.52576271
209,179.06,Barrel,1,24699,Home garden,8,80.23627119
210,143.27,Barrel,1,16278,No home garden,8,67.08610169
211,241.88,No barrel,0,30939,Home garden,9,70.81525424
212,215.19,Barrel,1,28699,No home garden,6,75.32949153
213,227.09,No barrel,0,22377,No home garden,5,75.91830508
214,228.36,No barrel,0,25072,No home garden,5,70.61898305
215,191,Barrel,1,17516,No home garden,7,81.61016949
216,242.12,No barrel,0,24901,Home garden,9,87.69457627
217,162.93,No barrel,0,3797,No home garden,7,66.69355932
218,147.43,Barrel,1,12596,No home garden,5,73.36677966
219,228.73,Barrel,1,29474,Home garden,7,84.55423729
220,222.53,No barrel,0,20795,Home garden,8,74.34813559
221,255.51,No barrel,0,21396,No home garden,5,81.21762712
222,215,No barrel,0,11609,No home garden,7,82.9840678
223,258.54,No barrel,0,26493,No home garden,4,89.46101695
224,156.36,Barrel,1,12809,No home garden,7,67.28237288
225,162.7,Barrel,1,13605,No home garden,7,69.83389831
226,218.3,Barrel,1,26145,No home garden,5,77.48847458
227,139.86,Barrel,1,572,No home garden,9,68.85254237
228,247.65,No barrel,0,28862,No home garden,4,70.22644068
229,266.93,No barrel,0,28305,No home garden,4,86.71322034
230,170.07,Barrel,1,22778,Home garden,8,70.42271186
231,246.68,No barrel,0,28042,No home garden,6,86.90949153
232,213.98,Barrel,1,20065,No home garden,3,89.85355932
233,184.08,No barrel,0,8463,No home garden,6,76.50711864
234,211.87,Barrel,1,19207,No home garden,3,94.95661017
235,167.48,Barrel,1,22067,Home garden,8,63.74949153
236,170.19,Barrel,1,12730,No home garden,3,64.33830508
237,177.81,Barrel,1,23102,No home garden,5,61.39423729
238,198.47,Barrel,1,25148,Home garden,7,83.18033898
239,254.68,No barrel,0,29420,No home garden,5,70.81525424
240,267.82,No barrel,0,27732,No home garden,5,76.31084746
241,223.48,Barrel,1,26237,No home garden,4,71.79661017
242,184.77,Barrel,1,16245,No home garden,2,67.28237288
243,205.78,Barrel,1,20156,No home garden,4,88.6759322
244,196.29,Barrel,1,12116,No home garden,3,75.32949153
245,177.52,Barrel,1,27499,No home garden,4,51.97322034
246,251.84,Barrel,1,29061,No home garden,3,84.94677966
247,173.98,Barrel,1,16866,No home garden,8,83.57288136
248,181.66,Barrel,1,14483,No home garden,7,78.66610169
249,205.85,No barrel,0,20120,No home garden,7,87.49830508
250,164.38,Barrel,1,17426,No home garden,8,78.46983051
251,231.16,No barrel,0,10322,No home garden,6,97.90067797
252,167.63,Barrel,1,10334,No home garden,6,67.67491525
253,249.36,No barrel,0,31526,Home garden,6,83.37661017
254,195.66,No barrel,0,14850,No home garden,5,72.97423729
255,184.56,Barrel,1,13115,No home garden,3,67.87118644
256,208.42,Barrel,1,29775,No home garden,5,78.46983051
257,213.56,No barrel,0,24220,No home garden,5,64.73084746
258,233.57,No barrel,0,17341,No home garden,4,75.91830508
259,240.53,No barrel,0,23242,No home garden,6,63.35694915
260,286.79,No barrel,0,38900,Home garden,7,78.07728814
261,171.92,Barrel,1,12636,No home garden,5,81.02135593
262,206.97,Barrel,1,25900,Home garden,7,84.16169492
263,205.2,Barrel,1,30876,Home garden,6,64.73084746
264,244.36,Barrel,1,38559,Home garden,6,80.43254237
265,143.54,Barrel,1,11182,No home garden,6,71.4040678
266,237.98,No barrel,0,25847,No home garden,4,76.50711864
267,259.23,No barrel,0,16846,No home garden,2,85.14305085
268,202.09,Barrel,1,21089,No home garden,6,79.45118644
269,151.88,Barrel,1,11424,No home garden,4,60.02033898
270,236.68,Barrel,1,34542,No home garden,3,75.32949153
271,211.02,No barrel,0,22464,Home garden,7,72.58169492
272,211.26,No barrel,0,11423,No home garden,4,85.14305085
273,205.76,No barrel,0,26701,No home garden,5,66.49728814
274,185.18,Barrel,1,13528,No home garden,2,70.03016949
275,202.92,Barrel,1,30111,Home garden,7,83.37661017
276,180.99,No barrel,0,7301,No home garden,9,61.98305085
277,202.46,Barrel,1,19713,No home garden,2,69.83389831
278,220.91,No barrel,0,15397,No home garden,6,86.90949153
279,199.05,No barrel,0,24008,Home garden,7,50.99186441
280,251.89,Barrel,1,36530,No home garden,3,67.47864407
281,242.46,No barrel,0,22268,Home garden,8,87.3020339
282,175.14,Barrel,1,22842,No home garden,7,82.39525424
283,194.89,No barrel,0,5676,No home garden,3,70.22644068
284,207.72,No barrel,0,19227,No home garden,5,62.96440678
285,247.36,No barrel,0,12084,No home garden,5,81.41389831
286,221.84,No barrel,0,20179,No home garden,7,80.23627119
287,188.49,No barrel,0,13680,No home garden,4,71.79661017
288,205.89,Barrel,1,29663,Home garden,7,73.36677966
289,200.66,Barrel,1,9402,No home garden,4,77.88101695
290,111.58,Barrel,1,4957,No home garden,10,80.62881356
291,161.16,Barrel,1,5772,No home garden,5,82.78779661
292,187.42,Barrel,1,25044,Home garden,8,70.03016949
293,209.99,No barrel,0,9163,No home garden,5,83.18033898
294,191.23,No barrel,0,11746,No home garden,3,73.17050847
295,252.14,Barrel,1,36012,No home garden,4,85.14305085
296,177.33,No barrel,0,19909,No home garden,7,53.34711864
297,167.03,Barrel,1,13791,No home garden,3,79.45118644
298,187.81,No barrel,0,17166,Home garden,8,73.56305085
299,198.57,Barrel,1,32059,No home garden,4,85.73186441
300,231.49,No barrel,0,15538,No home garden,8,83.96542373
301,232.52,No barrel,0,24576,No home garden,6,71.4040678
302,208.64,Barrel,1,36060,Home garden,8,66.69355932
303,162.41,Barrel,1,14428,No home garden,4,66.49728814
304,101.26,Barrel,1,16403,No home garden,6,55.70237288
305,194.97,Barrel,1,15809,No home garden,7,84.16169492
306,193.42,Barrel,1,16009,No home garden,3,84.16169492
307,213.12,No barrel,0,22192,Home garden,10,67.28237288
308,266.1,No barrel,0,32695,Home garden,8,82.00271186
309,234.76,No barrel,0,26563,Home garden,8,83.18033898
310,253.2,No barrel,0,20250,No home garden,4,89.65728814
311,210.04,No barrel,0,19129,No home garden,2,71.4040678
312,267.01,No barrel,0,36691,Home garden,10,79.45118644
313,145.63,Barrel,1,19936,Home garden,9,69.83389831
314,275.26,No barrel,0,30956,No home garden,4,90.24610169
315,192.9,No barrel,0,9035,No home garden,5,79.05864407
316,207.12,Barrel,1,25321,No home garden,6,78.86237288
317,185.11,Barrel,1,21845,No home garden,7,78.27355932
318,142.82,Barrel,1,18141,No home garden,6,56.48745763
319,210.66,No barrel,0,17294,Home garden,8,61.39423729
320,182.06,Barrel,1,24703,Home garden,10,69.63762712
321,206.6,No barrel,0,26873,Home garden,7,59.03898305
322,178.8,Barrel,1,23680,Home garden,10,80.43254237
323,237.5,Barrel,1,32314,No home garden,4,89.06847458
324,252.24,No barrel,0,26245,No home garden,6,74.74067797
325,204.38,No barrel,0,21201,No home garden,6,74.74067797
326,227.1,Barrel,1,31968,No home garden,2,75.32949153
327,249.2,No barrel,0,21966,No home garden,6,92.01254237
328,238.55,No barrel,0,21619,No home garden,3,83.18033898
329,262.91,No barrel,0,29348,No home garden,5,86.32067797
330,228.45,No barrel,0,17334,No home garden,6,82.39525424
331,221.84,No barrel,0,22451,Home garden,8,71.60033898
332,177.4,Barrel,1,23481,Home garden,8,71.20779661
333,189.1,Barrel,1,11152,No home garden,6,93.97525424
334,189.52,Barrel,1,13522,No home garden,2,81.80644068
335,275.7,No barrel,0,18675,No home garden,2,77.68474576
336,218.46,No barrel,0,29744,Home garden,6,70.81525424
337,188.22,Barrel,1,29141,Home garden,9,81.02135593
338,151.03,Barrel,1,18130,No home garden,6,59.8240678
339,200.19,No barrel,0,9674,No home garden,7,65.31966102
340,170.18,Barrel,1,2995,No home garden,7,74.93694915
341,170.78,Barrel,1,17610,No home garden,4,71.20779661
342,145.01,Barrel,1,5752,No home garden,5,70.22644068
343,157.96,Barrel,1,18593,No home garden,5,70.42271186
344,255.89,Barrel,1,31806,No home garden,4,91.03118644
345,150.54,Barrel,1,4582,No home garden,7,71.20779661
346,253.99,Barrel,1,27107,Home garden,7,92.20881356
347,212.76,Barrel,1,20361,No home garden,6,85.53559322
348,167.34,Barrel,1,11789,No home garden,7,85.33932203
349,239.61,No barrel,0,22098,No home garden,4,71.60033898
350,162.49,Barrel,1,9797,No home garden,3,56.09491525
351,241.19,Barrel,1,28685,Home garden,7,93.19016949
352,221.59,Barrel,1,23137,No home garden,2,78.86237288
353,186.52,Barrel,1,17442,No home garden,5,89.26474576
354,138.14,Barrel,1,2082,No home garden,6,81.02135593
355,163.98,Barrel,1,1886,No home garden,6,82.59152542
356,192.42,Barrel,1,19408,No home garden,3,71.99288136
357,204.77,Barrel,1,15740,No home garden,2,67.47864407
358,139.69,Barrel,1,10330,No home garden,8,72.97423729
359,243.61,No barrel,0,23610,Home garden,8,82.39525424
360,150.08,Barrel,1,10932,No home garden,5,69.83389831
361,210.29,No barrel,0,11705,No home garden,4,71.01152542
362,279.24,No barrel,0,36420,Home garden,7,70.03016949
363,282.31,No barrel,0,37060,Home garden,8,89.65728814
364,234.9,No barrel,0,20577,No home garden,3,84.94677966
365,194.45,No barrel,0,13606,No home garden,6,75.7220339
366,186.22,Barrel,1,24182,No home garden,7,66.10474576
367,164.49,Barrel,1,8218,No home garden,3,70.22644068
368,235.68,No barrel,0,28461,Home garden,6,76.70338983
369,150.77,Barrel,1,11640,No home garden,4,78.46983051
370,151.53,Barrel,1,6801,No home garden,5,65.31966102
371,186.93,Barrel,1,19448,No home garden,5,64.53457627
372,178.4,Barrel,1,20970,No home garden,6,66.49728814
373,193.37,Barrel,1,21163,No home garden,1,74.15186441
374,175.72,Barrel,1,17070,No home garden,3,69.24508475
375,141.2,Barrel,1,30536,Home garden,10,53.15084746
376,191.69,No barrel,0,982,No home garden,7,81.61016949
377,249,No barrel,0,19660,No home garden,3,76.31084746
378,184.1,Barrel,1,22161,Home garden,9,97.90067797
379,264.43,No barrel,0,31622,No home garden,4,66.30101695
380,225.46,No barrel,0,8157,No home garden,7,77.88101695
381,178.21,Barrel,1,13119,No home garden,5,82.00271186
382,198.78,Barrel,1,24252,No home garden,5,82.19898305
383,225.73,No barrel,0,17648,No home garden,5,86.51694915
384,149.1,Barrel,1,3478,No home garden,4,59.62779661
385,209.95,Barrel,1,27011,No home garden,4,75.52576271
386,180.57,Barrel,1,16246,No home garden,3,68.85254237
387,187.03,Barrel,1,13220,No home garden,3,78.66610169
388,213.72,No barrel,0,29814,Home garden,10,73.56305085
389,206.81,Barrel,1,32031,Home garden,7,80.23627119
390,227.54,No barrel,0,19079,No home garden,3,62.96440678
391,238.06,Barrel,1,31389,No home garden,3,89.46101695
392,205,Barrel,1,16959,No home garden,3,84.94677966
393,216.6,Barrel,1,34034,Home garden,9,78.27355932
394,189.05,No barrel,0,14242,No home garden,7,67.08610169
395,226.08,No barrel,0,7896,No home garden,4,85.92813559
396,170.96,No barrel,0,15567,No home garden,8,57.46881356
397,215.55,No barrel,0,11384,No home garden,5,81.02135593
398,241.28,No barrel,0,12423,No home garden,2,70.81525424
399,127.85,Barrel,1,11376,No home garden,6,69.63762712
400,271.68,No barrel,0,27549,No home garden,4,85.33932203
401,209.13,No barrel,0,22512,No home garden,5,67.08610169
402,224.33,No barrel,0,21336,Home garden,9,77.48847458
403,198.13,No barrel,0,12950,No home garden,3,64.92711864
404,219.19,No barrel,0,26771,Home garden,7,72.7779661
405,147.52,Barrel,1,12474,No home garden,6,66.30101695
406,201.83,No barrel,0,15037,Home garden,10,82.19898305
407,185.17,Barrel,1,21735,Home garden,8,78.46983051
408,254.96,No barrel,0,33339,Home garden,7,85.92813559
409,171.68,Barrel,1,21485,No home garden,6,75.52576271
410,251.87,No barrel,0,19231,No home garden,6,88.08711864
411,186.05,Barrel,1,11639,No home garden,4,75.91830508
412,174.26,Barrel,1,23759,No home garden,4,56.09491525
413,210.55,No barrel,0,19035,No home garden,7,62.57186441
414,236.6,No barrel,0,12768,No home garden,4,73.17050847
415,188.31,Barrel,1,14954,No home garden,5,83.18033898
416,189.69,Barrel,1,23186,No home garden,6,90.44237288
417,169.15,Barrel,1,18246,No home garden,6,81.80644068
418,216.6,No barrel,0,12380,No home garden,6,81.41389831
419,254.69,No barrel,0,30214,No home garden,5,90.24610169
420,170.96,No barrel,0,9743,No home garden,8,58.64644068
421,177.28,Barrel,1,14253,No home garden,6,84.16169492
422,191.08,No barrel,0,16838,No home garden,5,64.53457627
423,260.63,No barrel,0,21306,No home garden,5,88.08711864
424,195.57,No barrel,0,12565,No home garden,6,66.69355932
425,250.1,No barrel,0,29013,No home garden,5,76.89966102
426,238.95,Barrel,1,28754,No home garden,1,64.73084746
427,258.69,Barrel,1,33999,No home garden,3,81.41389831
428,159.63,No barrel,0,4514,No home garden,5,72.97423729
429,233.18,No barrel,0,28854,No home garden,5,73.95559322
430,226.18,Barrel,1,32674,Home garden,8,76.11457627
431,221.2,Barrel,1,25658,No home garden,1,73.56305085
432,208.29,No barrel,0,9121,No home garden,3,82.59152542
433,206.17,Barrel,1,20175,No home garden,7,76.89966102
434,293.28,No barrel,0,33906,No home garden,4,84.16169492
435,260.73,No barrel,0,14747,No home garden,2,81.41389831
436,202.98,Barrel,1,27357,Home garden,7,88.47966102
437,240.17,No barrel,0,19782,No home garden,3,69.63762712
438,155.14,Barrel,1,3006,No home garden,9,87.10576271
439,157.46,Barrel,1,4741,No home garden,5,65.12338983
440,186.63,No barrel,0,6697,Home garden,10,67.67491525
441,184.82,Barrel,1,19251,No home garden,7,69.24508475
442,178.85,Barrel,1,16104,No home garden,7,67.67491525
443,203.99,No barrel,0,4106,No home garden,6,84.3579661
444,164.37,Barrel,1,11793,No home garden,2,64.92711864
445,177.08,No barrel,0,11378,No home garden,9,81.61016949
446,184.46,Barrel,1,14103,No home garden,2,71.60033898
447,250.94,No barrel,0,30836,No home garden,5,78.86237288
448,217.1,No barrel,0,20782,Home garden,7,76.50711864
449,207.97,Barrel,1,31260,Home garden,9,83.57288136
450,190.13,Barrel,1,20661,No home garden,2,78.86237288
451,186.14,Barrel,1,13977,No home garden,4,73.75932203
452,226.82,No barrel,0,17355,No home garden,2,76.50711864
453,198.93,No barrel,0,21482,Home garden,8,69.83389831
454,119.71,Barrel,1,13677,No home garden,8,66.69355932
455,229.93,Barrel,1,26645,No home garden,4,84.75050847
456,180.06,Barrel,1,11934,No home garden,4,68.85254237
457,201.93,Barrel,1,21117,No home garden,5,73.17050847
458,241.86,No barrel,0,22077,No home garden,3,64.33830508
459,158.09,Barrel,1,16688,No home garden,6,66.10474576
460,244.47,No barrel,0,38528,Home garden,6,55.50610169
461,239.8,Barrel,1,18839,No home garden,3,88.28338983
462,237.47,Barrel,1,31148,No home garden,4,91.81627119
463,224.6,No barrel,0,17226,No home garden,5,80.04
464,131.08,Barrel,1,3494,No home garden,5,61.78677966
465,152.13,Barrel,1,19242,No home garden,8,68.06745763
466,217.99,No barrel,0,17631,No home garden,5,91.42372881
467,99.63,Barrel,1,7341,No home garden,6,45.3
468,246.4,No barrel,0,36758,Home garden,6,79.25491525
469,159.77,Barrel,1,16308,No home garden,3,59.43152542
470,216.95,No barrel,0,12537,No home garden,5,70.81525424
471,178.75,No barrel,0,3592,No home garden,6,80.43254237
472,204.05,No barrel,0,13035,No home garden,3,72.97423729
473,267.06,Barrel,1,32190,Home garden,6,99.27457627
474,197.12,Barrel,1,18444,No home garden,4,68.85254237
475,244.41,No barrel,0,33438,Home garden,5,83.57288136
476,281.83,No barrel,0,33103,No home garden,2,77.48847458
477,216.74,Barrel,1,21262,No home garden,2,70.03016949
478,153.14,Barrel,1,17543,No home garden,6,62.57186441
479,185.92,Barrel,1,18878,No home garden,4,58.84271186
480,245.79,No barrel,0,20398,No home garden,2,57.07627119
481,236.07,No barrel,0,33642,Home garden,7,55.30983051
