"locality","type_of_property","subtype_of_property","price","type_of_sale","number_of_rooms","house_area","fully_equipped_kitchen","furnished","open_fire","terrace","terrace_area","garden","garden_area","surface_of_the_land","surface_of_the_plot_of_land","number_of_facades","swimming_pool","state_of_the_building","construction_year"
3550,"apartment","apartment","233136","for sale",2,"82",0,"None",0,1,"45",0,"None",NA,"None","None",0,"as new","None"
2370,"house","house","365000","for sale",4,"218",1,"None",1,1,"28",1,"750",1043,"None","4",0,"as new","1983"
3680,"apartment","apartment","233615","for sale",2,"108",1,"None",0,1,"64",0,"None",NA,"None","None",0,"None","2018"
6880,"house","house","120000","for sale",4,"108",1,"None",0,1,"None",0,"None",424,"None","2",0,"to be done up","None"
1060,"apartment","apartment","465000","for sale",5,"155",1,"None",0,0,"None",0,"None",NA,"None","2",0,"good","None"
1050,"apartment","flat studio","185000","for sale",0,"31",1,"None",0,0,"None",0,"None",NA,"None","2",0,"good","2013"
3020,"house","mixed use building","424000","for sale",2,"106",0,"None",0,1,"None",0,"None",1168,"None","4",0,"good","1959"
9000,"apartment","apartment","475000","for sale",2,"146",0,"None",0,1,"None",0,"None",NA,"None","4",0,"as new","None"
7700,"apartment","apartment","375000","for sale",3,"143",1,"None",0,1,"70",0,"None",NA,"None","None",0,"as new","None"
1083,"house","house","350000","for sale",3,"145",1,"None",1,0,"None",1,"90",160,"None","2",0,"good","1963"
3960,"house","house","345000","for sale",4,"186",0,"None",0,0,"None",0,"None",1484,"None","4",0,"None","1979"
1400,"house","mixed use building","250000","for sale",2,"164",1,"None",0,1,"None",0,"None",62,"None","2",0,"good","None"
8900,"apartment","apartment","241000","for sale",2,"110",0,"None",0,1,"8",0,"None",NA,"None","None",0,"as new","None"
3090,"house","villa","625000","for sale",4,"274",1,"None",0,1,"None",0,"None",0,"None","4",0,"good","1990"
4042,"house","house","370000","for sale",6,"205",1,"None",0,1,"None",1,"400",500,"None","3",0,"good","None"
1200,"apartment","ground floor","520000","for sale",2,"222",1,"None",0,1,"25",1,"150",NA,"None","2",1,"good","1956"
9340,"house","house","215000","for sale",4,"180",0,"None",0,0,"None",0,"None",192,"None","2",0,"None","None"
4000,"house","mansion","555000","for sale",4,"290",1,"None",1,1,"50",0,"None",170,"None","2",0,"None","1890"
2000,"apartment","kot","119000","for sale",1,"18",0,"None",0,0,"None",0,"None",NA,"None","2",0,"None","None"
8650,"house","house","179000","for sale",2,"107",0,"None",0,0,"None",0,"None",160,"None","4",0,"good","None"
4260,"house","house","510000","for sale",4,"343",0,"None",0,0,"None",0,"None",2500,"None","4",0,"as new","2016"
9280,"house","mansion","605000","for sale",5,"None",1,"None",0,0,"None",0,"None",810,"None","2",0,"good","1957"
2040,"house","house","297000","for sale",3,"146",1,"None",0,1,"None",1,"99",266,"None","2",0,"good","1985"
8530,"apartment","apartment","149000","for sale",1,"46",1,"None",0,1,"4",0,"None",NA,"None","3",0,"good","None"
8020,"house","villa","385000","for sale",5,"210",1,"None",0,0,"None",0,"None",478,"None","None",0,"as new","2021"
1560,"house","house","649000","for sale",7,"None",1,"None",0,0,"None",0,"None",1038,"None","4",0,"None","None"
8380,"apartment","apartment","210000","for sale",2,"71",0,"None",0,0,"None",0,"None",NA,"None","None",0,"None","2009"
8755,"apartment","apartment","180000","for sale",0,"71",0,"None",0,0,"None",0,"None",NA,"None","2",0,"None","2020"
2845,"house","house","485000","for sale",4,"300",0,"None",0,1,"25",1,"120",250,"None","3",0,"as new","2010"
8660,"house","villa","319000","for sale",3,"175",1,"None",0,1,"None",1,"336",419,"None","4",0,"good","None"
7070,"house","country cottage","235000","for sale",4,"200",1,"None",0,1,"30",1,"15",300,"None","3",0,"as new","1900"
6230,"apartment","apartment","169000","for sale",2,"90",1,"None",0,0,"None",0,"None",NA,"None","1",0,"None","None"
1800,"apartment","flat studio","169000","for sale",1,"50",0,"None",0,1,"None",0,"None",NA,"None","None",0,"None","1987"
2880,"house","villa","395000","for sale",3,"175",1,"None",0,1,"None",1,"None",642,"None","4",0,"to be done up","1967"
1040,"apartment","apartment","895000","for sale",3,"325",1,"None",0,1,"6",0,"None",NA,"None","3",0,"good","1929"
9000,"apartment","apartment","349500","for sale",3,"105",0,"None",0,1,"29",0,"None",NA,"None","2",0,"good","2019"
8553,"house","house","259000","for sale",2,"100",0,"None",0,1,"None",0,"None",120,"None","None",0,"as new","2019"
8501,"house","house","263275","for sale",3,"None",0,"None",0,0,"None",0,"None",0,"None","None",0,"None","2020"
1420,"house","house","375000","for sale",6,"385",1,"None",0,1,"None",1,"250",397,"None","4",0,"to renovate","None"
3600,"house","villa","325000","for sale",2,"177",1,"None",1,0,"None",1,"None",1602,"None","4",0,"to be done up","1966"
8300,"apartment","penthouse","375000","for sale",1,"55",0,"None",0,0,"None",0,"None",NA,"None","2",0,"good","1982"
3680,"apartment","apartment","139000","for sale",3,"150",1,"None",0,1,"None",0,"None",NA,"None","None",0,"to be done up","1968"
7033,"house","house","85000","for sale",2,"None",0,"None",0,1,"None",0,"None",0,"None","2",0,"to renovate","None"
9940,"apartment","ground floor","299000","for sale",2,"98",1,"None",0,1,"28",1,"34",NA,"None","None",0,"as new","2015"
6280,"house","villa","300000","for sale",4,"250",1,"None",1,1,"30",1,"None",3040,"None","4",0,"None","None"
1070,"house","mixed use building","500000","for sale",4,"600",0,"None",0,0,"None",0,"None",345,"None","2",0,"to renovate","None"
4630,"house","house","300000","for sale",3,"163",1,"None",0,0,"None",0,"None",910,"None","4",0,"None","1987"
4820,"house","house","75000","for sale",1,"75",1,"None",0,0,"None",0,"None",7,"None","2",0,"as new","None"
2811,"house","house","440900","for sale",3,"208",1,"None",0,0,"None",0,"None",578,"None","3",0,"as new","2020"
1000,"apartment","apartment","260000","for sale",2,"89",1,"None",0,0,"None",0,"None",NA,"None","4",0,"as new","2017"
6060,"house","mixed use building","299000","for sale",5,"290",0,"None",0,0,"None",0,"None",3124,"None","3",0,"to be done up","None"
2140,"house","house","385000","for sale",4,"230",0,"None",0,0,"None",0,"None",120,"None","2",0,"to renovate","None"
1755,"house","villa","649000","for sale",4,"280",1,"None",1,0,"None",0,"None",2227,"None","4",0,"good","None"
6030,"house","house","67000","for sale",3,"166",0,"None",0,0,"None",0,"None",0,"None","3",0,"to renovate","None"
5640,"house","villa","349000","for sale",3,"260",1,"None",1,0,"None",0,"None",1190,"None","4",0,"good","2009"
2970,"house","house","925000","for sale",4,"400",1,"None",0,1,"None",0,"None",2689,"None","4",1,"good","1953"
9700,"apartment","apartment","285000","for sale",1,"None",1,"None",0,0,"None",0,"None",NA,"None","4",0,"good","None"
1200,"apartment","apartment","430000","for sale",3,"120",0,"None",0,1,"3",0,"None",NA,"None","3",0,"as new","1995"
1932,"house","house","279000","for sale",2,"None",1,"None",0,1,"18",0,"None",180,"None","2",0,"good","None"
2000,"apartment","apartment","285000","for sale",1,"86",0,"None",0,1,"6",0,"None",NA,"None","None",0,"as new","2010"
9300,"house","house","315000","for sale",3,"None",0,"None",0,1,"None",0,"None",381,"None","None",0,"to renovate","None"
2600,"house","house","434000","for sale",4,"260",0,"None",0,0,"None",1,"None",0,"None","None",0,"as new","1950"
2800,"house","house","372000","for sale",3,"150",1,"None",0,1,"None",1,"179",298,"None","2",0,"as new","2020"
8310,"house","house","348000","for sale",4,"184",0,"None",0,0,"None",0,"None",152,"None","2",0,"None","None"
9120,"house","house","355800","for sale",3,"144",1,"None",0,0,"None",0,"None",235,"None","2",0,"as new","2020"
3000,"house","mansion","625000","for sale",5,"234",1,"None",0,0,"None",0,"None",142,"None","2",0,"good","1911"
1080,"apartment","apartment","259000","for sale",3,"110",1,"None",0,1,"8",0,"None",NA,"None","2",0,"as new","2010"
9000,"apartment","apartment","435000","for sale",2,"87",1,"None",0,1,"8",0,"None",NA,"None","None",0,"as new","2020"
4850,"apartment","duplex","174000","for sale",2,"100",1,"None",0,1,"25",0,"None",NA,"None","2",0,"good","1993"
3680,"house","manor house","469000","for sale",4,"286",0,"None",0,0,"None",0,"None",18742,"None","4",0,"good","1965"
1140,"apartment","apartment","130000","for sale",2,"75",0,"None",0,0,"None",0,"None",NA,"None","4",0,"None","1968"
1831,"house","house","375000","for sale",4,"None",0,"None",0,0,"None",0,"None",420,"None","2",0,"good","None"
8370,"apartment","apartment","149000","for sale",2,"None",0,"None",0,0,"None",0,"None",NA,"None","None",0,"as new","None"
2930,"house","house","395000","for sale",3,"165",1,"None",0,0,"None",1,"None",242,"None","2",0,"as new","2010"
8500,"apartment","apartment","189000","for sale",2,"90",1,"None",0,1,"4",0,"None",NA,"None","2",0,"just renovated","None"
1000,"apartment","apartment","251000","for sale",1,"71",1,"None",0,0,"None",0,"None",NA,"None","None",0,"as new","2020"
1180,"apartment","apartment","230000","for sale",1,"78",1,"None",0,1,"8",0,"None",NA,"None","2",0,"None","1956"
8400,"apartment","apartment","410000","for sale",2,"103",1,"None",0,0,"None",0,"None",NA,"None","None",0,"None","None"
2260,"house","house","329000","for sale",5,"251",1,"None",0,1,"None",0,"None",631,"None","4",0,"just renovated","1966"
2060,"apartment","penthouse","321580","for sale",3,"88",0,"None",0,1,"40",0,"None",NA,"None","2",0,"as new","None"
5600,"house","house","260000","for sale",6,"600",0,"None",0,0,"None",1,"None",1000,"None","4",0,"to renovate","None"
7500,"house","house","269000","for sale",3,"260",0,"None",1,1,"25",0,"None",206,"None","2",0,"None","None"
9000,"house","house","950000","for sale",9,"189",1,"None",0,0,"None",0,"None",108,"None","2",0,"good","None"
9840,"house","house","420000","for sale",2,"155",0,"None",0,0,"None",1,"None",720,"None","4",0,"as new","1969"
4430,"house","house","249000","for sale",3,"None",0,"None",0,1,"32",0,"None",0,"None","3",0,"None","None"
9900,"house","house","291125","for sale",3,"None",1,"None",0,0,"None",0,"None",1766,"None","3",0,"as new","None"
9080,"house","house","275000","for sale",2,"130",1,"None",0,0,"None",0,"None",240,"None","3",0,"None","1975"
9831,"house","house","295000","for sale",4,"132",0,"None",0,0,"None",0,"None",849,"None","None",0,"good","None"
4430,"house","house","195000","for sale",5,"187",0,"None",0,1,"None",1,"429",530,"None","3",0,"None","None"
7750,"house","house","284000","for sale",3,"202",0,"None",0,0,"None",1,"None",392,"None","None",0,"None","2020"
5020,"house","villa","499000","for sale",3,"388",0,"None",0,1,"140",1,"None",835,"None","4",1,"good","1979"
3070,"house","house","430000","for sale",3,"175",0,"None",0,0,"None",0,"None",310,"None","3",0,"good","2009"
7712,"house","house","169000","for sale",3,"142",1,"None",0,1,"44",1,"147",221,"None","2",0,"as new","None"
4821,"house","apartment block","200000","for sale",4,"161",0,"None",0,0,"None",0,"None",114,"None","2",0,"to be done up","1949"
9506,"apartment","apartment","175000","for sale",1,"69",1,"None",0,1,"8",1,"None",NA,"None","None",0,"None","None"
2300,"house","house","239000","for sale",3,"156",0,"None",0,1,"25",1,"37",145,"None","2",0,"None","None"
9070,"apartment","apartment","402900","for sale",3,"None",1,"None",0,0,"None",1,"None",NA,"None","None",0,"as new","2020"
9290,"apartment","apartment","212000","for sale",3,"105",0,"None",0,0,"None",1,"None",NA,"None","None",0,"as new","2006"
8370,"house","house","295000","for sale",2,"148",1,"None",0,1,"None",0,"None",0,"None","2",0,"just renovated","None"
7783,"house","house","79000","for sale",2,"None",0,"None",0,0,"None",0,"None",130,"None","2",0,"to renovate","None"
9200,"apartment","duplex","205000","for sale",2,"82",0,"None",0,0,"None",0,"None",NA,"None","2",0,"None","None"
7090,"apartment","apartment","185000","for sale",2,"93",1,"None",0,0,"None",0,"None",NA,"None","4",0,"just renovated","2004"
3000,"house","house","445000","for sale",3,"155",1,"None",0,0,"None",0,"None",4693,"None","4",0,"to be done up","1954"
8630,"apartment","apartment","173000","for sale",0,"None",1,"None",0,0,"None",0,"None",NA,"None","4",0,"as new","2021"
3500,"apartment","apartment","169000","for sale",1,"49",0,"None",0,0,"None",0,"None",NA,"None","2",0,"None","1994"
1420,"apartment","duplex","245000","for sale",3,"120",1,"None",0,1,"None",0,"None",NA,"None","None",0,"good","2007"
3970,"apartment","apartment","217900","for sale",2,"96",0,"None",0,1,"10",0,"None",NA,"None","2",0,"None","2020"
9920,"house","villa","45000","for sale",2,"166",1,"None",1,1,"32",1,"None",550,"None","4",0,"as new","2012"
2000,"apartment","penthouse","240000","for sale",1,"None",0,"None",0,0,"None",0,"None",NA,"None","None",0,"None","1960"
1340,"house","villa","595000","for sale",6,"250",0,"None",0,1,"None",1,"None",2886,"None","4",0,"to renovate","1900"
9940,"house","house","305000","for sale",2,"154",1,"None",0,1,"16",1,"None",194,"None","None",0,"good","2020"
1050,"apartment","duplex","455000","for sale",3,"140",1,"None",0,1,"10",1,"85",NA,"None","2",0,"to be done up","1970"
1315,"house","house","205000","for sale",3,"230",0,"None",0,1,"None",1,"None",1000,"None","3",0,"to renovate","None"
3000,"apartment","apartment","380000","for sale",2,"91",1,"None",0,0,"None",0,"None",NA,"None","2",0,"as new","2003"
9700,"apartment","ground floor","250000","for sale",3,"111",0,"None",0,0,"None",1,"29",NA,"None","2",0,"good","2003"
1950,"apartment","duplex","486500","for sale",2,"117",1,"None",0,1,"19",0,"None",NA,"None","2",0,"None","2020"
9600,"house","house","309000","for sale",4,"None",0,"None",0,1,"None",0,"None",0,"None","None",0,"as new","None"
1000,"apartment","apartment","272000","for sale",0,"75",1,"None",0,0,"None",0,"None",NA,"None","4",0,"as new","2022"
9700,"apartment","apartment","235000","for sale",2,"79",0,"None",0,1,"7",1,"None",NA,"None","2",0,"as new","2004"
8770,"house","house","162000","for sale",2,"184",0,"None",0,0,"None",0,"None",174,"None","None",0,"as new","None"
9660,"house","house","228000","for sale",3,"160",1,"None",0,1,"30",1,"500",584,"None","3",0,"good","None"
3630,"house","house","281500","for sale",2,"120",1,"None",0,1,"None",1,"42",0,"None","4",0,"as new","2016"
2300,"apartment","triplex","320000","for sale",3,"182",0,"None",0,0,"None",0,"None",NA,"None","3",0,"None","2006"
2930,"apartment","apartment","420000","for sale",2,"128",0,"None",0,0,"None",1,"133",NA,"None","None",0,"None","2020"
6850,"house","house","160000","for sale",2,"130",1,"None",0,1,"None",0,"None",220,"None","2",0,"None","None"
3600,"apartment","apartment","221500","for sale",2,"85",1,"None",0,0,"None",0,"None",NA,"None","None",0,"as new","None"
3910,"apartment","duplex","259900","for sale",2,"140",0,"None",0,1,"None",0,"None",NA,"None","4",0,"good","2002"
9031,"house","house","487035","for sale",3,"None",0,"None",0,0,"None",0,"None",0,"None","None",0,"as new","None"
7012,"house","house","80000","for sale",2,"None",1,"None",0,1,"None",0,"None",0,"None","2",0,"good","None"
3670,"house","house","198000","for sale",3,"158",0,"None",0,0,"None",0,"None",579,"None","4",0,"None","1947"
2000,"apartment","apartment","463000","for sale",2,"138",0,"None",0,1,"16",0,"None",NA,"None","None",0,"None","None"
6792,"house","house","260000","for sale",5,"None",0,"None",0,0,"None",0,"None",1328,"None","4",0,"to be done up","None"
9890,"house","house","305758","for sale",3,"None",0,"None",0,0,"None",0,"None",363,"None","3",0,"None","None"
8301,"house","house","419000","for sale",3,"None",1,"None",0,0,"None",0,"None",645,"None","4",0,"None","1949"
2330,"house","chalet","189000","for sale",1,"60",0,"None",0,0,"None",0,"None",880,"None","4",0,"good","1994"
2845,"house","house","169000","for sale",2,"140",1,"None",0,0,"None",0,"None",155,"None","3",0,"to renovate","None"
2640,"apartment","apartment","220000","for sale",2,"78",1,"None",0,0,"None",0,"None",NA,"None","2",0,"just renovated","1937"
1150,"apartment","flat studio","169000","for sale",0,"41",1,"None",0,1,"5",0,"None",NA,"None","2",0,"to be done up","1976"
7170,"apartment","apartment","169500","for sale",2,"94",1,"None",0,1,"5",0,"None",NA,"None","None",0,"as new","2014"
2280,"apartment","penthouse","265000","for sale",2,"93",1,"None",0,1,"55",0,"None",NA,"None","4",0,"as new","2019"
9400,"house","house","272000","for sale",3,"169",1,"None",0,0,"None",0,"None",447,"None","3",0,"None","2019"
9850,"apartment","apartment","395000","for sale",3,"121",1,"None",0,0,"None",0,"None",NA,"None","None",0,"as new","2020"
9200,"apartment","duplex","219000","for sale",2,"110",0,"None",0,0,"None",0,"None",NA,"None","2",0,"good","None"
6180,"house","house","169000","for sale",3,"None",1,"None",0,1,"None",0,"None",0,"None","3",0,"good","None"
6600,"house","villa","499000","for sale",6,"None",0,"None",0,0,"None",0,"None",1520,"None","None",0,"None","2000"
2180,"house","house","285000","for sale",3,"162",1,"None",0,1,"None",0,"None",110,"None","3",0,"as new","1935"
4280,"house","villa","295000","for sale",4,"None",0,"None",0,0,"None",0,"None",640,"None","None",0,"None","1970"
8450,"apartment","apartment","355000","for sale",2,"95",1,"None",0,0,"None",0,"None",NA,"None","None",0,"as new","2019"
9880,"apartment","apartment","207000","for sale",1,"67",0,"None",0,1,"29",0,"None",NA,"None","None",0,"as new","2019"
1701,"apartment","duplex","369000","for sale",3,"152",0,"None",0,1,"13",0,"None",NA,"None","2",0,"as new","2004"
1180,"apartment","apartment","485000","for sale",2,"107",1,"None",0,1,"24",0,"None",NA,"None","None",0,"as new","2018"
1730,"apartment","apartment","275000","for sale",2,"86",1,"None",0,1,"17",0,"None",NA,"None","None",0,"as new","2020"
9070,"house","house","275000","for sale",2,"90",1,"None",0,0,"None",1,"None",475,"None","3",0,"good","None"
3300,"house","house","249000","for sale",3,"None",0,"None",0,0,"None",0,"None",185,"None","2",0,"good","None"
4020,"house","house","125000","for sale",3,"96",0,"None",0,0,"None",1,"30",84,"None","2",0,"None","None"
8620,"apartment","flat studio","99000","for sale",0,"None",0,"None",0,0,"None",1,"None",NA,"None","None",0,"as new","1968"
4032,"house","house","160000","for sale",6,"120",0,"None",0,0,"None",0,"None",120,"None","2",0,"to restore","None"
2880,"apartment","apartment","279000","for sale",3,"114",0,"None",0,1,"13",1,"21",NA,"None","None",0,"None","2021"
2970,"apartment","apartment","399000","for sale",2,"105",0,"None",0,1,"None",0,"None",NA,"None","4",0,"None","None"
1853,"apartment","apartment","329000","for sale",2,"125",1,"None",0,1,"25",0,"None",NA,"None","2",0,"good","None"
4770,"house","house","229000","for sale",5,"None",0,"None",0,0,"None",0,"None",3792,"None","4",0,"None","None"
7941,"house","house","34235","for sale",2,"104",1,"None",0,1,"None",0,"None",927,"None","4",0,"good","None"
4140,"apartment","penthouse","404000","for sale",3,"137",1,"None",0,1,"45",0,"None",NA,"None","None",0,"as new","2018"
9230,"house","mixed use building","395000","for sale",2,"110",1,"None",0,1,"None",1,"200",500,"None","3",0,"just renovated","None"
8420,"apartment","penthouse","599000","for sale",2,"128",1,"None",0,0,"None",0,"None",NA,"None","3",0,"as new","None"
6980,"house","farmhouse","110000","for sale",2,"133",1,"None",0,0,"None",0,"None",1800,"None","4",0,"to restore","1850"
2200,"apartment","apartment","235000","for sale",1,"61",1,"None",0,1,"11",0,"None",NA,"None","4",0,"as new","1955"
9620,"house","house","221776","for sale",3,"None",1,"None",0,0,"None",0,"None",314,"None","3",0,"as new","None"
8370,"apartment","apartment","400500","for sale",2,"110",1,"None",0,1,"10",0,"None",NA,"None","2",0,"None","2018"
4420,"house","house","195000","for sale",2,"115",0,"None",0,1,"25",1,"78",0,"None","2",0,"just renovated","None"
6860,"house","house","535000","for sale",3,"288",1,"None",0,1,"None",0,"None",2243,"None","4",0,"as new","1965"
6250,"house","house","83000","for sale",3,"None",0,"None",0,0,"None",0,"None",1,"None","2",0,"None","None"
3850,"house","house","373000","for sale",3,"220",1,"None",0,1,"40",1,"None",750,"None","4",0,"as new","2002"
1830,"house","house","399000","for sale",3,"209",1,"None",0,1,"13",0,"None",628,"None","2",0,"as new","1999"
1082,"apartment","apartment","250000","for sale",2,"120",1,"None",0,0,"None",0,"None",NA,"None","2",0,"as new","1985"
9200,"house","apartment block","550000","for sale",5,"None",1,"None",0,1,"None",0,"None",650,"None","4",0,"just renovated","None"
2350,"apartment","apartment","139000","for sale",2,"115",0,"None",0,0,"None",0,"None",NA,"None","None",0,"good","1970"
8760,"house","house","285000","for sale",5,"140",0,"None",0,0,"None",1,"None",288,"None","None",0,"as new","2008"
9930,"house","house","285000","for sale",5,"330",0,"None",0,1,"None",0,"None",497,"None","3",0,"to be done up","None"
7603,"house","house","230000","for sale",3,"260",1,"None",0,0,"None",0,"None",141,"None","3",0,"as new","None"
8630,"apartment","apartment","229500","for sale",2,"90",1,"None",0,1,"7",0,"None",NA,"None","2",0,"as new","None"
6238,"house","mixed use building","179000","for sale",3,"220",1,"None",0,1,"40",0,"None",0,"None","3",0,"to be done up","1899"
3070,"apartment","apartment","298000","for sale",3,"145",1,"None",0,0,"None",0,"None",NA,"None","2",0,"good","2004"
8300,"apartment","apartment","489000","for sale",2,"81",0,"None",0,1,"None",0,"None",NA,"None","None",0,"None","1973"
4600,"house","house","195000","for sale",3,"None",0,"None",0,1,"None",0,"None",134,"None","2",0,"None","None"
1570,"apartment","apartment","296000","for sale",3,"134",1,"None",0,1,"10",1,"None",NA,"None","2",0,"as new","2020"
7320,"house","exceptional property","115000","for sale",3,"145",0,"None",0,1,"20",1,"270",340,"None","2",0,"as new","2020"
3770,"house","house","115000","for sale",3,"None",0,"None",0,0,"None",0,"None",381,"None","None",0,"to renovate","None"
8500,"apartment","flat studio","105000","for sale",0,"47",0,"None",0,0,"None",1,"None",NA,"None","None",0,"to be done up","1977"
7000,"house","house","99000","for sale",5,"155",1,"None",0,0,"None",0,"None",168,"None","2",0,"to renovate","None"
6030,"house","apartment block","280000","for sale",8,"None",1,"None",0,0,"None",0,"None",0,"None","3",0,"to be done up","None"
3980,"house","house","312000","for sale",3,"124",1,"None",0,1,"None",0,"None",900,"None","4",0,"None","2012"
1020,"apartment","apartment","238000","for sale",2,"96",1,"None",0,1,"None",0,"None",NA,"None","2",0,"as new","None"
8793,"house","house","354000","for sale",3,"124",0,"None",0,0,"None",1,"156",373,"None","None",0,"None","2012"
9060,"apartment","duplex","280000","for sale",0,"101",0,"None",0,0,"None",0,"None",NA,"None","2",0,"good","None"
2200,"apartment","apartment","248000","for sale",2,"87",1,"None",0,1,"None",1,"83",NA,"None","2",0,"as new","2012"
2900,"house","house","229000","for sale",4,"None",1,"None",0,0,"None",0,"None",130,"None","2",0,"good","None"
1180,"apartment","apartment","195000","for sale",1,"50",0,"None",0,1,"8",0,"None",NA,"None","1",0,"None","1974"
9660,"house","house","235000","for sale",3,"159",1,"None",0,1,"None",1,"None",974,"None","None",0,"None","1954"
1652,"apartment","apartment","155000","for sale",1,"50",0,"None",0,1,"4",0,"None",NA,"None","4",0,"as new","2009"
1200,"apartment","apartment","275000","for sale",2,"90",1,"None",0,1,"10",0,"None",NA,"None","2",0,"as new","None"
1180,"apartment","apartment","570000","for sale",3,"160",1,"None",0,1,"7",0,"None",NA,"None","2",0,"as new","1932"
3080,"apartment","loft","400000","for sale",1,"155",1,"None",0,1,"None",0,"None",NA,"None","None",0,"just renovated","None"
2850,"apartment","apartment","273000","for sale",2,"94",0,"None",0,1,"10",1,"None",NA,"None","None",0,"as new","2012"
1780,"house","villa","490000","for sale",3,"200",1,"None",0,1,"11",0,"None",429,"None","3",0,"to be done up","1950"
9890,"apartment","apartment","415000","for sale",3,"225",1,"None",1,1,"30",0,"None",NA,"None","None",0,"as new","2006"
9150,"apartment","ground floor","189000","for sale",1,"None",1,"None",0,0,"None",0,"None",NA,"None","3",0,"good","None"
3200,"house","villa","309000","for sale",3,"135",1,"None",0,1,"12",1,"240",375,"None","4",0,"to be done up","1966"
1120,"apartment","apartment","241500","for sale",2,"90",1,"None",0,1,"7",0,"None",NA,"None","2",0,"None","2020"
4540,"apartment","apartment","178500","for sale",2,"85",1,"None",0,1,"6",0,"None",NA,"None","None",0,"None","2020"
7370,"house","house","110000","for sale",2,"141",1,"None",0,1,"None",0,"None",320,"None","2",0,"to be done up","None"
